symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAAU,2023-07-17 08:00:00+00:00,19.37,19.4,19.37,19.4,2864.0,3.0,19.383593
AAAU,2023-07-17 09:00:00+00:00,19.39,19.39,19.39,19.39,2062.0,2.0,19.39
AAAU,2023-07-17 10:00:00+00:00,19.42,19.42,19.42,19.42,840.0,2.0,19.42
AAAU,2023-07-17 12:00:00+00:00,19.37,19.37,19.34,19.34,2000.0,2.0,19.355
AAAU,2023-07-17 13:00:00+00:00,19.33,19.33,19.2839,19.3252,119617.0,133.0,19.306108
AAAU,2023-07-17 14:00:00+00:00,19.33,19.3601,19.33,19.3601,194149.0,169.0,19.347667
AAAU,2023-07-17 15:00:00+00:00,19.3609,19.375,19.345,19.37,160382.0,233.0,19.355455
AAAU,2023-07-17 16:00:00+00:00,19.3799,19.385,19.365,19.3799,163095.0,216.0,19.374565
AAAU,2023-07-17 17:00:00+00:00,19.3717,19.38,19.35,19.38,90832.0,113.0,19.365685
AAAU,2023-07-17 18:00:00+00:00,19.3798,19.39,19.375,19.385,65886.0,99.0,19.38036
AAAU,2023-07-17 19:00:00+00:00,19.38,19.39,19.37,19.375,67248.0,114.0,19.380838
AAAU,2023-07-17 20:00:00+00:00,19.38,19.38,19.37,19.37,40801.0,3.0,19.379951
AAAU,2023-07-18 09:00:00+00:00,19.45,19.45,19.45,19.45,2056.0,2.0,19.45
AAAU,2023-07-18 10:00:00+00:00,19.45,19.45,19.45,19.45,1028.0,1.0,19.45
AAAU,2023-07-18 11:00:00+00:00,19.53,19.53,19.47,19.47,397.0,5.0,19.502494
AAAU,2023-07-18 12:00:00+00:00,19.48,19.48,19.48,19.48,500.0,1.0,19.48
AAAU,2023-07-18 13:00:00+00:00,19.51,19.5343,19.4607,19.5343,83333.0,156.0,19.508446
AAAU,2023-07-18 14:00:00+00:00,19.5389,19.66,19.5389,19.645,202970.0,415.0,19.604469
AAAU,2023-07-18 15:00:00+00:00,19.65,19.67,19.6039,19.6039,90381.0,209.0,19.641619
AAAU,2023-07-18 16:00:00+00:00,19.6,19.64,19.595,19.605,57234.0,119.0,19.615432
AAAU,2023-07-18 17:00:00+00:00,19.6,19.6023,19.57,19.59,51001.0,115.0,19.587288
AAAU,2023-07-18 18:00:00+00:00,19.585,19.597,19.5777,19.5901,83454.0,138.0,19.587366
AAAU,2023-07-18 19:00:00+00:00,19.59,19.61,19.5843,19.605,134060.0,197.0,19.597179
AAAU,2023-07-18 20:00:00+00:00,19.605,19.605,19.605,19.605,10.0,2.0,19.6
AAAU,2023-07-19 08:00:00+00:00,19.61,19.61,19.61,19.61,100.0,1.0,19.61
AAAU,2023-07-19 09:00:00+00:00,19.61,19.61,19.59,19.59,4078.0,4.0,19.602496
AAAU,2023-07-19 10:00:00+00:00,19.6,19.6,19.59,19.59,1589.0,3.0,19.594286
AAAU,2023-07-19 12:00:00+00:00,19.605,19.605,19.605,19.605,100.0,1.0,19.605
AAAU,2023-07-19 13:00:00+00:00,19.58,19.6252,19.58,19.59,105723.0,96.0,19.603853
AAAU,2023-07-19 14:00:00+00:00,19.59,19.605,19.52,19.57,182999.0,314.0,19.560638
AAAU,2023-07-19 15:00:00+00:00,19.5709,19.5899,19.555,19.565,232655.0,329.0,19.567828
AAAU,2023-07-19 16:00:00+00:00,19.565,19.6,19.545,19.595,100565.0,134.0,19.563821
AAAU,2023-07-19 17:00:00+00:00,19.595,19.61,19.585,19.5941,117491.0,144.0,19.597616
AAAU,2023-07-19 18:00:00+00:00,19.6,19.61,19.59,19.595,35940.0,67.0,19.599568
AAAU,2023-07-19 19:00:00+00:00,19.6,19.61,19.6,19.61,25933.0,55.0,19.60543
AAAU,2023-07-19 20:00:00+00:00,19.6,19.6,19.6,19.6,1586.0,2.0,19.600019
AAAU,2023-07-20 10:00:00+00:00,19.65,19.65,19.65,19.65,798.0,1.0,19.65
AAAU,2023-07-20 12:00:00+00:00,19.58,19.58,19.56,19.56,3400.0,3.0,19.569412
AAAU,2023-07-20 13:00:00+00:00,19.56,19.6199,19.5507,19.59,78169.0,123.0,19.573748
AAAU,2023-07-20 14:00:00+00:00,19.59,19.595,19.4831,19.52,227091.0,295.0,19.541219
AAAU,2023-07-20 15:00:00+00:00,19.53,19.536,19.4991,19.515,112245.0,145.0,19.519668
AAAU,2023-07-20 16:00:00+00:00,19.51,19.52,19.485,19.5053,189880.0,227.0,19.499597
