symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMCX,2023-07-17 13:00:00+00:00,12.91,12.97,12.715,12.91,15628.0,286.0,12.861151
AMCX,2023-07-17 14:00:00+00:00,12.915,12.97,12.78,12.78,29353.0,768.0,12.882252
AMCX,2023-07-17 15:00:00+00:00,12.77,12.77,12.5,12.77,35790.0,940.0,12.650325
AMCX,2023-07-17 16:00:00+00:00,12.76,12.8799,12.745,12.78,30905.0,821.0,12.793552
AMCX,2023-07-17 17:00:00+00:00,12.79,12.885,12.75,12.875,33035.0,897.0,12.815824
AMCX,2023-07-17 18:00:00+00:00,12.885,12.92,12.8,12.89,35505.0,939.0,12.87273
AMCX,2023-07-17 19:00:00+00:00,12.9,12.94,12.77,12.83,136556.0,2360.0,12.845753
AMCX,2023-07-17 20:00:00+00:00,12.83,12.83,12.83,12.83,48297.0,12.0,12.83
AMCX,2023-07-18 13:00:00+00:00,12.8,13.7,12.8,13.6,62784.0,611.0,13.38748
AMCX,2023-07-18 14:00:00+00:00,13.56,13.65,13.29,13.35,44695.0,849.0,13.504357
AMCX,2023-07-18 15:00:00+00:00,13.355,13.4,13.29,13.36,16316.0,502.0,13.351363
AMCX,2023-07-18 16:00:00+00:00,13.35,13.44,13.29,13.44,24096.0,555.0,13.358925
AMCX,2023-07-18 17:00:00+00:00,13.44,13.535,13.44,13.5015,22472.0,598.0,13.491834
AMCX,2023-07-18 18:00:00+00:00,13.48,13.66,13.4701,13.61,18552.0,534.0,13.58226
AMCX,2023-07-18 19:00:00+00:00,13.62,13.71,13.585,13.64,76613.0,1634.0,13.620079
AMCX,2023-07-18 20:00:00+00:00,13.63,13.63,13.63,13.63,46401.0,10.0,13.63
AMCX,2023-07-18 22:00:00+00:00,13.87,13.889,13.87,13.889,350.0,3.0,13.878143
AMCX,2023-07-19 13:00:00+00:00,13.84,14.03,13.7,13.94,32151.0,401.0,13.893924
AMCX,2023-07-19 14:00:00+00:00,13.97,14.27,13.97,14.12,48684.0,974.0,14.150566
AMCX,2023-07-19 15:00:00+00:00,14.0919,14.12,13.94,14.055,28640.0,614.0,14.053437
AMCX,2023-07-19 16:00:00+00:00,14.055,14.055,13.8999,13.96,31368.0,619.0,13.9738
AMCX,2023-07-19 17:00:00+00:00,13.955,14.0701,13.83,13.875,47071.0,864.0,13.965351
AMCX,2023-07-19 18:00:00+00:00,13.87,13.89,13.77,13.84,29367.0,757.0,13.829332
AMCX,2023-07-19 19:00:00+00:00,13.845,13.915,13.81,13.905,89613.0,2312.0,13.878291
AMCX,2023-07-19 20:00:00+00:00,13.89,13.91,13.89,13.91,43169.0,13.0,13.909954
AMCX,2023-07-20 13:00:00+00:00,13.82,13.88,13.54,13.63,19198.0,274.0,13.707924
AMCX,2023-07-20 14:00:00+00:00,13.53,13.542,13.3,13.44,49723.0,939.0,13.406837
AMCX,2023-07-20 15:00:00+00:00,13.41,13.48,13.32,13.46,32921.0,720.0,13.41076
AMCX,2023-07-20 16:00:00+00:00,13.46,13.4762,13.28,13.3,29541.0,701.0,13.366703
AMCX,2023-07-20 17:00:00+00:00,13.26,13.29,13.15,13.15,22698.0,604.0,13.207931
AMCX,2023-07-20 18:00:00+00:00,13.15,13.3,13.14,13.285,38937.0,1040.0,13.226936
AMCX,2023-07-20 19:00:00+00:00,13.28,13.41,13.27,13.4,71192.0,1820.0,13.347697
AMCX,2023-07-20 20:00:00+00:00,13.4,13.4,13.4,13.4,32302.0,17.0,13.4
AMCX,2023-07-21 13:00:00+00:00,13.48,13.6,13.17,13.24,23771.0,180.0,13.468932
AMCX,2023-07-21 14:00:00+00:00,13.17,13.37,13.08,13.29,28167.0,604.0,13.225411
AMCX,2023-07-21 15:00:00+00:00,13.28,13.35,13.23,13.265,20940.0,544.0,13.28362
AMCX,2023-07-21 16:00:00+00:00,13.2914,13.3,13.19,13.2,19520.0,554.0,13.250603
AMCX,2023-07-21 17:00:00+00:00,13.21,13.33,13.17,13.32,18795.0,533.0,13.23171
AMCX,2023-07-21 18:00:00+00:00,13.32,13.33,13.28,13.285,19242.0,526.0,13.30618
AMCX,2023-07-21 19:00:00+00:00,13.28,13.28,13.18,13.27,61799.0,1408.0,13.245283
AMCX,2023-07-21 20:00:00+00:00,13.28,13.28,13.28,13.28,29947.0,7.0,13.28
AMCX,2023-07-24 13:00:00+00:00,13.32,13.5667,13.21,13.27,17382.0,419.0,13.391578
AMCX,2023-07-24 14:00:00+00:00,13.27,13.33,13.17,13.33,14504.0,466.0,13.266882
AMCX,2023-07-24 15:00:00+00:00,13.34,13.34,13.19,13.24,29153.0,824.0,13.239399
AMCX,2023-07-24 16:00:00+00:00,13.25,13.26,13.125,13.225,26672.0,671.0,13.200417
AMCX,2023-07-24 17:00:00+00:00,13.225,13.29,13.225,13.28,21171.0,612.0,13.260871
AMCX,2023-07-24 18:00:00+00:00,13.285,13.31,13.21,13.2226,21197.0,561.0,13.257097
AMCX,2023-07-24 19:00:00+00:00,13.21,13.215,13.09,13.11,37468.0,1221.0,13.134851
AMCX,2023-07-24 20:00:00+00:00,13.11,13.11,13.11,13.11,24379.0,8.0,13.11
AMCX,2023-07-25 13:00:00+00:00,13.09,13.11,12.8925,12.95,26114.0,421.0,12.98792
AMCX,2023-07-25 14:00:00+00:00,12.97,13.08,12.942,12.9835,29470.0,717.0,12.996143
AMCX,2023-07-25 15:00:00+00:00,12.97,12.985,12.85,12.87,34468.0,760.0,12.911064
AMCX,2023-07-25 16:00:00+00:00,12.88,13.02,12.88,12.995,25136.0,657.0,12.974499
AMCX,2023-07-25 17:00:00+00:00,12.99,13.03,12.94,13.03,15384.0,469.0,12.99883
AMCX,2023-07-25 18:00:00+00:00,13.02,13.04,12.89,12.94,37783.0,783.0,12.962362
AMCX,2023-07-25 19:00:00+00:00,12.94,12.95,12.88,12.9,89055.0,1899.0,12.909419
AMCX,2023-07-25 20:00:00+00:00,12.89,12.89,12.89,12.89,38066.0,11.0,12.89
AMCX,2023-07-26 13:00:00+00:00,12.98,13.4,12.98,13.3,14804.0,291.0,13.225874
AMCX,2023-07-26 14:00:00+00:00,13.265,13.265,13.015,13.095,14853.0,457.0,13.136956
AMCX,2023-07-26 15:00:00+00:00,13.09,13.18,13.0145,13.16,17254.0,400.0,13.090885
AMCX,2023-07-26 16:00:00+00:00,13.16,13.22,13.11,13.19,16462.0,466.0,13.176846
AMCX,2023-07-26 17:00:00+00:00,13.19,13.24,13.13,13.14,37533.0,478.0,13.180173
