symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMWL,2023-07-17 10:00:00+00:00,2.1,2.1,2.1,2.1,688.0,4.0,2.100015
AMWL,2023-07-17 11:00:00+00:00,2.11,2.11,2.11,2.11,302.0,6.0,2.108841
AMWL,2023-07-17 12:00:00+00:00,2.1,2.1,2.1,2.1,209.0,5.0,2.102584
AMWL,2023-07-17 13:00:00+00:00,2.1,2.13,2.07,2.13,39903.0,328.0,2.100019
AMWL,2023-07-17 14:00:00+00:00,2.13,2.16,2.11,2.145,180192.0,1330.0,2.132832
AMWL,2023-07-17 15:00:00+00:00,2.14,2.16,2.135,2.145,54393.0,649.0,2.144014
AMWL,2023-07-17 16:00:00+00:00,2.14,2.19,2.14,2.16,107151.0,827.0,2.168158
AMWL,2023-07-17 17:00:00+00:00,2.165,2.17,2.16,2.165,71055.0,626.0,2.16153
AMWL,2023-07-17 18:00:00+00:00,2.165,2.19,2.16,2.18,81619.0,732.0,2.173343
AMWL,2023-07-17 19:00:00+00:00,2.18,2.2,2.17,2.19,198111.0,1735.0,2.185769
AMWL,2023-07-17 20:00:00+00:00,2.2,2.2,2.2,2.2,79120.0,3.0,2.2
AMWL,2023-07-18 09:00:00+00:00,2.2,2.2,2.2,2.2,407.0,3.0,2.2
AMWL,2023-07-18 10:00:00+00:00,2.2,2.2,2.2,2.2,100.0,1.0,2.2
AMWL,2023-07-18 11:00:00+00:00,2.2,2.2,2.2,2.2,100.0,1.0,2.2
AMWL,2023-07-18 12:00:00+00:00,2.21,2.21,2.21,2.21,100.0,1.0,2.21
AMWL,2023-07-18 13:00:00+00:00,2.21,2.29,2.2,2.29,45719.0,460.0,2.254602
AMWL,2023-07-18 14:00:00+00:00,2.2895,2.29,2.23,2.2411,113614.0,603.0,2.258868
AMWL,2023-07-18 15:00:00+00:00,2.245,2.255,2.225,2.245,60283.0,483.0,2.242379
AMWL,2023-07-18 16:00:00+00:00,2.2475,2.26,2.215,2.22,47411.0,360.0,2.237804
AMWL,2023-07-18 17:00:00+00:00,2.22,2.22,2.21,2.215,78443.0,608.0,2.211988
AMWL,2023-07-18 18:00:00+00:00,2.215,2.24,2.2124,2.235,54966.0,418.0,2.225209
AMWL,2023-07-18 19:00:00+00:00,2.235,2.25,2.21,2.245,248307.0,1695.0,2.233278
AMWL,2023-07-18 20:00:00+00:00,2.25,2.25,2.25,2.25,59525.0,6.0,2.25
AMWL,2023-07-19 11:00:00+00:00,2.29,2.29,2.27,2.27,795.0,7.0,2.28244
AMWL,2023-07-19 12:00:00+00:00,2.22,2.22,2.19,2.19,510.0,5.0,2.205549
AMWL,2023-07-19 13:00:00+00:00,2.2513,2.3118,2.245,2.3,48876.0,445.0,2.287972
AMWL,2023-07-19 14:00:00+00:00,2.3,2.32,2.28,2.28,76912.0,755.0,2.302024
AMWL,2023-07-19 15:00:00+00:00,2.28,2.31,2.28,2.2942,59966.0,435.0,2.299807
AMWL,2023-07-19 16:00:00+00:00,2.29,2.295,2.245,2.255,59967.0,533.0,2.265636
AMWL,2023-07-19 17:00:00+00:00,2.255,2.27,2.245,2.27,60088.0,420.0,2.258009
AMWL,2023-07-19 18:00:00+00:00,2.265,2.27,2.26,2.265,68580.0,388.0,2.263818
AMWL,2023-07-19 19:00:00+00:00,2.265,2.29,2.26,2.27,160191.0,1303.0,2.276788
AMWL,2023-07-19 20:00:00+00:00,2.27,2.27,2.27,2.27,88412.0,5.0,2.27
AMWL,2023-07-20 12:00:00+00:00,2.2988,2.2988,2.2988,2.2988,496.0,1.0,2.2988
AMWL,2023-07-20 13:00:00+00:00,2.29,2.29,2.25,2.26,36157.0,326.0,2.260986
AMWL,2023-07-20 14:00:00+00:00,2.265,2.265,2.205,2.235,66635.0,754.0,2.231112
AMWL,2023-07-20 15:00:00+00:00,2.235,2.24,2.2,2.235,127136.0,814.0,2.221533
AMWL,2023-07-20 16:00:00+00:00,2.23,2.24,2.2,2.2,52458.0,464.0,2.216821
AMWL,2023-07-20 17:00:00+00:00,2.2,2.22,2.195,2.215,73685.0,546.0,2.2054
AMWL,2023-07-20 18:00:00+00:00,2.215,2.2289,2.2,2.215,103114.0,843.0,2.210581
AMWL,2023-07-20 19:00:00+00:00,2.215,2.22,2.165,2.18,336316.0,1934.0,2.183779
AMWL,2023-07-20 20:00:00+00:00,2.19,2.19,2.19,2.19,77826.0,5.0,2.19
