symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AOS,2023-07-17 11:00:00+00:00,74.49,74.49,74.49,74.49,135.0,1.0,74.49
AOS,2023-07-17 13:00:00+00:00,74.59,74.82,74.24,74.53,88716.0,1418.0,74.514473
AOS,2023-07-17 14:00:00+00:00,74.56,75.19,74.55,75.04,212933.0,4041.0,74.91496
AOS,2023-07-17 15:00:00+00:00,75.045,75.46,75.02,75.375,132487.0,2920.0,75.235839
AOS,2023-07-17 16:00:00+00:00,75.37,75.5,75.27,75.35,80298.0,1922.0,75.378915
AOS,2023-07-17 17:00:00+00:00,75.385,75.39,74.92,75.03,99322.0,2479.0,75.188683
AOS,2023-07-17 18:00:00+00:00,75.035,75.23,74.96,75.11,131153.0,2740.0,75.098778
AOS,2023-07-17 19:00:00+00:00,75.12,75.3,74.97,75.0,239474.0,5238.0,75.116218
AOS,2023-07-17 20:00:00+00:00,75.0,75.0,75.0,75.0,141770.0,45.0,75.0
AOS,2023-07-17 23:00:00+00:00,75.25,75.25,75.25,75.25,100.0,1.0,75.25
AOS,2023-07-18 13:00:00+00:00,74.83,76.26,74.83,76.2,87899.0,1680.0,75.754943
AOS,2023-07-18 14:00:00+00:00,76.2,76.31,75.6,75.755,117767.0,2873.0,76.067108
AOS,2023-07-18 15:00:00+00:00,75.76,76.05,75.69,75.915,83414.0,1965.0,75.846927
AOS,2023-07-18 16:00:00+00:00,75.915,76.06,75.505,76.0575,132348.0,2364.0,75.752168
AOS,2023-07-18 17:00:00+00:00,76.07,76.17,75.81,76.08,82049.0,1990.0,76.007475
AOS,2023-07-18 18:00:00+00:00,76.07,76.26,76.03,76.14,134031.0,2960.0,76.144124
AOS,2023-07-18 19:00:00+00:00,76.19,76.54,76.08,76.52,349803.0,6456.0,76.376618
AOS,2023-07-18 20:00:00+00:00,76.51,76.51,76.51,76.51,236515.0,27.0,76.51
AOS,2023-07-19 13:00:00+00:00,76.56,76.79,76.345,76.73,47980.0,923.0,76.546097
AOS,2023-07-19 14:00:00+00:00,76.75,76.79,75.895,75.99,79908.0,1933.0,76.498514
AOS,2023-07-19 15:00:00+00:00,76.015,76.45,75.97,76.33,82100.0,1875.0,76.248556
AOS,2023-07-19 16:00:00+00:00,76.37,76.58,76.14,76.58,45256.0,1222.0,76.333602
