symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ATLC,2023-07-17 14:00:00+00:00,41.33,41.62,41.33,41.62,487.0,29.0,41.494394
ATLC,2023-07-17 15:00:00+00:00,41.8,41.8,41.65,41.65,910.0,31.0,41.755407
ATLC,2023-07-17 16:00:00+00:00,41.8,42.355,41.79,42.2,5848.0,80.0,41.921988
ATLC,2023-07-17 17:00:00+00:00,41.92,41.94,41.87,41.94,727.0,26.0,41.918707
ATLC,2023-07-17 18:00:00+00:00,42.2,42.2,42.2,42.2,535.0,20.0,42.187551
ATLC,2023-07-17 19:00:00+00:00,42.1637,42.5,42.0,42.47,5004.0,121.0,42.270536
ATLC,2023-07-17 20:00:00+00:00,42.44,42.44,42.44,42.44,1857.0,2.0,42.44
ATLC,2023-07-18 14:00:00+00:00,42.4,42.7,42.0,42.09,5871.0,71.0,42.263143
ATLC,2023-07-18 15:00:00+00:00,42.9999,43.5899,42.595,43.2,10643.0,121.0,43.032775
ATLC,2023-07-18 16:00:00+00:00,43.18,43.18,42.76,42.98,1251.0,13.0,42.994564
ATLC,2023-07-18 17:00:00+00:00,42.8,43.14,42.8,43.0518,696.0,25.0,42.898105
ATLC,2023-07-18 18:00:00+00:00,42.33,42.75,42.3,42.665,2349.0,36.0,42.64542
ATLC,2023-07-18 19:00:00+00:00,42.53,42.8,42.27,42.27,3440.0,118.0,42.537164
ATLC,2023-07-18 20:00:00+00:00,42.68,42.68,42.68,42.68,2234.0,1.0,42.68
ATLC,2023-07-19 13:00:00+00:00,42.46,42.66,42.46,42.66,426.0,12.0,42.538357
ATLC,2023-07-19 15:00:00+00:00,43.05,43.05,42.7,42.7,771.0,31.0,42.963372
ATLC,2023-07-19 16:00:00+00:00,42.5475,42.595,42.46,42.58,910.0,11.0,42.510917
ATLC,2023-07-19 18:00:00+00:00,42.11,42.36,42.11,42.36,474.0,11.0,42.272996
ATLC,2023-07-19 19:00:00+00:00,42.22,42.46,42.21,42.4,904.0,54.0,42.316853
ATLC,2023-07-19 20:00:00+00:00,42.57,42.57,42.57,42.57,1565.0,2.0,42.57
ATLC,2023-07-20 14:00:00+00:00,41.8,41.9384,41.8,41.9384,2367.0,34.0,41.860578
ATLC,2023-07-20 15:00:00+00:00,41.93,41.93,41.8,41.8,935.0,29.0,41.836578
ATLC,2023-07-20 16:00:00+00:00,41.8,42.13,41.8,41.85,624.0,51.0,41.904399
ATLC,2023-07-20 17:00:00+00:00,41.855,41.855,41.73,41.75,529.0,14.0,41.761191
ATLC,2023-07-20 19:00:00+00:00,41.79,41.8,41.66,41.67,3207.0,108.0,41.744807
ATLC,2023-07-20 20:00:00+00:00,41.75,41.75,41.75,41.75,1734.0,5.0,41.75
ATLC,2023-07-21 13:00:00+00:00,41.92,41.92,41.92,41.92,1671.0,2.0,41.920162
ATLC,2023-07-21 14:00:00+00:00,41.4,41.4,41.4,41.4,328.0,17.0,41.314552
ATLC,2023-07-21 15:00:00+00:00,41.175,41.175,41.175,41.175,309.0,24.0,41.175
ATLC,2023-07-21 16:00:00+00:00,40.86,40.86,40.61,40.61,344.0,19.0,40.780901
ATLC,2023-07-21 17:00:00+00:00,40.52,40.52,40.39,40.4301,940.0,12.0,40.438033
ATLC,2023-07-21 18:00:00+00:00,40.6101,40.6101,40.6101,40.6101,500.0,1.0,40.6101
ATLC,2023-07-21 19:00:00+00:00,40.7,40.75,40.61,40.75,4656.0,61.0,40.627047
ATLC,2023-07-21 20:00:00+00:00,40.53,40.53,40.53,40.53,1045.0,2.0,40.53
ATLC,2023-07-24 14:00:00+00:00,41.16,41.48,41.16,41.48,319.0,10.0,41.289812
ATLC,2023-07-24 15:00:00+00:00,41.26,41.26,41.26,41.26,141.0,5.0,41.26156
ATLC,2023-07-24 16:00:00+00:00,41.01,41.125,40.82,40.82,1045.0,43.0,40.960406
ATLC,2023-07-24 17:00:00+00:00,41.155,41.155,41.03,41.03,272.0,7.0,41.075956
ATLC,2023-07-24 19:00:00+00:00,41.0,41.01,40.82,41.0,1593.0,40.0,40.944906
ATLC,2023-07-24 20:00:00+00:00,41.005,41.005,41.005,41.005,1320.0,3.0,41.005
ATLC,2023-07-25 13:00:00+00:00,41.01,41.01,41.01,41.01,151.0,1.0,41.01
ATLC,2023-07-25 14:00:00+00:00,40.99,41.01,39.73,40.7834,1777.0,66.0,40.817384
ATLC,2023-07-25 15:00:00+00:00,40.52,40.54,40.52,40.54,203.0,4.0,40.537784
ATLC,2023-07-25 16:00:00+00:00,40.54,40.54,40.54,40.54,100.0,1.0,40.54
ATLC,2023-07-25 17:00:00+00:00,41.04,41.145,41.04,41.145,924.0,32.0,41.093195
ATLC,2023-07-25 18:00:00+00:00,41.07,41.295,40.89,40.89,1280.0,34.0,41.120238
ATLC,2023-07-25 19:00:00+00:00,40.9707,40.975,40.06,40.14,2523.0,66.0,40.71821
ATLC,2023-07-25 20:00:00+00:00,40.42,40.42,40.42,40.42,1218.0,3.0,40.42
ATLC,2023-07-26 15:00:00+00:00,41.095,41.2045,41.095,41.2045,306.0,4.0,41.161176
ATLC,2023-07-26 17:00:00+00:00,41.04,41.04,40.58,40.58,375.0,15.0,40.697393
ATLC,2023-07-26 18:00:00+00:00,40.2,40.38,40.0,40.12,2373.0,58.0,40.199568
ATLC,2023-07-26 19:00:00+00:00,40.25,40.25,39.84,39.85,1518.0,68.0,39.96748
ATLC,2023-07-26 20:00:00+00:00,40.03,40.03,40.03,40.03,1600.0,2.0,40.03
ATLC,2023-07-26 22:00:00+00:00,39.97,39.97,39.97,39.97,100.0,1.0,39.97
ATLC,2023-07-27 13:00:00+00:00,40.21,40.21,40.04,40.1,1098.0,14.0,40.188142
ATLC,2023-07-27 14:00:00+00:00,40.14,40.14,39.97,40.1,8043.0,109.0,40.086667
ATLC,2023-07-27 17:00:00+00:00,40.06,40.06,39.86,40.0,1040.0,61.0,39.9845
ATLC,2023-07-27 18:00:00+00:00,39.82,39.82,39.6101,39.6101,636.0,20.0,39.744667
ATLC,2023-07-27 19:00:00+00:00,39.54,39.54,39.54,39.54,226.0,7.0,39.530487
ATLC,2023-07-27 20:00:00+00:00,39.58,39.58,39.58,39.58,2394.0,3.0,39.58
ATLC,2023-07-28 13:00:00+00:00,39.98,40.08,39.98,40.08,917.0,45.0,40.05223
ATLC,2023-07-28 14:00:00+00:00,40.42,40.83,40.42,40.83,471.0,6.0,40.578747
ATLC,2023-07-28 15:00:00+00:00,40.205,40.23,40.205,40.23,327.0,9.0,40.228211
ATLC,2023-07-28 16:00:00+00:00,40.615,40.625,40.355,40.36,6276.0,99.0,40.531037
ATLC,2023-07-28 17:00:00+00:00,40.76,40.76,40.0,40.01,3607.0,40.0,40.034784
ATLC,2023-07-28 18:00:00+00:00,39.88,39.88,39.88,39.88,104.0,5.0,39.873462
ATLC,2023-07-28 19:00:00+00:00,39.88,40.0157,39.88,40.0157,257.0,5.0,39.959027
ATLC,2023-07-28 20:00:00+00:00,40.02,40.02,40.02,40.02,2029.0,3.0,40.02
ATLC,2023-07-28 21:00:00+00:00,44.32,44.32,44.32,44.32,100.0,1.0,44.32
ATLC,2023-07-31 13:00:00+00:00,40.28,40.28,40.04,40.04,1157.0,35.0,40.205618
ATLC,2023-07-31 14:00:00+00:00,40.04,40.04,40.03,40.03,557.0,21.0,40.033609
ATLC,2023-07-31 15:00:00+00:00,40.27,40.27,39.66,39.66,534.0,31.0,39.955197
ATLC,2023-07-31 16:00:00+00:00,39.82,40.04,39.77,40.04,459.0,23.0,39.866296
ATLC,2023-07-31 17:00:00+00:00,40.0,40.0,40.0,40.0,100.0,1.0,40.0
ATLC,2023-07-31 19:00:00+00:00,40.38,40.68,39.96,40.68,7244.0,162.0,40.077355
ATLC,2023-07-31 20:00:00+00:00,40.7,40.7,40.7,40.7,2312.0,3.0,40.7
ATLC,2023-08-01 13:00:00+00:00,40.0,40.6899,39.865,40.6899,1188.0,36.0,39.948148
ATLC,2023-08-01 14:00:00+00:00,40.265,40.265,39.455,39.52,834.0,32.0,39.869902
ATLC,2023-08-01 15:00:00+00:00,39.18,39.18,39.18,39.18,153.0,2.0,39.18
ATLC,2023-08-01 16:00:00+00:00,39.46,39.495,39.46,39.495,370.0,11.0,39.483351
ATLC,2023-08-01 18:00:00+00:00,39.55,39.61,39.55,39.61,1251.0,24.0,39.571798
ATLC,2023-08-01 19:00:00+00:00,39.695,39.695,39.34,39.51,5182.0,119.0,39.588016
ATLC,2023-08-01 20:00:00+00:00,39.515,39.515,39.515,39.515,1738.0,2.0,39.515
ATLC,2023-08-02 13:00:00+00:00,38.96,38.96,37.55,38.35,1158.0,9.0,38.132081
ATLC,2023-08-02 14:00:00+00:00,37.93,38.34,37.93,38.34,336.0,18.0,38.486134
ATLC,2023-08-02 15:00:00+00:00,37.99,38.115,37.99,38.115,594.0,12.0,38.034545
ATLC,2023-08-02 16:00:00+00:00,37.58,38.02,37.58,38.02,225.0,8.0,37.788267
ATLC,2023-08-02 17:00:00+00:00,37.68,38.04,37.68,38.04,851.0,29.0,37.765464
ATLC,2023-08-02 18:00:00+00:00,37.61,37.63,37.6,37.6,554.0,14.0,37.639639
ATLC,2023-08-02 19:00:00+00:00,37.96,37.96,37.2901,37.84,6972.0,288.0,37.602014
ATLC,2023-08-02 20:00:00+00:00,37.7,37.7,37.7,37.7,2254.0,1.0,37.7
ATLC,2023-08-03 13:00:00+00:00,36.62,36.62,36.62,36.62,172.0,7.0,37.002122
ATLC,2023-08-03 15:00:00+00:00,37.715,37.715,37.715,37.715,140.0,9.0,37.803643
