symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AUDC,2023-07-17 13:00:00+00:00,9.89,9.925,9.8797,9.89,2800.0,49.0,9.898425
AUDC,2023-07-17 14:00:00+00:00,9.89,9.915,9.85,9.85,8049.0,104.0,9.879334
AUDC,2023-07-17 15:00:00+00:00,9.86,9.89,9.83,9.89,6228.0,99.0,9.858721
AUDC,2023-07-17 16:00:00+00:00,9.88,9.9,9.86,9.89,6028.0,106.0,9.879368
AUDC,2023-07-17 17:00:00+00:00,9.89,10.005,9.86,10.005,18206.0,144.0,9.91879
AUDC,2023-07-17 18:00:00+00:00,10.0,10.1,9.99,10.06,13246.0,177.0,10.047438
AUDC,2023-07-17 19:00:00+00:00,10.06,10.14,10.04,10.09,90686.0,779.0,10.102321
AUDC,2023-07-17 20:00:00+00:00,10.09,10.09,10.09,10.09,3845.0,1.0,10.09
AUDC,2023-07-18 13:00:00+00:00,10.13,10.28,10.13,10.28,9313.0,113.0,10.238518
AUDC,2023-07-18 14:00:00+00:00,10.28,10.33,10.26,10.265,9449.0,144.0,10.295231
AUDC,2023-07-18 15:00:00+00:00,10.27,10.28,10.235,10.245,5957.0,90.0,10.258071
AUDC,2023-07-18 16:00:00+00:00,10.24,10.24,10.03,10.03,9233.0,106.0,10.133979
AUDC,2023-07-18 17:00:00+00:00,10.04,10.105,10.04,10.09,7098.0,97.0,10.067172
AUDC,2023-07-18 18:00:00+00:00,10.09,10.15,10.09,10.14,10771.0,76.0,10.117117
AUDC,2023-07-18 19:00:00+00:00,10.15,10.23,10.14,10.21,22379.0,340.0,10.203904
AUDC,2023-07-18 20:00:00+00:00,10.21,10.21,10.21,10.21,4062.0,1.0,10.21
AUDC,2023-07-19 08:00:00+00:00,10.39,10.39,10.39,10.39,200.0,2.0,10.39
AUDC,2023-07-19 11:00:00+00:00,10.35,10.35,10.35,10.35,150.0,1.0,10.35
AUDC,2023-07-19 12:00:00+00:00,10.33,10.33,10.33,10.33,252.0,2.0,10.33
AUDC,2023-07-19 13:00:00+00:00,10.39,10.4,10.31,10.38,5034.0,57.0,10.353654
AUDC,2023-07-19 14:00:00+00:00,10.38,10.42,10.3062,10.3062,17005.0,235.0,10.371807
AUDC,2023-07-19 15:00:00+00:00,10.32,10.34,10.3,10.335,8777.0,136.0,10.322821
AUDC,2023-07-19 16:00:00+00:00,10.335,10.335,10.29,10.32,5658.0,106.0,10.313701
AUDC,2023-07-19 17:00:00+00:00,10.31,10.3196,10.27,10.3,8043.0,119.0,10.298047
AUDC,2023-07-19 18:00:00+00:00,10.3,10.305,10.24,10.265,10235.0,203.0,10.269877
AUDC,2023-07-19 19:00:00+00:00,10.265,10.375,10.235,10.352,39776.0,740.0,10.304475
AUDC,2023-07-19 20:00:00+00:00,10.35,10.35,10.35,10.35,4840.0,2.0,10.35
AUDC,2023-07-20 13:00:00+00:00,10.24,10.3,9.99,10.01,29017.0,230.0,10.10458
AUDC,2023-07-20 14:00:00+00:00,9.97,10.015,9.89,9.93,14167.0,222.0,9.966148
AUDC,2023-07-20 15:00:00+00:00,9.91,9.93,9.84,9.93,14484.0,211.0,9.890348
AUDC,2023-07-20 16:00:00+00:00,9.96,9.97,9.94,9.96,4479.0,85.0,9.959287
AUDC,2023-07-20 17:00:00+00:00,9.97,9.97,9.9,9.93,8651.0,121.0,9.919104
AUDC,2023-07-20 18:00:00+00:00,9.925,9.94,9.84,9.84,16700.0,199.0,9.880378
AUDC,2023-07-20 19:00:00+00:00,9.845,9.92,9.845,9.88,34225.0,437.0,9.884368
AUDC,2023-07-20 20:00:00+00:00,9.89,9.89,9.89,9.89,14532.0,3.0,9.89
AUDC,2023-07-21 13:00:00+00:00,10.01,10.01,9.91,9.98,4350.0,61.0,9.969942
AUDC,2023-07-21 14:00:00+00:00,9.98,10.08,9.96,10.01,9791.0,164.0,10.024788
AUDC,2023-07-21 15:00:00+00:00,9.9901,10.02,9.9,9.93,7653.0,113.0,9.963326
AUDC,2023-07-21 16:00:00+00:00,9.93,9.935,9.9,9.91,4454.0,68.0,9.92206
