symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AVGO,2023-07-17 09:00:00+00:00,889.0,889.0,889.0,889.0,255.0,9.0,889.021961
AVGO,2023-07-17 13:00:00+00:00,890.0,898.335,889.78,896.34,195871.0,6710.0,894.8224
AVGO,2023-07-17 14:00:00+00:00,896.51,902.8,893.385,900.13,340983.0,11443.0,898.203544
AVGO,2023-07-17 15:00:00+00:00,900.415,909.64,898.28,909.26,336866.0,11833.0,905.681273
AVGO,2023-07-17 16:00:00+00:00,909.32,911.13,906.1,910.5864,263837.0,9461.0,908.389505
AVGO,2023-07-17 17:00:00+00:00,910.93,910.93,905.421,907.48,217344.0,7457.0,907.376551
AVGO,2023-07-17 18:00:00+00:00,907.44,907.77,904.58,906.36,164998.0,7124.0,906.186221
AVGO,2023-07-17 19:00:00+00:00,906.81,913.21,906.6623,910.48,593038.0,20051.0,910.471065
AVGO,2023-07-17 20:00:00+00:00,910.35,910.35,910.35,910.35,540025.0,109.0,910.349999
AVGO,2023-07-17 21:00:00+00:00,910.0,910.0,910.0,910.0,105.0,2.0,910.0
AVGO,2023-07-17 22:00:00+00:00,910.35,910.35,909.0,909.0,322.0,18.0,909.655295
AVGO,2023-07-18 11:00:00+00:00,910.01,910.01,910.0,910.0,1211.0,35.0,910.00194
AVGO,2023-07-18 12:00:00+00:00,910.5,910.9999,910.5,910.9999,403.0,16.0,910.65531
AVGO,2023-07-18 13:00:00+00:00,907.0,909.9,901.7801,906.25,282238.0,9606.0,905.616518
AVGO,2023-07-18 14:00:00+00:00,906.72,906.85,901.64,902.41,268302.0,11543.0,904.091244
AVGO,2023-07-18 15:00:00+00:00,902.6032,904.5,899.08,904.2,273117.0,11397.0,901.69598
AVGO,2023-07-18 16:00:00+00:00,904.15,904.315,899.0,901.75,198566.0,9249.0,900.839271
AVGO,2023-07-18 17:00:00+00:00,901.595,902.81,898.2601,900.435,304112.0,10704.0,900.904863
AVGO,2023-07-18 18:00:00+00:00,900.41,903.68,899.93,900.275,235374.0,9824.0,901.429596
AVGO,2023-07-18 19:00:00+00:00,900.2675,906.0,900.24,903.52,512159.0,19498.0,903.878468
AVGO,2023-07-18 20:00:00+00:00,903.43,903.43,902.5,902.5,318724.0,78.0,903.42929
AVGO,2023-07-18 21:00:00+00:00,901.32,901.32,901.0001,901.0001,257.0,9.0,901.216381
AVGO,2023-07-18 23:00:00+00:00,901.32,901.32,901.32,901.32,296.0,7.0,901.336334
AVGO,2023-07-19 10:00:00+00:00,906.0,908.0,906.0,908.0,522.0,14.0,906.731781
AVGO,2023-07-19 11:00:00+00:00,908.0,908.0,906.53,907.0,2689.0,57.0,907.326731
AVGO,2023-07-19 12:00:00+00:00,908.0107,908.0107,905.0,905.0,8059.0,84.0,906.180313
AVGO,2023-07-19 13:00:00+00:00,904.6,904.98,885.63,889.65,412349.0,17653.0,894.719272
AVGO,2023-07-19 14:00:00+00:00,889.7,902.5,887.73,900.79,443381.0,17610.0,896.019369
AVGO,2023-07-19 15:00:00+00:00,900.745,905.965,899.7,902.88,226853.0,9931.0,902.505293
AVGO,2023-07-19 16:00:00+00:00,903.0,905.17,900.76,900.95,210448.0,9314.0,902.905572
AVGO,2023-07-19 17:00:00+00:00,900.88,900.88,895.03,898.895,168580.0,7967.0,897.998891
AVGO,2023-07-19 18:00:00+00:00,898.975,900.935,896.0,900.86,193257.0,8312.0,898.55253
AVGO,2023-07-19 19:00:00+00:00,900.92,903.0,899.37,901.31,367766.0,15458.0,901.44742
AVGO,2023-07-19 20:00:00+00:00,901.37,901.37,896.01,901.37,342330.0,69.0,901.367154
