symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AVT,2023-07-17 13:00:00+00:00,49.08,49.34,48.86,49.21,17759.0,394.0,49.083124
AVT,2023-07-17 14:00:00+00:00,49.24,49.31,49.1,49.21,31990.0,888.0,49.208405
AVT,2023-07-17 15:00:00+00:00,49.25,49.5,49.22,49.495,40949.0,1188.0,49.309361
AVT,2023-07-17 16:00:00+00:00,49.5,49.53,49.25,49.5,43217.0,1330.0,49.426292
AVT,2023-07-17 17:00:00+00:00,49.5,49.525,49.35,49.36,57181.0,1478.0,49.459575
AVT,2023-07-17 18:00:00+00:00,49.37,49.5,49.33,49.45,44687.0,1498.0,49.420016
AVT,2023-07-17 19:00:00+00:00,49.45,49.51,49.12,49.21,205041.0,4704.0,49.289779
AVT,2023-07-17 20:00:00+00:00,49.2,49.2,49.2,49.2,86004.0,16.0,49.2
AVT,2023-07-18 13:00:00+00:00,49.04,49.95,48.84,49.91,24289.0,517.0,49.421078
AVT,2023-07-18 14:00:00+00:00,49.87,49.92,49.14,49.32,77644.0,1805.0,49.430222
AVT,2023-07-18 15:00:00+00:00,49.31,49.59,49.21,49.4,62849.0,1566.0,49.390996
AVT,2023-07-18 16:00:00+00:00,49.4,49.415,49.215,49.34,45020.0,1153.0,49.313245
AVT,2023-07-18 17:00:00+00:00,49.335,49.48,49.32,49.43,87147.0,1721.0,49.397024
AVT,2023-07-18 18:00:00+00:00,49.435,49.55,49.43,49.525,84145.0,1752.0,49.488764
AVT,2023-07-18 19:00:00+00:00,49.53,49.74,49.5,49.61,192515.0,4059.0,49.590595
AVT,2023-07-18 20:00:00+00:00,49.62,49.62,49.5,49.5,73416.0,19.0,49.593429
AVT,2023-07-19 13:00:00+00:00,49.61,49.83,49.13,49.26,39201.0,993.0,49.404662
AVT,2023-07-19 14:00:00+00:00,49.28,49.36,48.95,48.99,100421.0,2758.0,49.174632
AVT,2023-07-19 15:00:00+00:00,48.99,49.29,48.97,49.24,97607.0,2501.0,49.110219
AVT,2023-07-19 16:00:00+00:00,49.24,49.28,49.03,49.14,60250.0,1978.0,49.158995
AVT,2023-07-19 17:00:00+00:00,49.14,49.14,48.96,49.0,74822.0,2037.0,49.017525
AVT,2023-07-19 18:00:00+00:00,49.0009,49.04,48.85,48.91,82193.0,2335.0,48.941452
AVT,2023-07-19 19:00:00+00:00,48.9,48.9,48.63,48.79,269451.0,6160.0,48.794178
AVT,2023-07-19 20:00:00+00:00,48.79,48.79,48.79,48.79,120753.0,23.0,48.79
AVT,2023-07-20 13:00:00+00:00,48.77,48.85,48.0,48.15,64158.0,1170.0,48.521983
AVT,2023-07-20 14:00:00+00:00,48.16,48.16,47.865,47.94,55345.0,1785.0,47.980951
AVT,2023-07-20 15:00:00+00:00,47.94,48.07,47.83,48.03,52501.0,1769.0,47.936912
AVT,2023-07-20 16:00:00+00:00,48.04,48.17,47.91,47.92,41106.0,1386.0,48.033988
AVT,2023-07-20 17:00:00+00:00,47.91,48.08,47.86,47.93,46993.0,1484.0,47.962293
AVT,2023-07-20 18:00:00+00:00,47.9,47.96,47.76,47.86,58852.0,1796.0,47.844918
AVT,2023-07-20 19:00:00+00:00,47.86,48.02,47.82,47.92,153393.0,4028.0,47.928222
AVT,2023-07-20 20:00:00+00:00,47.91,47.91,47.91,47.91,70983.0,24.0,47.91
AVT,2023-07-21 13:00:00+00:00,47.61,48.16,47.16,47.16,88779.0,1154.0,47.678526
AVT,2023-07-21 14:00:00+00:00,47.22,47.615,47.076,47.5,98504.0,2521.0,47.33575
AVT,2023-07-21 15:00:00+00:00,47.49,47.58,47.315,47.445,58018.0,1880.0,47.464047
AVT,2023-07-21 16:00:00+00:00,47.455,47.455,47.09,47.16,65571.0,1519.0,47.226557
AVT,2023-07-21 17:00:00+00:00,47.17,47.32,47.17,47.205,41634.0,1354.0,47.242001
AVT,2023-07-21 18:00:00+00:00,47.21,47.29,47.07,47.21,59885.0,1766.0,47.163353
AVT,2023-07-21 19:00:00+00:00,47.21,47.445,47.045,47.31,210069.0,4366.0,47.281659
AVT,2023-07-21 20:00:00+00:00,47.32,47.32,47.32,47.32,115605.0,21.0,47.32
AVT,2023-07-24 13:00:00+00:00,47.51,47.79,47.37,47.43,19729.0,419.0,47.548513
AVT,2023-07-24 14:00:00+00:00,47.42,47.43,47.1,47.12,39778.0,1230.0,47.247223
AVT,2023-07-24 15:00:00+00:00,47.13,47.47,47.09,47.47,32960.0,1211.0,47.240407
AVT,2023-07-24 16:00:00+00:00,47.49,47.505,47.22,47.33,35459.0,1022.0,47.314364
AVT,2023-07-24 17:00:00+00:00,47.31,47.44,47.28,47.3,37381.0,1112.0,47.35018
AVT,2023-07-24 18:00:00+00:00,47.3,47.44,47.29,47.44,52181.0,1519.0,47.378872
AVT,2023-07-24 19:00:00+00:00,47.44,47.54,47.37,47.51,151249.0,3881.0,47.464077
AVT,2023-07-24 20:00:00+00:00,47.49,47.49,47.49,47.49,61316.0,8.0,47.49
AVT,2023-07-25 11:00:00+00:00,47.25,47.32,47.25,47.32,1350.0,10.0,47.288889
AVT,2023-07-25 13:00:00+00:00,47.37,48.18,47.29,48.18,39841.0,835.0,47.798095
AVT,2023-07-25 14:00:00+00:00,48.155,48.62,48.13,48.34,124908.0,3019.0,48.393658
AVT,2023-07-25 15:00:00+00:00,48.355,48.355,48.02,48.08,92318.0,2398.0,48.146963
AVT,2023-07-25 16:00:00+00:00,48.075,48.33,48.04,48.3,92337.0,2069.0,48.185043
AVT,2023-07-25 17:00:00+00:00,48.34,48.385,48.16,48.31,102762.0,2267.0,48.297921
AVT,2023-07-25 18:00:00+00:00,48.3,48.455,48.21,48.365,127469.0,2604.0,48.323929
AVT,2023-07-25 19:00:00+00:00,48.38,48.42,48.025,48.06,268392.0,5354.0,48.138233
AVT,2023-07-25 20:00:00+00:00,48.08,48.08,48.08,48.08,110409.0,20.0,48.08
AVT,2023-07-26 13:00:00+00:00,48.06,48.115,47.57,47.69,58436.0,1331.0,47.885832
AVT,2023-07-26 14:00:00+00:00,47.68,48.08,47.68,47.78,126197.0,2942.0,47.918082
AVT,2023-07-26 15:00:00+00:00,47.79,48.08,47.755,47.97,100689.0,2283.0,47.944652
AVT,2023-07-26 16:00:00+00:00,47.96,48.085,47.84,47.98,82960.0,2242.0,47.937451
AVT,2023-07-26 17:00:00+00:00,48.0,48.005,47.81,48.005,87242.0,2301.0,47.895336
AVT,2023-07-26 18:00:00+00:00,47.95,48.105,47.81,47.88,137913.0,3168.0,47.962914
AVT,2023-07-26 19:00:00+00:00,47.9,48.12,47.68,48.02,358049.0,6574.0,47.90357
AVT,2023-07-26 20:00:00+00:00,47.97,47.97,47.97,47.97,1677995.0,24.0,47.97
AVT,2023-07-27 13:00:00+00:00,48.34,48.73,48.12,48.705,38968.0,865.0,48.444263
AVT,2023-07-27 14:00:00+00:00,48.69,48.835,48.54,48.61,79334.0,1979.0,48.674029
AVT,2023-07-27 15:00:00+00:00,48.58,48.775,48.515,48.56,61197.0,1594.0,48.64358
AVT,2023-07-27 16:00:00+00:00,48.565,48.67,48.38,48.39,47023.0,1405.0,48.581734
AVT,2023-07-27 17:00:00+00:00,48.37,48.415,48.08,48.165,63999.0,1759.0,48.228808
AVT,2023-07-27 18:00:00+00:00,48.15,48.21,47.97,48.0625,58386.0,2160.0,48.059006
AVT,2023-07-27 19:00:00+00:00,48.065,48.13,47.94,48.08,227140.0,5145.0,48.054107
AVT,2023-07-27 20:00:00+00:00,48.06,48.06,48.06,48.06,261901.0,24.0,48.06
AVT,2023-07-28 13:00:00+00:00,48.3,48.74,48.09,48.09,24316.0,430.0,48.307786
AVT,2023-07-28 14:00:00+00:00,48.145,48.368,47.92,47.965,39644.0,994.0,48.089647
AVT,2023-07-28 15:00:00+00:00,47.96,48.135,47.96,48.01,43973.0,1100.0,48.038356
AVT,2023-07-28 16:00:00+00:00,48.01,48.11,47.96,48.02,27507.0,794.0,48.045981
AVT,2023-07-28 17:00:00+00:00,48.01,48.01,47.66,47.8218,48508.0,908.0,47.824257
AVT,2023-07-28 18:00:00+00:00,47.845,47.96,47.81,47.835,35780.0,968.0,47.886848
AVT,2023-07-28 19:00:00+00:00,47.84,47.93,47.76,47.83,96990.0,2562.0,47.834384
AVT,2023-07-28 20:00:00+00:00,47.82,47.82,47.82,47.82,77485.0,18.0,47.82
AVT,2023-07-31 13:00:00+00:00,47.95,48.3,47.9,48.1,16434.0,367.0,48.150105
AVT,2023-07-31 14:00:00+00:00,48.12,48.23,47.89,47.97,46380.0,1094.0,48.095594
AVT,2023-07-31 15:00:00+00:00,48.03,48.35,48.03,48.35,38127.0,935.0,48.19769
AVT,2023-07-31 16:00:00+00:00,48.345,48.37,48.27,48.34,30579.0,877.0,48.327191
AVT,2023-07-31 17:00:00+00:00,48.345,48.4,48.18,48.35,32615.0,1109.0,48.320974
AVT,2023-07-31 18:00:00+00:00,48.31,48.44,48.285,48.44,26927.0,904.0,48.370721
AVT,2023-07-31 19:00:00+00:00,48.435,48.54,48.28,48.5,103655.0,3123.0,48.407747
AVT,2023-07-31 20:00:00+00:00,48.5,48.5,48.5,48.5,164700.0,20.0,48.5
AVT,2023-08-01 13:00:00+00:00,48.74,48.74,48.1,48.56,20260.0,476.0,48.383681
AVT,2023-08-01 14:00:00+00:00,48.58,48.63,48.35,48.5,33217.0,1058.0,48.455928
AVT,2023-08-01 15:00:00+00:00,48.48,48.63,48.45,48.56,27010.0,1075.0,48.529554
AVT,2023-08-01 16:00:00+00:00,48.56,48.56,48.395,48.52,19658.0,880.0,48.475512
AVT,2023-08-01 17:00:00+00:00,48.53,48.54,48.41,48.49,21469.0,889.0,48.481541
AVT,2023-08-01 18:00:00+00:00,48.49,48.59,48.47,48.51,32370.0,1306.0,48.537109
AVT,2023-08-01 19:00:00+00:00,48.52,48.62,48.4,48.53,117027.0,3288.0,48.538152
AVT,2023-08-01 20:00:00+00:00,48.54,48.54,48.54,48.54,76980.0,20.0,48.539987
AVT,2023-08-01 21:00:00+00:00,48.4,48.4,48.4,48.4,1076.0,6.0,48.4
AVT,2023-08-02 13:00:00+00:00,48.21,48.23,47.52,48.1325,31995.0,608.0,47.994922
AVT,2023-08-02 14:00:00+00:00,48.18,48.205,47.915,48.03,49882.0,1344.0,48.059455
AVT,2023-08-02 15:00:00+00:00,48.04,48.25,48.035,48.14,43461.0,1239.0,48.161454
AVT,2023-08-02 16:00:00+00:00,48.135,48.35,48.0,48.35,32245.0,1031.0,48.14957
AVT,2023-08-02 17:00:00+00:00,48.35,48.475,48.33,48.39,35203.0,985.0,48.387812
AVT,2023-08-02 18:00:00+00:00,48.39,48.41,48.33,48.365,34786.0,1374.0,48.361586
AVT,2023-08-02 19:00:00+00:00,48.38,48.42,48.13,48.14,98591.0,2908.0,48.219365
AVT,2023-08-02 20:00:00+00:00,48.13,48.13,48.13,48.13,74048.0,23.0,48.13
AVT,2023-08-03 13:00:00+00:00,47.89,47.89,46.16,46.305,52015.0,1134.0,46.690908
AVT,2023-08-03 14:00:00+00:00,46.31,46.54,45.76,46.28,127253.0,2781.0,46.10952
AVT,2023-08-03 15:00:00+00:00,46.28,46.67,46.1,46.57,71882.0,1793.0,46.398425
AVT,2023-08-03 16:00:00+00:00,46.54,46.74,46.38,46.7,57924.0,1556.0,46.556874
AVT,2023-08-03 17:00:00+00:00,46.67,46.68,46.28,46.28,66472.0,2164.0,46.471793
AVT,2023-08-03 18:00:00+00:00,46.2361,46.33,46.03,46.23,98764.0,2585.0,46.208616
AVT,2023-08-03 19:00:00+00:00,46.23,46.23,45.73,45.88,322404.0,6580.0,45.897555
AVT,2023-08-03 20:00:00+00:00,45.88,45.88,45.88,45.88,96271.0,30.0,45.88
AVT,2023-08-04 13:00:00+00:00,45.84,46.07,45.38,45.905,21834.0,464.0,45.745848
AVT,2023-08-04 14:00:00+00:00,45.85,45.85,45.49,45.595,72535.0,1911.0,45.662107
AVT,2023-08-04 15:00:00+00:00,45.62,45.89,45.53,45.86,67640.0,1806.0,45.722353
AVT,2023-08-04 16:00:00+00:00,45.87,46.03,45.82,45.93,49021.0,1337.0,45.923427
AVT,2023-08-04 17:00:00+00:00,45.93,46.21,45.88,45.925,63051.0,1490.0,46.01423
AVT,2023-08-04 18:00:00+00:00,45.91,45.9275,45.56,45.605,51970.0,1598.0,45.737339
AVT,2023-08-04 19:00:00+00:00,45.635,45.64,45.41,45.59,161326.0,4136.0,45.540925
AVT,2023-08-04 20:00:00+00:00,45.57,45.57,45.57,45.57,136439.0,14.0,45.57
AVT,2023-08-07 12:00:00+00:00,44.75,44.75,44.75,44.75,300.0,1.0,44.75
AVT,2023-08-07 13:00:00+00:00,45.64,46.16,45.64,46.12,13070.0,345.0,45.960646
AVT,2023-08-07 14:00:00+00:00,46.14,46.16,45.905,45.94,34622.0,1226.0,46.017349
AVT,2023-08-07 15:00:00+00:00,45.91,45.92,45.77,45.885,51085.0,1348.0,45.833203
AVT,2023-08-07 16:00:00+00:00,45.885,45.885,45.66,45.71,44908.0,1289.0,45.746034
AVT,2023-08-07 17:00:00+00:00,45.72,45.8,45.58,45.6,47457.0,1342.0,45.700126
AVT,2023-08-07 18:00:00+00:00,45.61,45.77,45.53,45.66,44855.0,1352.0,45.650645
AVT,2023-08-07 19:00:00+00:00,45.68,45.8,45.575,45.76,135130.0,3090.0,45.698083
AVT,2023-08-07 20:00:00+00:00,45.77,45.77,45.77,45.77,100349.0,19.0,45.77
AVT,2023-08-08 08:00:00+00:00,45.13,45.13,45.13,45.13,300.0,1.0,45.13
AVT,2023-08-08 13:00:00+00:00,45.39,45.52,45.1,45.47,28946.0,698.0,45.364511
AVT,2023-08-08 14:00:00+00:00,45.46,45.62,45.23,45.59,51014.0,1557.0,45.423776
AVT,2023-08-08 15:00:00+00:00,45.57,45.88,45.56,45.72,36171.0,1070.0,45.73088
AVT,2023-08-08 16:00:00+00:00,45.735,45.96,45.7,45.89,42685.0,1129.0,45.824885
AVT,2023-08-08 17:00:00+00:00,45.88,46.08,45.84,45.95,46118.0,1236.0,45.941851
AVT,2023-08-08 18:00:00+00:00,45.965,46.015,45.88,45.95,47320.0,1503.0,45.933432
AVT,2023-08-08 19:00:00+00:00,45.96,46.1,45.95,46.065,135128.0,3463.0,46.029645
AVT,2023-08-08 20:00:00+00:00,46.06,46.06,46.06,46.06,72022.0,22.0,46.06
AVT,2023-08-09 13:00:00+00:00,46.04,46.04,45.62,45.9,14478.0,422.0,45.893665
AVT,2023-08-09 14:00:00+00:00,45.86,46.05,45.85,46.0,27517.0,948.0,45.943985
AVT,2023-08-09 15:00:00+00:00,45.98,46.07,45.95,45.98,40916.0,1125.0,45.993408
AVT,2023-08-09 16:00:00+00:00,45.97,46.11,45.96,46.11,28463.0,892.0,46.025138
AVT,2023-08-09 17:00:00+00:00,46.1,46.18,45.9802,45.9802,26696.0,889.0,46.089395
AVT,2023-08-09 18:00:00+00:00,45.98,46.23,45.98,46.2,37152.0,1182.0,46.130805
AVT,2023-08-09 19:00:00+00:00,46.17,46.195,45.85,45.86,115867.0,3423.0,45.989248
AVT,2023-08-09 20:00:00+00:00,45.86,45.86,45.86,45.86,76945.0,22.0,45.86
AVT,2023-08-10 13:00:00+00:00,46.12,46.475,46.075,46.46,11302.0,351.0,46.218654
AVT,2023-08-10 14:00:00+00:00,46.49,46.71,46.38,46.57,44745.0,1558.0,46.558588
AVT,2023-08-10 15:00:00+00:00,46.52,46.57,46.15,46.25,42730.0,1317.0,46.399639
