symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BFS,2023-07-17 13:00:00+00:00,37.6,37.95,37.46,37.95,2834.0,42.0,37.615007
BFS,2023-07-17 14:00:00+00:00,37.97,38.34,37.8101,38.0499,1961.0,55.0,38.060945
BFS,2023-07-17 15:00:00+00:00,37.99,38.28,37.99,38.28,1794.0,62.0,38.11245
BFS,2023-07-17 16:00:00+00:00,38.2,38.2203,38.12,38.2203,1238.0,26.0,38.184491
BFS,2023-07-17 17:00:00+00:00,38.22,38.23,38.1,38.1,1381.0,37.0,38.177274
BFS,2023-07-17 18:00:00+00:00,38.13,38.23,38.1,38.23,1584.0,21.0,38.164969
BFS,2023-07-17 19:00:00+00:00,38.0391,38.1,37.92,37.92,7420.0,208.0,38.003084
BFS,2023-07-17 20:00:00+00:00,37.97,37.97,37.97,37.97,4788.0,4.0,37.97
BFS,2023-07-18 13:00:00+00:00,37.91,37.91,37.25,37.25,1097.0,12.0,37.63629
BFS,2023-07-18 14:00:00+00:00,38.115,38.115,37.87,37.87,532.0,13.0,37.916523
BFS,2023-07-18 15:00:00+00:00,37.86,37.86,37.68,37.68,1861.0,54.0,37.750043
BFS,2023-07-18 16:00:00+00:00,37.55,37.69,37.55,37.69,708.0,25.0,37.636102
BFS,2023-07-18 17:00:00+00:00,37.805,37.805,37.805,37.805,100.0,1.0,37.805
BFS,2023-07-18 18:00:00+00:00,37.77,37.98,37.77,37.91,2354.0,69.0,37.914687
BFS,2023-07-18 19:00:00+00:00,37.98,38.26,37.93,38.21,18393.0,347.0,38.089114
BFS,2023-07-18 20:00:00+00:00,38.16,38.16,38.16,38.16,6292.0,2.0,38.16
BFS,2023-07-19 13:00:00+00:00,38.16,38.49,38.16,38.45,1209.0,26.0,38.369849
BFS,2023-07-19 14:00:00+00:00,38.18,38.36,38.18,38.36,397.0,14.0,38.280428
BFS,2023-07-19 15:00:00+00:00,38.28,38.28,38.28,38.28,291.0,14.0,38.283711
BFS,2023-07-19 16:00:00+00:00,38.35,38.36,38.25,38.35,1978.0,63.0,38.325223
BFS,2023-07-19 17:00:00+00:00,38.33,38.33,38.22,38.26,1214.0,27.0,38.268492
BFS,2023-07-19 18:00:00+00:00,38.25,38.29,38.08,38.28,821.0,30.0,38.226139
BFS,2023-07-19 19:00:00+00:00,38.26,38.28,38.17,38.22,13255.0,321.0,38.239385
BFS,2023-07-19 20:00:00+00:00,38.23,38.23,38.23,38.23,4207.0,6.0,38.23
BFS,2023-07-20 13:00:00+00:00,38.25,38.25,37.985,38.01,433.0,10.0,38.075935
BFS,2023-07-20 14:00:00+00:00,38.0908,38.24,38.085,38.13,978.0,47.0,38.150002
BFS,2023-07-20 15:00:00+00:00,38.13,38.145,38.08,38.08,529.0,17.0,38.118488
BFS,2023-07-20 16:00:00+00:00,38.08,38.08,37.92,38.0,3340.0,115.0,38.018639
BFS,2023-07-20 17:00:00+00:00,37.821,37.821,37.821,37.821,509.0,3.0,37.821462
BFS,2023-07-20 18:00:00+00:00,37.89,37.93,37.87,37.9,896.0,29.0,37.890692
