symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BIIB,2023-07-17 11:00:00+00:00,278.0,278.0,278.0,278.0,125.0,3.0,278.184
BIIB,2023-07-17 13:00:00+00:00,279.9,280.21,276.22,279.75,159769.0,3483.0,278.414237
BIIB,2023-07-17 14:00:00+00:00,279.83,280.4901,278.19,279.0474,184298.0,5633.0,279.227779
BIIB,2023-07-17 15:00:00+00:00,279.03,279.48,277.9,279.475,130513.0,4213.0,278.470077
BIIB,2023-07-17 16:00:00+00:00,279.34,280.1,278.89,279.665,88023.0,2774.0,279.360919
BIIB,2023-07-17 17:00:00+00:00,279.57,279.92,278.32,278.49,114343.0,3479.0,278.833937
BIIB,2023-07-17 18:00:00+00:00,278.57,279.83,278.52,278.995,110177.0,3373.0,279.346474
BIIB,2023-07-17 19:00:00+00:00,279.05,279.34,278.25,278.37,232098.0,7112.0,278.849318
BIIB,2023-07-17 20:00:00+00:00,278.4,278.4,278.4,278.4,95471.0,41.0,278.4
BIIB,2023-07-17 22:00:00+00:00,280.57,280.57,280.57,280.57,208.0,1.0,280.57
BIIB,2023-07-18 13:00:00+00:00,278.4,281.12,277.44,280.24,68356.0,1540.0,279.316242
BIIB,2023-07-18 14:00:00+00:00,280.35,280.35,278.39,278.75,112621.0,3613.0,279.076821
BIIB,2023-07-18 15:00:00+00:00,278.58,279.09,277.0,277.39,116421.0,3579.0,278.207989
BIIB,2023-07-18 16:00:00+00:00,277.4507,277.4507,276.09,276.76,60770.0,2647.0,276.550951
BIIB,2023-07-18 17:00:00+00:00,276.77,277.14,276.17,276.565,56493.0,2167.0,276.685524
BIIB,2023-07-18 18:00:00+00:00,276.54,276.795,275.765,276.44,167182.0,4275.0,276.222797
BIIB,2023-07-18 19:00:00+00:00,276.41,276.6768,275.86,276.07,277804.0,8727.0,276.227078
BIIB,2023-07-18 20:00:00+00:00,276.06,276.17,276.06,276.17,146064.0,57.0,276.169935
BIIB,2023-07-19 12:00:00+00:00,276.05,276.05,276.05,276.05,655.0,3.0,276.05
BIIB,2023-07-19 13:00:00+00:00,276.18,278.95,275.835,277.08,85859.0,2427.0,276.954154
BIIB,2023-07-19 14:00:00+00:00,277.15,277.3199,276.31,276.63,80552.0,2995.0,276.811923
BIIB,2023-07-19 15:00:00+00:00,276.5901,277.1664,276.25,276.63,77480.0,2759.0,276.69228
BIIB,2023-07-19 16:00:00+00:00,276.63,276.8,276.12,276.76,74231.0,3129.0,276.456236
BIIB,2023-07-19 17:00:00+00:00,276.72,277.71,276.34,277.06,90146.0,3479.0,276.851404
BIIB,2023-07-19 18:00:00+00:00,277.175,277.34,276.5,276.8,98957.0,3585.0,276.825061
BIIB,2023-07-19 19:00:00+00:00,276.75,277.855,276.27,277.04,276242.0,7755.0,277.103558
BIIB,2023-07-19 20:00:00+00:00,276.89,276.9,276.89,276.9,114753.0,67.0,276.890098
BIIB,2023-07-19 21:00:00+00:00,276.89,276.89,276.89,276.89,977.0,1.0,276.89
BIIB,2023-07-19 22:00:00+00:00,276.1165,276.1165,276.1165,276.1165,170.0,1.0,276.1165
BIIB,2023-07-20 12:00:00+00:00,276.0415,276.0415,276.0415,276.0415,201.0,2.0,276.140515
BIIB,2023-07-20 13:00:00+00:00,278.16,278.61,276.12,276.245,83746.0,1775.0,277.695544
BIIB,2023-07-20 14:00:00+00:00,276.31,277.08,275.45,276.025,237313.0,5503.0,276.065752
BIIB,2023-07-20 15:00:00+00:00,276.025,279.9,274.76,275.255,269657.0,6383.0,275.95252
BIIB,2023-07-20 16:00:00+00:00,275.285,275.95,274.2,274.72,121990.0,3838.0,274.793163
BIIB,2023-07-20 17:00:00+00:00,274.69,275.3,274.315,274.89,123428.0,3279.0,274.842741
BIIB,2023-07-20 18:00:00+00:00,274.92,275.18,273.47,275.18,174739.0,4690.0,274.338125
BIIB,2023-07-20 19:00:00+00:00,275.21,275.31,273.96,274.69,322123.0,9193.0,274.651216
BIIB,2023-07-20 20:00:00+00:00,274.7,274.8,274.7,274.7,152123.0,56.0,274.700077
BIIB,2023-07-20 21:00:00+00:00,275.16,275.16,275.16,275.16,200.0,3.0,275.155
BIIB,2023-07-20 22:00:00+00:00,275.44,275.44,275.44,275.44,138.0,2.0,275.44
BIIB,2023-07-20 23:00:00+00:00,275.0,275.0,275.0,275.0,420.0,6.0,275.076476
BIIB,2023-07-21 12:00:00+00:00,276.0,276.0,276.0,276.0,150.0,1.0,276.0
BIIB,2023-07-21 13:00:00+00:00,276.1,276.43,274.33,275.39,123476.0,2091.0,275.468866
BIIB,2023-07-21 14:00:00+00:00,275.3,275.645,275.0,275.35,137650.0,4230.0,275.393466
BIIB,2023-07-21 15:00:00+00:00,275.44,276.865,275.3171,276.8,157684.0,4477.0,276.037414
BIIB,2023-07-21 16:00:00+00:00,276.845,277.5999,276.305,276.5,101574.0,3318.0,277.015965
BIIB,2023-07-21 17:00:00+00:00,276.482,277.37,276.482,277.15,88359.0,3097.0,277.039376
BIIB,2023-07-21 18:00:00+00:00,277.17,277.6284,276.83,277.015,112619.0,3897.0,277.249112
BIIB,2023-07-21 19:00:00+00:00,277.05,278.12,276.36,276.62,397839.0,11241.0,277.045229
BIIB,2023-07-21 20:00:00+00:00,276.55,277.9,276.55,276.74,1078031.0,76.0,276.739926
BIIB,2023-07-24 13:00:00+00:00,277.09,278.41,276.44,276.945,102875.0,2335.0,277.387034
BIIB,2023-07-24 14:00:00+00:00,277.12,277.435,275.9,277.07,144455.0,3834.0,276.73225
BIIB,2023-07-24 15:00:00+00:00,277.09,277.18,275.83,276.27,114709.0,3251.0,276.405951
BIIB,2023-07-24 16:00:00+00:00,276.38,276.77,275.7,276.31,83342.0,2541.0,276.253414
BIIB,2023-07-24 17:00:00+00:00,276.285,277.14,275.735,276.965,85785.0,2560.0,276.423726
BIIB,2023-07-24 18:00:00+00:00,277.05,277.235,276.455,276.77,86732.0,2593.0,276.826235
BIIB,2023-07-24 19:00:00+00:00,276.83,277.05,276.51,277.0,383245.0,8829.0,276.915248
BIIB,2023-07-24 20:00:00+00:00,277.0,277.0,277.0,277.0,136465.0,43.0,276.999982
BIIB,2023-07-24 23:00:00+00:00,276.9999,277.0,276.9999,277.0,200.0,2.0,276.99995
BIIB,2023-07-25 11:00:00+00:00,277.99,281.1,277.99,281.1,4520.0,119.0,280.325195
BIIB,2023-07-25 12:00:00+00:00,280.01,282.25,280.0,281.0,7046.0,154.0,281.198002
BIIB,2023-07-25 13:00:00+00:00,280.01,280.47,265.6,267.82,501779.0,8879.0,271.146852
BIIB,2023-07-25 14:00:00+00:00,268.01,270.0,264.63,265.5,434709.0,10319.0,266.876933
BIIB,2023-07-25 15:00:00+00:00,265.5,268.34,264.37,266.12,290747.0,6541.0,266.299881
BIIB,2023-07-25 16:00:00+00:00,266.375,267.54,265.7961,266.91,124474.0,3751.0,266.543444
BIIB,2023-07-25 17:00:00+00:00,267.13,267.76,265.33,267.06,202390.0,4903.0,266.564549
BIIB,2023-07-25 18:00:00+00:00,267.03,269.46,266.56,268.0501,183539.0,4825.0,268.181397
BIIB,2023-07-25 19:00:00+00:00,268.205,270.49,267.295,270.43,528956.0,11794.0,269.340343
BIIB,2023-07-25 20:00:00+00:00,270.42,270.45,267.2663,267.2663,179643.0,74.0,270.306623
BIIB,2023-07-25 22:00:00+00:00,269.0,269.0,269.0,269.0,920.0,5.0,269.005543
BIIB,2023-07-26 11:00:00+00:00,267.46,267.46,267.46,267.46,150.0,4.0,267.474133
BIIB,2023-07-26 12:00:00+00:00,270.88,270.88,270.88,270.88,158.0,6.0,269.825696
BIIB,2023-07-26 13:00:00+00:00,270.0,270.0,263.825,264.53,228518.0,3955.0,265.799288
BIIB,2023-07-26 14:00:00+00:00,264.615,265.9,263.41,265.775,229626.0,6270.0,264.693705
BIIB,2023-07-26 15:00:00+00:00,265.68,265.9,264.63,265.4,147109.0,3957.0,265.188398
BIIB,2023-07-26 16:00:00+00:00,265.41,265.73,264.02,264.35,135511.0,3830.0,264.712693
BIIB,2023-07-26 17:00:00+00:00,264.38,264.465,263.0875,263.26,159707.0,4768.0,263.64833
BIIB,2023-07-26 18:00:00+00:00,263.3,265.23,263.3,265.0,118343.0,3085.0,264.268227
BIIB,2023-07-26 19:00:00+00:00,264.88,265.395,263.92,265.29,332947.0,8804.0,264.930306
BIIB,2023-07-26 20:00:00+00:00,265.25,265.25,265.25,265.25,128276.0,59.0,265.25
BIIB,2023-07-26 21:00:00+00:00,265.5,265.5,265.5,265.5,2105.0,5.0,265.499287
BIIB,2023-07-26 22:00:00+00:00,264.13,264.13,264.13,264.13,109.0,1.0,264.13
BIIB,2023-07-27 12:00:00+00:00,265.7,265.7,265.7,265.7,1129.0,8.0,265.699159
BIIB,2023-07-27 13:00:00+00:00,265.7,267.02,264.92,265.01,58235.0,1597.0,265.981076
BIIB,2023-07-27 14:00:00+00:00,264.8,265.02,263.27,263.55,205505.0,4665.0,264.097072
BIIB,2023-07-27 15:00:00+00:00,263.61,265.05,263.22,264.335,128477.0,3519.0,264.20113
BIIB,2023-07-27 16:00:00+00:00,264.3489,266.25,264.14,265.93,102772.0,2745.0,265.184754
BIIB,2023-07-27 17:00:00+00:00,266.045,266.215,264.36,264.39,114404.0,2816.0,265.075818
BIIB,2023-07-27 18:00:00+00:00,264.46,264.85,263.56,263.56,78958.0,2779.0,264.177986
BIIB,2023-07-27 19:00:00+00:00,263.55,263.78,262.4,262.88,336556.0,8800.0,262.939507
BIIB,2023-07-27 20:00:00+00:00,262.88,262.88,262.79,262.79,203976.0,45.0,262.790092
BIIB,2023-07-27 21:00:00+00:00,263.8385,263.8385,263.8385,263.8385,130.0,1.0,263.8385
BIIB,2023-07-28 11:00:00+00:00,260.5,261.5,253.3,261.0,10060.0,354.0,258.705019
BIIB,2023-07-28 12:00:00+00:00,263.0,266.96,263.0,266.0,9878.0,155.0,264.347085
BIIB,2023-07-28 13:00:00+00:00,264.99,266.0,256.13,260.24,476202.0,6782.0,260.188406
BIIB,2023-07-28 14:00:00+00:00,260.8,264.55,260.02,263.8,430354.0,5938.0,262.119128
BIIB,2023-07-28 15:00:00+00:00,263.815,266.65,263.42,266.52,388944.0,5745.0,264.583582
BIIB,2023-07-28 16:00:00+00:00,266.46,268.255,266.0875,268.13,233262.0,4673.0,267.379645
BIIB,2023-07-28 17:00:00+00:00,268.035,268.035,266.0,266.085,414945.0,4547.0,266.68928
BIIB,2023-07-28 18:00:00+00:00,265.97,266.2,264.74,264.97,131254.0,3718.0,265.398625
BIIB,2023-07-28 19:00:00+00:00,265.05,265.83,264.41,265.11,618731.0,12485.0,265.055705
BIIB,2023-07-28 20:00:00+00:00,265.05,265.23,264.85,264.9,283302.0,69.0,265.229498
BIIB,2023-07-28 21:00:00+00:00,264.7,265.23,264.7,265.23,6102.0,4.0,265.21202
BIIB,2023-07-28 22:00:00+00:00,264.75,264.9,264.75,264.9,1201.0,7.0,264.85229
BIIB,2023-07-31 11:00:00+00:00,264.6,264.6,264.6,264.6,312.0,5.0,264.607917
BIIB,2023-07-31 12:00:00+00:00,265.5,265.5,265.42,265.42,957.0,12.0,265.447607
BIIB,2023-07-31 13:00:00+00:00,264.5,268.53,263.53,268.5,179649.0,3486.0,266.701439
BIIB,2023-07-31 14:00:00+00:00,268.39,273.46,268.39,271.4385,303163.0,8066.0,271.215433
BIIB,2023-07-31 15:00:00+00:00,271.235,271.46,268.77,269.57,118505.0,4090.0,270.032915
BIIB,2023-07-31 16:00:00+00:00,269.495,271.64,269.46,270.45,97030.0,3346.0,270.689284
BIIB,2023-07-31 17:00:00+00:00,270.21,270.4999,268.56,268.67,86378.0,2653.0,269.78128
BIIB,2023-07-31 18:00:00+00:00,268.63,269.51,268.45,269.28,85802.0,2817.0,268.856993
BIIB,2023-07-31 19:00:00+00:00,269.25,270.49,269.02,270.28,258916.0,7652.0,269.873927
BIIB,2023-07-31 20:00:00+00:00,270.19,270.8,270.19,270.8,232550.0,67.0,270.19262
BIIB,2023-07-31 22:00:00+00:00,269.51,269.51,269.51,269.51,100.0,1.0,269.51
BIIB,2023-08-01 13:00:00+00:00,269.66,269.71,266.49,268.21,64425.0,1568.0,268.006689
BIIB,2023-08-01 14:00:00+00:00,268.445,269.6,267.59,268.9501,137669.0,3887.0,268.381904
BIIB,2023-08-01 15:00:00+00:00,269.12,269.63,268.22,268.58,103782.0,2827.0,268.869616
BIIB,2023-08-01 16:00:00+00:00,268.61,268.78,267.83,268.63,66705.0,2068.0,268.412552
BIIB,2023-08-01 17:00:00+00:00,268.59,269.22,267.9,268.28,61838.0,2150.0,268.594969
BIIB,2023-08-01 18:00:00+00:00,268.24,268.49,267.735,267.84,70114.0,2440.0,268.191032
BIIB,2023-08-01 19:00:00+00:00,267.825,269.66,267.73,269.36,311675.0,7479.0,269.111209
BIIB,2023-08-01 20:00:00+00:00,269.3,269.3,269.3,269.3,219392.0,50.0,269.300017
BIIB,2023-08-01 22:00:00+00:00,267.13,267.13,267.13,267.13,237.0,1.0,267.13
BIIB,2023-08-02 13:00:00+00:00,269.15,272.59,269.15,270.46,114220.0,2164.0,270.742039
BIIB,2023-08-02 14:00:00+00:00,270.24,273.7,270.24,272.26,226893.0,5789.0,272.142552
BIIB,2023-08-02 15:00:00+00:00,272.19,275.21,272.03,275.21,155452.0,4780.0,274.045225
BIIB,2023-08-02 16:00:00+00:00,275.29,275.865,273.09,273.71,149281.0,4062.0,274.549762
BIIB,2023-08-02 17:00:00+00:00,273.7,273.7,270.585,270.97,95908.0,2731.0,271.963126
BIIB,2023-08-02 18:00:00+00:00,271.0573,271.61,270.7,271.14,59162.0,2097.0,271.100486
BIIB,2023-08-02 19:00:00+00:00,271.08,271.89,270.12,271.49,268572.0,7143.0,271.178739
BIIB,2023-08-02 20:00:00+00:00,271.56,275.02,271.56,272.25,186333.0,66.0,271.582324
BIIB,2023-08-02 21:00:00+00:00,271.56,271.56,271.56,271.56,8291.0,1.0,271.56
BIIB,2023-08-03 12:00:00+00:00,272.89,272.89,272.89,272.89,198.0,3.0,272.903889
BIIB,2023-08-03 13:00:00+00:00,270.82,271.6,267.585,268.51,41844.0,1145.0,269.287623
BIIB,2023-08-03 14:00:00+00:00,268.05,268.405,266.7815,268.405,130076.0,3774.0,267.487056
BIIB,2023-08-03 15:00:00+00:00,268.24,268.63,267.045,267.79,87844.0,3312.0,267.684392
BIIB,2023-08-03 16:00:00+00:00,267.7794,268.83,267.41,268.78,72058.0,2055.0,268.126361
BIIB,2023-08-03 17:00:00+00:00,268.76,269.89,268.61,269.47,70100.0,2191.0,269.32954
BIIB,2023-08-03 18:00:00+00:00,269.6,269.88,268.9,269.23,77908.0,2767.0,269.242049
BIIB,2023-08-03 19:00:00+00:00,269.265,269.73,267.59,267.7,344885.0,8268.0,268.548649
BIIB,2023-08-03 20:00:00+00:00,267.75,267.76,267.75,267.75,128219.0,48.0,267.750011
BIIB,2023-08-04 13:00:00+00:00,266.62,268.8,266.57,268.35,39065.0,960.0,267.699608
BIIB,2023-08-04 14:00:00+00:00,268.295,268.775,267.16,268.18,137567.0,3135.0,268.177092
BIIB,2023-08-04 15:00:00+00:00,268.16,268.4,267.04,268.4,92455.0,2956.0,267.538732
BIIB,2023-08-04 16:00:00+00:00,268.7,269.77,267.925,269.67,91717.0,2305.0,268.74101
BIIB,2023-08-04 17:00:00+00:00,269.75,269.935,268.63,268.74,39104.0,1521.0,269.404761
BIIB,2023-08-04 18:00:00+00:00,268.69,268.69,267.286,268.22,95542.0,2502.0,268.011069
BIIB,2023-08-04 19:00:00+00:00,268.15,269.33,267.72,268.99,230312.0,7076.0,268.535199
BIIB,2023-08-04 20:00:00+00:00,268.99,268.99,268.92,268.92,192487.0,55.0,268.92009
BIIB,2023-08-07 11:00:00+00:00,265.2,266.0,260.01,263.12,8152.0,201.0,263.334488
BIIB,2023-08-07 12:00:00+00:00,260.01,265.6004,260.01,263.0,6801.0,140.0,263.766349
BIIB,2023-08-07 13:00:00+00:00,263.65,268.7861,262.96,268.59,201976.0,3416.0,266.347168
BIIB,2023-08-07 14:00:00+00:00,268.345,268.65,266.84,268.455,164310.0,3531.0,267.867453
BIIB,2023-08-07 15:00:00+00:00,268.505,271.66,268.17,271.545,134393.0,3595.0,270.16653
BIIB,2023-08-07 16:00:00+00:00,271.66,271.755,270.04,270.185,116044.0,2827.0,270.818702
BIIB,2023-08-07 17:00:00+00:00,270.27,271.55,270.27,271.135,101646.0,2456.0,271.129751
