symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BIOX,2023-07-17 13:00:00+00:00,12.59,12.9597,12.45,12.9597,6253.0,62.0,12.690313
BIOX,2023-07-17 14:00:00+00:00,12.95,12.96,12.82,12.875,14568.0,173.0,12.898973
BIOX,2023-07-17 15:00:00+00:00,12.893,12.9597,12.8824,12.9,10479.0,130.0,12.910179
BIOX,2023-07-17 16:00:00+00:00,12.9,13.07,12.8828,12.99,12822.0,140.0,12.978076
BIOX,2023-07-17 17:00:00+00:00,12.9701,13.19,12.9684,13.09,22824.0,206.0,13.030561
BIOX,2023-07-17 18:00:00+00:00,13.09,13.3697,13.0201,13.3497,12835.0,202.0,13.177334
BIOX,2023-07-17 19:00:00+00:00,13.32,13.37,13.18,13.24,60143.0,874.0,13.267176
BIOX,2023-07-17 20:00:00+00:00,13.32,13.32,13.32,13.32,2535.0,2.0,13.32
BIOX,2023-07-18 13:00:00+00:00,13.5,13.64,13.42,13.42,12733.0,45.0,13.526887
BIOX,2023-07-18 14:00:00+00:00,13.49,13.55,13.04,13.13,7301.0,123.0,13.276009
BIOX,2023-07-18 15:00:00+00:00,13.16,13.302,13.095,13.14,10848.0,173.0,13.176261
BIOX,2023-07-18 16:00:00+00:00,13.2,13.2,13.0,13.0,10351.0,122.0,13.077458
BIOX,2023-07-18 17:00:00+00:00,13.02,13.25,13.0,13.16,7304.0,102.0,13.106513
BIOX,2023-07-18 18:00:00+00:00,13.17,13.171,13.02,13.03,3164.0,52.0,13.086909
BIOX,2023-07-18 19:00:00+00:00,13.04,13.23,13.0241,13.105,13328.0,258.0,13.13868
BIOX,2023-07-18 20:00:00+00:00,13.09,13.09,13.09,13.09,986.0,2.0,13.09
BIOX,2023-07-19 13:00:00+00:00,13.31,13.48,13.26,13.36,3873.0,17.0,13.343395
BIOX,2023-07-19 14:00:00+00:00,13.35,13.42,13.35,13.365,2873.0,17.0,13.359441
BIOX,2023-07-19 15:00:00+00:00,13.31,13.35,13.205,13.28,5390.0,105.0,13.260992
BIOX,2023-07-19 16:00:00+00:00,13.27,13.27,13.0301,13.125,6374.0,115.0,13.158732
BIOX,2023-07-19 17:00:00+00:00,13.12,13.28,13.1,13.13,9569.0,167.0,13.169765
BIOX,2023-07-19 18:00:00+00:00,13.25,13.25,13.08,13.08,1640.0,32.0,13.170802
BIOX,2023-07-19 19:00:00+00:00,13.065,13.13,13.05,13.07,9543.0,180.0,13.071992
BIOX,2023-07-19 20:00:00+00:00,13.06,13.06,13.06,13.06,837.0,1.0,13.06
BIOX,2023-07-20 13:00:00+00:00,13.07,13.23,13.07,13.18,2424.0,37.0,13.174451
BIOX,2023-07-20 14:00:00+00:00,13.18,13.22,13.08,13.09,4395.0,67.0,13.095791
BIOX,2023-07-20 15:00:00+00:00,13.09,13.1,13.07,13.07,5888.0,80.0,13.088755
BIOX,2023-07-20 16:00:00+00:00,13.07,13.07,12.96,12.96,4237.0,45.0,13.031656
BIOX,2023-07-20 17:00:00+00:00,12.96,13.085,12.96,13.0327,3405.0,41.0,13.020259
