symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BIO,2023-07-17 13:00:00+00:00,397.21,397.7599,389.86,389.88,5618.0,226.0,392.620866
BIO,2023-07-17 14:00:00+00:00,391.67,392.9,387.43,388.97,20658.0,807.0,390.317817
BIO,2023-07-17 15:00:00+00:00,389.07,395.225,388.47,394.61,23761.0,1033.0,391.821663
BIO,2023-07-17 16:00:00+00:00,394.465,395.27,389.04,390.0,14872.0,628.0,391.92814
BIO,2023-07-17 17:00:00+00:00,389.865,390.98,389.71,390.845,6415.0,269.0,390.335792
BIO,2023-07-17 18:00:00+00:00,390.66,392.6,389.985,390.74,21777.0,942.0,390.818929
BIO,2023-07-17 19:00:00+00:00,390.3225,391.18,387.25,387.68,76793.0,2896.0,389.062134
BIO,2023-07-17 20:00:00+00:00,387.71,387.71,387.71,387.71,20828.0,31.0,387.709822
BIO,2023-07-18 13:00:00+00:00,390.3,390.3,386.36,389.61,4845.0,133.0,388.684483
BIO,2023-07-18 14:00:00+00:00,393.04,393.05,387.76,388.4,19936.0,937.0,389.29583
BIO,2023-07-18 15:00:00+00:00,388.0,388.305,385.04,386.44,24785.0,1007.0,386.650177
BIO,2023-07-18 16:00:00+00:00,387.045,387.045,379.395,382.59,20019.0,796.0,382.83776
BIO,2023-07-18 17:00:00+00:00,383.34,384.4784,382.31,382.57,23035.0,863.0,383.270842
BIO,2023-07-18 18:00:00+00:00,382.18,383.345,381.73,382.75,19990.0,751.0,382.399796
BIO,2023-07-18 19:00:00+00:00,382.745,385.1,382.15,384.61,81122.0,3183.0,383.873567
BIO,2023-07-18 20:00:00+00:00,384.61,384.61,384.61,384.61,37086.0,24.0,384.609779
BIO,2023-07-19 13:00:00+00:00,386.85,391.87,386.33,390.4,43276.0,965.0,389.148812
BIO,2023-07-19 14:00:00+00:00,390.385,392.825,385.35,392.79,90159.0,2602.0,388.596568
BIO,2023-07-19 15:00:00+00:00,392.79,393.19,390.42,390.94,26227.0,948.0,391.482184
BIO,2023-07-19 16:00:00+00:00,390.97,391.03,388.81,389.225,27986.0,1119.0,389.532076
BIO,2023-07-19 17:00:00+00:00,389.12,392.45,387.84,392.45,78752.0,1788.0,389.228397
BIO,2023-07-19 18:00:00+00:00,391.74,393.735,391.66,393.735,3232.0,255.0,392.820619
BIO,2023-07-19 19:00:00+00:00,393.57,397.3199,393.1,396.84,44215.0,2172.0,395.82901
BIO,2023-07-19 20:00:00+00:00,397.21,397.21,397.07,397.07,23839.0,35.0,397.07121
BIO,2023-07-20 13:00:00+00:00,398.63,399.61,395.32,395.5,23868.0,549.0,396.952741
BIO,2023-07-20 14:00:00+00:00,397.61,398.26,394.615,394.615,8563.0,433.0,396.639401
BIO,2023-07-20 15:00:00+00:00,395.82,399.4549,395.82,399.4549,6519.0,341.0,397.276244
BIO,2023-07-20 16:00:00+00:00,400.4478,401.4,399.11,399.47,6533.0,287.0,400.349848
