symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BIRK,2023-10-11 17:00:00+00:00,41.0,42.505,40.34,41.36,7482110.0,48930.0,41.121654
BIRK,2023-10-11 18:00:00+00:00,41.37,41.7599,40.35,40.54,3036090.0,31319.0,40.996038
BIRK,2023-10-11 19:00:00+00:00,40.53,40.89,40.04,40.215,4783643.0,61139.0,40.404899
BIRK,2023-10-11 20:00:00+00:00,40.06,40.25,39.5,40.1,324812.0,951.0,40.126639
BIRK,2023-10-11 21:00:00+00:00,40.12,40.2,40.0,40.05,7093.0,70.0,40.076926
BIRK,2023-10-11 22:00:00+00:00,40.05,40.2,39.6,39.6,11118.0,114.0,39.746415
BIRK,2023-10-11 23:00:00+00:00,40.2,40.2,39.55,39.74,6360.0,79.0,39.611302
BIRK,2023-10-12 08:00:00+00:00,40.02,40.4,40.02,40.39,6475.0,73.0,40.258269
BIRK,2023-10-12 09:00:00+00:00,40.38,40.5,40.3,40.5,6698.0,78.0,40.411663
BIRK,2023-10-12 10:00:00+00:00,40.5,40.68,40.5,40.68,3493.0,43.0,40.579267
BIRK,2023-10-12 11:00:00+00:00,40.6,40.65,40.3,40.5,34446.0,368.0,40.437448
BIRK,2023-10-12 12:00:00+00:00,40.3603,40.75,40.23,40.35,60259.0,683.0,40.54573
BIRK,2023-10-12 13:00:00+00:00,40.4,40.41,38.75,38.885,2781512.0,24657.0,39.731227
BIRK,2023-10-12 14:00:00+00:00,38.885,39.325,38.5753,38.8074,1113921.0,15982.0,38.852757
BIRK,2023-10-12 15:00:00+00:00,38.84,39.2915,38.25,38.4501,980785.0,13174.0,38.607354
BIRK,2023-10-12 16:00:00+00:00,38.475,38.88,38.28,38.515,429315.0,8816.0,38.445122
BIRK,2023-10-12 17:00:00+00:00,38.5,38.64,37.99,38.0,1102423.0,12489.0,38.12299
BIRK,2023-10-12 18:00:00+00:00,38.0013,38.06,37.3,37.785,1021787.0,14396.0,37.664505
BIRK,2023-10-12 19:00:00+00:00,37.81,38.06,37.51,37.56,995622.0,18735.0,37.788597
