symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BLFS,2023-07-17 13:00:00+00:00,19.46,19.97,19.41,19.83,16516.0,243.0,19.639212
BLFS,2023-07-17 14:00:00+00:00,19.885,20.01,19.64,19.7202,24274.0,590.0,19.780273
BLFS,2023-07-17 15:00:00+00:00,19.72,20.13,19.7,20.08,28196.0,758.0,19.871503
BLFS,2023-07-17 16:00:00+00:00,20.14,20.31,20.1,20.18,27990.0,557.0,20.187823
BLFS,2023-07-17 17:00:00+00:00,20.19,20.19,20.01,20.04,32435.0,790.0,20.087833
BLFS,2023-07-17 18:00:00+00:00,20.05,20.3,20.05,20.29,31458.0,829.0,20.160733
BLFS,2023-07-17 19:00:00+00:00,20.3,20.3,20.015,20.16,64150.0,1783.0,20.133051
BLFS,2023-07-17 20:00:00+00:00,20.17,20.17,20.17,20.17,33104.0,9.0,20.17
BLFS,2023-07-18 13:00:00+00:00,20.17,20.59,20.17,20.4,12641.0,224.0,20.324905
BLFS,2023-07-18 14:00:00+00:00,20.415,20.42,20.02,20.3,32060.0,851.0,20.190786
BLFS,2023-07-18 15:00:00+00:00,20.3,20.3,20.0,20.265,26190.0,780.0,20.142693
BLFS,2023-07-18 16:00:00+00:00,20.3,20.3,20.015,20.15,21402.0,723.0,20.119258
BLFS,2023-07-18 17:00:00+00:00,20.16,20.2,20.0,20.05,30577.0,834.0,20.094234
BLFS,2023-07-18 18:00:00+00:00,20.04,20.23,20.02,20.18,11125.0,515.0,20.144893
BLFS,2023-07-18 19:00:00+00:00,20.2,20.4,20.15,20.34,61347.0,1662.0,20.290316
BLFS,2023-07-18 20:00:00+00:00,20.35,20.35,20.35,20.35,34267.0,13.0,20.35
BLFS,2023-07-18 22:00:00+00:00,20.15,20.15,20.15,20.15,300.0,1.0,20.15
BLFS,2023-07-19 12:00:00+00:00,20.65,20.65,20.65,20.65,350.0,1.0,20.65
BLFS,2023-07-19 13:00:00+00:00,20.44,20.94,20.44,20.81,7592.0,110.0,20.683843
BLFS,2023-07-19 14:00:00+00:00,20.95,21.08,20.705,20.9103,21680.0,531.0,20.9088
BLFS,2023-07-19 15:00:00+00:00,20.84,20.94,20.64,20.79,15260.0,353.0,20.767441
BLFS,2023-07-19 16:00:00+00:00,20.72,20.79,20.325,20.34,23543.0,612.0,20.595899
BLFS,2023-07-19 17:00:00+00:00,20.37,20.475,20.31,20.43,15049.0,421.0,20.39714
BLFS,2023-07-19 18:00:00+00:00,20.43,20.48,20.28,20.3026,19170.0,508.0,20.379884
BLFS,2023-07-19 19:00:00+00:00,20.33,20.435,20.2,20.2,57731.0,1499.0,20.281345
BLFS,2023-07-19 20:00:00+00:00,20.23,20.23,20.23,20.23,33628.0,6.0,20.23
BLFS,2023-07-20 13:00:00+00:00,20.23,20.23,19.96,20.01,12447.0,142.0,20.061357
BLFS,2023-07-20 14:00:00+00:00,20.05,20.17,19.95,20.17,14081.0,349.0,20.042518
BLFS,2023-07-20 15:00:00+00:00,20.17,20.17,19.953,20.01,16251.0,386.0,20.043312
BLFS,2023-07-20 16:00:00+00:00,20.0,20.24,19.99,20.19,32859.0,570.0,20.068279
BLFS,2023-07-20 17:00:00+00:00,20.165,20.205,20.03,20.13,15442.0,466.0,20.110729
BLFS,2023-07-20 18:00:00+00:00,20.125,20.2,20.08,20.16,31485.0,642.0,20.130401
BLFS,2023-07-20 19:00:00+00:00,20.16,20.19,20.0,20.03,49235.0,1288.0,20.076507
BLFS,2023-07-20 20:00:00+00:00,20.03,20.03,20.03,20.03,23638.0,6.0,20.03
BLFS,2023-07-21 13:00:00+00:00,20.09,20.16,19.92,20.15,20675.0,110.0,20.07414
BLFS,2023-07-21 14:00:00+00:00,20.1,20.26,20.04,20.14,9083.0,332.0,20.16826
BLFS,2023-07-21 15:00:00+00:00,20.17,20.39,20.1,20.31,21189.0,579.0,20.283005
BLFS,2023-07-21 16:00:00+00:00,20.3,20.3,20.125,20.1634,11615.0,329.0,20.191756
BLFS,2023-07-21 17:00:00+00:00,20.175,20.38,20.175,20.38,7245.0,296.0,20.288082
BLFS,2023-07-21 18:00:00+00:00,20.39,20.395,20.19,20.2,14216.0,416.0,20.281392
BLFS,2023-07-21 19:00:00+00:00,20.2,20.2,19.98,20.08,103458.0,1762.0,20.067996
BLFS,2023-07-21 20:00:00+00:00,20.07,20.07,20.07,20.07,37715.0,8.0,20.07
BLFS,2023-07-24 11:00:00+00:00,20.07,20.07,20.07,20.07,100.0,1.0,20.07
BLFS,2023-07-24 13:00:00+00:00,20.03,20.08,19.85,19.97,6548.0,161.0,19.987993
BLFS,2023-07-24 14:00:00+00:00,19.915,19.92,19.7,19.8,26698.0,458.0,19.812772
BLFS,2023-07-24 15:00:00+00:00,19.81,19.95,19.79,19.815,11936.0,370.0,19.831119
BLFS,2023-07-24 16:00:00+00:00,19.79,19.8,19.49,19.58,13529.0,432.0,19.610198
BLFS,2023-07-24 17:00:00+00:00,19.62,19.68,19.5,19.54,17584.0,509.0,19.583168
BLFS,2023-07-24 18:00:00+00:00,19.5,19.53,19.35,19.35,24024.0,717.0,19.479645
BLFS,2023-07-24 19:00:00+00:00,19.34,19.56,19.3,19.56,60952.0,1655.0,19.452857
BLFS,2023-07-24 20:00:00+00:00,19.54,19.54,19.54,19.54,22224.0,13.0,19.54
BLFS,2023-07-25 12:00:00+00:00,19.1,19.11,19.1,19.11,360.0,9.0,19.145472
BLFS,2023-07-25 13:00:00+00:00,20.01,20.01,19.405,19.51,4809.0,100.0,19.494776
BLFS,2023-07-25 14:00:00+00:00,19.53,19.68,19.35,19.48,17691.0,538.0,19.516605
BLFS,2023-07-25 15:00:00+00:00,19.52,19.55,19.38,19.45,18669.0,659.0,19.423275
BLFS,2023-07-25 16:00:00+00:00,19.431,19.48,19.39,19.41,8448.0,223.0,19.433844
BLFS,2023-07-25 17:00:00+00:00,19.45,19.535,19.44,19.5042,9794.0,274.0,19.481689
BLFS,2023-07-25 18:00:00+00:00,19.5,19.54,19.47,19.47,10336.0,309.0,19.504886
BLFS,2023-07-25 19:00:00+00:00,19.51,19.51,19.39,19.4,46363.0,1165.0,19.416448
BLFS,2023-07-25 20:00:00+00:00,19.41,19.41,19.41,19.41,26448.0,5.0,19.41
BLFS,2023-07-26 13:00:00+00:00,19.0,19.58,19.0,19.43,5648.0,90.0,19.371375
BLFS,2023-07-26 14:00:00+00:00,19.53,19.59,19.33,19.34,26556.0,411.0,19.415389
BLFS,2023-07-26 15:00:00+00:00,19.3,19.44,19.11,19.32,141647.0,707.0,19.238354
BLFS,2023-07-26 16:00:00+00:00,19.41,19.61,19.3501,19.43,14027.0,341.0,19.485785
BLFS,2023-07-26 17:00:00+00:00,19.46,19.5,19.39,19.3901,12971.0,307.0,19.439313
BLFS,2023-07-26 18:00:00+00:00,19.38,19.6,19.38,19.5,31318.0,557.0,19.455289
BLFS,2023-07-26 19:00:00+00:00,19.5025,19.54,19.39,19.44,41162.0,1047.0,19.444925
BLFS,2023-07-26 20:00:00+00:00,19.44,19.44,19.44,19.44,30187.0,5.0,19.44
BLFS,2023-07-27 13:00:00+00:00,19.79,19.82,19.565,19.565,12117.0,105.0,19.766327
BLFS,2023-07-27 14:00:00+00:00,19.61,19.99,19.51,19.68,24084.0,530.0,19.794466
BLFS,2023-07-27 15:00:00+00:00,19.71,19.86,19.6898,19.7208,21796.0,536.0,19.764175
BLFS,2023-07-27 16:00:00+00:00,19.78,19.81,19.72,19.72,7588.0,234.0,19.761905
BLFS,2023-07-27 17:00:00+00:00,19.74,19.75,19.59,19.65,14643.0,392.0,19.647723
BLFS,2023-07-27 18:00:00+00:00,19.665,19.715,19.5425,19.58,23348.0,630.0,19.606383
BLFS,2023-07-27 19:00:00+00:00,19.56,19.64,19.49,19.55,61090.0,1301.0,19.554714
BLFS,2023-07-27 20:00:00+00:00,19.56,19.56,19.56,19.56,28632.0,9.0,19.56
BLFS,2023-07-28 13:00:00+00:00,19.76,20.13,19.76,19.89,8672.0,180.0,19.970041
BLFS,2023-07-28 14:00:00+00:00,19.87,19.95,19.7502,19.89,9850.0,358.0,19.866091
BLFS,2023-07-28 15:00:00+00:00,19.91,20.1,19.89,20.04,15757.0,365.0,19.959666
BLFS,2023-07-28 16:00:00+00:00,20.12,20.14,19.85,20.065,29138.0,588.0,20.019846
BLFS,2023-07-28 17:00:00+00:00,20.04,20.11,19.96,19.96,6020.0,232.0,20.01986
BLFS,2023-07-28 18:00:00+00:00,19.96,20.02,19.9101,19.95,12016.0,346.0,19.966387
BLFS,2023-07-28 19:00:00+00:00,19.93,19.93,19.7,19.73,26122.0,903.0,19.779815
BLFS,2023-07-28 20:00:00+00:00,19.74,19.74,19.74,19.74,24183.0,13.0,19.74
BLFS,2023-07-31 13:00:00+00:00,19.75,20.19,19.75,19.9288,10186.0,134.0,19.915455
BLFS,2023-07-31 14:00:00+00:00,19.82,20.02,19.79,19.94,9927.0,329.0,19.896101
BLFS,2023-07-31 15:00:00+00:00,19.97,20.24,19.94,20.15,12340.0,324.0,20.118874
BLFS,2023-07-31 16:00:00+00:00,20.135,20.166,19.86,19.91,13633.0,361.0,20.011144
BLFS,2023-07-31 17:00:00+00:00,19.91,19.91,19.75,19.78,15361.0,378.0,19.830154
BLFS,2023-07-31 18:00:00+00:00,19.805,19.8863,19.75,19.8863,8524.0,215.0,19.791559
BLFS,2023-07-31 19:00:00+00:00,19.86,19.88,19.74,19.88,48269.0,1191.0,19.813216
BLFS,2023-07-31 20:00:00+00:00,19.88,19.88,19.88,19.88,43639.0,15.0,19.88
BLFS,2023-08-01 13:00:00+00:00,19.67,19.67,19.3,19.4,11005.0,180.0,19.48474
BLFS,2023-08-01 14:00:00+00:00,19.43,19.45,19.115,19.19,37249.0,637.0,19.245892
BLFS,2023-08-01 15:00:00+00:00,19.215,19.215,19.11,19.165,13851.0,321.0,19.163434
BLFS,2023-08-01 16:00:00+00:00,19.165,19.25,19.02,19.185,14604.0,353.0,19.079539
BLFS,2023-08-01 17:00:00+00:00,19.185,19.27,19.18,19.21,7617.0,156.0,19.210761
BLFS,2023-08-01 18:00:00+00:00,19.21,19.28,19.17,19.205,12658.0,309.0,19.218374
BLFS,2023-08-01 19:00:00+00:00,19.2,19.41,19.11,19.33,42626.0,1146.0,19.283408
BLFS,2023-08-01 20:00:00+00:00,19.34,19.34,19.34,19.34,29414.0,8.0,19.34
