symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BNS,2023-07-17 12:00:00+00:00,49.3,49.3,49.3,49.3,318.0,3.0,49.3
BNS,2023-07-17 13:00:00+00:00,49.828,49.828,49.29,49.63,83820.0,936.0,49.474038
BNS,2023-07-17 14:00:00+00:00,49.63,49.675,49.49,49.59,101405.0,1360.0,49.58724
BNS,2023-07-17 15:00:00+00:00,49.57,49.605,49.47,49.535,63700.0,777.0,49.534812
BNS,2023-07-17 16:00:00+00:00,49.53,49.635,49.53,49.59,57420.0,783.0,49.603761
BNS,2023-07-17 17:00:00+00:00,49.59,49.67,49.585,49.64,37278.0,571.0,49.636188
BNS,2023-07-17 18:00:00+00:00,49.645,49.67,49.585,49.625,43025.0,804.0,49.636267
BNS,2023-07-17 19:00:00+00:00,49.64,49.715,49.575,49.685,149681.0,2191.0,49.656321
BNS,2023-07-17 20:00:00+00:00,49.69,49.69,49.69,49.69,81895.0,7.0,49.69
BNS,2023-07-17 21:00:00+00:00,49.8,49.8,49.8,49.8,500.0,1.0,49.8
BNS,2023-07-18 13:00:00+00:00,49.8,49.84,49.4624,49.83,117724.0,1186.0,49.731805
BNS,2023-07-18 14:00:00+00:00,49.83,49.93,49.795,49.87,189183.0,2031.0,49.862097
BNS,2023-07-18 15:00:00+00:00,49.885,50.01,49.885,49.95,127263.0,1452.0,49.954638
BNS,2023-07-18 16:00:00+00:00,49.9499,50.08,49.92,49.985,123707.0,1360.0,49.995144
BNS,2023-07-18 17:00:00+00:00,50.0,50.195,49.99,50.19,96024.0,1259.0,50.123412
BNS,2023-07-18 18:00:00+00:00,50.195,50.255,50.175,50.2335,111478.0,1411.0,50.214447
BNS,2023-07-18 19:00:00+00:00,50.235,50.34,50.1621,50.34,333512.0,3847.0,50.24771
BNS,2023-07-18 20:00:00+00:00,50.33,50.33,50.05,50.05,44840.0,4.0,50.329376
BNS,2023-07-19 11:00:00+00:00,50.33,50.33,50.33,50.33,207.0,4.0,50.330338
BNS,2023-07-19 13:00:00+00:00,50.31,50.77,50.31,50.76,231008.0,2230.0,50.582757
BNS,2023-07-19 14:00:00+00:00,50.75,50.79,50.64,50.7,326370.0,3076.0,50.70456
BNS,2023-07-19 15:00:00+00:00,50.7,50.76,50.66,50.73,131253.0,1611.0,50.710863
BNS,2023-07-19 16:00:00+00:00,50.745,50.83,50.66,50.815,95161.0,1273.0,50.727194
BNS,2023-07-19 17:00:00+00:00,50.82,50.95,50.79,50.89,88468.0,1254.0,50.883905
BNS,2023-07-19 18:00:00+00:00,50.89,50.9499,50.815,50.94,149344.0,1875.0,50.8891
BNS,2023-07-19 19:00:00+00:00,50.94,50.955,50.85,50.91,454270.0,4094.0,50.896213
BNS,2023-07-19 20:00:00+00:00,50.915,51.2,50.908392,50.94,70024.0,45.0,50.931064
BNS,2023-07-19 21:00:00+00:00,50.74,50.74,50.74,50.74,265.0,1.0,50.74
BNS,2023-07-20 13:00:00+00:00,50.7403,51.01,50.74,50.965,97472.0,1102.0,50.957984
BNS,2023-07-20 14:00:00+00:00,50.97,50.975,50.77,50.8646,148209.0,1616.0,50.852199
BNS,2023-07-20 15:00:00+00:00,50.87,50.9,50.76,50.81,101888.0,1192.0,50.808469
BNS,2023-07-20 16:00:00+00:00,50.83,50.87,50.8,50.825,84751.0,957.0,50.832484
BNS,2023-07-20 17:00:00+00:00,50.83,50.935,50.8,50.8582,62168.0,883.0,50.871918
BNS,2023-07-20 18:00:00+00:00,50.85,50.985,50.835,50.95,90557.0,1309.0,50.902125
BNS,2023-07-20 19:00:00+00:00,50.96,51.03,50.865,50.99,519505.0,4527.0,50.969504
BNS,2023-07-20 20:00:00+00:00,51.0,51.01,51.0,51.01,1149803.0,9.0,51.009998
BNS,2023-07-21 13:00:00+00:00,51.11,51.22,50.78,50.85,105094.0,1055.0,50.86769
BNS,2023-07-21 14:00:00+00:00,50.84,50.94,50.8213,50.885,84822.0,1233.0,50.876062
BNS,2023-07-21 15:00:00+00:00,50.89,50.94,50.815,50.87,92260.0,1128.0,50.874041
BNS,2023-07-21 16:00:00+00:00,50.87,50.88,50.805,50.84,53118.0,824.0,50.845536
BNS,2023-07-21 17:00:00+00:00,50.84,50.92,50.83,50.92,62430.0,774.0,50.867137
BNS,2023-07-21 18:00:00+00:00,50.93,50.97,50.8925,50.93,127582.0,1262.0,50.931124
BNS,2023-07-21 19:00:00+00:00,50.93,50.95,50.85,50.85,332167.0,3250.0,50.898951
BNS,2023-07-21 20:00:00+00:00,50.88,50.88,50.87,50.87,433263.0,7.0,50.870002
BNS,2023-07-24 12:00:00+00:00,51.01,51.02,50.97,50.97,2218.0,10.0,51.00757
BNS,2023-07-24 13:00:00+00:00,50.97,51.0,50.675,50.915,133205.0,1298.0,50.880271
BNS,2023-07-24 14:00:00+00:00,50.91,51.199,50.9,51.15,240149.0,2664.0,51.057025
BNS,2023-07-24 15:00:00+00:00,51.16,51.27,51.11,51.215,242003.0,2577.0,51.181159
BNS,2023-07-24 16:00:00+00:00,51.21,51.35,51.2,51.335,174825.0,1710.0,51.286059
BNS,2023-07-24 17:00:00+00:00,51.34,51.355,51.18,51.18,143621.0,1392.0,51.288854
BNS,2023-07-24 18:00:00+00:00,51.19,51.205,51.02,51.03,130646.0,1602.0,51.105841
BNS,2023-07-24 19:00:00+00:00,51.035,51.05,50.9,50.95,317681.0,3238.0,50.958188
BNS,2023-07-24 20:00:00+00:00,50.95,50.95,50.95,50.95,204420.0,7.0,50.95
BNS,2023-07-25 13:00:00+00:00,51.23,51.23,50.44,50.48,121700.0,1057.0,50.743201
BNS,2023-07-25 14:00:00+00:00,50.48,50.485,50.27,50.325,276427.0,3078.0,50.356957
BNS,2023-07-25 15:00:00+00:00,50.33,50.34,50.095,50.185,138344.0,1539.0,50.187963
BNS,2023-07-25 16:00:00+00:00,50.19,50.25,50.14,50.155,105299.0,1290.0,50.191757
BNS,2023-07-25 17:00:00+00:00,50.155,50.18,49.89,49.89,215794.0,2280.0,50.018363
BNS,2023-07-25 18:00:00+00:00,49.885,49.885,49.59,49.71,415547.0,3888.0,49.737963
BNS,2023-07-25 19:00:00+00:00,49.71,49.74,49.51,49.62,710372.0,5954.0,49.601847
BNS,2023-07-25 20:00:00+00:00,49.62,49.62,49.62,49.62,500620.0,10.0,49.62
BNS,2023-07-26 13:00:00+00:00,49.44,49.81,49.32,49.68,187187.0,1533.0,49.578081
BNS,2023-07-26 14:00:00+00:00,49.67,49.91,49.63,49.78,153488.0,1648.0,49.753747
BNS,2023-07-26 15:00:00+00:00,49.795,49.87,49.715,49.87,113562.0,1303.0,49.789665
BNS,2023-07-26 16:00:00+00:00,49.865,49.92,49.72,49.775,175380.0,1655.0,49.835626
BNS,2023-07-26 17:00:00+00:00,49.775,49.79,49.65,49.6889,165333.0,1509.0,49.720156
BNS,2023-07-26 18:00:00+00:00,49.7,50.03,49.68,49.99,142061.0,1452.0,49.854532
BNS,2023-07-26 19:00:00+00:00,49.99,49.995,49.715,49.77,480058.0,4006.0,49.802176
BNS,2023-07-26 20:00:00+00:00,49.77,49.92,49.77,49.92,121449.0,9.0,49.770207
BNS,2023-07-27 12:00:00+00:00,50.0,50.0,50.0,50.0,1500.0,3.0,50.0
BNS,2023-07-27 13:00:00+00:00,50.0,50.24,49.945,50.24,120259.0,1226.0,50.149931
BNS,2023-07-27 14:00:00+00:00,50.25,50.3519,50.14,50.195,180831.0,2071.0,50.275292
BNS,2023-07-27 15:00:00+00:00,50.195,50.29,50.17,50.21,155125.0,1608.0,50.223008
BNS,2023-07-27 16:00:00+00:00,50.2,50.2,50.1194,50.165,62875.0,731.0,50.159768
BNS,2023-07-27 17:00:00+00:00,50.1929,50.2,49.99,50.05,203943.0,2108.0,50.045289
BNS,2023-07-27 18:00:00+00:00,50.0486,50.0486,49.71,49.72,151663.0,1566.0,49.855944
BNS,2023-07-27 19:00:00+00:00,49.72,49.77,49.6306,49.73,315969.0,3186.0,49.701708
BNS,2023-07-27 20:00:00+00:00,49.73,49.98,49.73,49.98,1000352.0,13.0,49.73005
BNS,2023-07-28 09:00:00+00:00,49.97,49.97,49.97,49.97,500.0,1.0,49.97
BNS,2023-07-28 10:00:00+00:00,49.95,49.95,49.95,49.95,600.0,2.0,49.95
BNS,2023-07-28 11:00:00+00:00,50.15,50.15,50.12,50.12,528.0,4.0,50.14267
BNS,2023-07-28 12:00:00+00:00,50.14,50.23,50.14,50.23,920.0,7.0,50.215555
BNS,2023-07-28 13:00:00+00:00,50.15,50.32,49.92,50.07,91965.0,1018.0,50.105837
BNS,2023-07-28 14:00:00+00:00,50.09,50.2,50.05,50.12,111983.0,1680.0,50.133772
BNS,2023-07-28 15:00:00+00:00,50.1299,50.29,50.1125,50.2,153404.0,1862.0,50.219868
BNS,2023-07-28 16:00:00+00:00,50.195,50.2,50.0,50.01,85331.0,1107.0,50.11956
BNS,2023-07-28 17:00:00+00:00,50.0,50.01,49.825,49.905,61829.0,900.0,49.908094
BNS,2023-07-28 18:00:00+00:00,49.91,49.99,49.91,49.945,62591.0,1047.0,49.945631
BNS,2023-07-28 19:00:00+00:00,49.96,49.965,49.87,49.9,192708.0,2453.0,49.908517
BNS,2023-07-28 20:00:00+00:00,49.91,49.91,49.91,49.91,30333.0,6.0,49.910055
BNS,2023-07-31 11:00:00+00:00,50.14,50.15,50.14,50.15,220.0,2.0,50.145455
BNS,2023-07-31 12:00:00+00:00,50.15,50.15,50.15,50.15,880.0,2.0,50.15
BNS,2023-07-31 13:00:00+00:00,50.05,50.61,50.0,50.58,117958.0,1410.0,50.378185
BNS,2023-07-31 14:00:00+00:00,50.58,50.62,50.37,50.44,143594.0,1774.0,50.509695
BNS,2023-07-31 15:00:00+00:00,50.45,50.5165,50.35,50.35,103309.0,1224.0,50.459256
BNS,2023-07-31 16:00:00+00:00,50.355,50.41,50.28,50.405,88181.0,1034.0,50.371376
BNS,2023-07-31 17:00:00+00:00,50.4,50.49,50.37,50.4,71538.0,991.0,50.442638
BNS,2023-07-31 18:00:00+00:00,50.41,50.48,50.38,50.47,72421.0,1022.0,50.43232
BNS,2023-07-31 19:00:00+00:00,50.47,50.47,50.29,50.36,414336.0,3754.0,50.342139
BNS,2023-07-31 20:00:00+00:00,50.36,50.36,50.36,50.36,56194.0,10.0,50.36
BNS,2023-08-01 12:00:00+00:00,50.26,50.26,50.26,50.26,515.0,5.0,50.260311
