symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BRDG,2023-07-17 13:00:00+00:00,11.96,12.12,11.96,12.1,5563.0,74.0,12.039028
BRDG,2023-07-17 14:00:00+00:00,12.075,12.42,12.075,12.25,32659.0,355.0,12.327785
BRDG,2023-07-17 15:00:00+00:00,12.25,12.48,12.22,12.48,35562.0,363.0,12.325815
BRDG,2023-07-17 16:00:00+00:00,12.44,12.66,12.37,12.59,49480.0,406.0,12.480355
BRDG,2023-07-17 17:00:00+00:00,12.61,12.72,12.57,12.69,21401.0,282.0,12.652506
BRDG,2023-07-17 18:00:00+00:00,12.685,12.8,12.66,12.79,45254.0,299.0,12.701162
BRDG,2023-07-17 19:00:00+00:00,12.79,12.79,12.64,12.73,36283.0,555.0,12.705538
BRDG,2023-07-17 20:00:00+00:00,12.7,12.7,12.7,12.7,11866.0,3.0,12.7
BRDG,2023-07-18 13:00:00+00:00,12.76,13.04,12.6842,13.04,3555.0,86.0,12.896564
BRDG,2023-07-18 14:00:00+00:00,13.0105,13.04,12.85,12.96,12623.0,197.0,12.950075
BRDG,2023-07-18 15:00:00+00:00,12.9201,13.07,12.9201,12.94,20745.0,378.0,12.99079
BRDG,2023-07-18 16:00:00+00:00,12.925,12.96,12.865,12.95,8063.0,198.0,12.903943
BRDG,2023-07-18 17:00:00+00:00,12.94,12.97,12.81,12.81,8712.0,213.0,12.856798
BRDG,2023-07-18 18:00:00+00:00,12.82,12.91,12.82,12.9,9314.0,155.0,12.859853
BRDG,2023-07-18 19:00:00+00:00,12.9,12.94,12.86,12.92,18500.0,507.0,12.89301
BRDG,2023-07-18 20:00:00+00:00,12.91,12.91,12.91,12.91,6568.0,3.0,12.91
BRDG,2023-07-19 13:00:00+00:00,12.89,12.94,12.72,12.81,19355.0,157.0,12.837066
BRDG,2023-07-19 14:00:00+00:00,12.775,12.82,12.67,12.76,9512.0,146.0,12.741887
BRDG,2023-07-19 15:00:00+00:00,12.71,12.75,12.68,12.72,4294.0,70.0,12.736379
BRDG,2023-07-19 16:00:00+00:00,12.72,12.72,12.64,12.67,2947.0,63.0,12.690096
BRDG,2023-07-19 17:00:00+00:00,12.6503,12.675,12.59,12.59,2288.0,51.0,12.640704
BRDG,2023-07-19 18:00:00+00:00,12.58,12.605,12.56,12.565,3545.0,77.0,12.578372
BRDG,2023-07-19 19:00:00+00:00,12.58,12.65,12.49,12.65,18889.0,462.0,12.570225
