symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BRLT,2023-07-17 12:00:00+00:00,3.99,3.99,3.99,3.99,133.0,3.0,3.992481
BRLT,2023-07-17 13:00:00+00:00,4.04,4.08,3.9401,4.08,4630.0,40.0,4.039969
BRLT,2023-07-17 14:00:00+00:00,4.07,4.1,3.97,4.02,16924.0,87.0,4.004126
BRLT,2023-07-17 15:00:00+00:00,4.07,4.1,4.01,4.03,8393.0,53.0,4.052561
BRLT,2023-07-17 16:00:00+00:00,4.07,4.19,4.06,4.14,11736.0,58.0,4.11972
BRLT,2023-07-17 17:00:00+00:00,4.16,4.229,4.11,4.19,6770.0,66.0,4.168753
BRLT,2023-07-17 18:00:00+00:00,4.12,4.183,4.08,4.15,6103.0,49.0,4.100426
BRLT,2023-07-17 19:00:00+00:00,4.15,4.15,4.09,4.14,2184.0,50.0,4.128049
BRLT,2023-07-17 20:00:00+00:00,4.15,4.22,4.15,4.22,443.0,2.0,4.165801
BRLT,2023-07-17 21:00:00+00:00,3.95,3.95,3.95,3.95,250.0,1.0,3.95
BRLT,2023-07-18 13:00:00+00:00,4.09,4.105,4.05,4.05,7848.0,39.0,4.094403
BRLT,2023-07-18 14:00:00+00:00,4.0563,4.2,4.0563,4.13,3055.0,34.0,4.148202
BRLT,2023-07-18 15:00:00+00:00,4.1733,4.1733,4.07,4.0907,4149.0,45.0,4.119785
BRLT,2023-07-18 16:00:00+00:00,4.1315,4.16,4.1,4.16,697.0,7.0,4.126086
BRLT,2023-07-18 17:00:00+00:00,4.16,4.18,4.02,4.0943,2666.0,25.0,4.100187
BRLT,2023-07-18 18:00:00+00:00,4.04,4.0699,4.0,4.0681,5493.0,49.0,4.031703
BRLT,2023-07-18 19:00:00+00:00,4.0807,4.0807,3.95,4.02,16503.0,164.0,4.017514
BRLT,2023-07-18 20:00:00+00:00,4.07,4.07,4.07,4.07,982.0,1.0,4.07
BRLT,2023-07-19 13:00:00+00:00,4.1,4.1685,4.0471,4.0471,1033.0,7.0,4.085648
BRLT,2023-07-19 14:00:00+00:00,4.0677,4.1367,4.0677,4.1367,793.0,7.0,4.105951
BRLT,2023-07-19 15:00:00+00:00,4.13,4.18,4.08,4.18,1822.0,19.0,4.127311
BRLT,2023-07-19 16:00:00+00:00,4.16,4.18,4.14,4.17,11361.0,56.0,4.160472
BRLT,2023-07-19 17:00:00+00:00,4.18,4.22,4.18,4.2028,4891.0,31.0,4.191737
BRLT,2023-07-19 18:00:00+00:00,4.2003,4.2105,4.1801,4.183,3333.0,13.0,4.195301
BRLT,2023-07-19 19:00:00+00:00,4.19,4.28,4.19,4.26,9234.0,144.0,4.228012
BRLT,2023-07-19 20:00:00+00:00,4.23,4.23,4.1,4.1,932.0,4.0,4.156663
BRLT,2023-07-19 21:00:00+00:00,4.08,4.18,4.05,4.05,21969.0,17.0,4.081884
BRLT,2023-07-20 12:00:00+00:00,4.29,4.29,4.29,4.29,246.0,2.0,4.288821
BRLT,2023-07-20 13:00:00+00:00,4.1,4.2,4.0914,4.0914,6481.0,21.0,4.130227
BRLT,2023-07-20 14:00:00+00:00,4.22,4.2858,4.12,4.2559,6796.0,67.0,4.233251
BRLT,2023-07-20 15:00:00+00:00,4.2554,4.285,4.25,4.285,3526.0,31.0,4.271448
BRLT,2023-07-20 16:00:00+00:00,4.27,4.29,4.26,4.26,1688.0,34.0,4.274859
BRLT,2023-07-20 17:00:00+00:00,4.24,4.24,4.1715,4.23,538.0,6.0,4.212305
BRLT,2023-07-20 18:00:00+00:00,4.1707,4.24,4.1707,4.24,21032.0,17.0,4.238859
BRLT,2023-07-20 19:00:00+00:00,4.24,4.24,4.13,4.17,9735.0,106.0,4.188211
BRLT,2023-07-20 20:00:00+00:00,4.18,4.18,4.18,4.18,249.0,1.0,4.18
BRLT,2023-07-20 21:00:00+00:00,4.0,4.0,4.0,4.0,230.0,1.0,4.0
BRLT,2023-07-21 12:00:00+00:00,4.0,4.0,4.0,4.0,165.0,1.0,4.0
BRLT,2023-07-21 13:00:00+00:00,4.16,4.22,4.14,4.22,745.0,14.0,4.164302
BRLT,2023-07-21 14:00:00+00:00,4.1706,4.2,4.16,4.1609,793.0,11.0,4.17844
BRLT,2023-07-21 15:00:00+00:00,4.16,4.2,4.16,4.16,3155.0,37.0,4.171185
BRLT,2023-07-21 16:00:00+00:00,4.21,4.21,4.15,4.15,200.0,2.0,4.18
BRLT,2023-07-21 17:00:00+00:00,4.2311,4.2311,4.15,4.23,873.0,19.0,4.183858
BRLT,2023-07-21 18:00:00+00:00,4.15,4.15,4.15,4.15,575.0,5.0,4.151739
BRLT,2023-07-21 19:00:00+00:00,4.18,4.22,4.15,4.15,9230.0,158.0,4.192021
BRLT,2023-07-21 20:00:00+00:00,4.15,4.28,4.15,4.28,1183.0,4.0,4.171902
BRLT,2023-07-24 13:00:00+00:00,4.19,4.235,4.1309,4.235,1597.0,25.0,4.160293
BRLT,2023-07-24 14:00:00+00:00,4.11,4.22,4.11,4.11,14433.0,22.0,4.195409
BRLT,2023-07-24 15:00:00+00:00,4.215,4.2399,4.12,4.13,4882.0,23.0,4.205941
BRLT,2023-07-24 16:00:00+00:00,4.15,4.17,4.02,4.1,7965.0,78.0,4.12976
BRLT,2023-07-24 17:00:00+00:00,4.1,4.17,4.07,4.14,8918.0,60.0,4.116016
BRLT,2023-07-24 18:00:00+00:00,4.145,4.17,4.1205,4.165,1265.0,18.0,4.149476
BRLT,2023-07-24 19:00:00+00:00,4.1559,4.21,4.14,4.16,8398.0,162.0,4.172019
BRLT,2023-07-24 20:00:00+00:00,4.17,4.22,4.17,4.21,563.0,3.0,4.200195
BRLT,2023-07-25 11:00:00+00:00,4.21,4.22,4.21,4.22,1331.0,4.0,4.211465
BRLT,2023-07-25 12:00:00+00:00,4.22,4.22,4.22,4.22,7669.0,1.0,4.22
BRLT,2023-07-25 13:00:00+00:00,4.18,4.19,4.09,4.13,7122.0,55.0,4.131827
BRLT,2023-07-25 14:00:00+00:00,4.1238,4.24,4.1238,4.23,8707.0,65.0,4.183477
