symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CBT,2023-07-17 13:00:00+00:00,68.08,68.43,67.6,68.32,5627.0,106.0,68.10069
CBT,2023-07-17 14:00:00+00:00,68.3683,68.4104,67.94,68.19,9299.0,359.0,68.16823
CBT,2023-07-17 15:00:00+00:00,68.19,68.79,68.19,68.79,9466.0,341.0,68.507776
CBT,2023-07-17 16:00:00+00:00,68.79,69.12,68.75,68.83,10983.0,337.0,68.910146
CBT,2023-07-17 17:00:00+00:00,68.88,68.88,68.555,68.555,12178.0,451.0,68.763177
CBT,2023-07-17 18:00:00+00:00,68.575,68.91,68.53,68.765,22812.0,803.0,68.762423
CBT,2023-07-17 19:00:00+00:00,68.745,68.78,68.385,68.59,55699.0,1930.0,68.533897
CBT,2023-07-17 20:00:00+00:00,68.58,68.58,68.58,68.58,33392.0,17.0,68.58
CBT,2023-07-18 13:00:00+00:00,68.6,69.77,68.59,69.7,4324.0,99.0,69.180914
CBT,2023-07-18 14:00:00+00:00,69.7,69.83,69.14,69.26,16569.0,545.0,69.432236
CBT,2023-07-18 15:00:00+00:00,69.27,69.61,69.09,69.355,20292.0,692.0,69.341861
CBT,2023-07-18 16:00:00+00:00,69.335,69.335,68.89,69.16,16530.0,545.0,69.111185
CBT,2023-07-18 17:00:00+00:00,69.175,69.325,69.04,69.165,20536.0,707.0,69.194603
CBT,2023-07-18 18:00:00+00:00,69.19,69.4,69.14,69.16,21685.0,779.0,69.281962
CBT,2023-07-18 19:00:00+00:00,69.16,69.62,69.13,69.59,100481.0,2755.0,69.388224
CBT,2023-07-18 20:00:00+00:00,69.58,69.58,69.58,69.58,45744.0,15.0,69.58
CBT,2023-07-19 13:00:00+00:00,69.49,69.9553,69.2,69.27,5002.0,127.0,69.443025
CBT,2023-07-19 14:00:00+00:00,69.27,69.475,68.9,69.15,16723.0,655.0,69.134642
CBT,2023-07-19 15:00:00+00:00,69.035,69.53,68.9,69.42,11605.0,443.0,69.244365
CBT,2023-07-19 16:00:00+00:00,69.4886,69.4886,69.1,69.315,8997.0,345.0,69.299393
CBT,2023-07-19 17:00:00+00:00,69.4,69.4,69.13,69.13,6992.0,288.0,69.221996
CBT,2023-07-19 18:00:00+00:00,69.14,69.31,69.09,69.1861,8067.0,394.0,69.216514
CBT,2023-07-19 19:00:00+00:00,69.205,69.622,69.205,69.52,52683.0,1771.0,69.482819
CBT,2023-07-19 20:00:00+00:00,69.52,69.52,69.52,69.52,53087.0,16.0,69.52
CBT,2023-07-20 13:00:00+00:00,70.0,70.0,68.94,69.21,7144.0,112.0,69.554536
CBT,2023-07-20 14:00:00+00:00,69.19,69.19,68.71,68.935,18112.0,529.0,68.997077
