symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CDAY,2023-07-17 13:00:00+00:00,67.65,68.86,67.4,68.86,22079.0,544.0,68.160381
CDAY,2023-07-17 14:00:00+00:00,68.96,69.46,68.56,69.1295,86693.0,2012.0,69.132101
CDAY,2023-07-17 15:00:00+00:00,69.15,69.71,68.98,69.62,61252.0,1429.0,69.387242
CDAY,2023-07-17 16:00:00+00:00,69.62,69.79,69.42,69.75,151622.0,2198.0,69.667263
CDAY,2023-07-17 17:00:00+00:00,69.745,70.1,69.6653,70.03,96878.0,2043.0,69.875553
CDAY,2023-07-17 18:00:00+00:00,70.04,70.49,69.97,70.38,115432.0,3090.0,70.229841
CDAY,2023-07-17 19:00:00+00:00,70.38,70.7,70.335,70.64,414365.0,8309.0,70.587707
CDAY,2023-07-17 20:00:00+00:00,70.64,70.64,70.64,70.64,213902.0,29.0,70.64
CDAY,2023-07-17 22:00:00+00:00,70.82,70.82,70.82,70.82,100.0,1.0,70.82
CDAY,2023-07-18 13:00:00+00:00,70.89,71.8,70.59,71.8,117949.0,1892.0,71.238711
CDAY,2023-07-18 14:00:00+00:00,71.8,72.39,71.57,72.21,165579.0,3340.0,72.031753
CDAY,2023-07-18 15:00:00+00:00,72.22,72.52,71.76,71.9,112940.0,2127.0,72.19256
CDAY,2023-07-18 16:00:00+00:00,71.89,72.4,71.89,72.09,69228.0,1905.0,72.155848
CDAY,2023-07-18 17:00:00+00:00,72.11,72.475,71.99,72.055,81788.0,1937.0,72.33795
CDAY,2023-07-18 18:00:00+00:00,72.06,72.47,72.02,72.2793,95020.0,2300.0,72.305246
CDAY,2023-07-18 19:00:00+00:00,72.3,72.35,71.79,71.92,708473.0,8549.0,72.042241
CDAY,2023-07-18 20:00:00+00:00,71.9,71.9,71.9,71.9,266753.0,29.0,71.9
CDAY,2023-07-19 13:00:00+00:00,72.34,73.01,71.9,72.28,126204.0,1170.0,72.57931
CDAY,2023-07-19 14:00:00+00:00,72.34,72.89,71.84,72.045,308630.0,2111.0,72.584625
CDAY,2023-07-19 15:00:00+00:00,72.0,72.06,71.41,71.41,75741.0,1992.0,71.831675
CDAY,2023-07-19 16:00:00+00:00,71.44,71.7,70.86,71.62,120945.0,2328.0,71.227721
CDAY,2023-07-19 17:00:00+00:00,71.59,71.67,71.28,71.46,135426.0,2527.0,71.452117
CDAY,2023-07-19 18:00:00+00:00,71.455,71.63,71.14,71.33,108126.0,2263.0,71.420259
CDAY,2023-07-19 19:00:00+00:00,71.335,71.78,71.26,71.57,379263.0,6536.0,71.595311
CDAY,2023-07-19 20:00:00+00:00,71.6,71.6,71.58,71.58,152505.0,29.0,71.580053
CDAY,2023-07-20 13:00:00+00:00,71.26,71.26,69.78,70.02,65744.0,1070.0,70.573065
CDAY,2023-07-20 14:00:00+00:00,69.99,70.21,69.51,69.76,120495.0,1824.0,69.96073
CDAY,2023-07-20 15:00:00+00:00,69.785,70.04,69.63,69.82,47187.0,1075.0,69.883687
CDAY,2023-07-20 16:00:00+00:00,69.83,70.0,69.26,69.31,50106.0,1241.0,69.513329
CDAY,2023-07-20 17:00:00+00:00,69.28,69.58,69.26,69.33,57000.0,1309.0,69.414893
CDAY,2023-07-20 18:00:00+00:00,69.34,69.47,69.02,69.34,125499.0,2894.0,69.30475
CDAY,2023-07-20 19:00:00+00:00,69.32,69.48,69.04,69.3,321206.0,5891.0,69.286493
CDAY,2023-07-20 20:00:00+00:00,69.3,69.3,69.3,69.3,240967.0,34.0,69.3
CDAY,2023-07-21 13:00:00+00:00,70.07,70.285,68.6148,69.215,88297.0,1140.0,69.485267
CDAY,2023-07-21 14:00:00+00:00,69.215,69.435,68.56,68.725,180604.0,3298.0,69.001564
CDAY,2023-07-21 15:00:00+00:00,68.77,69.01,68.59,68.68,70155.0,1632.0,68.76979
CDAY,2023-07-21 16:00:00+00:00,68.7,68.7,68.3,68.44,58283.0,1447.0,68.432647
CDAY,2023-07-21 17:00:00+00:00,68.47,68.98,68.38,68.98,64830.0,1594.0,68.577717
CDAY,2023-07-21 18:00:00+00:00,69.0,69.06,68.69,68.73,44667.0,1449.0,68.877432
CDAY,2023-07-21 19:00:00+00:00,68.72,68.83,68.45,68.67,209704.0,5196.0,68.678304
CDAY,2023-07-21 20:00:00+00:00,68.66,68.66,68.66,68.66,115602.0,21.0,68.66
CDAY,2023-07-24 13:00:00+00:00,69.07,69.205,67.9,67.93,28920.0,544.0,68.596673
CDAY,2023-07-24 14:00:00+00:00,68.05,68.38,67.9,68.11,86071.0,1468.0,68.131112
CDAY,2023-07-24 15:00:00+00:00,68.115,68.6,68.115,68.325,42296.0,1454.0,68.327112
CDAY,2023-07-24 16:00:00+00:00,68.455,68.455,68.06,68.275,65018.0,1422.0,68.295702
CDAY,2023-07-24 17:00:00+00:00,68.27,68.27,67.78,68.04,125309.0,1149.0,67.936301
CDAY,2023-07-24 18:00:00+00:00,68.035,68.48,67.97,68.37,55895.0,1635.0,68.211257
CDAY,2023-07-24 19:00:00+00:00,68.37,68.55,68.22,68.43,214523.0,4626.0,68.419277
CDAY,2023-07-24 20:00:00+00:00,68.42,68.42,68.42,68.42,85299.0,32.0,68.419999
CDAY,2023-07-24 23:00:00+00:00,68.4,68.4,68.4,68.4,100.0,1.0,68.4
CDAY,2023-07-25 13:00:00+00:00,68.78,69.05,68.27,68.65,33545.0,769.0,68.71347
CDAY,2023-07-25 14:00:00+00:00,68.617,69.39,68.617,68.88,96010.0,2873.0,69.072907
CDAY,2023-07-25 15:00:00+00:00,68.88,68.9193,68.28,68.32,104782.0,2531.0,68.56797
CDAY,2023-07-25 16:00:00+00:00,68.29,69.06,68.23,69.06,200887.0,3505.0,68.680348
CDAY,2023-07-25 17:00:00+00:00,69.16,69.225,68.89,69.08,60935.0,1761.0,69.065533
CDAY,2023-07-25 18:00:00+00:00,69.06,69.125,68.5,68.5,71227.0,2065.0,68.847538
CDAY,2023-07-25 19:00:00+00:00,68.51,68.77,68.39,68.48,346954.0,5907.0,68.528248
CDAY,2023-07-25 20:00:00+00:00,68.48,68.48,68.48,68.48,146865.0,35.0,68.48
CDAY,2023-07-25 21:00:00+00:00,67.56,67.56,67.38,67.49,3974.0,42.0,67.494006
CDAY,2023-07-25 22:00:00+00:00,67.49,67.49,67.49,67.49,200.0,4.0,67.4944
CDAY,2023-07-26 13:00:00+00:00,68.16,69.24,68.16,69.18,38318.0,714.0,68.636952
CDAY,2023-07-26 14:00:00+00:00,69.19,69.66,68.94,69.12,118513.0,2482.0,69.349028
CDAY,2023-07-26 15:00:00+00:00,69.03,69.53,69.0,69.23,81787.0,1692.0,69.254629
