symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CIVB,2023-07-17 13:00:00+00:00,17.04,17.08,16.9,17.0799,1507.0,16.0,17.036633
CIVB,2023-07-17 14:00:00+00:00,17.32,17.32,17.32,17.32,101.0,2.0,17.321703
CIVB,2023-07-17 16:00:00+00:00,17.1293,17.1293,17.1293,17.1293,207.0,3.0,17.130242
CIVB,2023-07-17 18:00:00+00:00,17.4,17.42,17.4,17.4123,875.0,30.0,17.406037
CIVB,2023-07-17 19:00:00+00:00,17.49,17.615,17.37,17.37,9428.0,219.0,17.522774
CIVB,2023-07-17 20:00:00+00:00,17.51,17.51,17.51,17.51,7429.0,2.0,17.51
CIVB,2023-07-18 13:00:00+00:00,17.51,17.7,17.51,17.69,502.0,4.0,17.619562
CIVB,2023-07-18 15:00:00+00:00,17.94,17.98,17.845,17.87,1360.0,25.0,17.897846
CIVB,2023-07-18 16:00:00+00:00,17.91,17.91,17.9,17.905,526.0,11.0,17.907557
CIVB,2023-07-18 18:00:00+00:00,18.05,18.05,17.93,18.05,731.0,33.0,18.025972
CIVB,2023-07-18 19:00:00+00:00,18.05,18.26,17.975,18.05,5467.0,118.0,18.155689
CIVB,2023-07-18 20:00:00+00:00,18.16,18.16,18.16,18.16,3781.0,1.0,18.16
CIVB,2023-07-19 13:00:00+00:00,18.155,18.155,18.155,18.155,198.0,2.0,18.155
CIVB,2023-07-19 14:00:00+00:00,18.12,18.32,18.12,18.32,2809.0,46.0,18.281879
CIVB,2023-07-19 15:00:00+00:00,18.25,18.325,18.25,18.325,2667.0,58.0,18.275026
CIVB,2023-07-19 16:00:00+00:00,18.37,18.37,18.37,18.37,291.0,19.0,18.387766
CIVB,2023-07-19 18:00:00+00:00,18.32,18.38,18.32,18.38,538.0,17.0,18.35277
CIVB,2023-07-19 19:00:00+00:00,18.43,18.525,18.375,18.52,5627.0,170.0,18.45262
CIVB,2023-07-19 20:00:00+00:00,18.56,18.56,18.56,18.56,5870.0,2.0,18.56
CIVB,2023-07-20 13:00:00+00:00,18.43,18.43,18.43,18.43,232.0,2.0,18.43
CIVB,2023-07-20 14:00:00+00:00,18.27,18.27,18.19,18.27,2049.0,36.0,18.224401
CIVB,2023-07-20 15:00:00+00:00,18.41,18.47,18.4,18.47,629.0,36.0,18.421097
CIVB,2023-07-20 16:00:00+00:00,18.67,18.67,18.65,18.65,549.0,27.0,18.653989
CIVB,2023-07-20 18:00:00+00:00,18.61,18.61,18.61,18.61,324.0,14.0,18.612099
CIVB,2023-07-20 19:00:00+00:00,18.6301,18.78,18.625,18.76,5316.0,216.0,18.719863
CIVB,2023-07-20 20:00:00+00:00,18.74,18.74,18.74,18.74,4531.0,2.0,18.74
CIVB,2023-07-21 13:00:00+00:00,18.76,18.76,18.7,18.7,6460.0,8.0,18.753615
CIVB,2023-07-21 14:00:00+00:00,18.47,18.6,18.47,18.6,1070.0,17.0,18.538762
CIVB,2023-07-21 15:00:00+00:00,18.55,18.72,18.55,18.64,2492.0,51.0,18.630881
CIVB,2023-07-21 16:00:00+00:00,18.66,18.71,18.66,18.67,14733.0,22.0,18.661876
CIVB,2023-07-21 18:00:00+00:00,18.7,18.75,18.7,18.75,2085.0,42.0,18.737362
CIVB,2023-07-21 19:00:00+00:00,18.75,18.85,18.75,18.845,3424.0,111.0,18.806383
CIVB,2023-07-21 20:00:00+00:00,18.82,18.82,18.82,18.82,5755.0,2.0,18.82
CIVB,2023-07-24 15:00:00+00:00,19.04,19.04,19.0202,19.03,2066.0,25.0,19.026203
CIVB,2023-07-24 16:00:00+00:00,19.085,19.16,19.02,19.1,12869.0,72.0,19.032943
CIVB,2023-07-24 17:00:00+00:00,19.045,19.23,19.04,19.08,3557.0,49.0,19.071538
CIVB,2023-07-24 18:00:00+00:00,19.1,19.135,18.9739,18.975,3803.0,59.0,19.055322
CIVB,2023-07-24 19:00:00+00:00,18.94,18.97,18.86,18.93,6280.0,113.0,18.958967
CIVB,2023-07-24 20:00:00+00:00,18.97,18.97,18.97,18.97,3997.0,2.0,18.97
CIVB,2023-07-24 23:00:00+00:00,19.45,19.45,19.45,19.45,132.0,1.0,19.45
CIVB,2023-07-25 13:00:00+00:00,18.97,18.97,18.97,18.97,207.0,4.0,18.967343
CIVB,2023-07-25 14:00:00+00:00,18.88,18.88,18.88,18.88,273.0,12.0,18.886447
CIVB,2023-07-25 15:00:00+00:00,18.92,18.92,18.92,18.92,105.0,2.0,18.913333
CIVB,2023-07-25 16:00:00+00:00,18.79,18.94,18.77,18.94,606.0,22.0,18.819942
CIVB,2023-07-25 17:00:00+00:00,18.97,18.97,18.97,18.97,665.0,28.0,18.979105
CIVB,2023-07-25 18:00:00+00:00,19.03,19.11,18.97,18.97,924.0,30.0,19.038911
CIVB,2023-07-25 19:00:00+00:00,19.05,19.05,18.9,18.98,2976.0,76.0,18.954506
CIVB,2023-07-25 20:00:00+00:00,18.85,18.85,18.85,18.85,3114.0,4.0,18.85
CIVB,2023-07-26 13:00:00+00:00,19.01,19.3309,19.01,19.32,1092.0,5.0,19.257164
CIVB,2023-07-26 14:00:00+00:00,19.22,19.5,19.13,19.5,1286.0,38.0,19.263048
CIVB,2023-07-26 15:00:00+00:00,19.7799,19.7799,19.47,19.57,2056.0,39.0,19.54596
CIVB,2023-07-26 16:00:00+00:00,19.58,19.69,19.58,19.69,1185.0,24.0,19.624143
CIVB,2023-07-26 17:00:00+00:00,19.71,19.797,19.5835,19.61,7257.0,102.0,19.632721
CIVB,2023-07-26 18:00:00+00:00,19.58,19.78,19.58,19.7,1764.0,42.0,19.680003
CIVB,2023-07-26 19:00:00+00:00,19.76,19.77,19.54,19.72,7135.0,173.0,19.670301
CIVB,2023-07-26 20:00:00+00:00,19.71,19.71,19.71,19.71,4474.0,2.0,19.71
CIVB,2023-07-27 13:00:00+00:00,19.38,19.38,19.38,19.38,1330.0,5.0,19.404827
CIVB,2023-07-27 14:00:00+00:00,19.45,19.73,19.45,19.73,680.0,25.0,19.631191
CIVB,2023-07-27 16:00:00+00:00,19.48,19.61,19.4601,19.61,1341.0,36.0,19.490513
CIVB,2023-07-27 17:00:00+00:00,19.42,19.56,19.38,19.38,1880.0,35.0,19.448077
CIVB,2023-07-27 18:00:00+00:00,19.35,19.35,19.35,19.35,134.0,7.0,19.35
CIVB,2023-07-27 19:00:00+00:00,19.425,19.51,19.25,19.51,4215.0,195.0,19.421361
CIVB,2023-07-27 20:00:00+00:00,19.46,19.46,19.46,19.46,6335.0,2.0,19.46
CIVB,2023-07-28 13:00:00+00:00,19.35,19.35,18.73,18.99,1297.0,11.0,19.052255
CIVB,2023-07-28 14:00:00+00:00,19.2,19.2,19.01,19.1,4229.0,69.0,19.102225
CIVB,2023-07-28 15:00:00+00:00,19.22,19.26,19.22,19.26,272.0,5.0,19.254154
CIVB,2023-07-28 16:00:00+00:00,19.25,19.25,19.12,19.12,1740.0,19.0,19.24179
CIVB,2023-07-28 17:00:00+00:00,19.13,19.13,18.9414,18.9414,1907.0,24.0,19.046665
CIVB,2023-07-28 18:00:00+00:00,18.93,19.0,18.93,18.96,3157.0,72.0,18.991843
CIVB,2023-07-28 19:00:00+00:00,18.98,19.41,18.98,19.0,8912.0,148.0,19.040827
CIVB,2023-07-28 20:00:00+00:00,19.0,19.0,19.0,19.0,3817.0,2.0,19.0
CIVB,2023-07-31 13:00:00+00:00,18.99,19.0,18.97,19.0,900.0,12.0,18.98155
CIVB,2023-07-31 14:00:00+00:00,18.85,18.85,18.72,18.72,1649.0,29.0,18.776731
CIVB,2023-07-31 15:00:00+00:00,18.52,18.6801,18.52,18.56,520.0,5.0,18.591577
CIVB,2023-07-31 16:00:00+00:00,18.38,18.43,18.27,18.38,2531.0,29.0,18.338
CIVB,2023-07-31 17:00:00+00:00,18.33,18.33,18.3,18.3,764.0,16.0,18.309633
CIVB,2023-07-31 18:00:00+00:00,18.3,18.308,18.3,18.3,1726.0,34.0,18.300707
CIVB,2023-07-31 19:00:00+00:00,18.3,18.37,18.24,18.28,9514.0,188.0,18.312358
CIVB,2023-07-31 20:00:00+00:00,18.24,18.24,18.24,18.24,31908.0,2.0,18.24
CIVB,2023-08-01 13:00:00+00:00,18.25,18.265,17.86,18.1,3593.0,75.0,18.051781
CIVB,2023-08-01 14:00:00+00:00,18.04,18.04,17.7787,17.98,3428.0,76.0,17.889551
CIVB,2023-08-01 15:00:00+00:00,17.92,18.11,17.92,18.075,1832.0,72.0,18.020284
CIVB,2023-08-01 16:00:00+00:00,18.025,18.1516,18.025,18.15,2431.0,56.0,18.081294
CIVB,2023-08-01 17:00:00+00:00,18.14,18.34,18.1,18.34,1010.0,37.0,18.157143
CIVB,2023-08-01 18:00:00+00:00,18.33,18.33,18.275,18.275,842.0,32.0,18.297255
CIVB,2023-08-01 19:00:00+00:00,18.275,18.28,18.19,18.23,4800.0,127.0,18.231916
CIVB,2023-08-01 20:00:00+00:00,18.26,18.26,18.26,18.26,3249.0,2.0,18.26
CIVB,2023-08-02 13:00:00+00:00,18.145,18.29,18.14,18.29,2103.0,40.0,18.193079
CIVB,2023-08-02 15:00:00+00:00,18.11,18.11,17.9201,18.09,2187.0,81.0,17.997628
CIVB,2023-08-02 16:00:00+00:00,18.15,18.2,17.995,18.2,28241.0,99.0,18.154111
CIVB,2023-08-02 17:00:00+00:00,18.18,18.21,18.18,18.2,1126.0,35.0,18.197309
CIVB,2023-08-02 18:00:00+00:00,18.2,18.2,18.2,18.2,937.0,18.0,18.199082
CIVB,2023-08-02 19:00:00+00:00,18.15,18.21,18.15,18.17,7940.0,223.0,18.185434
CIVB,2023-08-02 20:00:00+00:00,18.2,18.2,18.2,18.2,5438.0,2.0,18.2
CIVB,2023-08-03 14:00:00+00:00,18.255,18.38,18.16,18.38,914.0,30.0,18.240963
CIVB,2023-08-03 15:00:00+00:00,18.22,18.3275,18.22,18.3275,2101.0,36.0,18.255119
CIVB,2023-08-03 16:00:00+00:00,18.28,18.365,18.26,18.33,3414.0,68.0,18.292765
CIVB,2023-08-03 17:00:00+00:00,18.325,18.49,18.325,18.49,3211.0,35.0,18.432917
CIVB,2023-08-03 18:00:00+00:00,18.47,18.54,18.47,18.4986,3177.0,24.0,18.497892
CIVB,2023-08-03 19:00:00+00:00,18.505,18.51,18.47,18.47,3349.0,99.0,18.494672
CIVB,2023-08-03 20:00:00+00:00,18.45,18.45,18.45,18.45,3514.0,2.0,18.45
CIVB,2023-08-04 13:00:00+00:00,18.56,18.68,18.56,18.68,1750.0,5.0,18.599777
CIVB,2023-08-04 15:00:00+00:00,18.705,18.71,18.7,18.7,567.0,9.0,18.70649
CIVB,2023-08-04 17:00:00+00:00,18.8,18.8,18.8,18.8,430.0,6.0,18.802
CIVB,2023-08-04 18:00:00+00:00,18.7,18.7,18.61,18.61,941.0,29.0,18.636923
CIVB,2023-08-04 19:00:00+00:00,18.55,18.57,18.47,18.48,5737.0,128.0,18.511614
CIVB,2023-08-04 20:00:00+00:00,18.48,18.48,18.48,18.48,4026.0,2.0,18.48
CIVB,2023-08-07 13:00:00+00:00,18.33,18.33,18.33,18.33,105.0,5.0,18.333571
CIVB,2023-08-07 14:00:00+00:00,18.34,18.46,18.34,18.46,786.0,13.0,18.397048
CIVB,2023-08-07 17:00:00+00:00,18.48,18.55,18.48,18.55,963.0,20.0,18.523718
CIVB,2023-08-07 18:00:00+00:00,18.56,18.56,18.56,18.56,100.0,1.0,18.56
CIVB,2023-08-07 19:00:00+00:00,18.56,18.7,18.53,18.541,4770.0,111.0,18.594712
CIVB,2023-08-07 20:00:00+00:00,18.63,18.63,18.63,18.63,3150.0,2.0,18.63
CIVB,2023-08-07 22:00:00+00:00,18.84,18.84,18.84,18.84,390.0,3.0,18.844103
CIVB,2023-08-08 13:00:00+00:00,18.38,18.4,18.38,18.39,2173.0,31.0,18.383818
CIVB,2023-08-08 14:00:00+00:00,18.38,18.46,18.37,18.46,1333.0,25.0,18.392075
CIVB,2023-08-08 15:00:00+00:00,18.52,18.52,18.4213,18.52,840.0,12.0,18.465013
CIVB,2023-08-08 16:00:00+00:00,18.43,18.43,18.37,18.43,1624.0,31.0,18.406554
CIVB,2023-08-08 17:00:00+00:00,18.565,18.565,18.565,18.565,125.0,2.0,18.56242
CIVB,2023-08-08 18:00:00+00:00,18.5542,18.5542,18.5542,18.5542,202.0,2.0,18.554653
CIVB,2023-08-08 19:00:00+00:00,18.73,18.79,18.7,18.7,3066.0,100.0,18.752563
CIVB,2023-08-08 20:00:00+00:00,18.8,18.8,18.8,18.8,2347.0,2.0,18.8
CIVB,2023-08-09 13:00:00+00:00,18.55,18.78,18.5,18.78,2096.0,25.0,18.575687
CIVB,2023-08-09 14:00:00+00:00,18.625,18.749,18.625,18.72,1400.0,5.0,18.655286
CIVB,2023-08-09 15:00:00+00:00,18.61,18.66,18.5,18.6,4028.0,55.0,18.540311
CIVB,2023-08-09 16:00:00+00:00,18.62,18.65,18.62,18.64,777.0,15.0,18.628751
CIVB,2023-08-09 17:00:00+00:00,18.5012,18.66,18.5012,18.63,1374.0,13.0,18.588406
CIVB,2023-08-09 18:00:00+00:00,18.72,18.72,18.66,18.69,885.0,17.0,18.68896
CIVB,2023-08-09 19:00:00+00:00,18.69,18.69,18.37,18.38,4701.0,125.0,18.492933
CIVB,2023-08-09 20:00:00+00:00,18.38,18.38,18.38,18.38,5104.0,4.0,18.38
CIVB,2023-08-10 13:00:00+00:00,18.44,18.44,18.08,18.32,660.0,12.0,18.311212
CIVB,2023-08-10 14:00:00+00:00,18.34,18.46,18.34,18.38,602.0,11.0,18.406561
CIVB,2023-08-10 16:00:00+00:00,18.24,18.24,18.22,18.22,1665.0,27.0,18.231219
CIVB,2023-08-10 17:00:00+00:00,18.25,18.25,18.22,18.22,925.0,29.0,18.227946
CIVB,2023-08-10 18:00:00+00:00,18.31,18.31,18.26,18.26,2243.0,21.0,18.282156
CIVB,2023-08-10 19:00:00+00:00,18.27,18.27,17.99,18.24,4577.0,93.0,18.159534
CIVB,2023-08-10 20:00:00+00:00,18.22,18.22,18.22,18.22,4705.0,1.0,18.22
CIVB,2023-08-11 13:00:00+00:00,18.07,18.2,18.07,18.2,695.0,20.0,18.14636
CIVB,2023-08-11 14:00:00+00:00,18.18,18.24,18.13,18.24,2034.0,42.0,18.17514
CIVB,2023-08-11 15:00:00+00:00,18.16,18.165,18.15,18.15,366.0,12.0,18.156174
CIVB,2023-08-11 16:00:00+00:00,18.17,18.18,18.17,18.18,554.0,15.0,18.171227
CIVB,2023-08-11 17:00:00+00:00,18.18,18.18,18.18,18.18,206.0,6.0,18.180825
CIVB,2023-08-11 18:00:00+00:00,18.2,18.2,18.2,18.2,343.0,12.0,18.201866
CIVB,2023-08-11 19:00:00+00:00,18.23,18.27,18.2,18.22,4641.0,135.0,18.23893
CIVB,2023-08-11 20:00:00+00:00,18.25,18.25,18.25,18.25,23732.0,5.0,18.25
CIVB,2023-08-14 13:00:00+00:00,18.25,18.25,17.97,17.97,414.0,4.0,18.076087
CIVB,2023-08-14 14:00:00+00:00,17.95,17.95,17.85,17.85,305.0,5.0,17.920656
CIVB,2023-08-14 15:00:00+00:00,17.9401,18.08,17.94,18.08,1948.0,46.0,17.968435
CIVB,2023-08-14 17:00:00+00:00,18.08,18.1125,18.07,18.1075,2016.0,39.0,18.092527
CIVB,2023-08-14 18:00:00+00:00,18.1,18.11,18.07,18.07,2061.0,41.0,18.098784
CIVB,2023-08-14 19:00:00+00:00,18.05,18.05,17.92,17.92,572.0,23.0,17.948007
CIVB,2023-08-14 20:00:00+00:00,17.95,17.95,17.95,17.95,1643.0,1.0,17.95
CIVB,2023-08-15 13:00:00+00:00,17.82,17.82,17.51,17.51,500.0,4.0,17.6986
CIVB,2023-08-15 14:00:00+00:00,17.75,17.77,17.69,17.69,1362.0,17.0,17.720984
CIVB,2023-08-15 16:00:00+00:00,17.8227,17.8227,17.69,17.69,523.0,10.0,17.716329
CIVB,2023-08-15 17:00:00+00:00,17.69,17.69,17.69,17.69,512.0,11.0,17.690195
CIVB,2023-08-15 19:00:00+00:00,17.69,17.69,17.65,17.65,7412.0,126.0,17.668496
CIVB,2023-08-15 20:00:00+00:00,17.65,17.65,17.65,17.65,3000.0,2.0,17.65
CIVB,2023-08-16 14:00:00+00:00,17.5401,17.58,17.5401,17.58,1133.0,12.0,17.544085
CIVB,2023-08-16 16:00:00+00:00,17.5354,17.5354,17.505,17.505,362.0,15.0,17.517966
CIVB,2023-08-16 17:00:00+00:00,17.61,17.7,17.61,17.7,2002.0,40.0,17.656244
CIVB,2023-08-16 18:00:00+00:00,17.7,17.73,17.7,17.73,4928.0,88.0,17.711139
CIVB,2023-08-16 19:00:00+00:00,17.73,17.735,17.555,17.68,6184.0,154.0,17.664312
CIVB,2023-08-16 20:00:00+00:00,17.65,17.65,17.65,17.65,4738.0,1.0,17.65
CIVB,2023-08-17 14:00:00+00:00,17.7467,17.7467,17.7367,17.7367,859.0,4.0,17.742112
CIVB,2023-08-17 15:00:00+00:00,17.73,17.74,17.73,17.74,533.0,10.0,17.736623
CIVB,2023-08-17 17:00:00+00:00,17.73,17.77,17.72,17.77,645.0,19.0,17.746574
CIVB,2023-08-17 18:00:00+00:00,17.81,17.8161,17.781,17.815,2686.0,50.0,17.799016
CIVB,2023-08-17 19:00:00+00:00,17.81,17.825,17.63,17.66,2312.0,65.0,17.679534
CIVB,2023-08-17 20:00:00+00:00,17.66,17.66,17.66,17.66,5229.0,4.0,17.66
CIVB,2023-08-18 13:00:00+00:00,17.56,17.56,17.56,17.56,2058.0,1.0,17.56
CIVB,2023-08-18 14:00:00+00:00,17.7356,17.8,17.7356,17.785,2192.0,47.0,17.767653
CIVB,2023-08-18 15:00:00+00:00,18.05,18.1,17.97,18.1,951.0,14.0,17.994064
CIVB,2023-08-18 16:00:00+00:00,17.94,17.94,17.94,17.94,463.0,25.0,17.934838
CIVB,2023-08-18 17:00:00+00:00,17.86,17.93,17.815,17.93,864.0,29.0,17.859271
CIVB,2023-08-18 18:00:00+00:00,17.85,17.92,17.85,17.85,918.0,22.0,17.870561
CIVB,2023-08-18 19:00:00+00:00,17.85,17.88,17.55,17.55,4576.0,144.0,17.715776
CIVB,2023-08-18 20:00:00+00:00,17.63,17.63,17.63,17.63,5592.0,2.0,17.63
CIVB,2023-08-21 13:00:00+00:00,17.66,17.66,17.58,17.58,1055.0,10.0,17.627218
CIVB,2023-08-21 14:00:00+00:00,17.5001,17.545,17.34,17.455,5562.0,80.0,17.48412
CIVB,2023-08-21 15:00:00+00:00,17.455,17.46,17.34,17.43,12414.0,196.0,17.3959
CIVB,2023-08-21 16:00:00+00:00,17.4,17.45,17.4,17.43,440.0,7.0,17.431817
CIVB,2023-08-21 17:00:00+00:00,17.434,17.48,17.4319,17.48,592.0,14.0,17.459148
CIVB,2023-08-21 18:00:00+00:00,17.49,17.49,17.48,17.48,317.0,7.0,17.483785
CIVB,2023-08-21 19:00:00+00:00,17.45,17.48,17.37,17.44,2205.0,71.0,17.424347
CIVB,2023-08-21 20:00:00+00:00,17.39,17.39,17.39,17.39,3821.0,2.0,17.39
CIVB,2023-08-22 13:00:00+00:00,17.51,17.63,17.5035,17.63,2482.0,9.0,17.522561
CIVB,2023-08-22 14:00:00+00:00,17.26,17.326,17.25,17.26,3769.0,77.0,17.269587
CIVB,2023-08-22 15:00:00+00:00,17.26,17.26,17.03,17.125,4121.0,88.0,17.138236
CIVB,2023-08-22 16:00:00+00:00,17.125,17.2,16.95,16.95,10268.0,167.0,17.073239
CIVB,2023-08-22 17:00:00+00:00,16.97,17.092,16.95,16.951,1503.0,19.0,16.980339
CIVB,2023-08-22 18:00:00+00:00,16.96,16.96,16.96,16.96,162.0,2.0,16.960309
CIVB,2023-08-22 19:00:00+00:00,17.01,17.01,16.85,16.91,17178.0,440.0,16.932937
CIVB,2023-08-22 20:00:00+00:00,16.94,16.94,16.94,16.94,10530.0,2.0,16.94
CIVB,2023-08-23 13:00:00+00:00,16.97,17.11,16.97,17.105,11215.0,23.0,17.004694
CIVB,2023-08-23 14:00:00+00:00,16.895,17.02,16.895,16.96,768.0,12.0,16.922598
CIVB,2023-08-23 15:00:00+00:00,17.105,17.15,17.07,17.07,660.0,8.0,17.097273
CIVB,2023-08-23 16:00:00+00:00,17.08,17.115,17.08,17.115,260.0,6.0,17.093077
CIVB,2023-08-23 17:00:00+00:00,17.08,17.175,17.05,17.07,644.0,12.0,17.086273
CIVB,2023-08-23 18:00:00+00:00,17.13,17.13,17.03,17.09,1154.0,17.0,17.08721
CIVB,2023-08-23 19:00:00+00:00,17.15,17.15,17.06,17.06,3028.0,143.0,17.094323
CIVB,2023-08-23 20:00:00+00:00,17.17,17.17,17.17,17.17,4928.0,1.0,17.17
CIVB,2023-08-24 13:00:00+00:00,17.02,17.05,16.96,16.96,1371.0,19.0,17.024843
CIVB,2023-08-24 14:00:00+00:00,17.255,17.28,17.175,17.25,1000.0,18.0,17.243303
CIVB,2023-08-24 15:00:00+00:00,17.16,17.1991,17.02,17.035,4718.0,36.0,17.164358
CIVB,2023-08-24 16:00:00+00:00,17.06,17.08,17.02,17.08,935.0,30.0,17.057158
CIVB,2023-08-24 17:00:00+00:00,17.09,17.12,17.09,17.12,1514.0,54.0,17.101651
CIVB,2023-08-24 18:00:00+00:00,17.185,17.24,17.185,17.24,1064.0,38.0,17.220061
CIVB,2023-08-24 19:00:00+00:00,17.31,17.35,17.28,17.285,3667.0,130.0,17.297496
CIVB,2023-08-24 20:00:00+00:00,17.34,17.34,17.34,17.34,6222.0,1.0,17.34
CIVB,2023-08-25 13:00:00+00:00,16.26,17.19,16.26,17.0076,3131.0,19.0,16.909611
CIVB,2023-08-25 14:00:00+00:00,17.18,17.18,17.06,17.06,1323.0,25.0,17.135465
CIVB,2023-08-25 15:00:00+00:00,17.12,17.15,17.12,17.15,537.0,17.0,17.130587
CIVB,2023-08-25 16:00:00+00:00,17.17,17.17,17.17,17.17,102.0,2.0,17.170392
CIVB,2023-08-25 17:00:00+00:00,17.14,17.14,17.12,17.12,1046.0,27.0,17.125716
CIVB,2023-08-25 19:00:00+00:00,17.2,17.27,16.99,16.99,3309.0,153.0,17.14719
CIVB,2023-08-25 20:00:00+00:00,16.99,16.99,16.99,16.99,2986.0,2.0,16.99
CIVB,2023-08-28 13:00:00+00:00,17.12,17.17,17.11,17.17,2082.0,23.0,17.133326
CIVB,2023-08-28 14:00:00+00:00,17.2585,17.2585,17.2585,17.2585,118.0,1.0,17.2585
CIVB,2023-08-28 15:00:00+00:00,17.145,17.145,17.12,17.12,200.0,2.0,17.1325
CIVB,2023-08-28 16:00:00+00:00,17.13,17.13,17.1,17.1,1064.0,24.0,17.106283
CIVB,2023-08-28 17:00:00+00:00,17.06,17.06,17.05,17.05,468.0,23.0,17.061902
CIVB,2023-08-28 18:00:00+00:00,17.05,17.05,16.855,16.9,5441.0,57.0,16.987793
CIVB,2023-08-28 19:00:00+00:00,16.91,16.915,16.83,16.89,11516.0,297.0,16.896179
CIVB,2023-08-28 20:00:00+00:00,16.875,16.875,16.875,16.875,3478.0,1.0,16.875
CIVB,2023-08-29 14:00:00+00:00,16.865,16.865,16.8,16.81,2817.0,25.0,16.820668
CIVB,2023-08-29 15:00:00+00:00,16.87,16.885,16.805,16.87,658.0,10.0,16.853207
CIVB,2023-08-29 16:00:00+00:00,16.88,16.93,16.88,16.9,983.0,15.0,16.903291
CIVB,2023-08-29 17:00:00+00:00,16.915,16.92,16.915,16.92,247.0,7.0,16.931802
CIVB,2023-08-29 19:00:00+00:00,16.86,16.995,16.86,16.935,4955.0,113.0,16.934842
CIVB,2023-08-29 20:00:00+00:00,16.99,16.99,16.99,16.99,2435.0,2.0,16.99
CIVB,2023-08-30 13:00:00+00:00,16.9,16.94,16.9,16.94,385.0,10.0,16.925091
CIVB,2023-08-30 14:00:00+00:00,16.935,16.935,16.86,16.86,1037.0,9.0,16.911533
CIVB,2023-08-30 17:00:00+00:00,16.86,16.875,16.85,16.86,1103.0,17.0,16.861224
CIVB,2023-08-30 18:00:00+00:00,16.9,16.9,16.88,16.9,2394.0,56.0,16.891044
CIVB,2023-08-30 19:00:00+00:00,16.89,16.92,16.84,16.87,6722.0,183.0,16.894156
CIVB,2023-08-30 20:00:00+00:00,16.95,16.95,16.95,16.95,2945.0,2.0,16.95
CIVB,2023-08-31 13:00:00+00:00,17.09,17.09,17.025,17.025,391.0,4.0,17.044539
CIVB,2023-08-31 14:00:00+00:00,17.055,17.055,17.055,17.055,100.0,1.0,17.055
CIVB,2023-08-31 15:00:00+00:00,16.96,16.96,16.96,16.96,100.0,1.0,16.96
CIVB,2023-08-31 16:00:00+00:00,16.9794,16.995,16.9794,16.995,451.0,6.0,16.988082
CIVB,2023-08-31 17:00:00+00:00,16.93,17.04,16.93,17.04,773.0,10.0,17.00086
CIVB,2023-08-31 18:00:00+00:00,17.075,17.075,17.04,17.05,875.0,18.0,17.047406
CIVB,2023-08-31 19:00:00+00:00,16.93,17.02,16.93,16.98,5869.0,137.0,16.975163
CIVB,2023-08-31 20:00:00+00:00,16.99,16.99,16.99,16.99,8044.0,5.0,16.99
CIVB,2023-09-01 13:00:00+00:00,17.27,17.27,17.2,17.2,808.0,26.0,17.219622
CIVB,2023-09-01 14:00:00+00:00,17.265,17.265,17.14,17.215,2526.0,53.0,17.202913
CIVB,2023-09-01 15:00:00+00:00,17.2312,17.2312,17.17,17.19,1129.0,43.0,17.200283
CIVB,2023-09-01 16:00:00+00:00,17.23,17.275,17.1828,17.25,1395.0,54.0,17.234211
CIVB,2023-09-01 17:00:00+00:00,17.26,17.29,17.26,17.2701,1623.0,51.0,17.27857
CIVB,2023-09-01 18:00:00+00:00,17.275,17.29,17.24,17.25,2005.0,70.0,17.271492
CIVB,2023-09-01 19:00:00+00:00,17.23,17.235,17.16,17.16,7916.0,214.0,17.194133
CIVB,2023-09-01 20:00:00+00:00,17.205,17.205,17.205,17.205,3944.0,3.0,17.205
CIVB,2023-09-05 13:00:00+00:00,17.08,17.08,17.08,17.08,192.0,5.0,17.140208
CIVB,2023-09-05 14:00:00+00:00,17.045,17.045,16.9366,16.9366,2882.0,31.0,17.021469
CIVB,2023-09-05 15:00:00+00:00,16.93,16.93,16.93,16.93,150.0,1.0,16.93
CIVB,2023-09-05 18:00:00+00:00,16.9202,16.9202,16.85,16.885,1256.0,29.0,16.875032
CIVB,2023-09-05 19:00:00+00:00,16.8898,16.92,16.85,16.85,6840.0,228.0,16.875997
CIVB,2023-09-05 20:00:00+00:00,16.85,16.85,16.85,16.85,3777.0,2.0,16.85
CIVB,2023-09-06 13:00:00+00:00,16.98,16.98,16.9,16.9,7236.0,52.0,16.955048
CIVB,2023-09-06 14:00:00+00:00,16.8,16.8,16.75,16.75,864.0,16.0,16.782772
