c,h,l,n,o,t,v,vw
59.01,59.01,59.01,12,59.01,2022-01-18T14:30:00Z,29653,59.01
59.02,59.03,59.02,27,59.03,2022-01-18T14:40:00Z,4714,59.02
59.03,59.03,59.0,13,59.01,2022-01-18T14:50:00Z,12200,59.000246
59.01,59.01,59.01,1,59.01,2022-01-18T14:55:00Z,100,59.01
59.0,59.0,58.99,6,59.0,2022-01-18T15:15:00Z,1032,59.0
58.99,58.99,58.99,4,58.99,2022-01-18T15:20:00Z,246,58.99
59.0,59.0,59.0,2,59.0,2022-01-18T15:25:00Z,299,59.0
58.99,58.99,58.99,2,58.99,2022-01-18T15:35:00Z,209,58.99
58.98,58.98,58.98,3,58.98,2022-01-18T15:40:00Z,887,58.98
58.98,58.98,58.98,3,58.98,2022-01-18T15:45:00Z,204,58.98
58.97,58.98,58.97,2,58.98,2022-01-18T15:55:00Z,300,58.973333
58.98,58.98,58.98,3,58.98,2022-01-18T16:20:00Z,3043,58.98
58.97,58.97,58.96,3,58.96,2022-01-18T16:25:00Z,301,58.966279
58.98,58.99,58.97,5,58.99,2022-01-18T16:35:00Z,4792,58.981014
58.98,58.98,58.98,2,58.98,2022-01-18T16:40:00Z,350,58.98
58.96,58.98,58.96,2,58.98,2022-01-18T16:45:00Z,4000,58.97
58.96,58.98,58.96,2,58.98,2022-01-18T16:50:00Z,462,58.98
58.98,58.98,58.98,1,58.98,2022-01-18T17:00:00Z,649,58.98
58.98,58.98,58.98,1,58.98,2022-01-18T17:05:00Z,211,58.98
58.98,58.98,58.98,1,58.98,2022-01-18T17:15:00Z,140,58.98
58.98,58.98,58.98,4,58.98,2022-01-18T17:20:00Z,1510,58.98
58.99,58.99,58.99,1,58.99,2022-01-18T17:25:00Z,328,58.99
58.97,58.97,58.97,1,58.97,2022-01-18T17:35:00Z,171,58.97
58.96,58.96,58.96,1,58.96,2022-01-18T17:40:00Z,273,58.96
58.97,58.97,58.95,37,58.97,2022-01-18T17:45:00Z,58816,58.969953
58.95,58.95,58.95,8,58.95,2022-01-18T17:50:00Z,255,58.96
58.95,58.95,58.95,6,58.95,2022-01-18T17:55:00Z,20540,58.95
58.95,58.95,58.95,2,58.95,2022-01-18T18:00:00Z,3000,58.95
58.93,58.95,58.91,18,58.94,2022-01-18T18:05:00Z,291056,58.910216
58.93,58.93,58.93,1,58.93,2022-01-18T18:10:00Z,800,58.93
58.95,58.95,58.95,2,58.95,2022-01-18T18:25:00Z,187,58.95
58.95,58.95,58.95,1,58.95,2022-01-18T18:45:00Z,1310,58.95
58.94,58.94,58.94,2,58.94,2022-01-18T18:50:00Z,502,58.94
58.93,58.93,58.93,3,58.93,2022-01-18T18:55:00Z,366,58.93
58.94,58.94,58.93,6,58.93,2022-01-18T19:00:00Z,913,58.934425
58.95,58.95,58.94,9,58.94,2022-01-18T19:05:00Z,941,58.94
58.94,58.95,58.94,33,58.95,2022-01-18T19:10:00Z,36959,58.940462
58.94,58.94,58.94,1,58.94,2022-01-18T19:15:00Z,5000,58.94
58.94,58.94,58.94,1,58.94,2022-01-18T19:20:00Z,250,58.94
58.94,58.94,58.94,1,58.94,2022-01-18T19:25:00Z,2785,58.94
58.95,58.95,58.95,1,58.95,2022-01-18T19:35:00Z,389,58.95
58.93,58.94,58.92,21,58.94,2022-01-18T19:40:00Z,18691,58.93
58.92,58.92,58.92,2,58.92,2022-01-18T19:45:00Z,287,58.92
58.92,58.92,58.92,3,58.92,2022-01-18T19:50:00Z,300,58.92
58.91,58.91,58.91,1,58.91,2022-01-18T20:05:00Z,650,58.91
58.92,58.92,58.92,2,58.92,2022-01-18T20:15:00Z,734,58.92
58.92,58.92,58.92,1,58.92,2022-01-18T20:20:00Z,130,58.92
58.91,58.91,58.91,4,58.91,2022-01-18T20:25:00Z,1415,58.91
58.92,58.92,58.92,2,58.92,2022-01-18T20:30:00Z,425,58.92
58.93,58.93,58.93,1,58.93,2022-01-18T20:35:00Z,1465,58.93
58.91,58.92,58.91,8,58.92,2022-01-18T20:40:00Z,4677,58.913791
58.88,58.91,58.87,43,58.91,2022-01-18T20:45:00Z,30809,58.883583
58.87,58.89,58.87,3,58.89,2022-01-18T20:50:00Z,942,58.88431
58.87,58.91,58.86,54,58.91,2022-01-18T20:55:00Z,7787,58.874866
58.87,58.87,58.87,2,58.87,2022-01-18T21:00:00Z,804,58.87
58.94,58.94,58.94,4,58.94,2022-01-19T14:30:00Z,1551,58.94
58.9,58.9,58.9,1,58.9,2022-01-19T14:50:00Z,410,58.9
58.93,58.93,58.88,2,58.88,2022-01-19T14:55:00Z,763,58.89
58.92,58.92,58.92,1,58.92,2022-01-19T15:15:00Z,1148,58.92
58.93,58.93,58.91,3,58.91,2022-01-19T15:30:00Z,272,58.92
58.88,58.88,58.88,5,58.88,2022-01-19T15:35:00Z,380,58.88
58.9,58.9,58.9,1,58.9,2022-01-19T15:45:00Z,100,58.9
58.88,58.89,58.88,7,58.89,2022-01-19T15:55:00Z,2109,58.88
58.89,58.89,58.89,5,58.89,2022-01-19T16:05:00Z,600,58.89
58.89,58.89,58.89,3,58.89,2022-01-19T16:15:00Z,317,58.89
58.89,58.89,58.88,7,58.88,2022-01-19T16:20:00Z,760,58.88
58.9,58.93,58.89,3,58.93,2022-01-19T16:25:00Z,1576,58.918731
58.86,58.88,58.86,6,58.88,2022-01-19T16:35:00Z,350120,58.86
58.9,58.9,58.9,1,58.9,2022-01-19T16:45:00Z,4884,58.9
58.9,58.9,58.89,6,58.89,2022-01-19T16:50:00Z,7018,58.899416
58.89,58.89,58.89,1,58.89,2022-01-19T16:55:00Z,245,58.89
58.9,58.9,58.9,1,58.9,2022-01-19T17:00:00Z,150,58.9
58.89,58.89,58.89,1,58.89,2022-01-19T17:10:00Z,501,58.89
58.88,58.88,58.88,1,58.88,2022-01-19T17:20:00Z,421,58.88
58.86,58.88,58.86,9,58.88,2022-01-19T17:25:00Z,2094,58.866781
58.88,58.88,58.87,7,58.88,2022-01-19T17:35:00Z,651,58.88
