symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CNSL,2023-07-17 12:00:00+00:00,3.95,3.95,3.95,3.95,100.0,1.0,3.95
CNSL,2023-07-17 13:00:00+00:00,3.82,3.82,3.645,3.65,94435.0,730.0,3.692299
CNSL,2023-07-17 14:00:00+00:00,3.65,3.65,3.27,3.29,488707.0,2819.0,3.428779
CNSL,2023-07-17 15:00:00+00:00,3.2801,3.2899,3.02,3.12,705160.0,3597.0,3.133608
CNSL,2023-07-17 16:00:00+00:00,3.1212,3.27,3.1,3.1689,257803.0,2159.0,3.198795
CNSL,2023-07-17 17:00:00+00:00,3.165,3.215,3.15,3.17,143678.0,1480.0,3.184069
CNSL,2023-07-17 18:00:00+00:00,3.17,3.19,3.115,3.135,150374.0,1729.0,3.150933
CNSL,2023-07-17 19:00:00+00:00,3.1399,3.155,3.105,3.11,267906.0,2959.0,3.123566
CNSL,2023-07-17 20:00:00+00:00,3.115,3.2,3.115,3.2,44050.0,3.0,3.115202
CNSL,2023-07-17 22:00:00+00:00,3.19,3.19,3.19,3.19,400.0,1.0,3.19
CNSL,2023-07-17 23:00:00+00:00,3.1896,3.19,3.18,3.19,3410.0,8.0,3.188534
CNSL,2023-07-18 11:00:00+00:00,3.19,3.19,3.19,3.19,293.0,2.0,3.19
CNSL,2023-07-18 12:00:00+00:00,3.17,3.17,3.17,3.17,360.0,2.0,3.169817
CNSL,2023-07-18 13:00:00+00:00,3.17,3.17,3.05,3.085,65300.0,538.0,3.083991
CNSL,2023-07-18 14:00:00+00:00,3.085,3.14,3.055,3.0856,155371.0,1173.0,3.08472
CNSL,2023-07-18 15:00:00+00:00,3.085,3.12,3.07,3.1,65866.0,752.0,3.091594
CNSL,2023-07-18 16:00:00+00:00,3.095,3.0991,3.03,3.035,69053.0,618.0,3.058425
CNSL,2023-07-18 17:00:00+00:00,3.035,3.05,3.0,3.005,72123.0,690.0,3.02212
CNSL,2023-07-18 18:00:00+00:00,3.005,3.01,2.93,2.995,182612.0,1350.0,2.976734
CNSL,2023-07-18 19:00:00+00:00,3.0,3.14,2.995,3.125,225560.0,2259.0,3.095871
CNSL,2023-07-18 20:00:00+00:00,3.13,3.13,3.13,3.13,34651.0,1.0,3.13
CNSL,2023-07-18 21:00:00+00:00,3.1,3.1,3.1,3.1,300.0,1.0,3.1
CNSL,2023-07-19 12:00:00+00:00,3.24,3.24,3.16,3.16,6400.0,7.0,3.16125
CNSL,2023-07-19 13:00:00+00:00,3.21,3.34,3.195,3.3,149920.0,962.0,3.251444
CNSL,2023-07-19 14:00:00+00:00,3.3,3.38,3.285,3.365,198875.0,1727.0,3.325902
CNSL,2023-07-19 15:00:00+00:00,3.3601,3.38,3.34,3.375,68473.0,707.0,3.360415
CNSL,2023-07-19 16:00:00+00:00,3.375,3.44,3.37,3.42,54823.0,644.0,3.407197
CNSL,2023-07-19 17:00:00+00:00,3.425,3.425,3.34,3.375,84170.0,782.0,3.379281
CNSL,2023-07-19 18:00:00+00:00,3.375,3.375,3.29,3.295,106768.0,790.0,3.335055
CNSL,2023-07-19 19:00:00+00:00,3.29,3.315,3.265,3.285,186069.0,2242.0,3.289179
CNSL,2023-07-19 20:00:00+00:00,3.29,3.29,3.29,3.29,47489.0,4.0,3.29
CNSL,2023-07-19 22:00:00+00:00,3.22,3.22,3.22,3.22,400.0,1.0,3.22
CNSL,2023-07-20 13:00:00+00:00,3.28,3.3299,3.22,3.25,38653.0,238.0,3.261819
CNSL,2023-07-20 14:00:00+00:00,3.245,3.255,3.195,3.225,52343.0,673.0,3.220991
CNSL,2023-07-20 15:00:00+00:00,3.2227,3.25,3.21,3.235,27327.0,410.0,3.2329
CNSL,2023-07-20 16:00:00+00:00,3.2301,3.25,3.21,3.215,26582.0,355.0,3.23756
CNSL,2023-07-20 17:00:00+00:00,3.215,3.23,3.2,3.225,40373.0,330.0,3.212601
CNSL,2023-07-20 18:00:00+00:00,3.2292,3.2391,3.21,3.235,32594.0,368.0,3.220811
CNSL,2023-07-20 19:00:00+00:00,3.2399,3.28,3.235,3.27,70751.0,936.0,3.249068
CNSL,2023-07-20 20:00:00+00:00,3.27,3.27,3.27,3.27,48010.0,4.0,3.27
CNSL,2023-07-21 12:00:00+00:00,3.25,3.25,3.25,3.25,300.0,1.0,3.25
CNSL,2023-07-21 13:00:00+00:00,3.27,3.3074,3.255,3.275,65291.0,272.0,3.274583
CNSL,2023-07-21 14:00:00+00:00,3.275,3.325,3.26,3.305,70318.0,629.0,3.294726
CNSL,2023-07-21 15:00:00+00:00,3.305,3.35,3.3,3.343,38594.0,333.0,3.330553
CNSL,2023-07-21 16:00:00+00:00,3.345,3.35,3.3,3.31,16709.0,222.0,3.332449
CNSL,2023-07-21 17:00:00+00:00,3.305,3.36,3.305,3.36,50693.0,486.0,3.322023
CNSL,2023-07-21 18:00:00+00:00,3.36,3.36,3.33,3.345,52152.0,375.0,3.347755
CNSL,2023-07-21 19:00:00+00:00,3.345,3.345,3.31,3.32,79880.0,1010.0,3.322624
CNSL,2023-07-21 20:00:00+00:00,3.31,3.31,3.31,3.31,32320.0,2.0,3.31
CNSL,2023-07-24 11:00:00+00:00,3.47,3.47,3.47,3.47,200.0,1.0,3.47
CNSL,2023-07-24 13:00:00+00:00,3.35,3.455,3.32,3.44,50783.0,516.0,3.407706
CNSL,2023-07-24 14:00:00+00:00,3.43,3.4999,3.4,3.4999,95550.0,861.0,3.45139
CNSL,2023-07-24 15:00:00+00:00,3.5,3.61,3.49,3.605,132828.0,830.0,3.55527
CNSL,2023-07-24 16:00:00+00:00,3.6023,3.64,3.575,3.6,108244.0,751.0,3.609881
CNSL,2023-07-24 17:00:00+00:00,3.6,3.63,3.575,3.63,66170.0,495.0,3.597088
CNSL,2023-07-24 18:00:00+00:00,3.63,3.635,3.61,3.63,62294.0,651.0,3.61778
CNSL,2023-07-24 19:00:00+00:00,3.625,3.795,3.605,3.73,409573.0,2929.0,3.72283
CNSL,2023-07-24 20:00:00+00:00,3.73,3.73,3.73,3.73,41532.0,9.0,3.73
CNSL,2023-07-24 23:00:00+00:00,3.73,3.73,3.73,3.73,1300.0,9.0,3.73
CNSL,2023-07-25 13:00:00+00:00,3.72,3.72,3.59,3.6213,43521.0,373.0,3.665726
CNSL,2023-07-25 14:00:00+00:00,3.63,3.645,3.61,3.64,64618.0,680.0,3.622151
CNSL,2023-07-25 15:00:00+00:00,3.635,3.64,3.605,3.63,55022.0,480.0,3.621802
CNSL,2023-07-25 16:00:00+00:00,3.63,3.66,3.63,3.64,19197.0,243.0,3.639732
CNSL,2023-07-25 17:00:00+00:00,3.635,3.635,3.61,3.62,15369.0,288.0,3.622939
CNSL,2023-07-25 18:00:00+00:00,3.63,3.63,3.61,3.625,14509.0,298.0,3.618672
CNSL,2023-07-25 19:00:00+00:00,3.629,3.67,3.6225,3.66,46616.0,944.0,3.645987
CNSL,2023-07-25 20:00:00+00:00,3.65,3.65,3.65,3.65,30882.0,4.0,3.65
CNSL,2023-07-25 23:00:00+00:00,3.64,3.64,3.64,3.64,1900.0,1.0,3.64
CNSL,2023-07-26 13:00:00+00:00,3.62,3.76,3.62,3.7208,39383.0,276.0,3.708553
CNSL,2023-07-26 14:00:00+00:00,3.73,3.74,3.6707,3.68,21533.0,223.0,3.697582
CNSL,2023-07-26 15:00:00+00:00,3.67,3.76,3.67,3.76,35122.0,281.0,3.704981
CNSL,2023-07-26 16:00:00+00:00,3.76,3.76,3.72,3.73,32833.0,200.0,3.734048
CNSL,2023-07-26 17:00:00+00:00,3.72,3.72,3.68,3.71,44081.0,398.0,3.693752
CNSL,2023-07-26 18:00:00+00:00,3.7,3.7,3.66,3.68,17889.0,285.0,3.683546
CNSL,2023-07-26 19:00:00+00:00,3.69,3.72,3.65,3.71,68010.0,889.0,3.694097
CNSL,2023-07-26 20:00:00+00:00,3.71,3.71,3.71,3.71,32789.0,2.0,3.71
CNSL,2023-07-27 13:00:00+00:00,3.72,3.735,3.68,3.685,13388.0,86.0,3.707882
CNSL,2023-07-27 14:00:00+00:00,3.685,3.725,3.685,3.71,18669.0,244.0,3.709232
CNSL,2023-07-27 15:00:00+00:00,3.72,3.77,3.7036,3.735,79166.0,439.0,3.732304
CNSL,2023-07-27 16:00:00+00:00,3.74,3.74,3.695,3.695,18585.0,231.0,3.721456
CNSL,2023-07-27 17:00:00+00:00,3.695,3.7,3.68,3.695,38403.0,447.0,3.684504
CNSL,2023-07-27 18:00:00+00:00,3.695,3.705,3.67,3.685,49167.0,601.0,3.683042
CNSL,2023-07-27 19:00:00+00:00,3.68,3.69,3.6501,3.67,137184.0,1527.0,3.676743
CNSL,2023-07-27 20:00:00+00:00,3.67,3.67,3.67,3.67,40441.0,10.0,3.67
CNSL,2023-07-28 13:00:00+00:00,3.7,3.785,3.7,3.73,14975.0,176.0,3.746333
CNSL,2023-07-28 14:00:00+00:00,3.74,3.74,3.66,3.695,30824.0,371.0,3.702709
CNSL,2023-07-28 15:00:00+00:00,3.7,3.71,3.69,3.7,10335.0,169.0,3.699545
CNSL,2023-07-28 16:00:00+00:00,3.6925,3.695,3.69,3.69,2469.0,40.0,3.692771
CNSL,2023-07-28 17:00:00+00:00,3.695,3.7,3.64,3.645,18506.0,257.0,3.667742
CNSL,2023-07-28 18:00:00+00:00,3.64,3.65,3.59,3.5995,47079.0,366.0,3.612822
CNSL,2023-07-28 19:00:00+00:00,3.595,3.6,3.54,3.55,97412.0,805.0,3.563404
CNSL,2023-07-28 20:00:00+00:00,3.55,3.55,3.55,3.55,37893.0,3.0,3.55
CNSL,2023-07-31 13:00:00+00:00,3.55,3.59,3.53,3.5894,10288.0,131.0,3.571772
CNSL,2023-07-31 14:00:00+00:00,3.59,3.6,3.565,3.565,15744.0,235.0,3.586612
CNSL,2023-07-31 15:00:00+00:00,3.565,3.63,3.555,3.615,45798.0,435.0,3.589372
CNSL,2023-07-31 16:00:00+00:00,3.61,3.62,3.585,3.585,8235.0,132.0,3.606129
