symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CRNX,2023-07-17 13:00:00+00:00,20.38,20.4,19.88,20.27,38337.0,506.0,20.272778
CRNX,2023-07-17 14:00:00+00:00,20.275,20.81,20.275,20.54,46392.0,1004.0,20.517378
CRNX,2023-07-17 15:00:00+00:00,20.5,20.54,20.36,20.415,55995.0,840.0,20.425559
CRNX,2023-07-17 16:00:00+00:00,20.42,20.44,20.32,20.375,57625.0,836.0,20.401474
CRNX,2023-07-17 17:00:00+00:00,20.35,20.36,20.06,20.1,36340.0,782.0,20.180337
CRNX,2023-07-17 18:00:00+00:00,20.09,20.39,20.09,20.215,41976.0,869.0,20.256687
CRNX,2023-07-17 19:00:00+00:00,20.2,20.26,19.95,19.965,113094.0,2016.0,20.065705
CRNX,2023-07-17 20:00:00+00:00,19.96,19.96,19.9599,19.9599,50674.0,12.0,19.96
CRNX,2023-07-18 13:00:00+00:00,19.95,20.27,19.94,20.2,9230.0,188.0,20.073032
CRNX,2023-07-18 14:00:00+00:00,20.18,20.35,20.16,20.245,23673.0,608.0,20.228628
CRNX,2023-07-18 15:00:00+00:00,20.23,20.52,20.14,20.495,27975.0,672.0,20.311434
CRNX,2023-07-18 16:00:00+00:00,20.53,20.76,20.45,20.53,39719.0,649.0,20.624572
CRNX,2023-07-18 17:00:00+00:00,20.52,20.52,20.305,20.33,19815.0,458.0,20.439229
CRNX,2023-07-18 18:00:00+00:00,20.32,20.44,20.21,20.25,33587.0,702.0,20.329813
CRNX,2023-07-18 19:00:00+00:00,20.21,20.22,19.93,19.93,237467.0,3059.0,20.030508
CRNX,2023-07-18 20:00:00+00:00,19.94,19.94,19.94,19.94,42050.0,8.0,19.94
CRNX,2023-07-19 13:00:00+00:00,19.98,20.08,19.785,19.7875,13735.0,295.0,19.90942
CRNX,2023-07-19 14:00:00+00:00,19.82,20.08,19.78,20.0,62513.0,1193.0,19.966586
CRNX,2023-07-19 15:00:00+00:00,20.0,20.07,19.9,20.0,63467.0,819.0,19.982717
CRNX,2023-07-19 16:00:00+00:00,20.0,20.01,19.76,19.91,39349.0,782.0,19.865181
CRNX,2023-07-19 17:00:00+00:00,19.91,19.93,19.55,19.66,68041.0,1061.0,19.736023
CRNX,2023-07-19 18:00:00+00:00,19.64,19.8,19.64,19.77,40521.0,880.0,19.73474
CRNX,2023-07-19 19:00:00+00:00,19.765,19.85,19.59,19.59,103525.0,2103.0,19.686674
CRNX,2023-07-19 20:00:00+00:00,19.61,19.61,19.61,19.61,50858.0,19.0,19.61
CRNX,2023-07-20 13:00:00+00:00,19.63,19.93,19.45,19.59,19143.0,341.0,19.580777
CRNX,2023-07-20 14:00:00+00:00,19.61,19.82,19.55,19.765,40588.0,998.0,19.666663
CRNX,2023-07-20 15:00:00+00:00,19.765,19.905,19.65,19.89,48304.0,874.0,19.757829
CRNX,2023-07-20 16:00:00+00:00,19.91,19.945,19.79,19.86,28981.0,713.0,19.881862
CRNX,2023-07-20 17:00:00+00:00,19.85,19.92,19.79,19.9,25579.0,570.0,19.859281
CRNX,2023-07-20 18:00:00+00:00,19.9,19.92,19.74,19.9,45840.0,966.0,19.841831
CRNX,2023-07-20 19:00:00+00:00,19.89,20.06,19.86,19.99,93970.0,1699.0,19.995746
CRNX,2023-07-20 20:00:00+00:00,19.99,20.0,19.99,20.0,84382.0,10.0,19.999988
CRNX,2023-07-21 13:00:00+00:00,20.12,20.12,19.58,19.76,35039.0,278.0,20.024597
CRNX,2023-07-21 14:00:00+00:00,19.73,19.766,19.45,19.48,20289.0,603.0,19.624696
CRNX,2023-07-21 15:00:00+00:00,19.45,19.59,19.35,19.36,30655.0,975.0,19.43253
CRNX,2023-07-21 16:00:00+00:00,19.33,19.33,18.92,18.92,32990.0,923.0,19.138899
CRNX,2023-07-21 17:00:00+00:00,18.92,19.5,18.865,19.42,83713.0,1534.0,19.095684
CRNX,2023-07-21 18:00:00+00:00,19.4,19.42,19.0,19.03,69684.0,1121.0,19.154021
CRNX,2023-07-21 19:00:00+00:00,19.06,19.06,18.65,18.72,86453.0,1959.0,18.783166
CRNX,2023-07-21 20:00:00+00:00,18.71,18.71,18.1,18.15,57005.0,35.0,18.670092
CRNX,2023-07-21 21:00:00+00:00,18.13,18.13,18.13,18.13,200.0,2.0,18.13
CRNX,2023-07-21 22:00:00+00:00,18.15,18.15,18.15,18.15,698.0,2.0,18.15
CRNX,2023-07-21 23:00:00+00:00,18.15,18.15,18.15,18.15,100.0,1.0,18.15
CRNX,2023-07-24 11:00:00+00:00,18.16,18.16,18.16,18.16,208.0,3.0,18.15976
CRNX,2023-07-24 12:00:00+00:00,18.35,18.35,18.35,18.35,300.0,3.0,18.3495
CRNX,2023-07-24 13:00:00+00:00,18.32,18.61,18.32,18.44,20290.0,186.0,18.480096
CRNX,2023-07-24 14:00:00+00:00,18.44,18.57,18.24,18.25,31518.0,643.0,18.462542
CRNX,2023-07-24 15:00:00+00:00,18.27,18.37,18.18,18.37,28309.0,658.0,18.282658
CRNX,2023-07-24 16:00:00+00:00,18.38,18.38,18.1,18.28,57968.0,960.0,18.255376
CRNX,2023-07-24 17:00:00+00:00,18.27,18.54,18.18,18.34,50794.0,1016.0,18.339676
CRNX,2023-07-24 18:00:00+00:00,18.33,18.6,18.33,18.6,121213.0,974.0,18.434737
CRNX,2023-07-24 19:00:00+00:00,18.62,18.62,18.45,18.5,124298.0,2406.0,18.530244
CRNX,2023-07-24 20:00:00+00:00,18.54,18.54,18.5,18.54,71363.0,8.0,18.539784
CRNX,2023-07-25 12:00:00+00:00,18.54,18.54,18.54,18.54,500.0,1.0,18.54
CRNX,2023-07-25 13:00:00+00:00,18.41,18.585,18.13,18.4,18772.0,275.0,18.430534
CRNX,2023-07-25 14:00:00+00:00,18.37,18.58,18.34,18.45,25966.0,627.0,18.431431
CRNX,2023-07-25 15:00:00+00:00,18.48,18.51,18.4,18.48,24278.0,535.0,18.460182
CRNX,2023-07-25 16:00:00+00:00,18.48,18.5,18.335,18.49,23490.0,505.0,18.409996
CRNX,2023-07-25 17:00:00+00:00,18.475,18.67,18.47,18.67,45607.0,898.0,18.541166
CRNX,2023-07-25 18:00:00+00:00,18.68,18.79,18.65,18.73,53015.0,1038.0,18.710793
CRNX,2023-07-25 19:00:00+00:00,18.75,18.805,18.58,18.6,144197.0,2253.0,18.661119
CRNX,2023-07-25 20:00:00+00:00,18.59,18.6,18.59,18.6,62552.0,4.0,18.599875
CRNX,2023-07-26 13:00:00+00:00,18.57,19.26,18.48,18.83,26502.0,301.0,18.625332
CRNX,2023-07-26 14:00:00+00:00,18.79,18.85,18.52,18.64,41621.0,924.0,18.641384
CRNX,2023-07-26 15:00:00+00:00,18.64,18.65,18.54,18.61,40939.0,988.0,18.615489
CRNX,2023-07-26 16:00:00+00:00,18.62,18.64,18.54,18.59,29437.0,781.0,18.592277
CRNX,2023-07-26 17:00:00+00:00,18.58,18.645,18.49,18.64,71198.0,1418.0,18.579498
CRNX,2023-07-26 18:00:00+00:00,18.64,18.95,18.61,18.8,82139.0,1411.0,18.774263
CRNX,2023-07-26 19:00:00+00:00,18.81,18.89,18.73,18.85,101247.0,2294.0,18.813214
CRNX,2023-07-26 20:00:00+00:00,18.86,18.86,18.86,18.86,63586.0,8.0,18.86
