symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CRUS,2023-07-17 13:00:00+00:00,79.2,79.55,78.73,79.265,13123.0,338.0,79.17122
CRUS,2023-07-17 14:00:00+00:00,79.3151,79.695,78.9,79.445,43922.0,1277.0,79.243364
CRUS,2023-07-17 15:00:00+00:00,79.44,80.59,79.44,80.52,41891.0,1241.0,79.998008
CRUS,2023-07-17 16:00:00+00:00,80.515,80.545,79.99,80.16,48213.0,1367.0,80.23092
CRUS,2023-07-17 17:00:00+00:00,80.16,80.245,79.99,80.215,24116.0,938.0,80.12015
CRUS,2023-07-17 18:00:00+00:00,80.215,80.345,80.1,80.11,30715.0,1189.0,80.188346
CRUS,2023-07-17 19:00:00+00:00,80.13,80.63,79.925,79.98,135131.0,3869.0,80.15831
CRUS,2023-07-17 20:00:00+00:00,79.97,79.97,79.97,79.97,35573.0,28.0,79.97
CRUS,2023-07-18 13:00:00+00:00,79.63,79.63,79.16,79.385,12499.0,286.0,79.387219
CRUS,2023-07-18 14:00:00+00:00,79.39,79.91,79.05,79.19,48964.0,1324.0,79.44215
CRUS,2023-07-18 15:00:00+00:00,79.175,79.62,78.655,78.93,29787.0,928.0,79.046533
CRUS,2023-07-18 16:00:00+00:00,78.97,79.095,78.66,78.84,27490.0,914.0,78.863518
CRUS,2023-07-18 17:00:00+00:00,78.9,79.11,78.76,78.95,29956.0,1033.0,78.956341
CRUS,2023-07-18 18:00:00+00:00,78.92,79.52,78.92,79.435,24704.0,1044.0,79.341585
CRUS,2023-07-18 19:00:00+00:00,79.43,79.92,79.36,79.545,118816.0,2924.0,79.594635
CRUS,2023-07-18 20:00:00+00:00,79.51,79.51,79.51,79.51,65732.0,30.0,79.510076
CRUS,2023-07-19 08:00:00+00:00,79.5,79.5,79.5,79.5,100.0,1.0,79.5
CRUS,2023-07-19 13:00:00+00:00,79.88,79.88,78.87,79.09,12276.0,328.0,79.337327
CRUS,2023-07-19 14:00:00+00:00,79.09,79.295,78.55,79.06,54870.0,1240.0,78.894628
CRUS,2023-07-19 15:00:00+00:00,79.14,79.3,78.89,78.91,33211.0,987.0,79.098823
CRUS,2023-07-19 16:00:00+00:00,78.97,79.17,78.64,78.89,34992.0,1147.0,78.887698
CRUS,2023-07-19 17:00:00+00:00,78.84,79.31,78.52,79.31,114870.0,1611.0,78.777028
CRUS,2023-07-19 18:00:00+00:00,79.21,79.27,78.87,78.96,47958.0,1330.0,79.063861
CRUS,2023-07-19 19:00:00+00:00,79.03,79.51,78.98,79.34,197426.0,3905.0,79.333602
CRUS,2023-07-19 20:00:00+00:00,79.34,79.34,79.34,79.34,56516.0,23.0,79.34
CRUS,2023-07-20 13:00:00+00:00,78.56,79.14,77.565,78.225,31971.0,637.0,78.194458
CRUS,2023-07-20 14:00:00+00:00,78.24,78.34,77.56,78.01,49707.0,1501.0,78.032397
CRUS,2023-07-20 15:00:00+00:00,78.05,78.16,77.65,77.79,45625.0,1415.0,77.827933
CRUS,2023-07-20 16:00:00+00:00,77.785,78.0,77.47,77.478,34087.0,1065.0,77.691253
CRUS,2023-07-20 17:00:00+00:00,77.47,77.89,77.47,77.61,26431.0,810.0,77.688654
CRUS,2023-07-20 18:00:00+00:00,77.58,77.68,77.16,77.22,33180.0,1098.0,77.463375
CRUS,2023-07-20 19:00:00+00:00,77.115,77.5,76.74,77.11,146151.0,3372.0,77.205004
CRUS,2023-07-20 20:00:00+00:00,77.14,77.14,77.0,77.0,35870.0,31.0,77.139219
CRUS,2023-07-21 13:00:00+00:00,78.04,78.27,77.32,77.41,14437.0,414.0,77.646677
CRUS,2023-07-21 14:00:00+00:00,77.34,77.91,77.045,77.37,128510.0,2065.0,77.457415
CRUS,2023-07-21 15:00:00+00:00,77.34,77.64,77.0493,77.14,71680.0,2077.0,77.294985
CRUS,2023-07-21 16:00:00+00:00,77.205,77.39,76.805,76.89,93111.0,2032.0,77.076164
CRUS,2023-07-21 17:00:00+00:00,76.89,77.78,76.73,77.59,153515.0,2656.0,77.057339
CRUS,2023-07-21 18:00:00+00:00,77.55,77.635,77.14,77.5725,45786.0,1479.0,77.358891
CRUS,2023-07-21 19:00:00+00:00,77.53,78.04,77.43,77.82,130848.0,4200.0,77.805308
CRUS,2023-07-21 20:00:00+00:00,77.87,77.87,77.87,77.87,114200.0,16.0,77.87
CRUS,2023-07-24 13:00:00+00:00,77.68,78.36,77.61,77.61,26529.0,533.0,77.997346
CRUS,2023-07-24 14:00:00+00:00,77.82,78.46,77.79,78.235,41590.0,1425.0,78.164688
CRUS,2023-07-24 15:00:00+00:00,78.16,78.745,78.05,78.53,111743.0,1957.0,78.346027
CRUS,2023-07-24 16:00:00+00:00,78.6,78.65,78.295,78.37,27326.0,941.0,78.442538
CRUS,2023-07-24 17:00:00+00:00,78.31,78.335,77.79,77.79,48640.0,1070.0,78.06728
CRUS,2023-07-24 18:00:00+00:00,77.85,78.0,77.7,77.766,41708.0,1275.0,77.831876
CRUS,2023-07-24 19:00:00+00:00,77.72,77.757,77.175,77.46,94528.0,3055.0,77.363672
CRUS,2023-07-24 20:00:00+00:00,77.4,77.4,77.4,77.4,36100.0,17.0,77.4
CRUS,2023-07-25 13:00:00+00:00,78.41,78.41,77.59,78.07,8817.0,251.0,77.845982
CRUS,2023-07-25 14:00:00+00:00,78.1,78.615,78.02,78.51,25632.0,964.0,78.38666
CRUS,2023-07-25 15:00:00+00:00,78.5,78.5,78.22,78.37,21192.0,788.0,78.359998
CRUS,2023-07-25 16:00:00+00:00,78.3,78.375,78.14,78.375,20326.0,616.0,78.234717
CRUS,2023-07-25 17:00:00+00:00,78.5,78.76,78.31,78.445,26946.0,820.0,78.545311
CRUS,2023-07-25 18:00:00+00:00,78.441,78.75,78.43,78.63,36854.0,1141.0,78.65366
CRUS,2023-07-25 19:00:00+00:00,78.66,78.875,78.49,78.54,99365.0,2845.0,78.630486
CRUS,2023-07-25 20:00:00+00:00,78.57,78.57,78.57,78.57,43079.0,14.0,78.57
CRUS,2023-07-26 13:00:00+00:00,77.58,78.92,77.58,78.635,18773.0,461.0,78.305011
CRUS,2023-07-26 14:00:00+00:00,78.58,78.58,77.84,77.87,24861.0,1231.0,78.23584
CRUS,2023-07-26 15:00:00+00:00,77.76,78.13,77.61,78.1,29536.0,1418.0,77.805862
CRUS,2023-07-26 16:00:00+00:00,78.085,78.41,78.05,78.125,39316.0,1631.0,78.239878
CRUS,2023-07-26 17:00:00+00:00,78.15,78.595,78.15,78.41,28992.0,1344.0,78.410804
CRUS,2023-07-26 18:00:00+00:00,78.37,78.99,78.12,78.615,94052.0,2147.0,78.440096
CRUS,2023-07-26 19:00:00+00:00,78.72,78.8,78.11,78.22,135300.0,4039.0,78.426001
CRUS,2023-07-26 20:00:00+00:00,78.18,78.18,78.18,78.18,43450.0,22.0,78.18
CRUS,2023-07-27 13:00:00+00:00,79.57,80.8,79.45,80.68,68290.0,714.0,80.291938
CRUS,2023-07-27 14:00:00+00:00,80.4,81.15,80.07,80.665,62385.0,1800.0,80.627495
CRUS,2023-07-27 15:00:00+00:00,80.71,80.855,80.25,80.26,41133.0,1346.0,80.538492
CRUS,2023-07-27 16:00:00+00:00,80.34,80.73,80.335,80.38,28632.0,985.0,80.546326
CRUS,2023-07-27 17:00:00+00:00,80.42,80.56,80.075,80.16,33450.0,1184.0,80.263292
CRUS,2023-07-27 18:00:00+00:00,80.13,80.235,79.175,79.2,32770.0,1343.0,79.575156
CRUS,2023-07-27 19:00:00+00:00,79.23,79.5475,79.03,79.48,102643.0,3700.0,79.282666
CRUS,2023-07-27 20:00:00+00:00,79.45,79.45,79.45,79.45,80589.0,23.0,79.45
CRUS,2023-07-27 23:00:00+00:00,79.45,80.0,79.45,80.0,600.0,3.0,79.816667
