symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CWS,2023-07-17 14:00:00+00:00,54.475,54.6699,54.42,54.42,1025.0,6.0,54.540713
CWS,2023-07-17 15:00:00+00:00,54.69,54.695,54.69,54.695,400.0,3.0,54.6912
CWS,2023-07-17 18:00:00+00:00,54.79,54.79,54.79,54.79,100.0,1.0,54.79
CWS,2023-07-17 19:00:00+00:00,54.77,54.79,54.77,54.7702,300.0,3.0,54.776733
CWS,2023-07-18 13:00:00+00:00,54.8722,54.8722,54.8722,54.8722,100.0,1.0,54.8722
CWS,2023-07-18 14:00:00+00:00,54.955,54.955,54.955,54.955,1410.0,3.0,54.955067
CWS,2023-07-18 15:00:00+00:00,55.07,55.07,54.85,54.94,1192.0,13.0,55.013784
CWS,2023-07-18 16:00:00+00:00,54.94,54.94,54.83,54.83,367.0,5.0,54.907368
CWS,2023-07-18 17:00:00+00:00,54.8158,54.94,54.71,54.94,486.0,5.0,54.800228
CWS,2023-07-18 19:00:00+00:00,54.91,54.91,54.91,54.91,100.0,1.0,54.91
CWS,2023-07-19 13:00:00+00:00,55.35,55.35,55.0722,55.12,782.0,19.0,55.205236
CWS,2023-07-19 14:00:00+00:00,55.26,55.7699,55.1,55.1,1802.0,21.0,55.2918
CWS,2023-07-19 15:00:00+00:00,55.22,55.22,55.16,55.16,727.0,4.0,55.170481
CWS,2023-07-19 16:00:00+00:00,55.14,55.14,55.14,55.14,200.0,1.0,55.14
CWS,2023-07-19 17:00:00+00:00,55.0909,55.0909,55.0909,55.0909,454.0,2.0,55.091008
CWS,2023-07-19 18:00:00+00:00,55.1,55.12,55.1,55.12,215.0,3.0,55.109302
CWS,2023-07-19 19:00:00+00:00,55.18,55.18,55.18,55.18,450.0,4.0,55.18
CWS,2023-07-20 13:00:00+00:00,54.88,54.88,54.88,54.88,282.0,2.0,54.88
CWS,2023-07-20 14:00:00+00:00,55.0,55.0425,54.96,55.0425,372.0,6.0,55.000953
CWS,2023-07-20 16:00:00+00:00,55.2,55.2,55.19,55.19,659.0,10.0,55.175536
CWS,2023-07-20 18:00:00+00:00,55.19,55.19,55.19,55.19,100.0,1.0,55.19
CWS,2023-07-20 19:00:00+00:00,55.2,55.208,55.06,55.208,8740.0,12.0,55.092664
CWS,2023-07-21 13:00:00+00:00,55.39,55.39,55.39,55.39,125.0,15.0,55.387597
CWS,2023-07-21 14:00:00+00:00,55.3,55.3,55.3,55.3,100.0,1.0,55.3
CWS,2023-07-21 15:00:00+00:00,55.605,55.65,55.5133,55.5133,1191.0,4.0,55.634748
CWS,2023-07-21 16:00:00+00:00,55.655,55.725,55.58,55.58,903.0,10.0,55.637392
CWS,2023-07-21 18:00:00+00:00,55.625,55.645,55.625,55.645,539.0,5.0,55.636985
CWS,2023-07-24 13:00:00+00:00,55.935,55.935,55.801,55.801,6191.0,6.0,55.809463
CWS,2023-07-24 14:00:00+00:00,55.8001,55.8001,55.785,55.785,236.0,3.0,55.79261
CWS,2023-07-24 15:00:00+00:00,55.56,55.56,55.45,55.4501,504.0,5.0,55.494885
CWS,2023-07-24 19:00:00+00:00,55.59,55.59,55.4218,55.4218,1872.0,4.0,55.520396
CWS,2023-07-25 13:00:00+00:00,55.39,55.85,55.39,55.85,1305.0,15.0,55.743194
CWS,2023-07-25 14:00:00+00:00,55.42,55.6873,55.42,55.68,563.0,7.0,55.636021
CWS,2023-07-25 15:00:00+00:00,55.69,55.7,55.625,55.7,1916.0,22.0,55.68179
CWS,2023-07-25 16:00:00+00:00,55.6882,55.6882,55.685,55.685,287.0,6.0,55.687048
CWS,2023-07-25 17:00:00+00:00,55.63,55.69,55.63,55.6899,520.0,7.0,55.678423
CWS,2023-07-25 18:00:00+00:00,55.69,55.7749,55.689,55.7749,2496.0,7.0,55.6926
CWS,2023-07-25 19:00:00+00:00,55.78,55.96,55.6665,55.82,2447.0,34.0,55.813878
CWS,2023-07-26 13:00:00+00:00,55.95,55.95,55.6,55.745,1972.0,9.0,55.709148
