symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DAWN,2023-07-17 13:00:00+00:00,11.65,12.02,11.55,11.96,38684.0,511.0,11.840001
DAWN,2023-07-17 14:00:00+00:00,11.94,11.97,11.705,11.86,103069.0,1296.0,11.815732
DAWN,2023-07-17 15:00:00+00:00,11.86,12.045,11.825,12.04,270501.0,1356.0,11.918091
DAWN,2023-07-17 16:00:00+00:00,12.03,12.21,12.0,12.2,49853.0,861.0,12.100454
DAWN,2023-07-17 17:00:00+00:00,12.19,12.25,11.94,12.06,279970.0,1908.0,12.17505
DAWN,2023-07-17 18:00:00+00:00,12.07,12.09,11.84,11.895,117537.0,1848.0,11.940883
DAWN,2023-07-17 19:00:00+00:00,11.89,12.025,11.78,11.82,329413.0,3709.0,11.878439
DAWN,2023-07-17 20:00:00+00:00,11.82,11.84,11.82,11.84,95287.0,11.0,11.820021
DAWN,2023-07-18 13:00:00+00:00,11.82,11.94,11.68,11.68,27078.0,474.0,11.768933
DAWN,2023-07-18 14:00:00+00:00,11.71,11.81,11.6,11.78,74167.0,1309.0,11.701885
DAWN,2023-07-18 15:00:00+00:00,11.78,11.81,11.61,11.72,70602.0,1078.0,11.705848
DAWN,2023-07-18 16:00:00+00:00,11.72,11.78,11.64,11.69,96287.0,1138.0,11.681854
DAWN,2023-07-18 17:00:00+00:00,11.69,11.7,11.5,11.53,65089.0,932.0,11.617029
DAWN,2023-07-18 18:00:00+00:00,11.53,11.59,11.51,11.525,54949.0,1058.0,11.548204
DAWN,2023-07-18 19:00:00+00:00,11.525,11.61,11.5,11.55,155947.0,2451.0,11.553253
DAWN,2023-07-18 20:00:00+00:00,11.54,12.2,11.5,11.5,55483.0,13.0,11.554058
DAWN,2023-07-19 13:00:00+00:00,11.68,11.77,11.575,11.66,19364.0,311.0,11.652892
DAWN,2023-07-19 14:00:00+00:00,11.64,11.86,11.64,11.76,36890.0,842.0,11.76039
DAWN,2023-07-19 15:00:00+00:00,11.745,11.79,11.66,11.73,40012.0,757.0,11.716131
DAWN,2023-07-19 16:00:00+00:00,11.72,11.73,11.53,11.62,28990.0,544.0,11.616874
DAWN,2023-07-19 17:00:00+00:00,11.61,11.61,11.53,11.54,40378.0,819.0,11.559709
DAWN,2023-07-19 18:00:00+00:00,11.54,11.5999,11.5,11.58,56994.0,1070.0,11.540425
