symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DCPH,2023-07-17 13:00:00+00:00,14.06,14.4489,14.04,14.37,11018.0,207.0,14.266188
DCPH,2023-07-17 14:00:00+00:00,14.375,14.43,14.11,14.3,31080.0,719.0,14.272533
DCPH,2023-07-17 15:00:00+00:00,14.3,14.31,14.1,14.115,24128.0,563.0,14.180969
DCPH,2023-07-17 16:00:00+00:00,14.12,14.14,13.9907,14.0,23639.0,525.0,14.05739
DCPH,2023-07-17 17:00:00+00:00,13.995,14.15,13.995,14.07,27211.0,596.0,14.072821
DCPH,2023-07-17 18:00:00+00:00,14.065,14.065,13.995,14.035,18375.0,482.0,14.031846
DCPH,2023-07-17 19:00:00+00:00,14.04,14.06,13.9,13.9,111908.0,2029.0,13.9578
DCPH,2023-07-17 20:00:00+00:00,13.9,13.9,13.9,13.9,95412.0,11.0,13.9
DCPH,2023-07-17 21:00:00+00:00,13.87,13.87,13.87,13.87,100.0,1.0,13.87
DCPH,2023-07-18 13:00:00+00:00,13.87,14.0,13.78,13.94,8749.0,232.0,13.912084
DCPH,2023-07-18 14:00:00+00:00,13.9,13.9,13.78,13.85,27143.0,815.0,13.844824
DCPH,2023-07-18 15:00:00+00:00,13.85,13.89,13.73,13.89,20800.0,583.0,13.80702
DCPH,2023-07-18 16:00:00+00:00,13.91,14.29,13.91,13.97,35472.0,829.0,14.109181
DCPH,2023-07-18 17:00:00+00:00,13.96,13.96,13.82,13.82,14204.0,509.0,13.889245
DCPH,2023-07-18 18:00:00+00:00,13.8,13.87,13.79,13.831,10260.0,412.0,13.840972
DCPH,2023-07-18 19:00:00+00:00,13.835,13.9,13.8,13.815,57220.0,1585.0,13.843429
DCPH,2023-07-18 20:00:00+00:00,13.81,13.81,13.81,13.81,39159.0,6.0,13.81
DCPH,2023-07-19 13:00:00+00:00,13.92,13.95,13.75,13.83,17920.0,389.0,13.844183
DCPH,2023-07-19 14:00:00+00:00,13.85,13.94,13.79,13.88,20640.0,502.0,13.855496
DCPH,2023-07-19 15:00:00+00:00,13.83,13.86,13.785,13.79,15055.0,434.0,13.820543
DCPH,2023-07-19 16:00:00+00:00,13.81,13.82,13.7,13.82,14184.0,465.0,13.765972
DCPH,2023-07-19 17:00:00+00:00,13.82,13.87,13.795,13.795,23910.0,643.0,13.822361
DCPH,2023-07-19 18:00:00+00:00,13.795,13.84,13.76,13.825,45016.0,683.0,13.800787
DCPH,2023-07-19 19:00:00+00:00,13.825,13.93,13.81,13.815,84895.0,1650.0,13.847237
DCPH,2023-07-19 20:00:00+00:00,13.81,13.81,13.81,13.81,57384.0,15.0,13.81
DCPH,2023-07-20 13:00:00+00:00,13.82,13.83,13.58,13.58,13478.0,189.0,13.725058
DCPH,2023-07-20 14:00:00+00:00,13.6,13.64,13.535,13.59,15640.0,386.0,13.570111
DCPH,2023-07-20 15:00:00+00:00,13.61,13.61,13.37,13.4,19373.0,480.0,13.461947
DCPH,2023-07-20 16:00:00+00:00,13.405,13.695,13.37,13.58,94903.0,725.0,13.517163
DCPH,2023-07-20 17:00:00+00:00,13.57,13.63,13.56,13.61,11446.0,282.0,13.594754
DCPH,2023-07-20 18:00:00+00:00,13.62,13.73,13.6,13.72,18618.0,396.0,13.656141
