symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DENN,2023-07-17 13:00:00+00:00,11.5,11.63,11.5,11.59,28304.0,351.0,11.555079
DENN,2023-07-17 14:00:00+00:00,11.63,11.64,11.25,11.265,74397.0,1203.0,11.363546
DENN,2023-07-17 15:00:00+00:00,11.27,11.39,11.27,11.3,50726.0,979.0,11.330553
DENN,2023-07-17 16:00:00+00:00,11.3,11.3,11.205,11.2091,36734.0,783.0,11.262079
DENN,2023-07-17 17:00:00+00:00,11.205,11.23,11.15,11.23,90376.0,1338.0,11.190204
DENN,2023-07-17 18:00:00+00:00,11.235,11.28,11.17,11.175,72900.0,1194.0,11.214832
DENN,2023-07-17 19:00:00+00:00,11.175,11.18,11.1,11.12,301876.0,3214.0,11.127141
DENN,2023-07-17 20:00:00+00:00,11.11,11.11,11.11,11.11,69163.0,6.0,11.11
DENN,2023-07-18 13:00:00+00:00,11.02,11.22,10.81,11.2,80023.0,771.0,11.014363
DENN,2023-07-18 14:00:00+00:00,11.195,11.47,11.185,11.42,149421.0,2053.0,11.344877
DENN,2023-07-18 15:00:00+00:00,11.42,11.445,11.26,11.35,128383.0,1570.0,11.360294
DENN,2023-07-18 16:00:00+00:00,11.36,11.375,11.13,11.17,67996.0,1179.0,11.214056
DENN,2023-07-18 17:00:00+00:00,11.15,11.21,11.15,11.185,53105.0,907.0,11.184537
DENN,2023-07-18 18:00:00+00:00,11.19,11.235,11.13,11.14,65888.0,1098.0,11.192175
DENN,2023-07-18 19:00:00+00:00,11.145,11.3,11.105,11.3,215458.0,2838.0,11.217292
DENN,2023-07-18 20:00:00+00:00,11.29,11.29,11.29,11.29,70861.0,10.0,11.29
DENN,2023-07-19 13:00:00+00:00,11.38,11.42,11.23,11.32,20315.0,270.0,11.321622
DENN,2023-07-19 14:00:00+00:00,11.33,11.39,11.27,11.285,56214.0,1143.0,11.327154
DENN,2023-07-19 15:00:00+00:00,11.29,11.38,11.27,11.37,44513.0,945.0,11.317497
DENN,2023-07-19 16:00:00+00:00,11.37,11.425,11.3475,11.4101,47495.0,857.0,11.387573
DENN,2023-07-19 17:00:00+00:00,11.415,11.415,11.295,11.37,65600.0,928.0,11.351109
DENN,2023-07-19 18:00:00+00:00,11.38,11.3875,11.3,11.3,47080.0,869.0,11.348053
DENN,2023-07-19 19:00:00+00:00,11.305,11.325,11.27,11.28,156383.0,2553.0,11.30329
DENN,2023-07-19 20:00:00+00:00,11.29,11.29,11.28,11.29,72012.0,12.0,11.289972
DENN,2023-07-20 13:00:00+00:00,11.3,11.46,11.23,11.45,30668.0,417.0,11.337396
DENN,2023-07-20 14:00:00+00:00,11.44,11.46,11.37,11.445,49535.0,949.0,11.413799
DENN,2023-07-20 15:00:00+00:00,11.45,11.49,11.385,11.435,75276.0,1004.0,11.439196
DENN,2023-07-20 16:00:00+00:00,11.45,11.4701,11.325,11.425,60859.0,788.0,11.416139
DENN,2023-07-20 17:00:00+00:00,11.42,11.44,11.3,11.305,37681.0,746.0,11.369079
DENN,2023-07-20 18:00:00+00:00,11.305,11.33,11.25,11.3,59782.0,985.0,11.282664
DENN,2023-07-20 19:00:00+00:00,11.295,11.3,11.24,11.25,105791.0,1833.0,11.264185
DENN,2023-07-20 20:00:00+00:00,11.25,11.25,11.25,11.25,36276.0,8.0,11.25
DENN,2023-07-21 13:00:00+00:00,11.36,11.4,11.2,11.26,40079.0,301.0,11.33068
DENN,2023-07-21 14:00:00+00:00,11.26,11.305,11.21,11.22,31820.0,796.0,11.257863
DENN,2023-07-21 15:00:00+00:00,11.23,11.24,11.17,11.2,40500.0,738.0,11.206649
DENN,2023-07-21 16:00:00+00:00,11.2,11.2,11.155,11.19,43523.0,633.0,11.174466
DENN,2023-07-21 17:00:00+00:00,11.195,11.245,11.165,11.23,45911.0,868.0,11.2069
DENN,2023-07-21 18:00:00+00:00,11.23,11.245,11.185,11.195,80980.0,1032.0,11.223767
DENN,2023-07-21 19:00:00+00:00,11.195,11.27,11.175,11.24,223042.0,2834.0,11.233036
DENN,2023-07-21 20:00:00+00:00,11.24,11.24,11.24,11.24,56047.0,9.0,11.24
DENN,2023-07-24 13:00:00+00:00,11.19,11.3,11.03,11.0597,31659.0,492.0,11.191697
DENN,2023-07-24 14:00:00+00:00,11.055,11.125,10.985,11.05,94761.0,969.0,11.039801
DENN,2023-07-24 15:00:00+00:00,11.06,11.115,11.05,11.09,45360.0,720.0,11.087256
DENN,2023-07-24 16:00:00+00:00,11.085,11.15,11.05,11.15,52172.0,854.0,11.087527
DENN,2023-07-24 17:00:00+00:00,11.16,11.17,11.1,11.135,51900.0,728.0,11.125871
DENN,2023-07-24 18:00:00+00:00,11.14,11.17,11.1,11.135,55935.0,879.0,11.128431
DENN,2023-07-24 19:00:00+00:00,11.135,11.195,11.125,11.16,136618.0,2298.0,11.15621
DENN,2023-07-24 20:00:00+00:00,11.16,11.16,11.16,11.16,59674.0,13.0,11.16
DENN,2023-07-25 13:00:00+00:00,11.13,11.24,11.115,11.17,18570.0,288.0,11.173452
DENN,2023-07-25 14:00:00+00:00,11.17,11.25,11.07,11.25,76728.0,1155.0,11.155714
DENN,2023-07-25 15:00:00+00:00,11.26,11.27,11.16,11.16,46926.0,814.0,11.199088
DENN,2023-07-25 16:00:00+00:00,11.165,11.315,11.165,11.31,40685.0,696.0,11.255081
DENN,2023-07-25 17:00:00+00:00,11.315,11.315,11.225,11.27,68547.0,1003.0,11.266866
DENN,2023-07-25 18:00:00+00:00,11.261,11.3,11.235,11.255,63213.0,951.0,11.269119
DENN,2023-07-25 19:00:00+00:00,11.26,11.34,11.26,11.34,156510.0,1758.0,11.316019
DENN,2023-07-25 20:00:00+00:00,11.33,11.34,11.33,11.34,54639.0,9.0,11.339982
DENN,2023-07-26 13:00:00+00:00,11.33,11.47,11.33,11.33,13225.0,222.0,11.402497
DENN,2023-07-26 14:00:00+00:00,11.32,11.4,11.29,11.35,54914.0,858.0,11.345925
DENN,2023-07-26 15:00:00+00:00,11.35,11.53,11.345,11.52,57497.0,689.0,11.443926
DENN,2023-07-26 16:00:00+00:00,11.515,11.5175,11.42,11.425,43387.0,634.0,11.462501
DENN,2023-07-26 17:00:00+00:00,11.43,11.47,11.4,11.42,34188.0,670.0,11.428515
DENN,2023-07-26 18:00:00+00:00,11.415,11.52,11.415,11.47,70225.0,1126.0,11.460566
DENN,2023-07-26 19:00:00+00:00,11.48,11.52,11.445,11.515,177565.0,2449.0,11.479996
DENN,2023-07-26 20:00:00+00:00,11.52,11.52,11.52,11.52,61998.0,8.0,11.52
DENN,2023-07-27 13:00:00+00:00,11.59,11.65,11.52,11.54,29226.0,412.0,11.562905
DENN,2023-07-27 14:00:00+00:00,11.55,11.63,11.499,11.61,72342.0,934.0,11.544202
DENN,2023-07-27 15:00:00+00:00,11.605,11.665,11.55,11.61,37751.0,823.0,11.608859
DENN,2023-07-27 16:00:00+00:00,11.615,11.65,11.55,11.6,45630.0,937.0,11.60155
DENN,2023-07-27 17:00:00+00:00,11.61,11.62,11.54,11.555,48207.0,814.0,11.572304
DENN,2023-07-27 18:00:00+00:00,11.5505,11.615,11.5005,11.5005,86021.0,1333.0,11.553983
DENN,2023-07-27 19:00:00+00:00,11.5,11.56,11.455,11.52,169294.0,2477.0,11.511585
DENN,2023-07-27 20:00:00+00:00,11.52,11.52,11.52,11.52,53564.0,14.0,11.52
DENN,2023-07-28 12:00:00+00:00,11.988,11.988,11.988,11.988,150.0,1.0,11.988
DENN,2023-07-28 13:00:00+00:00,11.64,11.7,11.6,11.66,26932.0,410.0,11.659956
DENN,2023-07-28 14:00:00+00:00,11.67,11.75,11.65,11.75,58993.0,1594.0,11.690853
DENN,2023-07-28 15:00:00+00:00,11.76,11.81,11.71,11.79,56784.0,1345.0,11.749764
DENN,2023-07-28 16:00:00+00:00,11.78,11.78,11.705,11.74,43988.0,1025.0,11.737187
DENN,2023-07-28 17:00:00+00:00,11.73,11.74,11.63,11.735,79539.0,1531.0,11.696979
DENN,2023-07-28 18:00:00+00:00,11.735,11.75,11.715,11.74,76018.0,1492.0,11.733777
DENN,2023-07-28 19:00:00+00:00,11.735,11.75,11.67,11.685,158740.0,2725.0,11.705551
DENN,2023-07-28 20:00:00+00:00,11.69,11.69,11.69,11.69,64786.0,7.0,11.69
DENN,2023-07-31 12:00:00+00:00,11.69,11.69,11.69,11.69,105.0,2.0,11.689524
