symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DINT,2023-07-17 13:00:00+00:00,19.4,19.475,19.39,19.39,710.0,3.0,19.428521
DINT,2023-07-17 14:00:00+00:00,19.4301,19.52,19.4301,19.52,4574.0,3.0,19.499205
DINT,2023-07-17 15:00:00+00:00,19.43,19.4378,19.43,19.4378,831.0,2.0,19.431417
DINT,2023-07-17 16:00:00+00:00,19.43,19.4855,19.43,19.4855,1050.0,2.0,19.47329
DINT,2023-07-17 17:00:00+00:00,19.43,19.43,19.43,19.43,671.0,1.0,19.43
DINT,2023-07-17 18:00:00+00:00,19.4694,19.4694,19.4694,19.4694,469.0,1.0,19.4694
DINT,2023-07-17 20:00:00+00:00,19.49,19.49,19.49,19.49,100.0,1.0,19.49
DINT,2023-07-18 13:00:00+00:00,19.34,19.34,19.3,19.3,721.0,6.0,19.325992
DINT,2023-07-18 14:00:00+00:00,19.4225,19.4225,19.38,19.38,274.0,2.0,19.406989
DINT,2023-07-18 16:00:00+00:00,19.42,19.42,19.3201,19.3201,6249.0,34.0,19.377481
DINT,2023-07-18 17:00:00+00:00,19.4,19.4,19.3,19.31,556.0,3.0,19.342626
DINT,2023-07-19 14:00:00+00:00,19.43,19.43,19.43,19.43,100.0,1.0,19.43
DINT,2023-07-19 15:00:00+00:00,19.45,19.47,19.45,19.47,1575.0,11.0,19.463968
DINT,2023-07-19 18:00:00+00:00,19.405,19.42,19.405,19.42,4600.0,2.0,19.418043
DINT,2023-07-19 19:00:00+00:00,19.43,19.43,19.395,19.395,309.0,3.0,19.406666
DINT,2023-07-19 20:00:00+00:00,19.41,19.41,19.41,19.41,100.0,1.0,19.41
DINT,2023-07-20 13:00:00+00:00,19.28,19.28,19.26,19.26,203.0,3.0,19.271182
DINT,2023-07-20 15:00:00+00:00,19.1489,19.1489,19.1489,19.1489,1841.0,3.0,19.1489
DINT,2023-07-20 19:00:00+00:00,19.2,19.37,19.17,19.17,50184.0,183.0,19.252038
DINT,2023-07-20 20:00:00+00:00,19.16,19.19,19.16,19.19,200.0,2.0,19.175
DINT,2023-07-21 13:00:00+00:00,19.27,19.5132,19.27,19.5132,956.0,2.0,19.307396
DINT,2023-07-21 15:00:00+00:00,19.17,19.17,19.17,19.17,100.0,1.0,19.17
DINT,2023-07-21 18:00:00+00:00,19.185,19.185,19.151,19.151,3242.0,3.0,19.180906
DINT,2023-07-21 19:00:00+00:00,19.2036,19.2036,19.15,19.1504,2378.0,3.0,19.160629
DINT,2023-07-21 20:00:00+00:00,19.13,19.13,19.13,19.13,202.0,1.0,19.13
DINT,2023-07-24 13:00:00+00:00,19.2,19.2,19.2,19.2,300.0,1.0,19.2
DINT,2023-07-24 14:00:00+00:00,19.22,19.4,19.22,19.4,5221.0,41.0,19.370735
DINT,2023-07-24 15:00:00+00:00,19.44,19.51,19.44,19.51,5784.0,43.0,19.484418
DINT,2023-07-24 16:00:00+00:00,19.51,19.54,19.4719,19.5244,6556.0,29.0,19.509252
DINT,2023-07-24 18:00:00+00:00,19.52,19.52,19.52,19.52,345.0,3.0,19.52
DINT,2023-07-24 19:00:00+00:00,19.47,19.52,19.45,19.52,5322.0,26.0,19.470407
DINT,2023-07-25 16:00:00+00:00,19.57,19.57,19.57,19.57,200.0,1.0,19.57
DINT,2023-07-25 17:00:00+00:00,19.596,19.6,19.5814,19.599,1721.0,6.0,19.597876
DINT,2023-07-25 18:00:00+00:00,19.6,19.6,19.5999,19.5999,294.0,2.0,19.59995
DINT,2023-07-26 13:00:00+00:00,19.6,19.6,19.6,19.6,111.0,1.0,19.6
