symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOC,2023-07-17 13:00:00+00:00,14.42,14.42,14.17,14.305,122810.0,1121.0,14.260669
DOC,2023-07-17 14:00:00+00:00,14.305,14.37,14.29,14.335,165090.0,1835.0,14.322653
DOC,2023-07-17 15:00:00+00:00,14.33,14.375,14.31,14.375,147445.0,1239.0,14.346156
DOC,2023-07-17 16:00:00+00:00,14.37,14.4,14.325,14.325,118482.0,1376.0,14.367674
DOC,2023-07-17 17:00:00+00:00,14.3299,14.34,14.295,14.335,107010.0,1297.0,14.323275
DOC,2023-07-17 18:00:00+00:00,14.34,14.34,14.285,14.285,128183.0,1361.0,14.315304
DOC,2023-07-17 19:00:00+00:00,14.29,14.37,14.265,14.34,500807.0,3749.0,14.325038
DOC,2023-07-17 20:00:00+00:00,14.34,14.34,14.34,14.34,153977.0,15.0,14.34
DOC,2023-07-18 13:00:00+00:00,14.43,14.43,14.34,14.405,119397.0,1126.0,14.381463
DOC,2023-07-18 14:00:00+00:00,14.405,14.5,14.4,14.445,173715.0,2177.0,14.462036
DOC,2023-07-18 15:00:00+00:00,14.44,14.448,14.33,14.38,217845.0,2083.0,14.407443
DOC,2023-07-18 16:00:00+00:00,14.38,14.4,14.31,14.39,217988.0,2142.0,14.359955
DOC,2023-07-18 17:00:00+00:00,14.385,14.41,14.34,14.41,139883.0,1739.0,14.376318
DOC,2023-07-18 18:00:00+00:00,14.405,14.43,14.39,14.405,138949.0,1837.0,14.405668
DOC,2023-07-18 19:00:00+00:00,14.41,14.47,14.39,14.47,602659.0,5360.0,14.441142
DOC,2023-07-18 20:00:00+00:00,14.47,14.47,14.47,14.47,157826.0,13.0,14.47
DOC,2023-07-19 13:00:00+00:00,14.56,14.77,14.55,14.72,113729.0,1035.0,14.681244
DOC,2023-07-19 14:00:00+00:00,14.72,14.915,14.71,14.895,451933.0,3714.0,14.843539
DOC,2023-07-19 15:00:00+00:00,14.9,14.96,14.88,14.885,278251.0,2836.0,14.915064
DOC,2023-07-19 16:00:00+00:00,14.8871,14.905,14.815,14.83,252732.0,2351.0,14.863176
DOC,2023-07-19 17:00:00+00:00,14.835,14.87,14.775,14.845,219651.0,1892.0,14.828874
DOC,2023-07-19 18:00:00+00:00,14.85,14.895,14.81,14.82,185253.0,2064.0,14.866103
DOC,2023-07-19 19:00:00+00:00,14.81,14.83,14.7501,14.82,645088.0,5190.0,14.797184
DOC,2023-07-19 20:00:00+00:00,14.81,15.05,14.81,15.05,467341.0,18.0,14.810051
DOC,2023-07-20 13:00:00+00:00,14.88,14.91,14.66,14.775,106281.0,1040.0,14.773947
DOC,2023-07-20 14:00:00+00:00,14.78,14.855,14.755,14.855,254484.0,2599.0,14.804408
DOC,2023-07-20 15:00:00+00:00,14.85,14.93,14.8001,14.925,192645.0,1509.0,14.878057
DOC,2023-07-20 16:00:00+00:00,14.93,15.07,14.93,15.03,372018.0,2468.0,15.000805
DOC,2023-07-20 17:00:00+00:00,15.035,15.065,15.0,15.065,274706.0,2218.0,15.033228
DOC,2023-07-20 18:00:00+00:00,15.065,15.07,15.015,15.06,284704.0,2725.0,15.044011
DOC,2023-07-20 19:00:00+00:00,15.06,15.11,15.03,15.09,535441.0,4761.0,15.072191
DOC,2023-07-20 20:00:00+00:00,15.09,15.09,15.09,15.09,174232.0,15.0,15.09
DOC,2023-07-21 12:00:00+00:00,15.25,15.25,15.25,15.25,160.0,1.0,15.25
DOC,2023-07-21 13:00:00+00:00,15.18,15.18,14.99,15.0027,184733.0,855.0,15.127209
DOC,2023-07-21 14:00:00+00:00,15.005,15.11,14.98,15.11,114759.0,1394.0,15.048387
DOC,2023-07-21 15:00:00+00:00,15.11,15.175,15.095,15.155,91443.0,1200.0,15.128256
DOC,2023-07-21 16:00:00+00:00,15.16,15.16,15.075,15.085,99157.0,1336.0,15.120748
DOC,2023-07-21 17:00:00+00:00,15.09,15.13,15.075,15.105,96204.0,1178.0,15.100856
DOC,2023-07-21 18:00:00+00:00,15.11,15.13,15.09,15.125,94157.0,1128.0,15.108095
DOC,2023-07-21 19:00:00+00:00,15.125,15.13,15.03,15.04,312543.0,3056.0,15.06941
DOC,2023-07-21 20:00:00+00:00,15.04,15.04,15.04,15.04,370110.0,20.0,15.04
DOC,2023-07-24 13:00:00+00:00,15.07,15.21,15.0,15.11,73269.0,810.0,15.13699
DOC,2023-07-24 14:00:00+00:00,15.115,15.165,15.03,15.07,183313.0,1839.0,15.106275
DOC,2023-07-24 15:00:00+00:00,15.075,15.15,15.045,15.125,94799.0,1228.0,15.100988
DOC,2023-07-24 16:00:00+00:00,15.125,15.16,15.105,15.145,70560.0,1004.0,15.136638
DOC,2023-07-24 17:00:00+00:00,15.145,15.2,15.135,15.18,74677.0,1047.0,15.167994
DOC,2023-07-24 18:00:00+00:00,15.19,15.2,15.17,15.19,96349.0,1219.0,15.189386
DOC,2023-07-24 19:00:00+00:00,15.185,15.2,15.14,15.18,279966.0,3073.0,15.176535
DOC,2023-07-24 20:00:00+00:00,15.18,15.18,15.18,15.18,159522.0,17.0,15.18
DOC,2023-07-25 13:00:00+00:00,15.14,15.19,15.1,15.1,47491.0,557.0,15.130351
DOC,2023-07-25 14:00:00+00:00,15.09,15.155,15.09,15.105,93557.0,1269.0,15.119655
