symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DV,2023-07-17 13:00:00+00:00,39.52,40.36,39.32,40.22,166150.0,1872.0,39.929688
DV,2023-07-17 14:00:00+00:00,40.23,40.32,39.8,40.18,169830.0,2614.0,40.080904
DV,2023-07-17 15:00:00+00:00,40.18,40.1897,39.85,39.91,171497.0,2639.0,40.021285
DV,2023-07-17 16:00:00+00:00,39.9,40.25,39.895,40.22,138077.0,2062.0,40.058043
DV,2023-07-17 17:00:00+00:00,40.22,40.26,39.94,40.15,212183.0,2674.0,40.072726
DV,2023-07-17 18:00:00+00:00,40.15,40.15,39.95,40.06,141659.0,2264.0,40.039881
DV,2023-07-17 19:00:00+00:00,40.07,40.17,39.93,40.11,346798.0,5383.0,40.060949
DV,2023-07-17 20:00:00+00:00,39.98,40.1,39.98,40.1,100665.0,24.0,40.099302
DV,2023-07-17 23:00:00+00:00,40.2,40.2,40.2,40.2,300.0,1.0,40.2
DV,2023-07-18 13:00:00+00:00,40.03,40.28,39.64,40.13,54608.0,853.0,39.913925
DV,2023-07-18 14:00:00+00:00,40.15,40.4,40.06,40.36,73736.0,1685.0,40.241301
DV,2023-07-18 15:00:00+00:00,40.37,40.52,40.24,40.4,68214.0,1286.0,40.363622
DV,2023-07-18 16:00:00+00:00,40.42,40.85,40.42,40.67,73140.0,1247.0,40.632457
DV,2023-07-18 17:00:00+00:00,40.675,40.88,40.67,40.83,78255.0,1277.0,40.774714
DV,2023-07-18 18:00:00+00:00,40.84,41.0,40.83,40.97,60876.0,1278.0,40.912586
DV,2023-07-18 19:00:00+00:00,40.96,41.21,40.89,41.03,323979.0,4510.0,41.058794
DV,2023-07-18 20:00:00+00:00,41.03,41.03,41.03,41.03,92122.0,10.0,41.03
DV,2023-07-18 23:00:00+00:00,41.69,41.69,41.69,41.69,200.0,2.0,41.6325
DV,2023-07-19 13:00:00+00:00,41.55,41.55,40.93,41.38,66330.0,975.0,41.307072
DV,2023-07-19 14:00:00+00:00,41.4,41.43,41.04,41.35,81688.0,1612.0,41.246513
DV,2023-07-19 15:00:00+00:00,41.35,41.75,41.2766,41.64,139606.0,2253.0,41.556272
DV,2023-07-19 16:00:00+00:00,41.635,41.64,41.22,41.3,285251.0,3189.0,41.506002
DV,2023-07-19 17:00:00+00:00,41.3,41.34,41.01,41.2,154577.0,2262.0,41.195305
DV,2023-07-19 18:00:00+00:00,41.2,41.23,40.9,41.03,107734.0,2236.0,41.019736
DV,2023-07-19 19:00:00+00:00,41.07,41.355,40.99,41.34,294426.0,4375.0,41.225866
DV,2023-07-19 20:00:00+00:00,41.34,41.34,41.34,41.34,319798.0,24.0,41.339998
DV,2023-07-20 13:00:00+00:00,40.96,41.3152,40.95,41.14,45011.0,680.0,41.091258
DV,2023-07-20 14:00:00+00:00,41.06,41.085,40.45,40.8,111966.0,1918.0,40.741904
DV,2023-07-20 15:00:00+00:00,40.78,41.14,40.78,40.8,71327.0,1485.0,40.99374
DV,2023-07-20 16:00:00+00:00,40.82,40.94,40.715,40.78,76094.0,1601.0,40.82881
DV,2023-07-20 17:00:00+00:00,40.77,40.815,40.54,40.72,55098.0,1217.0,40.702918
DV,2023-07-20 18:00:00+00:00,40.71,40.73,40.46,40.46,56173.0,1389.0,40.595516
DV,2023-07-20 19:00:00+00:00,40.48,40.8,40.3701,40.77,210973.0,3611.0,40.627861
DV,2023-07-20 20:00:00+00:00,40.77,40.77,40.77,40.77,85591.0,29.0,40.77
DV,2023-07-21 13:00:00+00:00,41.44,41.78,41.22,41.58,86171.0,1107.0,41.472113
DV,2023-07-21 14:00:00+00:00,41.63,41.66,40.93,41.05,166624.0,2750.0,41.331137
DV,2023-07-21 15:00:00+00:00,41.0453,41.31,41.03,41.21,94267.0,1636.0,41.183558
DV,2023-07-21 16:00:00+00:00,41.2,41.2,40.74,40.77,76387.0,1430.0,40.961858
DV,2023-07-21 17:00:00+00:00,40.76,41.28,40.745,41.25,69375.0,1360.0,41.042468
DV,2023-07-21 18:00:00+00:00,41.25,41.345,41.23,41.29,92531.0,1744.0,41.282626
DV,2023-07-21 19:00:00+00:00,41.3009,41.32,41.05,41.2,190915.0,3386.0,41.16354
DV,2023-07-21 20:00:00+00:00,41.19,41.19,41.19,41.19,119275.0,20.0,41.19
DV,2023-07-24 12:00:00+00:00,41.3,41.3,41.3,41.3,120.0,1.0,41.3
DV,2023-07-24 13:00:00+00:00,41.44,41.4674,40.9,41.11,52879.0,703.0,41.121302
DV,2023-07-24 14:00:00+00:00,41.07,41.3,40.93,41.075,54316.0,993.0,41.110409
DV,2023-07-24 15:00:00+00:00,41.1,41.12,40.4,40.43,80817.0,1525.0,40.761114
DV,2023-07-24 16:00:00+00:00,40.43,40.48,39.98,40.1,120399.0,2035.0,40.124971
DV,2023-07-24 17:00:00+00:00,40.1,40.43,40.07,40.27,102419.0,1720.0,40.267687
DV,2023-07-24 18:00:00+00:00,40.21,40.43,40.11,40.25,109189.0,1719.0,40.256756
DV,2023-07-24 19:00:00+00:00,40.25,40.58,40.22,40.36,218661.0,3392.0,40.399458
DV,2023-07-24 20:00:00+00:00,40.37,40.37,40.37,40.37,115155.0,29.0,40.369996
DV,2023-07-25 13:00:00+00:00,39.53,40.48,39.42,40.445,77715.0,1118.0,40.298437
DV,2023-07-25 14:00:00+00:00,40.425,40.705,40.425,40.6,139859.0,2239.0,40.59113
DV,2023-07-25 15:00:00+00:00,40.6,41.0,40.51,40.96,150508.0,1713.0,40.654417
DV,2023-07-25 16:00:00+00:00,40.95,41.15,40.84,41.135,53349.0,957.0,40.980822
DV,2023-07-25 17:00:00+00:00,41.13,41.23,41.0,41.05,47848.0,872.0,41.140051
