symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EBS,2023-07-17 12:00:00+00:00,7.27,7.35,7.27,7.35,406.0,4.0,7.295813
EBS,2023-07-17 13:00:00+00:00,7.22,7.32,7.135,7.315,60112.0,540.0,7.239795
EBS,2023-07-17 14:00:00+00:00,7.32,7.39,7.23,7.37,117665.0,1052.0,7.305869
EBS,2023-07-17 15:00:00+00:00,7.38,7.39,7.27,7.34,41481.0,715.0,7.321655
EBS,2023-07-17 16:00:00+00:00,7.3301,7.35,7.3,7.35,41873.0,700.0,7.32865
EBS,2023-07-17 17:00:00+00:00,7.345,7.38,7.29,7.315,94208.0,1041.0,7.335263
EBS,2023-07-17 18:00:00+00:00,7.32,7.36,7.2783,7.31,79781.0,997.0,7.30792
EBS,2023-07-17 19:00:00+00:00,7.305,7.32,7.245,7.31,203087.0,2089.0,7.286181
EBS,2023-07-17 20:00:00+00:00,7.29,7.29,7.29,7.29,193569.0,9.0,7.290002
EBS,2023-07-17 22:00:00+00:00,7.29,7.29,7.23,7.23,384.0,4.0,7.247969
EBS,2023-07-18 12:00:00+00:00,7.39,7.39,7.39,7.39,100.0,1.0,7.39
EBS,2023-07-18 13:00:00+00:00,7.31,7.575,7.2883,7.5432,77469.0,554.0,7.482565
EBS,2023-07-18 14:00:00+00:00,7.5337,7.5337,7.36,7.505,131096.0,1322.0,7.440732
EBS,2023-07-18 15:00:00+00:00,7.48,7.555,7.41,7.45,79320.0,969.0,7.494313
EBS,2023-07-18 16:00:00+00:00,7.45,7.45,7.285,7.295,54771.0,712.0,7.368823
EBS,2023-07-18 17:00:00+00:00,7.2978,7.2999,7.12,7.14,133013.0,1255.0,7.190511
EBS,2023-07-18 18:00:00+00:00,7.14,7.19,7.13,7.15,58330.0,883.0,7.165644
EBS,2023-07-18 19:00:00+00:00,7.145,7.145,7.04,7.05,242682.0,2441.0,7.07717
EBS,2023-07-18 20:00:00+00:00,7.05,7.29,7.05,7.15,133224.0,24.0,7.052268
EBS,2023-07-18 21:00:00+00:00,7.07,7.07,7.07,7.07,700.0,1.0,7.07
EBS,2023-07-19 11:00:00+00:00,7.12,7.12,7.12,7.12,250.0,3.0,7.12
EBS,2023-07-19 12:00:00+00:00,7.13,7.4,7.13,7.39,1451.0,6.0,7.238201
EBS,2023-07-19 13:00:00+00:00,7.2,7.35,7.0653,7.35,74362.0,552.0,7.218692
EBS,2023-07-19 14:00:00+00:00,7.33,7.36,7.1,7.17,176990.0,1258.0,7.230538
EBS,2023-07-19 15:00:00+00:00,7.15,7.18,7.035,7.12,101938.0,869.0,7.102001
EBS,2023-07-19 16:00:00+00:00,7.12,7.13,6.98,7.055,98587.0,828.0,7.039268
EBS,2023-07-19 17:00:00+00:00,7.055,7.115,6.96,7.11,148277.0,1293.0,7.01965
EBS,2023-07-19 18:00:00+00:00,7.11,7.125,6.995,7.005,95809.0,1088.0,7.079197
EBS,2023-07-19 19:00:00+00:00,7.005,7.2,7.005,7.18,258334.0,2884.0,7.129176
EBS,2023-07-19 20:00:00+00:00,7.17,7.29,6.99,7.2855,153898.0,15.0,7.169157
EBS,2023-07-19 23:00:00+00:00,7.2799,7.2799,7.2799,7.2799,100.0,1.0,7.2799
EBS,2023-07-20 12:00:00+00:00,7.1201,7.2799,7.1201,7.2799,821.0,7.0,7.1751
EBS,2023-07-20 13:00:00+00:00,7.28,7.3,7.1,7.11,60529.0,448.0,7.204235
EBS,2023-07-20 14:00:00+00:00,7.12,7.12,7.015,7.11,78008.0,1110.0,7.053561
EBS,2023-07-20 15:00:00+00:00,7.125,7.16,7.07,7.12,44407.0,658.0,7.129668
EBS,2023-07-20 16:00:00+00:00,7.14,7.185,7.075,7.09,47355.0,705.0,7.14924
EBS,2023-07-20 17:00:00+00:00,7.08,7.115,7.065,7.1,44579.0,576.0,7.080346
EBS,2023-07-20 18:00:00+00:00,7.11,7.13,7.04,7.11,64546.0,876.0,7.087743
EBS,2023-07-20 19:00:00+00:00,7.115,7.175,7.04,7.06,176820.0,2179.0,7.094669
EBS,2023-07-20 20:00:00+00:00,7.06,7.25,7.06,7.25,202885.0,11.0,7.06019
EBS,2023-07-20 22:00:00+00:00,7.2894,7.6,7.06,7.6,69950.0,102.0,7.43623
EBS,2023-07-20 23:00:00+00:00,7.6,7.85,7.51,7.6,34450.0,109.0,7.625161
EBS,2023-07-21 08:00:00+00:00,8.5,8.5,8.0,8.25,111561.0,1456.0,8.269256
EBS,2023-07-21 09:00:00+00:00,8.25,8.35,8.1,8.16,46494.0,577.0,8.212719
EBS,2023-07-21 10:00:00+00:00,8.15,8.28,8.03,8.06,40980.0,628.0,8.193472
EBS,2023-07-21 11:00:00+00:00,8.1,8.11,7.75,7.88,80885.0,1144.0,7.901025
EBS,2023-07-21 12:00:00+00:00,8.1,8.59,7.75,7.9,240128.0,3246.0,8.038971
EBS,2023-07-21 13:00:00+00:00,7.94,7.94,7.06,7.1101,1033254.0,6433.0,7.501614
EBS,2023-07-21 14:00:00+00:00,7.14,7.64,7.07,7.53,785914.0,5059.0,7.384531
EBS,2023-07-21 15:00:00+00:00,7.53,7.768,7.52,7.66,440691.0,3470.0,7.644658
EBS,2023-07-21 16:00:00+00:00,7.66,7.725,7.55,7.57,291989.0,2474.0,7.628821
EBS,2023-07-21 17:00:00+00:00,7.57,7.63,7.46,7.525,246981.0,2284.0,7.556569
EBS,2023-07-21 18:00:00+00:00,7.535,7.565,7.42,7.435,149063.0,1676.0,7.497181
EBS,2023-07-21 19:00:00+00:00,7.435,7.53,7.38,7.51,413895.0,3259.0,7.476433
EBS,2023-07-21 20:00:00+00:00,7.51,7.51,7.46,7.46,191239.0,52.0,7.509167
EBS,2023-07-21 21:00:00+00:00,7.4515,7.4515,7.44,7.4417,5021.0,10.0,7.447148
EBS,2023-07-21 22:00:00+00:00,7.44,7.62,7.44,7.62,6840.0,23.0,7.498838
EBS,2023-07-21 23:00:00+00:00,7.61,7.62,7.45,7.55,2410.0,10.0,7.559021
EBS,2023-07-24 08:00:00+00:00,7.38,7.38,7.31,7.31,871.0,10.0,7.323479
EBS,2023-07-24 09:00:00+00:00,7.32,7.32,7.32,7.32,608.0,4.0,7.32
EBS,2023-07-24 10:00:00+00:00,7.35,7.35,7.32,7.33,777.0,14.0,7.328867
EBS,2023-07-24 11:00:00+00:00,7.31,7.4,7.3,7.4,4495.0,28.0,7.321824
EBS,2023-07-24 12:00:00+00:00,7.36,7.4015,7.23,7.3915,58780.0,176.0,7.382014
EBS,2023-07-24 13:00:00+00:00,7.4,7.71,7.32,7.3315,143164.0,1695.0,7.545406
EBS,2023-07-24 14:00:00+00:00,7.35,7.58,7.3,7.54,151607.0,1588.0,7.455318
EBS,2023-07-24 15:00:00+00:00,7.55,7.675,7.52,7.66,148120.0,1564.0,7.596363
EBS,2023-07-24 16:00:00+00:00,7.655,7.68,7.4988,7.555,59528.0,1115.0,7.580415
EBS,2023-07-24 17:00:00+00:00,7.55,7.62,7.47,7.47,110776.0,1567.0,7.553576
EBS,2023-07-24 18:00:00+00:00,7.465,7.5,7.38,7.395,98094.0,1192.0,7.432676
EBS,2023-07-24 19:00:00+00:00,7.395,7.4,7.32,7.32,301017.0,3451.0,7.352116
EBS,2023-07-24 20:00:00+00:00,7.33,7.33,7.33,7.33,308055.0,13.0,7.329999
EBS,2023-07-24 21:00:00+00:00,7.33,7.35,7.33,7.35,637.0,3.0,7.346279
EBS,2023-07-25 08:00:00+00:00,7.27,7.27,7.27,7.27,108.0,2.0,7.269259
EBS,2023-07-25 11:00:00+00:00,7.35,7.35,7.33,7.33,862.0,4.0,7.333794
