symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ECVT,2023-07-17 13:00:00+00:00,11.86,11.94,11.71,11.735,36693.0,427.0,11.767402
ECVT,2023-07-17 14:00:00+00:00,11.755,11.765,11.685,11.735,50020.0,777.0,11.728447
ECVT,2023-07-17 15:00:00+00:00,11.74,11.77,11.72,11.755,42287.0,730.0,11.74123
ECVT,2023-07-17 16:00:00+00:00,11.755,11.8,11.735,11.79,36670.0,637.0,11.77066
ECVT,2023-07-17 17:00:00+00:00,11.79,11.815,11.77,11.805,31527.0,586.0,11.79085
ECVT,2023-07-17 18:00:00+00:00,11.805,11.82,11.785,11.79,42651.0,605.0,11.800621
ECVT,2023-07-17 19:00:00+00:00,11.79,11.795,11.72,11.74,208552.0,2452.0,11.740241
ECVT,2023-07-17 20:00:00+00:00,11.73,11.73,11.73,11.73,114326.0,12.0,11.73
ECVT,2023-07-18 13:00:00+00:00,11.75,11.87,11.75,11.86,32041.0,347.0,11.813215
ECVT,2023-07-18 14:00:00+00:00,11.86,11.95,11.86,11.94,99656.0,874.0,11.922745
ECVT,2023-07-18 15:00:00+00:00,11.94,11.95,11.92,11.925,49574.0,604.0,11.932869
ECVT,2023-07-18 16:00:00+00:00,11.92,11.935,11.82,11.845,127605.0,894.0,11.875074
ECVT,2023-07-18 17:00:00+00:00,11.85,11.915,11.825,11.835,147016.0,602.0,11.846278
ECVT,2023-07-18 18:00:00+00:00,11.83,11.9,11.825,11.83,73431.0,895.0,11.863459
ECVT,2023-07-18 19:00:00+00:00,11.83,11.96,11.83,11.96,248362.0,1898.0,11.89593
ECVT,2023-07-18 20:00:00+00:00,11.94,11.94,11.94,11.94,72540.0,8.0,11.94
ECVT,2023-07-19 12:00:00+00:00,12.0,12.0,12.0,12.0,900.0,2.0,12.0
ECVT,2023-07-19 13:00:00+00:00,12.02,12.02,11.85,11.95,36211.0,421.0,11.914238
ECVT,2023-07-19 14:00:00+00:00,11.95,12.0,11.92,11.99,91500.0,1064.0,11.983358
ECVT,2023-07-19 15:00:00+00:00,11.99,12.05,11.99,12.0,141376.0,1095.0,12.01381
ECVT,2023-07-19 16:00:00+00:00,12.0,12.02,11.98,12.015,59637.0,639.0,11.995091
ECVT,2023-07-19 17:00:00+00:00,12.015,12.015,11.98,11.99,37768.0,479.0,11.994646
ECVT,2023-07-19 18:00:00+00:00,11.99,11.99,11.96,11.985,39276.0,680.0,11.976188
ECVT,2023-07-19 19:00:00+00:00,11.99,12.0,11.98,12.0,193187.0,2713.0,11.997392
ECVT,2023-07-19 20:00:00+00:00,12.0,12.0,12.0,12.0,151565.0,13.0,12.0
ECVT,2023-07-20 13:00:00+00:00,12.09,12.12,11.97,12.0,38487.0,455.0,12.010244
ECVT,2023-07-20 14:00:00+00:00,12.01,12.01,11.915,11.925,139306.0,799.0,11.978924
ECVT,2023-07-20 15:00:00+00:00,11.925,12.07,11.925,12.05,73811.0,1004.0,11.995767
ECVT,2023-07-20 16:00:00+00:00,12.05,12.06,11.975,11.995,74969.0,902.0,12.0074
ECVT,2023-07-20 17:00:00+00:00,11.995,12.0,11.985,11.985,32724.0,467.0,11.992541
ECVT,2023-07-20 18:00:00+00:00,11.985,12.0,11.96,11.985,82930.0,780.0,11.975243
ECVT,2023-07-20 19:00:00+00:00,11.99,12.01,11.96,11.98,350972.0,2822.0,11.989371
ECVT,2023-07-20 20:00:00+00:00,11.98,11.98,11.98,11.98,84949.0,11.0,11.98
