c,h,l,n,o,t,v,vw
74.855,74.855,74.68,13,74.68,2022-01-18T14:30:00Z,3079,74.677041
74.67,74.7,74.34,25,74.655,2022-01-18T14:35:00Z,1304,74.652189
74.8,74.8,74.8,6,74.8,2022-01-18T14:40:00Z,272,74.83375
74.6,74.74,74.6,9,74.615,2022-01-18T14:45:00Z,11204,74.607985
74.53,74.53,74.17,23,74.37,2022-01-18T14:50:00Z,2112,74.373241
74.57,74.57,74.205,40,74.5,2022-01-18T14:55:00Z,2239,74.466447
74.33,74.63,74.33,10,74.37,2022-01-18T15:00:00Z,1146,74.542932
74.575,74.575,74.32,33,74.35,2022-01-18T15:05:00Z,989,74.425566
74.585,74.69,74.47,17,74.69,2022-01-18T15:10:00Z,1119,74.537091
74.49,74.72,74.49,112,74.585,2022-01-18T15:15:00Z,18603,74.597108
74.615,74.615,74.615,1,74.615,2022-01-18T15:20:00Z,100,74.615
74.68,74.72,74.61,41,74.61,2022-01-18T15:25:00Z,1057,74.672228
74.64,74.65,74.5,74,74.59,2022-01-18T15:30:00Z,2475,74.57652
74.55,74.64,74.5,93,74.605,2022-01-18T15:35:00Z,5544,74.522545
74.52,74.635,74.49,131,74.5,2022-01-18T15:40:00Z,6715,74.55558
74.5,74.635,74.48,134,74.61,2022-01-18T15:45:00Z,6257,74.546183
74.63,74.72,74.5,124,74.5,2022-01-18T15:50:00Z,5763,74.633879
74.58,74.62,74.58,24,74.58,2022-01-18T15:55:00Z,617,74.596272
74.485,74.59,74.335,46,74.51,2022-01-18T16:00:00Z,2785,74.48433
74.33,74.48,74.33,32,74.45,2022-01-18T16:05:00Z,1099,74.425482
74.4,74.49,74.4,24,74.48,2022-01-18T16:10:00Z,639,74.434397
74.39,74.49,74.39,27,74.43,2022-01-18T16:15:00Z,766,74.441919
74.49,74.49,74.47,33,74.47,2022-01-18T16:20:00Z,2371,74.476428
74.49,74.49,74.49,2,74.49,2022-01-18T16:25:00Z,113,74.48885
74.33,74.38,74.22,34,74.38,2022-01-18T16:30:00Z,1387,74.355512
74.515,74.545,74.3077,61,74.37,2022-01-18T16:35:00Z,2116,74.429306
74.495,74.59,74.495,25,74.57,2022-01-18T16:40:00Z,1104,74.55827
74.605,74.69,74.605,14,74.69,2022-01-18T16:50:00Z,587,74.641584
74.605,74.605,74.605,2,74.605,2022-01-18T16:55:00Z,103,74.60165
74.545,74.545,74.41,56,74.49,2022-01-18T17:00:00Z,2980,74.483726
