symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EOLS,2023-07-17 13:00:00+00:00,7.41,7.48,7.355,7.455,31388.0,300.0,7.421569
EOLS,2023-07-17 14:00:00+00:00,7.455,7.4575,7.345,7.385,44386.0,743.0,7.39281
EOLS,2023-07-17 15:00:00+00:00,7.385,7.405,7.325,7.385,56834.0,614.0,7.373881
EOLS,2023-07-17 16:00:00+00:00,7.385,7.46,7.385,7.415,28131.0,670.0,7.419763
EOLS,2023-07-17 17:00:00+00:00,7.42,7.44,7.41,7.415,15276.0,489.0,7.423955
EOLS,2023-07-17 18:00:00+00:00,7.42,7.43,7.37,7.375,39294.0,714.0,7.397727
EOLS,2023-07-17 19:00:00+00:00,7.38,7.38,7.31,7.315,96506.0,1651.0,7.339665
EOLS,2023-07-17 20:00:00+00:00,7.32,7.32,7.32,7.32,48100.0,6.0,7.32
EOLS,2023-07-18 13:00:00+00:00,7.31,7.405,7.284,7.4,31034.0,313.0,7.354233
EOLS,2023-07-18 14:00:00+00:00,7.4,7.45,7.36,7.4,44048.0,816.0,7.399389
EOLS,2023-07-18 15:00:00+00:00,7.405,7.415,7.37,7.415,37426.0,681.0,7.388795
EOLS,2023-07-18 16:00:00+00:00,7.42,7.465,7.405,7.43,28249.0,687.0,7.431094
EOLS,2023-07-18 17:00:00+00:00,7.435,7.44,7.315,7.315,55731.0,1176.0,7.392103
EOLS,2023-07-18 18:00:00+00:00,7.31,7.38,7.285,7.36,79819.0,1199.0,7.328395
EOLS,2023-07-18 19:00:00+00:00,7.36,7.42,7.34,7.41,130001.0,2152.0,7.38565
EOLS,2023-07-18 20:00:00+00:00,7.4,7.4,7.39,7.39,34869.0,18.0,7.390315
EOLS,2023-07-19 11:00:00+00:00,7.29,7.29,7.29,7.29,275.0,2.0,7.29
EOLS,2023-07-19 12:00:00+00:00,7.61,7.61,7.61,7.61,270.0,1.0,7.61
EOLS,2023-07-19 13:00:00+00:00,7.44,7.51,7.41,7.45,28751.0,288.0,7.464718
EOLS,2023-07-19 14:00:00+00:00,7.445,7.48,7.4,7.46,68552.0,867.0,7.426731
