symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ERAS,2023-07-17 13:00:00+00:00,2.63,2.63,2.57,2.61,34254.0,411.0,2.603973
ERAS,2023-07-17 14:00:00+00:00,2.615,2.63,2.56,2.585,61232.0,750.0,2.589234
ERAS,2023-07-17 15:00:00+00:00,2.585,2.585,2.55,2.56,21985.0,294.0,2.565157
ERAS,2023-07-17 16:00:00+00:00,2.565,2.65,2.55,2.64,69186.0,540.0,2.582711
ERAS,2023-07-17 17:00:00+00:00,2.645,2.645,2.6,2.625,35144.0,418.0,2.62098
ERAS,2023-07-17 18:00:00+00:00,2.62,2.625,2.6028,2.615,26381.0,292.0,2.61145
ERAS,2023-07-17 19:00:00+00:00,2.62,2.62,2.59,2.595,64931.0,747.0,2.602163
ERAS,2023-07-17 20:00:00+00:00,2.59,2.59,2.59,2.59,40232.0,8.0,2.59
ERAS,2023-07-18 13:00:00+00:00,2.59,2.64,2.56,2.63,14586.0,191.0,2.600798
ERAS,2023-07-18 14:00:00+00:00,2.63,2.67,2.63,2.67,43953.0,389.0,2.64531
ERAS,2023-07-18 15:00:00+00:00,2.68,2.69,2.6,2.63,56572.0,505.0,2.651111
ERAS,2023-07-18 16:00:00+00:00,2.6301,2.64,2.61,2.615,42212.0,312.0,2.622177
ERAS,2023-07-18 17:00:00+00:00,2.615,2.615,2.59,2.59,25249.0,203.0,2.604328
ERAS,2023-07-18 18:00:00+00:00,2.595,2.63,2.595,2.62,33921.0,397.0,2.609666
ERAS,2023-07-18 19:00:00+00:00,2.625,2.63,2.61,2.625,37009.0,526.0,2.619684
ERAS,2023-07-18 20:00:00+00:00,2.62,2.62,2.62,2.62,38121.0,5.0,2.62
ERAS,2023-07-19 13:00:00+00:00,2.65,2.69,2.63,2.68,25749.0,207.0,2.66066
ERAS,2023-07-19 14:00:00+00:00,2.68,2.7285,2.68,2.715,32823.0,344.0,2.710751
ERAS,2023-07-19 15:00:00+00:00,2.71,2.735,2.69,2.735,49221.0,575.0,2.712865
ERAS,2023-07-19 16:00:00+00:00,2.74,2.75,2.68,2.68,35316.0,352.0,2.721641
ERAS,2023-07-19 17:00:00+00:00,2.685,2.69,2.665,2.69,25482.0,405.0,2.67819
ERAS,2023-07-19 18:00:00+00:00,2.685,2.73,2.675,2.7198,46655.0,551.0,2.70548
ERAS,2023-07-19 19:00:00+00:00,2.72,2.735,2.69,2.705,66861.0,906.0,2.716146
ERAS,2023-07-19 20:00:00+00:00,2.71,2.71,2.71,2.71,27180.0,7.0,2.71
ERAS,2023-07-19 22:00:00+00:00,2.75,2.75,2.75,2.75,5000.0,2.0,2.75
ERAS,2023-07-20 13:00:00+00:00,2.7,2.72,2.665,2.665,27565.0,248.0,2.690719
ERAS,2023-07-20 14:00:00+00:00,2.665,2.67,2.635,2.65,31529.0,409.0,2.651318
ERAS,2023-07-20 15:00:00+00:00,2.65,2.665,2.645,2.66,23649.0,282.0,2.653095
ERAS,2023-07-20 16:00:00+00:00,2.66,2.67,2.64,2.65,27770.0,286.0,2.65692
ERAS,2023-07-20 17:00:00+00:00,2.65,2.65,2.6099,2.63,38216.0,313.0,2.623012
ERAS,2023-07-20 18:00:00+00:00,2.63,2.63,2.6,2.61,24030.0,271.0,2.612273
ERAS,2023-07-20 19:00:00+00:00,2.61,2.63,2.6,2.615,74884.0,806.0,2.617314
ERAS,2023-07-20 20:00:00+00:00,2.61,2.61,2.61,2.61,33810.0,4.0,2.61
ERAS,2023-07-20 21:00:00+00:00,2.6001,2.6001,2.6001,2.6001,888.0,1.0,2.6001
ERAS,2023-07-21 12:00:00+00:00,2.5315,3.09,2.36,2.64,12989.0,231.0,2.639384
ERAS,2023-07-21 13:00:00+00:00,2.64,2.65,2.5799,2.59,53917.0,184.0,2.625604
ERAS,2023-07-21 14:00:00+00:00,2.59,2.59,2.56,2.5799,19981.0,266.0,2.576196
ERAS,2023-07-21 15:00:00+00:00,2.575,2.625,2.5713,2.625,12046.0,166.0,2.60013
ERAS,2023-07-21 16:00:00+00:00,2.625,2.64,2.61,2.615,16449.0,187.0,2.627733
ERAS,2023-07-21 17:00:00+00:00,2.615,2.65,2.615,2.65,18165.0,192.0,2.629118
ERAS,2023-07-21 18:00:00+00:00,2.645,2.645,2.62,2.635,15576.0,188.0,2.632584
ERAS,2023-07-21 19:00:00+00:00,2.635,2.64,2.6235,2.64,37440.0,527.0,2.63414
ERAS,2023-07-21 20:00:00+00:00,2.63,2.63,2.63,2.63,37878.0,3.0,2.63
ERAS,2023-07-21 21:00:00+00:00,2.5501,2.5501,2.5501,2.5501,896.0,2.0,2.550099
ERAS,2023-07-24 13:00:00+00:00,2.63,2.64,2.585,2.61,23635.0,220.0,2.613411
ERAS,2023-07-24 14:00:00+00:00,2.605,2.61,2.55,2.57,85047.0,521.0,2.581661
ERAS,2023-07-24 15:00:00+00:00,2.58,2.595,2.56,2.575,39461.0,369.0,2.58014
ERAS,2023-07-24 16:00:00+00:00,2.58,2.59,2.57,2.585,7788.0,139.0,2.581923
ERAS,2023-07-24 17:00:00+00:00,2.59,2.59,2.56,2.565,26981.0,273.0,2.579757
ERAS,2023-07-24 18:00:00+00:00,2.57,2.59,2.565,2.59,22255.0,177.0,2.579677
ERAS,2023-07-24 19:00:00+00:00,2.585,2.6,2.58,2.58,43285.0,610.0,2.593072
ERAS,2023-07-24 20:00:00+00:00,2.59,2.59,2.59,2.59,24208.0,4.0,2.59
ERAS,2023-07-24 21:00:00+00:00,2.57,2.57,2.57,2.57,100.0,1.0,2.57
ERAS,2023-07-25 13:00:00+00:00,2.57,2.58,2.4675,2.4675,83175.0,547.0,2.507843
ERAS,2023-07-25 14:00:00+00:00,2.46,2.52,2.46,2.4989,59620.0,538.0,2.483512
ERAS,2023-07-25 15:00:00+00:00,2.49,2.5199,2.48,2.51,51367.0,401.0,2.50064
ERAS,2023-07-25 16:00:00+00:00,2.51,2.525,2.51,2.515,15581.0,174.0,2.517499
ERAS,2023-07-25 17:00:00+00:00,2.51,2.51,2.49,2.5,68145.0,439.0,2.499045
ERAS,2023-07-25 18:00:00+00:00,2.5,2.51,2.5,2.5,9110.0,163.0,2.502519
ERAS,2023-07-25 19:00:00+00:00,2.5,2.53,2.495,2.51,91721.0,1341.0,2.515171
ERAS,2023-07-25 20:00:00+00:00,2.51,2.63,2.51,2.63,25185.0,9.0,2.510476
ERAS,2023-07-25 21:00:00+00:00,2.5,2.5,2.5,2.5,100.0,1.0,2.5
ERAS,2023-07-25 22:00:00+00:00,2.46,2.46,2.46,2.46,986.0,1.0,2.46
ERAS,2023-07-26 13:00:00+00:00,2.63,2.71,2.49,2.55,19624.0,196.0,2.551931
ERAS,2023-07-26 14:00:00+00:00,2.55,2.56,2.5325,2.545,23594.0,275.0,2.544699
ERAS,2023-07-26 15:00:00+00:00,2.54,2.56,2.51,2.545,39084.0,428.0,2.537386
ERAS,2023-07-26 16:00:00+00:00,2.545,2.56,2.545,2.55,24279.0,232.0,2.550851
ERAS,2023-07-26 17:00:00+00:00,2.555,2.565,2.55,2.555,26248.0,322.0,2.556033
ERAS,2023-07-26 18:00:00+00:00,2.55,2.58,2.55,2.56,27097.0,357.0,2.55979
ERAS,2023-07-26 19:00:00+00:00,2.555,2.555,2.5,2.54,100152.0,949.0,2.523447
ERAS,2023-07-26 20:00:00+00:00,2.53,2.53,2.53,2.53,29591.0,1.0,2.53
ERAS,2023-07-26 23:00:00+00:00,2.53,2.53,2.53,2.53,100.0,1.0,2.53
ERAS,2023-07-27 13:00:00+00:00,2.56,2.565,2.52,2.5315,32975.0,264.0,2.553403
ERAS,2023-07-27 14:00:00+00:00,2.54,2.545,2.495,2.525,43925.0,504.0,2.517161
ERAS,2023-07-27 15:00:00+00:00,2.53,2.53,2.52,2.5225,29176.0,266.0,2.523558
ERAS,2023-07-27 16:00:00+00:00,2.525,2.535,2.495,2.5025,48291.0,490.0,2.510885
ERAS,2023-07-27 17:00:00+00:00,2.5025,2.51,2.5,2.505,30679.0,343.0,2.504032
ERAS,2023-07-27 18:00:00+00:00,2.505,2.51,2.49,2.5,105085.0,814.0,2.498757
ERAS,2023-07-27 19:00:00+00:00,2.5,2.5,2.45,2.485,235261.0,1792.0,2.475008
ERAS,2023-07-27 20:00:00+00:00,2.48,2.48,2.48,2.48,61110.0,4.0,2.48
ERAS,2023-07-28 13:00:00+00:00,2.51,2.54,2.45,2.53,23506.0,268.0,2.517575
ERAS,2023-07-28 14:00:00+00:00,2.53,2.6,2.53,2.6,56164.0,487.0,2.57462
ERAS,2023-07-28 15:00:00+00:00,2.6,2.62,2.6,2.62,18449.0,191.0,2.607947
ERAS,2023-07-28 16:00:00+00:00,2.62,2.62,2.61,2.615,23078.0,127.0,2.611831
ERAS,2023-07-28 17:00:00+00:00,2.615,2.62,2.59,2.605,29280.0,271.0,2.604412
ERAS,2023-07-28 18:00:00+00:00,2.605,2.6175,2.59,2.59,36050.0,308.0,2.604595
ERAS,2023-07-28 19:00:00+00:00,2.595,2.6,2.59,2.6,66084.0,754.0,2.595895
ERAS,2023-07-28 20:00:00+00:00,2.6,2.6,2.6,2.6,45877.0,5.0,2.6
ERAS,2023-07-31 13:00:00+00:00,2.6,2.62,2.585,2.585,24009.0,276.0,2.60156
ERAS,2023-07-31 14:00:00+00:00,2.5808,2.6,2.56,2.58,18635.0,221.0,2.588243
ERAS,2023-07-31 15:00:00+00:00,2.58,2.6,2.58,2.6,32095.0,318.0,2.596766
ERAS,2023-07-31 16:00:00+00:00,2.6,2.6,2.595,2.6,36295.0,316.0,2.599233
ERAS,2023-07-31 17:00:00+00:00,2.595,2.6,2.5911,2.6,11937.0,170.0,2.598118
ERAS,2023-07-31 18:00:00+00:00,2.595,2.6,2.58,2.6,44669.0,359.0,2.593149
ERAS,2023-07-31 19:00:00+00:00,2.6,2.65,2.6,2.65,63350.0,775.0,2.622477
ERAS,2023-07-31 20:00:00+00:00,2.64,2.64,2.64,2.64,97912.0,4.0,2.64
ERAS,2023-08-01 13:00:00+00:00,2.59,2.65,2.545,2.59,20860.0,270.0,2.573157
ERAS,2023-08-01 14:00:00+00:00,2.59,2.62,2.5701,2.575,20563.0,328.0,2.587589
ERAS,2023-08-01 15:00:00+00:00,2.57,2.62,2.565,2.615,32543.0,314.0,2.592837
ERAS,2023-08-01 16:00:00+00:00,2.615,2.62,2.59,2.6027,39975.0,463.0,2.602058
ERAS,2023-08-01 17:00:00+00:00,2.61,2.61,2.59,2.61,28668.0,308.0,2.600741
ERAS,2023-08-01 18:00:00+00:00,2.601,2.62,2.595,2.605,36828.0,322.0,2.606199
ERAS,2023-08-01 19:00:00+00:00,2.6,2.66,2.6,2.66,96716.0,924.0,2.643895
ERAS,2023-08-01 20:00:00+00:00,2.65,2.65,2.65,2.65,38811.0,6.0,2.65
ERAS,2023-08-02 13:00:00+00:00,2.64,2.64,2.56,2.575,53311.0,438.0,2.583509
ERAS,2023-08-02 14:00:00+00:00,2.57,2.6308,2.56,2.6209,42946.0,511.0,2.595046
ERAS,2023-08-02 15:00:00+00:00,2.625,2.63,2.605,2.605,19134.0,231.0,2.619435
ERAS,2023-08-02 16:00:00+00:00,2.6025,2.63,2.6,2.6209,15011.0,156.0,2.616128
ERAS,2023-08-02 17:00:00+00:00,2.625,2.65,2.61,2.6125,44049.0,416.0,2.642871
ERAS,2023-08-02 18:00:00+00:00,2.615,2.615,2.61,2.615,4369.0,68.0,2.61366
ERAS,2023-08-02 19:00:00+00:00,2.615,2.65,2.6,2.63,94880.0,829.0,2.621345
ERAS,2023-08-02 20:00:00+00:00,2.63,2.63,2.63,2.63,25469.0,4.0,2.63
ERAS,2023-08-03 13:00:00+00:00,2.62,2.62,2.57,2.61,24322.0,232.0,2.595283
ERAS,2023-08-03 14:00:00+00:00,2.62,2.655,2.62,2.645,53853.0,431.0,2.639117
ERAS,2023-08-03 15:00:00+00:00,2.65,2.705,2.64,2.6667,975567.0,463.0,2.651325
ERAS,2023-08-03 16:00:00+00:00,2.665,2.665,2.62,2.65,27735.0,297.0,2.647183
ERAS,2023-08-03 17:00:00+00:00,2.6411,2.65,2.555,2.555,64212.0,474.0,2.615579
ERAS,2023-08-03 18:00:00+00:00,2.56,2.59,2.555,2.575,16896.0,239.0,2.571151
ERAS,2023-08-03 19:00:00+00:00,2.575,2.61,2.5707,2.595,81239.0,776.0,2.594945
ERAS,2023-08-03 20:00:00+00:00,2.59,2.59,2.5509,2.5509,32260.0,5.0,2.583939
ERAS,2023-08-04 13:00:00+00:00,2.61,2.66,2.6007,2.615,9709.0,117.0,2.62753
ERAS,2023-08-04 14:00:00+00:00,2.615,2.64,2.59,2.635,37786.0,439.0,2.614604
ERAS,2023-08-04 15:00:00+00:00,2.63,2.63,2.6,2.615,37383.0,391.0,2.618218
ERAS,2023-08-04 16:00:00+00:00,2.615,2.62,2.595,2.615,32253.0,298.0,2.607156
