symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ERO,2023-07-17 11:00:00+00:00,21.76,21.76,21.76,21.76,179.0,1.0,21.76
ERO,2023-07-17 13:00:00+00:00,21.34,21.65,21.22,21.55,18892.0,170.0,21.430123
ERO,2023-07-17 14:00:00+00:00,21.66,21.66,21.46,21.48,8604.0,141.0,21.530344
ERO,2023-07-17 15:00:00+00:00,21.48,21.57,21.42,21.49,8464.0,138.0,21.497388
ERO,2023-07-17 16:00:00+00:00,21.49,21.545,21.43,21.51,7781.0,119.0,21.473265
ERO,2023-07-17 17:00:00+00:00,21.515,21.68,21.44,21.63,16251.0,261.0,21.527017
ERO,2023-07-17 18:00:00+00:00,21.6,21.69,21.56,21.68,5161.0,90.0,21.638261
ERO,2023-07-17 19:00:00+00:00,21.7217,21.78,21.71,21.72,13381.0,285.0,21.743204
ERO,2023-07-17 20:00:00+00:00,21.74,21.74,21.74,21.74,2721.0,2.0,21.74
ERO,2023-07-18 13:00:00+00:00,21.62,22.05,21.44,22.05,15401.0,119.0,21.707896
ERO,2023-07-18 14:00:00+00:00,22.025,22.18,21.925,21.97,38525.0,279.0,22.030105
ERO,2023-07-18 15:00:00+00:00,21.9665,22.06,21.89,21.94,13030.0,207.0,21.956672
ERO,2023-07-18 16:00:00+00:00,21.95,21.9603,21.84,21.9603,6965.0,144.0,21.909883
ERO,2023-07-18 17:00:00+00:00,21.92,21.98,21.85,21.855,10282.0,141.0,21.893451
ERO,2023-07-18 18:00:00+00:00,21.855,21.97,21.84,21.96,6680.0,156.0,21.934275
ERO,2023-07-18 19:00:00+00:00,21.99,21.99,21.875,21.89,19249.0,329.0,21.91762
ERO,2023-07-18 20:00:00+00:00,21.89,21.89,21.89,21.89,2640.0,3.0,21.89
ERO,2023-07-19 10:00:00+00:00,21.62,21.62,21.39,21.39,745.0,5.0,21.502081
ERO,2023-07-19 13:00:00+00:00,21.65,21.82,21.45,21.63,11733.0,138.0,21.614549
ERO,2023-07-19 14:00:00+00:00,21.6,21.72,21.38,21.45,12647.0,224.0,21.549795
ERO,2023-07-19 15:00:00+00:00,21.515,21.815,21.515,21.635,18205.0,215.0,21.739257
ERO,2023-07-19 16:00:00+00:00,21.66,21.69,21.54,21.67,6903.0,136.0,21.611523
ERO,2023-07-19 17:00:00+00:00,21.6886,21.69,21.665,21.665,3542.0,56.0,21.678295
ERO,2023-07-19 18:00:00+00:00,21.66,21.72,21.55,21.64,6449.0,150.0,21.639015
ERO,2023-07-19 19:00:00+00:00,21.65,21.76,21.6251,21.75,21554.0,351.0,21.686989
ERO,2023-07-19 20:00:00+00:00,21.76,21.76,21.76,21.76,4196.0,3.0,21.76
ERO,2023-07-20 13:00:00+00:00,21.9,22.28,21.8,22.17,15967.0,196.0,22.018858
ERO,2023-07-20 14:00:00+00:00,22.125,22.125,21.87,22.01,14992.0,376.0,21.976877
ERO,2023-07-20 15:00:00+00:00,22.011,22.06,21.935,21.935,13616.0,229.0,22.008269
ERO,2023-07-20 16:00:00+00:00,21.96,22.04,21.89,21.995,15266.0,254.0,21.95776
ERO,2023-07-20 17:00:00+00:00,22.05,22.05,21.63,21.63,5728.0,127.0,21.824603
ERO,2023-07-20 18:00:00+00:00,21.64,22.055,21.601,21.92,24837.0,445.0,21.849939
ERO,2023-07-20 19:00:00+00:00,21.88,21.92,21.81,21.84,20796.0,456.0,21.85751
ERO,2023-07-20 20:00:00+00:00,21.86,21.86,21.86,21.86,12435.0,4.0,21.85992
ERO,2023-07-21 13:00:00+00:00,21.73,21.82,21.6,21.6,10977.0,90.0,21.708943
ERO,2023-07-21 14:00:00+00:00,21.53,21.67,21.44,21.45,7444.0,134.0,21.567817
ERO,2023-07-21 15:00:00+00:00,21.4,21.65,21.375,21.38,12022.0,227.0,21.512427
ERO,2023-07-21 16:00:00+00:00,21.39,21.57,21.23,21.32,26582.0,318.0,21.408618
ERO,2023-07-21 17:00:00+00:00,21.32,21.48,21.27,21.47,7147.0,143.0,21.397517
ERO,2023-07-21 18:00:00+00:00,21.47,21.47,21.38,21.4055,5481.0,102.0,21.415981
ERO,2023-07-21 19:00:00+00:00,21.405,21.64,21.405,21.52,27389.0,428.0,21.546149
ERO,2023-07-21 20:00:00+00:00,21.55,21.55,21.55,21.55,4207.0,3.0,21.55
ERO,2023-07-24 13:00:00+00:00,21.41,21.63,21.3846,21.465,10135.0,59.0,21.451541
ERO,2023-07-24 14:00:00+00:00,21.51,21.79,21.48,21.79,4954.0,103.0,21.631348
ERO,2023-07-24 15:00:00+00:00,21.815,21.97,21.76,21.97,8403.0,154.0,21.884049
ERO,2023-07-24 16:00:00+00:00,21.97,22.05,21.91,22.02,7822.0,158.0,21.973869
ERO,2023-07-24 17:00:00+00:00,22.03,22.05,21.93,21.96,4940.0,111.0,22.020327
ERO,2023-07-24 18:00:00+00:00,22.005,22.12,21.95,21.95,19208.0,312.0,22.060317
ERO,2023-07-24 19:00:00+00:00,21.96,22.04,21.89,21.9,33367.0,629.0,21.935753
ERO,2023-07-24 20:00:00+00:00,21.9,21.9,21.9,21.9,2549.0,4.0,21.898431
