symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EVC,2023-07-17 13:00:00+00:00,4.55,4.645,4.52,4.61,46144.0,284.0,4.593758
EVC,2023-07-17 14:00:00+00:00,4.615,4.69,4.57,4.63,50762.0,710.0,4.635554
EVC,2023-07-17 15:00:00+00:00,4.635,4.66,4.635,4.655,15418.0,236.0,4.651921
EVC,2023-07-17 16:00:00+00:00,4.655,4.69,4.63,4.635,29143.0,347.0,4.669726
EVC,2023-07-17 17:00:00+00:00,4.6334,4.6592,4.63,4.65,11448.0,169.0,4.643147
EVC,2023-07-17 18:00:00+00:00,4.65,4.66,4.65,4.65,18527.0,334.0,4.654232
EVC,2023-07-17 19:00:00+00:00,4.65,4.68,4.64,4.66,79608.0,1102.0,4.663068
EVC,2023-07-17 20:00:00+00:00,4.66,4.66,4.66,4.66,40687.0,4.0,4.66
EVC,2023-07-18 13:00:00+00:00,4.68,4.75,4.67,4.75,27028.0,207.0,4.700626
EVC,2023-07-18 14:00:00+00:00,4.755,4.755,4.66,4.66,29908.0,449.0,4.706988
EVC,2023-07-18 15:00:00+00:00,4.66,4.66,4.62,4.63,19672.0,273.0,4.637132
EVC,2023-07-18 16:00:00+00:00,4.63,4.67,4.62,4.65,31487.0,380.0,4.640868
EVC,2023-07-18 17:00:00+00:00,4.66,4.685,4.655,4.665,18812.0,321.0,4.669452
EVC,2023-07-18 18:00:00+00:00,4.67,4.6938,4.665,4.68,23840.0,298.0,4.678522
EVC,2023-07-18 19:00:00+00:00,4.685,4.69,4.67,4.69,49949.0,890.0,4.679547
EVC,2023-07-18 20:00:00+00:00,4.69,4.69,4.69,4.69,30895.0,2.0,4.69
EVC,2023-07-19 13:00:00+00:00,4.7,4.74,4.66,4.685,25071.0,222.0,4.693572
EVC,2023-07-19 14:00:00+00:00,4.685,4.74,4.68,4.685,29673.0,371.0,4.709547
EVC,2023-07-19 15:00:00+00:00,4.685,4.6899,4.65,4.65,11033.0,145.0,4.66862
EVC,2023-07-19 16:00:00+00:00,4.65,4.66,4.62,4.631,16992.0,233.0,4.638531
EVC,2023-07-19 17:00:00+00:00,4.63,4.63,4.6,4.6,28178.0,226.0,4.617116
EVC,2023-07-19 18:00:00+00:00,4.6,4.615,4.585,4.585,19819.0,233.0,4.603587
EVC,2023-07-19 19:00:00+00:00,4.58,4.62,4.58,4.6,50244.0,730.0,4.600514
EVC,2023-07-19 20:00:00+00:00,4.61,4.61,4.61,4.61,27385.0,5.0,4.61
EVC,2023-07-20 13:00:00+00:00,4.58,4.58,4.465,4.48,45899.0,349.0,4.490633
EVC,2023-07-20 14:00:00+00:00,4.475,4.5,4.465,4.48,73095.0,633.0,4.480592
EVC,2023-07-20 15:00:00+00:00,4.475,4.49,4.45,4.485,109651.0,943.0,4.471986
EVC,2023-07-20 16:00:00+00:00,4.495,4.53,4.495,4.525,23260.0,355.0,4.516074
EVC,2023-07-20 17:00:00+00:00,4.525,4.525,4.5,4.5012,28210.0,352.0,4.514972
EVC,2023-07-20 18:00:00+00:00,4.505,4.54,4.505,4.535,18063.0,347.0,4.522231
EVC,2023-07-20 19:00:00+00:00,4.535,4.59,4.53,4.57,122867.0,1180.0,4.561311
EVC,2023-07-20 20:00:00+00:00,4.57,4.57,4.57,4.57,23196.0,4.0,4.57
EVC,2023-07-21 13:00:00+00:00,4.6,4.625,4.55,4.55,52952.0,300.0,4.597506
EVC,2023-07-21 14:00:00+00:00,4.55,4.595,4.55,4.57,29254.0,375.0,4.574616
EVC,2023-07-21 15:00:00+00:00,4.575,4.65,4.575,4.645,14249.0,188.0,4.608516
EVC,2023-07-21 16:00:00+00:00,4.645,4.645,4.595,4.6,27226.0,349.0,4.610487
EVC,2023-07-21 17:00:00+00:00,4.6,4.63,4.6,4.63,12731.0,194.0,4.612433
EVC,2023-07-21 18:00:00+00:00,4.63,4.6487,4.625,4.635,46803.0,550.0,4.63639
EVC,2023-07-21 19:00:00+00:00,4.635,4.645,4.6,4.63,111641.0,1355.0,4.627637
EVC,2023-07-21 20:00:00+00:00,4.63,4.63,4.63,4.63,59434.0,4.0,4.63
EVC,2023-07-24 13:00:00+00:00,4.64,4.7,4.62,4.625,16090.0,295.0,4.662484
EVC,2023-07-24 14:00:00+00:00,4.635,4.645,4.61,4.635,16000.0,298.0,4.631747
EVC,2023-07-24 15:00:00+00:00,4.635,4.665,4.635,4.665,10255.0,136.0,4.646844
EVC,2023-07-24 16:00:00+00:00,4.665,4.72,4.665,4.72,15505.0,177.0,4.682428
EVC,2023-07-24 17:00:00+00:00,4.715,4.76,4.715,4.715,24326.0,283.0,4.736883
EVC,2023-07-24 18:00:00+00:00,4.72,4.725,4.69,4.705,21210.0,248.0,4.708359
EVC,2023-07-24 19:00:00+00:00,4.705,4.705,4.68,4.7,66599.0,1212.0,4.68802
EVC,2023-07-24 20:00:00+00:00,4.7,4.7,4.7,4.7,49711.0,3.0,4.7
EVC,2023-07-25 13:00:00+00:00,4.65,4.68,4.605,4.63,20471.0,200.0,4.634072
EVC,2023-07-25 14:00:00+00:00,4.63,4.635,4.59,4.59,14839.0,207.0,4.615769
EVC,2023-07-25 15:00:00+00:00,4.59,4.595,4.58,4.585,22165.0,235.0,4.583723
EVC,2023-07-25 16:00:00+00:00,4.58,4.589,4.58,4.585,13941.0,143.0,4.58288
EVC,2023-07-25 17:00:00+00:00,4.58,4.62,4.54,4.615,44097.0,490.0,4.574472
EVC,2023-07-25 18:00:00+00:00,4.61,4.71,4.61,4.685,175117.0,896.0,4.664913
EVC,2023-07-25 19:00:00+00:00,4.69,4.72,4.66,4.7,163718.0,1729.0,4.686994
EVC,2023-07-25 20:00:00+00:00,4.7,4.92,4.7,4.75,49774.0,9.0,4.70224
EVC,2023-07-25 21:00:00+00:00,4.9,4.9,4.8,4.8,1500.0,2.0,4.866667
EVC,2023-07-26 11:00:00+00:00,4.8,4.8,4.8,4.8,1000.0,1.0,4.8
EVC,2023-07-26 13:00:00+00:00,4.74,4.77,4.7199,4.74,39124.0,265.0,4.744562
EVC,2023-07-26 14:00:00+00:00,4.74,4.755,4.72,4.755,31711.0,356.0,4.735237
EVC,2023-07-26 15:00:00+00:00,4.75,4.815,4.745,4.8113,47324.0,385.0,4.778163
EVC,2023-07-26 16:00:00+00:00,4.81,4.82,4.795,4.811,30378.0,358.0,4.808771
EVC,2023-07-26 17:00:00+00:00,4.81,4.825,4.8,4.82,24184.0,331.0,4.81329
EVC,2023-07-26 18:00:00+00:00,4.81,4.87,4.8,4.83,34145.0,423.0,4.836931
EVC,2023-07-26 19:00:00+00:00,4.835,4.835,4.81,4.82,48409.0,830.0,4.822009
EVC,2023-07-26 20:00:00+00:00,4.82,4.82,4.82,4.82,25817.0,3.0,4.82
EVC,2023-07-27 13:00:00+00:00,4.89,4.89,4.82,4.85,26106.0,281.0,4.854324
EVC,2023-07-27 14:00:00+00:00,4.8513,4.86,4.79,4.79,28493.0,476.0,4.832368
EVC,2023-07-27 15:00:00+00:00,4.79,4.79,4.755,4.765,10440.0,224.0,4.767876
EVC,2023-07-27 16:00:00+00:00,4.765,4.78,4.765,4.765,10575.0,188.0,4.771025
EVC,2023-07-27 17:00:00+00:00,4.765,4.765,4.75,4.755,11733.0,284.0,4.757527
EVC,2023-07-27 18:00:00+00:00,4.755,4.765,4.73,4.73,22231.0,360.0,4.750456
EVC,2023-07-27 19:00:00+00:00,4.73,4.73,4.69,4.69,55634.0,892.0,4.706787
EVC,2023-07-27 20:00:00+00:00,4.69,4.69,4.69,4.69,44135.0,8.0,4.69
EVC,2023-07-28 13:00:00+00:00,4.78,4.81,4.72,4.765,25114.0,240.0,4.769183
EVC,2023-07-28 14:00:00+00:00,4.765,4.795,4.755,4.785,18831.0,308.0,4.772368
EVC,2023-07-28 15:00:00+00:00,4.78,4.84,4.78,4.815,37089.0,419.0,4.816593
EVC,2023-07-28 16:00:00+00:00,4.81,4.83,4.805,4.825,27256.0,359.0,4.821225
EVC,2023-07-28 17:00:00+00:00,4.825,4.86,4.82,4.825,35531.0,371.0,4.838141
EVC,2023-07-28 18:00:00+00:00,4.825,4.84,4.82,4.835,8885.0,164.0,4.829191
EVC,2023-07-28 19:00:00+00:00,4.83,4.8352,4.785,4.79,36498.0,684.0,4.803065
EVC,2023-07-28 20:00:00+00:00,4.79,4.79,4.79,4.79,24747.0,3.0,4.79
EVC,2023-07-31 13:00:00+00:00,4.87,4.8803,4.8,4.88,41285.0,200.0,4.864387
