symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EWS,2023-07-17 13:00:00+00:00,19.31,19.36,19.288,19.35,23003.0,158.0,19.307233
EWS,2023-07-17 14:00:00+00:00,19.36,19.39,19.35,19.381,27629.0,169.0,19.36887
EWS,2023-07-17 15:00:00+00:00,19.37,19.38,19.36,19.375,18503.0,165.0,19.368248
EWS,2023-07-17 16:00:00+00:00,19.375,19.385,19.37,19.38,10459.0,95.0,19.378017
EWS,2023-07-17 17:00:00+00:00,19.38,19.3856,19.37,19.375,9877.0,91.0,19.377951
EWS,2023-07-17 18:00:00+00:00,19.375,19.379,19.36,19.37,141977.0,315.0,19.370418
EWS,2023-07-17 19:00:00+00:00,19.37,19.37,19.34,19.34,50438.0,329.0,19.351351
EWS,2023-07-17 20:00:00+00:00,19.34,19.34,19.34,19.34,24697.0,2.0,19.34
EWS,2023-07-18 13:00:00+00:00,19.33,19.33,19.28,19.33,17493.0,138.0,19.313347
EWS,2023-07-18 14:00:00+00:00,19.335,19.38,19.331,19.375,31731.0,200.0,19.35952
EWS,2023-07-18 15:00:00+00:00,19.375,19.39,19.35,19.355,11121.0,108.0,19.370043
EWS,2023-07-18 16:00:00+00:00,19.36,19.36,19.3,19.305,21713.0,133.0,19.335061
EWS,2023-07-18 17:00:00+00:00,19.305,19.31,19.3,19.305,5306.0,37.0,19.30575
EWS,2023-07-18 18:00:00+00:00,19.3073,19.32,19.295,19.32,5301.0,65.0,19.305521
EWS,2023-07-18 19:00:00+00:00,19.315,19.32,19.31,19.32,72083.0,623.0,19.315221
EWS,2023-07-18 20:00:00+00:00,19.31,19.31,19.28,19.28,81567.0,3.0,19.309926
EWS,2023-07-19 13:00:00+00:00,19.34,19.425,19.34,19.42,17245.0,108.0,19.406663
EWS,2023-07-19 14:00:00+00:00,19.415,19.415,19.335,19.34,43800.0,192.0,19.3716
EWS,2023-07-19 15:00:00+00:00,19.34,19.37,19.34,19.36,7308.0,54.0,19.3587
EWS,2023-07-19 16:00:00+00:00,19.3562,19.3562,19.32,19.335,17794.0,105.0,19.335205
EWS,2023-07-19 17:00:00+00:00,19.335,19.35,19.325,19.35,81595.0,82.0,19.340718
EWS,2023-07-19 18:00:00+00:00,19.345,19.36,19.33,19.35,31833.0,232.0,19.342558
EWS,2023-07-19 19:00:00+00:00,19.36,19.37,19.35,19.35,98153.0,735.0,19.356205
EWS,2023-07-19 20:00:00+00:00,19.36,19.36,19.36,19.36,60067.0,2.0,19.36
EWS,2023-07-20 13:00:00+00:00,19.36,19.36,19.3,19.3292,19921.0,152.0,19.323531
EWS,2023-07-20 14:00:00+00:00,19.33,19.33,19.24,19.275,81412.0,498.0,19.278779
EWS,2023-07-20 15:00:00+00:00,19.275,19.28,19.22,19.225,36046.0,248.0,19.242221
EWS,2023-07-20 16:00:00+00:00,19.225,19.26,19.215,19.245,123826.0,632.0,19.234964
EWS,2023-07-20 17:00:00+00:00,19.25,19.27,19.2413,19.255,44031.0,323.0,19.257922
EWS,2023-07-20 18:00:00+00:00,19.255,19.26,19.24,19.24,38562.0,293.0,19.250536
EWS,2023-07-20 19:00:00+00:00,19.245,19.27,19.24,19.27,34667.0,290.0,19.25659
EWS,2023-07-20 20:00:00+00:00,19.26,19.26,19.26,19.26,41000.0,2.0,19.26
EWS,2023-07-21 13:00:00+00:00,19.29,19.33,19.25,19.255,26684.0,139.0,19.288954
EWS,2023-07-21 14:00:00+00:00,19.255,19.26,19.24,19.245,33686.0,197.0,19.248979
EWS,2023-07-21 15:00:00+00:00,19.25,19.29,19.245,19.275,31350.0,197.0,19.270606
EWS,2023-07-21 16:00:00+00:00,19.275,19.275,19.26,19.27,15497.0,101.0,19.268329
EWS,2023-07-21 17:00:00+00:00,19.27,19.28,19.26,19.275,26200.0,201.0,19.270205
EWS,2023-07-21 18:00:00+00:00,19.275,19.28,19.27,19.27,17764.0,138.0,19.275137
EWS,2023-07-21 19:00:00+00:00,19.27,19.28,19.25,19.275,70386.0,346.0,19.266458
EWS,2023-07-21 20:00:00+00:00,19.28,19.28,19.28,19.28,30178.0,2.0,19.28
EWS,2023-07-24 13:00:00+00:00,19.19,19.2,19.15,19.1525,31601.0,242.0,19.167886
EWS,2023-07-24 14:00:00+00:00,19.16,19.245,19.16,19.235,35883.0,243.0,19.191256
EWS,2023-07-24 15:00:00+00:00,19.235,19.27,19.235,19.255,54106.0,302.0,19.254988
EWS,2023-07-24 16:00:00+00:00,19.255,19.275,19.25,19.265,21381.0,129.0,19.264895
EWS,2023-07-24 17:00:00+00:00,19.265,19.27,19.245,19.245,31629.0,183.0,19.254093
EWS,2023-07-24 18:00:00+00:00,19.245,19.25,19.22,19.2299,15963.0,155.0,19.23966
EWS,2023-07-24 19:00:00+00:00,19.225,19.25,19.21,19.245,57256.0,370.0,19.22411
EWS,2023-07-24 20:00:00+00:00,19.24,19.24,19.24,19.24,54833.0,2.0,19.24
EWS,2023-07-25 13:00:00+00:00,19.36,19.415,19.345,19.38,18818.0,138.0,19.378759
EWS,2023-07-25 14:00:00+00:00,19.37,19.4,19.37,19.375,18370.0,132.0,19.380676
EWS,2023-07-25 15:00:00+00:00,19.375,19.385,19.345,19.355,26942.0,183.0,19.360703
EWS,2023-07-25 16:00:00+00:00,19.355,19.36,19.35,19.355,12035.0,84.0,19.35484
