symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EWY,2023-07-17 13:00:00+00:00,67.16,67.38,67.035,67.38,367603.0,2749.0,67.204795
EWY,2023-07-17 14:00:00+00:00,67.39,67.46,67.3,67.46,307934.0,2766.0,67.382808
EWY,2023-07-17 15:00:00+00:00,67.46,67.54,67.31,67.54,386339.0,3354.0,67.390943
EWY,2023-07-17 16:00:00+00:00,67.53,67.545,67.44,67.52,230262.0,2362.0,67.495698
EWY,2023-07-17 17:00:00+00:00,67.51,67.59,67.49,67.58,133099.0,1419.0,67.531954
EWY,2023-07-17 18:00:00+00:00,67.59,67.61,67.55,67.555,146820.0,1294.0,67.578211
EWY,2023-07-17 19:00:00+00:00,67.5544,67.64,67.49,67.56,932370.0,5364.0,67.553232
EWY,2023-07-17 20:00:00+00:00,67.54,67.54,67.54,67.54,42986.0,5.0,67.539972
EWY,2023-07-18 12:00:00+00:00,67.39,67.56,67.39,67.56,1672.0,4.0,67.446531
EWY,2023-07-18 13:00:00+00:00,67.34,67.36,67.165,67.32,645002.0,4310.0,67.281137
EWY,2023-07-18 14:00:00+00:00,67.32,67.53,67.31,67.48,487215.0,3667.0,67.428804
EWY,2023-07-18 15:00:00+00:00,67.485,67.56,67.385,67.48,338261.0,2829.0,67.447657
EWY,2023-07-18 16:00:00+00:00,67.475,67.52,67.3,67.3,469918.0,3076.0,67.449893
EWY,2023-07-18 17:00:00+00:00,67.3,67.35,67.24,67.3,227783.0,1861.0,67.297809
EWY,2023-07-18 18:00:00+00:00,67.295,67.425,67.25,67.38,258037.0,2084.0,67.345722
EWY,2023-07-18 19:00:00+00:00,67.375,67.41,67.3,67.32,375722.0,2898.0,67.368365
EWY,2023-07-18 20:00:00+00:00,67.34,67.34,67.34,67.34,62858.0,5.0,67.34001
EWY,2023-07-19 12:00:00+00:00,67.13,67.13,67.13,67.13,1116.0,1.0,67.13
EWY,2023-07-19 13:00:00+00:00,67.18,67.32,67.15,67.205,536736.0,3101.0,67.243371
EWY,2023-07-19 14:00:00+00:00,67.205,67.205,66.955,67.035,741074.0,4987.0,67.097964
EWY,2023-07-19 15:00:00+00:00,67.05,67.19,66.97,66.975,305069.0,2434.0,67.086752
EWY,2023-07-19 16:00:00+00:00,66.975,67.065,66.93,67.045,217167.0,2012.0,67.009744
EWY,2023-07-19 17:00:00+00:00,67.04,67.09,66.975,67.05,198695.0,1621.0,67.040067
EWY,2023-07-19 18:00:00+00:00,67.05,67.09,66.94,67.085,130755.0,1108.0,67.019661
EWY,2023-07-19 19:00:00+00:00,67.09,67.22,67.07,67.09,286037.0,2061.0,67.125184
EWY,2023-07-19 20:00:00+00:00,67.12,67.12,67.12,67.12,69210.0,4.0,67.120009
EWY,2023-07-20 12:00:00+00:00,66.66,66.66,66.66,66.66,100.0,1.0,66.66
EWY,2023-07-20 13:00:00+00:00,66.64,66.64,66.45,66.54,451119.0,2919.0,66.527966
EWY,2023-07-20 14:00:00+00:00,66.55,66.58,66.04,66.22,491913.0,3769.0,66.228032
EWY,2023-07-20 15:00:00+00:00,66.21,66.26,66.095,66.1,258530.0,2113.0,66.174757
EWY,2023-07-20 16:00:00+00:00,66.095,66.23,66.095,66.23,434321.0,3005.0,66.16767
EWY,2023-07-20 17:00:00+00:00,66.23,66.355,66.23,66.3,448756.0,2721.0,66.308582
EWY,2023-07-20 18:00:00+00:00,66.3,66.345,66.15,66.15,862084.0,4239.0,66.222006
EWY,2023-07-20 19:00:00+00:00,66.15,66.185,65.97,66.02,1027096.0,6486.0,66.034334
EWY,2023-07-20 20:00:00+00:00,66.0,66.05,66.0,66.0,178204.0,8.0,66.000794
EWY,2023-07-21 08:00:00+00:00,66.54,66.54,66.52,66.52,200.0,2.0,66.53
EWY,2023-07-21 09:00:00+00:00,66.45,66.45,66.45,66.45,200.0,2.0,66.45
EWY,2023-07-21 12:00:00+00:00,66.18,66.49,66.18,66.38,81643.0,8.0,66.185495
EWY,2023-07-21 13:00:00+00:00,66.38,66.43,66.025,66.05,383686.0,3007.0,66.206307
EWY,2023-07-21 14:00:00+00:00,66.045,66.06,65.94,65.98,470935.0,3513.0,65.983874
EWY,2023-07-21 15:00:00+00:00,65.985,66.18,65.985,66.13,252590.0,2751.0,66.121133
EWY,2023-07-21 16:00:00+00:00,66.145,66.15,66.07,66.135,187264.0,2214.0,66.102383
EWY,2023-07-21 17:00:00+00:00,66.135,66.235,66.13,66.212,175788.0,1699.0,66.180613
EWY,2023-07-21 18:00:00+00:00,66.215,66.215,66.1,66.1,124635.0,1534.0,66.182903
EWY,2023-07-21 19:00:00+00:00,66.09,66.095,65.955,66.0,380862.0,3483.0,66.009779
EWY,2023-07-21 20:00:00+00:00,66.03,66.03,66.03,66.03,33928.0,4.0,66.030059
EWY,2023-07-24 08:00:00+00:00,66.61,66.93,66.61,66.93,1000.0,5.0,66.72
EWY,2023-07-24 12:00:00+00:00,67.18,67.18,67.13,67.13,2121.0,10.0,67.156483
EWY,2023-07-24 13:00:00+00:00,67.13,67.315,67.07,67.16,590102.0,3959.0,67.20256
EWY,2023-07-24 14:00:00+00:00,67.16,67.46,67.159,67.42,505032.0,3739.0,67.321366
EWY,2023-07-24 15:00:00+00:00,67.42,67.53,67.35,67.52,383132.0,2821.0,67.428738
EWY,2023-07-24 16:00:00+00:00,67.5384,67.5875,67.43,67.51,396180.0,2574.0,67.502133
EWY,2023-07-24 17:00:00+00:00,67.5,67.525,67.395,67.51,284661.0,1989.0,67.48909
EWY,2023-07-24 18:00:00+00:00,67.515,67.53,67.295,67.325,607966.0,3201.0,67.404939
EWY,2023-07-24 19:00:00+00:00,67.33,67.37,67.2,67.28,940935.0,5287.0,67.283094
EWY,2023-07-24 20:00:00+00:00,67.3,67.3,67.3,67.3,60771.0,5.0,67.299992
EWY,2023-07-25 08:00:00+00:00,67.59,67.9,67.59,67.9,600.0,3.0,67.74
EWY,2023-07-25 10:00:00+00:00,67.71,67.71,67.71,67.71,400.0,4.0,67.71
EWY,2023-07-25 11:00:00+00:00,67.71,67.71,67.71,67.71,140.0,2.0,67.71
EWY,2023-07-25 12:00:00+00:00,67.62,67.62,67.62,67.62,100.0,1.0,67.62
EWY,2023-07-25 13:00:00+00:00,67.66,67.785,67.6,67.75,241742.0,2008.0,67.708429
EWY,2023-07-25 14:00:00+00:00,67.75,67.86,67.655,67.755,550781.0,4204.0,67.751712
EWY,2023-07-25 15:00:00+00:00,67.755,67.85,67.675,67.83,259957.0,2059.0,67.767201
EWY,2023-07-25 16:00:00+00:00,67.82,67.885,67.775,67.83,126094.0,1353.0,67.825853
EWY,2023-07-25 17:00:00+00:00,67.835,67.838,67.79,67.81,131806.0,1127.0,67.807927
EWY,2023-07-25 18:00:00+00:00,67.805,67.95,67.795,67.92,450886.0,3377.0,67.902728
EWY,2023-07-25 19:00:00+00:00,67.91,67.95,67.8344,67.91,905056.0,3836.0,67.908188
EWY,2023-07-25 20:00:00+00:00,67.9,67.9,67.9,67.9,65061.0,6.0,67.899959
EWY,2023-07-25 21:00:00+00:00,67.9,67.9,67.9,67.9,500.0,2.0,67.9
EWY,2023-07-26 09:00:00+00:00,66.89,66.89,66.89,66.89,300.0,3.0,66.89
EWY,2023-07-26 12:00:00+00:00,67.4,67.4,66.78,66.78,103848.0,5.0,67.381862
EWY,2023-07-26 13:00:00+00:00,66.84,67.03,66.73,67.03,576190.0,3606.0,66.889203
EWY,2023-07-26 14:00:00+00:00,67.03,67.07,66.935,66.96,965200.0,6732.0,67.007126
EWY,2023-07-26 15:00:00+00:00,66.96,67.185,66.93,67.15,558464.0,3659.0,67.048838
EWY,2023-07-26 16:00:00+00:00,67.14,67.22,67.125,67.195,381029.0,2728.0,67.174055
EWY,2023-07-26 17:00:00+00:00,67.19,67.24,67.15,67.24,453171.0,2825.0,67.200467
EWY,2023-07-26 18:00:00+00:00,67.23,67.76,67.085,67.76,1135480.0,9436.0,67.423517
EWY,2023-07-26 19:00:00+00:00,67.77,67.805,67.26,67.52,1366166.0,9266.0,67.463059
EWY,2023-07-26 20:00:00+00:00,67.53,67.53,67.5,67.5,62460.0,10.0,67.529616
EWY,2023-07-27 08:00:00+00:00,67.42,67.54,67.42,67.54,1000.0,2.0,67.456
EWY,2023-07-27 11:00:00+00:00,67.52,67.52,67.33,67.33,300.0,2.0,67.393333
EWY,2023-07-27 12:00:00+00:00,67.02,67.47,67.02,67.36,2940.0,9.0,67.11185
EWY,2023-07-27 13:00:00+00:00,67.25,67.37,67.005,67.07,772489.0,5264.0,67.094873
EWY,2023-07-27 14:00:00+00:00,67.07,67.08,66.83,66.94,323022.0,2984.0,66.947862
EWY,2023-07-27 15:00:00+00:00,66.94,67.12,66.92,67.105,325346.0,2785.0,67.041105
EWY,2023-07-27 16:00:00+00:00,67.105,67.16,67.04,67.1,176546.0,1757.0,67.114404
EWY,2023-07-27 17:00:00+00:00,67.1,67.2,66.875,66.88,769380.0,5860.0,67.042154
EWY,2023-07-27 18:00:00+00:00,66.88,66.88,66.41,66.445,446264.0,3795.0,66.596319
EWY,2023-07-27 19:00:00+00:00,66.445,66.48,66.24,66.32,796321.0,5138.0,66.327349
EWY,2023-07-27 20:00:00+00:00,66.32,66.32,66.32,66.32,35570.0,5.0,66.320038
EWY,2023-07-27 22:00:00+00:00,66.24,66.24,66.24,66.24,279.0,5.0,66.240358
EWY,2023-07-28 12:00:00+00:00,67.08,67.19,67.08,67.19,500.0,5.0,67.126
EWY,2023-07-28 13:00:00+00:00,67.24,67.2799,67.09,67.25,360735.0,2630.0,67.186093
EWY,2023-07-28 14:00:00+00:00,67.26,67.51,67.26,67.43,540044.0,4358.0,67.399657
EWY,2023-07-28 15:00:00+00:00,67.42,67.595,67.4,67.56,319103.0,2446.0,67.534597
EWY,2023-07-28 16:00:00+00:00,67.56,67.59,67.465,67.475,225814.0,1802.0,67.528877
EWY,2023-07-28 17:00:00+00:00,67.475,67.495,67.32,67.425,282642.0,1726.0,67.402697
EWY,2023-07-28 18:00:00+00:00,67.425,67.475,67.36,67.425,262305.0,2002.0,67.41163
EWY,2023-07-28 19:00:00+00:00,67.42,67.54,67.4,67.49,577987.0,3767.0,67.493519
EWY,2023-07-28 20:00:00+00:00,67.49,67.54,67.49,67.54,24618.0,8.0,67.490543
EWY,2023-07-28 23:00:00+00:00,67.54,67.54,67.54,67.54,200.0,1.0,67.54
EWY,2023-07-31 10:00:00+00:00,67.71,67.71,67.71,67.71,200.0,2.0,67.71
EWY,2023-07-31 12:00:00+00:00,67.62,67.62,67.62,67.62,2232.0,1.0,67.62
EWY,2023-07-31 13:00:00+00:00,67.47,67.67,67.395,67.53,345755.0,2805.0,67.535021
EWY,2023-07-31 14:00:00+00:00,67.53,67.66,67.51,67.65,292825.0,2647.0,67.586587
EWY,2023-07-31 15:00:00+00:00,67.65,67.67,67.58,67.625,220443.0,1780.0,67.626841
EWY,2023-07-31 16:00:00+00:00,67.625,67.65,67.59,67.6,245890.0,1339.0,67.630826
EWY,2023-07-31 17:00:00+00:00,67.59,67.69,67.57,67.665,175666.0,1169.0,67.646366
EWY,2023-07-31 18:00:00+00:00,67.665,67.685,67.595,67.605,120901.0,1205.0,67.624278
EWY,2023-07-31 19:00:00+00:00,67.605,67.605,67.495,67.56,463092.0,2655.0,67.543887
EWY,2023-07-31 20:00:00+00:00,67.57,67.57,67.57,67.57,48362.0,4.0,67.569939
EWY,2023-07-31 22:00:00+00:00,67.7,67.7,67.7,67.7,325.0,1.0,67.7
EWY,2023-07-31 23:00:00+00:00,67.65,67.65,67.36,67.36,200.0,2.0,67.505
EWY,2023-08-01 08:00:00+00:00,67.7,67.81,67.65,67.8,1300.0,15.0,67.704108
EWY,2023-08-01 10:00:00+00:00,67.8,67.88,67.8,67.88,889.0,8.0,67.842273
EWY,2023-08-01 11:00:00+00:00,67.8,67.8,67.8,67.8,752.0,2.0,67.791702
EWY,2023-08-01 13:00:00+00:00,67.74,67.84,67.68,67.77,209134.0,1949.0,67.764146
EWY,2023-08-01 14:00:00+00:00,67.7775,67.9,67.515,67.53,845810.0,7399.0,67.675491
EWY,2023-08-01 15:00:00+00:00,67.54,67.56,67.415,67.525,649361.0,4656.0,67.474474
EWY,2023-08-01 16:00:00+00:00,67.54,67.55,67.455,67.545,457491.0,3246.0,67.503977
EWY,2023-08-01 17:00:00+00:00,67.5403,67.59,67.5,67.57,344954.0,2529.0,67.549511
EWY,2023-08-01 18:00:00+00:00,67.57,67.65,67.57,67.59,386669.0,2841.0,67.612517
