symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EYPT,2023-07-17 12:00:00+00:00,11.4988,11.4988,11.4988,11.4988,101.0,2.0,11.498812
EYPT,2023-07-17 13:00:00+00:00,11.1,11.6299,10.9984,11.0401,131203.0,1082.0,11.373463
EYPT,2023-07-17 14:00:00+00:00,11.045,11.18,10.96,11.08,111978.0,1388.0,11.063446
EYPT,2023-07-17 15:00:00+00:00,11.09,11.115,10.63,10.67,97225.0,1040.0,10.81451
EYPT,2023-07-17 16:00:00+00:00,10.69,10.85,10.62,10.83,60749.0,756.0,10.732005
EYPT,2023-07-17 17:00:00+00:00,10.8584,11.21,10.78,11.185,78202.0,1110.0,11.088175
EYPT,2023-07-17 18:00:00+00:00,11.185,11.19,10.91,10.9532,59107.0,901.0,11.092415
EYPT,2023-07-17 19:00:00+00:00,10.96,11.06,10.87,11.02,159601.0,2210.0,10.999838
EYPT,2023-07-17 20:00:00+00:00,11.01,11.19,11.0,11.19,20795.0,8.0,11.01104
EYPT,2023-07-17 23:00:00+00:00,11.19,11.19,11.19,11.19,100.0,1.0,11.19
EYPT,2023-07-18 11:00:00+00:00,11.15,11.15,11.15,11.15,106.0,1.0,11.15
EYPT,2023-07-18 12:00:00+00:00,11.16,11.16,11.16,11.16,500.0,1.0,11.16
EYPT,2023-07-18 13:00:00+00:00,11.15,11.15,10.9221,11.09,16943.0,249.0,11.053769
EYPT,2023-07-18 14:00:00+00:00,11.15,11.42,11.06,11.37,66178.0,920.0,11.216985
EYPT,2023-07-18 15:00:00+00:00,11.375,11.5,11.23,11.395,48145.0,619.0,11.392861
EYPT,2023-07-18 16:00:00+00:00,11.43,11.56,11.34,11.37,80550.0,1034.0,11.468853
EYPT,2023-07-18 17:00:00+00:00,11.38,11.6,11.35,11.51,44172.0,782.0,11.485006
EYPT,2023-07-18 18:00:00+00:00,11.51,11.56,11.43,11.48,30789.0,611.0,11.484291
EYPT,2023-07-18 19:00:00+00:00,11.45,11.74,11.4,11.63,145228.0,1916.0,11.631346
EYPT,2023-07-18 20:00:00+00:00,11.65,11.9969,11.65,11.9969,22911.0,5.0,11.654088
EYPT,2023-07-19 12:00:00+00:00,12.06,12.23,12.06,12.23,1103.0,18.0,12.158014
EYPT,2023-07-19 13:00:00+00:00,11.79,12.34,11.755,12.14,121542.0,1064.0,12.070182
EYPT,2023-07-19 14:00:00+00:00,12.05,12.53,12.0301,12.19,179842.0,1865.0,12.349537
EYPT,2023-07-19 15:00:00+00:00,12.2086,12.5,12.06,12.405,44400.0,697.0,12.279981
EYPT,2023-07-19 16:00:00+00:00,12.42,12.46,12.23,12.265,33644.0,548.0,12.325134
EYPT,2023-07-19 17:00:00+00:00,12.25,12.265,11.93,11.93,52834.0,620.0,12.130115
EYPT,2023-07-19 18:00:00+00:00,11.935,12.02,11.9002,11.95,74646.0,1003.0,11.976295
EYPT,2023-07-19 19:00:00+00:00,11.93,12.1031,11.91,11.96,128269.0,1600.0,11.987406
EYPT,2023-07-19 20:00:00+00:00,11.97,11.97,11.97,11.97,22991.0,6.0,11.97
EYPT,2023-07-20 11:00:00+00:00,11.95,11.95,11.95,11.95,500.0,1.0,11.95
EYPT,2023-07-20 13:00:00+00:00,11.9,12.0,11.72,11.885,54326.0,447.0,11.938955
EYPT,2023-07-20 14:00:00+00:00,11.8601,11.905,11.23,11.57,180074.0,1337.0,11.449635
EYPT,2023-07-20 15:00:00+00:00,11.58,11.83,11.5,11.83,43829.0,553.0,11.597744
EYPT,2023-07-20 16:00:00+00:00,11.8101,11.825,11.61,11.7,25087.0,406.0,11.703477
EYPT,2023-07-20 17:00:00+00:00,11.68,11.8,11.63,11.8,24989.0,351.0,11.700189
EYPT,2023-07-20 18:00:00+00:00,11.76,11.805,11.61,11.62,38671.0,561.0,11.69422
EYPT,2023-07-20 19:00:00+00:00,11.64,11.86,11.6,11.79,218450.0,1746.0,11.7478
EYPT,2023-07-20 20:00:00+00:00,11.8,11.8,11.75,11.75,15011.0,5.0,11.7995
EYPT,2023-07-20 21:00:00+00:00,11.3942,11.3942,11.3942,11.3942,185.0,1.0,11.3942
EYPT,2023-07-21 13:00:00+00:00,11.41,12.09,11.41,11.72,53634.0,391.0,11.849797
EYPT,2023-07-21 14:00:00+00:00,11.705,11.705,11.16,11.25,71305.0,680.0,11.386362
EYPT,2023-07-21 15:00:00+00:00,11.24,11.64,11.2239,11.59,32803.0,393.0,11.461202
EYPT,2023-07-21 16:00:00+00:00,11.59,11.87,11.59,11.705,26933.0,377.0,11.744386
EYPT,2023-07-21 17:00:00+00:00,11.75,11.8277,11.68,11.8277,13310.0,283.0,11.756241
EYPT,2023-07-21 18:00:00+00:00,11.82,11.82,11.445,11.45,15788.0,379.0,11.590463
EYPT,2023-07-21 19:00:00+00:00,11.4783,11.5,11.38,11.41,59707.0,1080.0,11.435935
EYPT,2023-07-21 20:00:00+00:00,11.41,11.41,11.41,11.41,17717.0,5.0,11.41
EYPT,2023-07-24 13:00:00+00:00,11.38,11.68,11.08,11.12,62562.0,446.0,11.330848
EYPT,2023-07-24 14:00:00+00:00,11.15,11.255,10.8979,10.98,79819.0,818.0,11.06774
EYPT,2023-07-24 15:00:00+00:00,10.99,11.06,10.77,10.8,130514.0,1061.0,10.907489
EYPT,2023-07-24 16:00:00+00:00,10.79,10.91,10.72,10.78,82788.0,742.0,10.77881
EYPT,2023-07-24 17:00:00+00:00,10.785,10.7923,10.295,10.455,232128.0,1654.0,10.528874
EYPT,2023-07-24 18:00:00+00:00,10.47,10.6,10.43,10.5,52277.0,625.0,10.513557
EYPT,2023-07-24 19:00:00+00:00,10.48,10.51,10.22,10.49,129989.0,1447.0,10.382086
EYPT,2023-07-24 20:00:00+00:00,10.48,10.5,10.28,10.5,20196.0,5.0,10.472819
EYPT,2023-07-24 21:00:00+00:00,10.26,10.47,10.26,10.47,751.0,3.0,10.399814
EYPT,2023-07-24 23:00:00+00:00,10.4,10.4,10.4,10.4,362.0,3.0,10.400414
EYPT,2023-07-25 13:00:00+00:00,10.42,10.6,10.21,10.23,94963.0,551.0,10.362243
