symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FBK,2023-07-17 13:00:00+00:00,28.92,29.32,28.92,29.32,2387.0,65.0,29.021717
FBK,2023-07-17 14:00:00+00:00,29.5035,29.9885,29.31,29.895,33679.0,369.0,29.715034
FBK,2023-07-17 15:00:00+00:00,29.85,30.2,29.79,30.18,16551.0,325.0,30.052918
FBK,2023-07-17 16:00:00+00:00,30.135,30.3,30.135,30.27,10945.0,236.0,30.2334
FBK,2023-07-17 17:00:00+00:00,30.22,30.48,30.11,30.325,14805.0,366.0,30.323841
FBK,2023-07-17 18:00:00+00:00,30.37,30.58,30.27,30.33,28530.0,696.0,30.483911
FBK,2023-07-17 19:00:00+00:00,30.4,30.5,30.115,30.26,124378.0,2255.0,30.29897
FBK,2023-07-17 20:00:00+00:00,30.2,36.75,30.2,34.4,82307.0,436.0,32.406858
FBK,2023-07-17 21:00:00+00:00,34.743,34.743,33.63,34.5,6656.0,55.0,34.329145
FBK,2023-07-17 22:00:00+00:00,34.5,34.5,34.48,34.5,3082.0,13.0,34.497992
FBK,2023-07-17 23:00:00+00:00,34.33,34.35,34.12,34.12,7907.0,41.0,34.236999
FBK,2023-07-18 10:00:00+00:00,33.56,33.56,33.51,33.51,470.0,12.0,33.457553
FBK,2023-07-18 11:00:00+00:00,33.53,33.53,33.1,33.1,1576.0,10.0,33.440349
FBK,2023-07-18 12:00:00+00:00,34.5,34.5,33.06,33.3,1857.0,66.0,33.659862
FBK,2023-07-18 13:00:00+00:00,33.783,33.783,30.21,32.005,85188.0,1266.0,31.655163
FBK,2023-07-18 14:00:00+00:00,32.03,32.0785,31.65,32.03,71577.0,1105.0,31.878217
FBK,2023-07-18 15:00:00+00:00,31.9701,32.3798,31.915,32.1612,52993.0,991.0,32.168149
FBK,2023-07-18 16:00:00+00:00,32.3,32.68,32.3,32.4,40916.0,671.0,32.448982
FBK,2023-07-18 17:00:00+00:00,32.46,32.7,32.35,32.5,40941.0,782.0,32.483535
FBK,2023-07-18 18:00:00+00:00,32.5,32.87,32.465,32.675,61237.0,1240.0,32.595905
FBK,2023-07-18 19:00:00+00:00,32.655,32.76,32.1,32.2,112156.0,2770.0,32.384497
FBK,2023-07-18 20:00:00+00:00,32.16,32.16,32.16,32.16,39354.0,6.0,32.159653
FBK,2023-07-19 13:00:00+00:00,32.16,33.4299,32.16,33.24,26114.0,389.0,33.015322
FBK,2023-07-19 14:00:00+00:00,33.22,33.395,33.11,33.23,32642.0,705.0,33.231466
FBK,2023-07-19 15:00:00+00:00,33.28,33.63,33.16,33.62,27561.0,497.0,33.323043
FBK,2023-07-19 16:00:00+00:00,33.665,33.83,33.49,33.82,22544.0,557.0,33.679682
FBK,2023-07-19 17:00:00+00:00,33.78,33.85,33.7,33.75,18610.0,488.0,33.770761
FBK,2023-07-19 18:00:00+00:00,33.79,33.85,33.67,33.85,22103.0,616.0,33.775502
FBK,2023-07-19 19:00:00+00:00,33.84,34.01,33.635,33.95,130854.0,2853.0,33.868662
FBK,2023-07-19 20:00:00+00:00,33.96,33.96,33.96,33.96,47058.0,12.0,33.961326
FBK,2023-07-20 13:00:00+00:00,33.97,33.97,33.46,33.54,9052.0,129.0,33.676921
FBK,2023-07-20 14:00:00+00:00,33.48,33.559,33.04,33.305,12644.0,347.0,33.322625
FBK,2023-07-20 15:00:00+00:00,33.42,33.53,33.17,33.48,13549.0,315.0,33.331573
FBK,2023-07-20 16:00:00+00:00,33.5492,33.5492,33.0,33.125,5797.0,219.0,33.260254
FBK,2023-07-20 17:00:00+00:00,33.06,33.075,32.875,33.01,6826.0,171.0,33.020127
FBK,2023-07-20 18:00:00+00:00,33.0,33.11,32.88,33.02,13575.0,353.0,33.034935
FBK,2023-07-20 19:00:00+00:00,33.02,33.25,32.9,33.14,106353.0,2334.0,33.06775
FBK,2023-07-20 20:00:00+00:00,33.11,33.11,33.11,33.11,63841.0,13.0,33.11
FBK,2023-07-21 13:00:00+00:00,33.46,33.46,32.89,32.89,21819.0,106.0,33.348997
FBK,2023-07-21 14:00:00+00:00,33.015,33.11,32.48,32.48,15097.0,368.0,32.837818
FBK,2023-07-21 15:00:00+00:00,32.59,32.63,32.32,32.63,24910.0,637.0,32.432514
FBK,2023-07-21 16:00:00+00:00,32.55,32.585,32.26,32.29,14968.0,398.0,32.438057
FBK,2023-07-21 17:00:00+00:00,32.32,32.45,32.29,32.45,5977.0,177.0,32.358228
FBK,2023-07-21 18:00:00+00:00,32.425,32.49,32.34,32.345,7627.0,306.0,32.407071
FBK,2023-07-21 19:00:00+00:00,32.32,32.63,32.181,32.56,69678.0,1720.0,32.448178
FBK,2023-07-21 20:00:00+00:00,32.54,32.54,32.54,32.54,47050.0,4.0,32.54
FBK,2023-07-24 13:00:00+00:00,32.28,33.33,32.28,32.99,46096.0,365.0,32.952337
FBK,2023-07-24 14:00:00+00:00,33.0,33.25,32.88,33.12,23910.0,159.0,33.013298
FBK,2023-07-24 15:00:00+00:00,33.13,33.6,33.13,33.4825,31647.0,701.0,33.359075
FBK,2023-07-24 16:00:00+00:00,33.51,33.76,33.49,33.62,25535.0,638.0,33.602414
FBK,2023-07-24 17:00:00+00:00,33.62,33.65,33.41,33.425,21741.0,474.0,33.533648
FBK,2023-07-24 18:00:00+00:00,33.44,33.51,33.355,33.435,22243.0,575.0,33.430051
FBK,2023-07-24 19:00:00+00:00,33.38,33.63,33.36,33.61,41531.0,1031.0,33.511769
FBK,2023-07-24 20:00:00+00:00,33.6,33.6,33.6,33.6,38723.0,8.0,33.600018
FBK,2023-07-24 21:00:00+00:00,33.79,33.79,33.79,33.79,148.0,2.0,33.79
FBK,2023-07-25 13:00:00+00:00,33.85,34.2,33.6,33.6,19385.0,366.0,33.851439
FBK,2023-07-25 14:00:00+00:00,33.585,34.49,33.585,34.49,17510.0,407.0,34.135536
FBK,2023-07-25 15:00:00+00:00,34.43,34.43,34.1,34.24,21028.0,482.0,34.286673
FBK,2023-07-25 16:00:00+00:00,34.26,34.34,34.13,34.34,20242.0,406.0,34.222194
FBK,2023-07-25 17:00:00+00:00,34.3,34.59,34.28,34.565,20361.0,489.0,34.383235
FBK,2023-07-25 18:00:00+00:00,34.59,34.605,34.0,34.32,50111.0,1153.0,34.315188
FBK,2023-07-25 19:00:00+00:00,34.24,34.31,34.1,34.24,63082.0,1503.0,34.184302
FBK,2023-07-25 20:00:00+00:00,34.2,34.2,34.2,34.2,49437.0,6.0,34.200002
FBK,2023-07-26 13:00:00+00:00,34.78,35.492,34.78,34.995,9463.0,185.0,35.016666
FBK,2023-07-26 14:00:00+00:00,34.965,35.12,34.86,35.0,16356.0,484.0,34.971787
FBK,2023-07-26 15:00:00+00:00,34.96,35.13,34.91,35.13,8938.0,221.0,34.983389
FBK,2023-07-26 16:00:00+00:00,35.18,35.2,34.91,35.09,34140.0,345.0,35.03076
FBK,2023-07-26 17:00:00+00:00,35.12,35.15,35.0,35.02,7495.0,156.0,35.050574
FBK,2023-07-26 18:00:00+00:00,35.07,35.29,34.95,35.27,20002.0,560.0,35.074411
FBK,2023-07-26 19:00:00+00:00,35.29,35.29,35.03,35.04,39761.0,995.0,35.128838
FBK,2023-07-26 20:00:00+00:00,35.05,35.05,35.05,35.05,37280.0,9.0,35.05
FBK,2023-07-27 12:00:00+00:00,35.4,35.4,35.4,35.4,200.0,1.0,35.4
FBK,2023-07-27 13:00:00+00:00,35.13,35.91,34.48,34.73,16051.0,176.0,35.400766
FBK,2023-07-27 14:00:00+00:00,34.69,35.248,34.69,34.99,7372.0,166.0,34.972375
FBK,2023-07-27 15:00:00+00:00,34.91,34.92,34.58,34.58,6036.0,162.0,34.843498
FBK,2023-07-27 16:00:00+00:00,34.56,34.88,34.52,34.88,9865.0,185.0,34.721822
FBK,2023-07-27 17:00:00+00:00,34.845,34.88,34.38,34.605,6947.0,210.0,34.57222
FBK,2023-07-27 18:00:00+00:00,34.58,34.62,34.46,34.51,10989.0,291.0,34.532936
FBK,2023-07-27 19:00:00+00:00,34.525,34.57,34.25,34.57,27862.0,802.0,34.463698
FBK,2023-07-27 20:00:00+00:00,34.52,34.52,34.52,34.52,52430.0,11.0,34.520005
FBK,2023-07-28 13:00:00+00:00,34.75,34.84,34.18,34.775,6856.0,145.0,34.645222
FBK,2023-07-28 14:00:00+00:00,34.72,35.15,34.7,34.91,8691.0,249.0,34.931103
FBK,2023-07-28 15:00:00+00:00,34.92,35.0384,34.8,34.86,4583.0,132.0,34.909626
FBK,2023-07-28 16:00:00+00:00,34.87,35.17,34.8,34.96,7244.0,212.0,34.957989
FBK,2023-07-28 17:00:00+00:00,34.83,34.86,34.604,34.83,9773.0,228.0,34.787782
FBK,2023-07-28 18:00:00+00:00,34.72,34.86,34.72,34.86,4954.0,117.0,34.786983
FBK,2023-07-28 19:00:00+00:00,34.81,34.89,34.69,34.8,26810.0,705.0,34.807482
FBK,2023-07-28 20:00:00+00:00,34.83,34.83,34.83,34.83,28003.0,6.0,34.83
FBK,2023-07-28 21:00:00+00:00,34.97,34.97,34.97,34.97,143.0,2.0,34.97
FBK,2023-07-31 13:00:00+00:00,34.71,35.04,34.71,34.89,4528.0,52.0,34.819683
FBK,2023-07-31 14:00:00+00:00,35.05,35.35,34.9,34.905,7612.0,240.0,35.066279
FBK,2023-07-31 15:00:00+00:00,34.98,35.16,34.91,35.1,6334.0,189.0,35.028719
FBK,2023-07-31 16:00:00+00:00,35.02,35.18,34.97,35.18,6472.0,210.0,35.063736
FBK,2023-07-31 17:00:00+00:00,35.12,35.18,35.0201,35.1,11017.0,329.0,35.097504
FBK,2023-07-31 18:00:00+00:00,35.1,35.18,35.065,35.15,7640.0,275.0,35.130924
FBK,2023-07-31 19:00:00+00:00,35.21,35.48,35.14,35.45,32932.0,863.0,35.345215
FBK,2023-07-31 20:00:00+00:00,35.42,35.42,35.42,35.42,63720.0,11.0,35.42
FBK,2023-08-01 13:00:00+00:00,34.99,35.178,34.61,35.01,13489.0,165.0,34.841703
FBK,2023-08-01 14:00:00+00:00,35.01,35.16,34.475,34.68,23632.0,527.0,34.791868
FBK,2023-08-01 15:00:00+00:00,34.74,34.91,34.73,34.76,6718.0,185.0,34.811763
FBK,2023-08-01 16:00:00+00:00,34.835,35.1,34.7325,35.1,3723.0,126.0,34.879084
FBK,2023-08-01 17:00:00+00:00,35.1,35.22,34.95,35.19,6424.0,162.0,35.083532
FBK,2023-08-01 18:00:00+00:00,35.22,35.31,35.13,35.31,8611.0,238.0,35.250723
FBK,2023-08-01 19:00:00+00:00,35.34,35.41,35.17,35.18,37206.0,975.0,35.291664
FBK,2023-08-01 20:00:00+00:00,35.22,35.22,35.22,35.22,32494.0,5.0,35.22
FBK,2023-08-02 08:00:00+00:00,35.22,35.22,35.22,35.22,300.0,1.0,35.22
FBK,2023-08-02 13:00:00+00:00,34.79,35.12,34.79,35.0,3675.0,67.0,34.968473
FBK,2023-08-02 14:00:00+00:00,35.0,35.15,34.755,34.755,14338.0,316.0,34.893376
FBK,2023-08-02 15:00:00+00:00,34.62,35.05,34.42,35.05,12614.0,368.0,34.72522
FBK,2023-08-02 16:00:00+00:00,34.93,35.32,34.84,35.16,8803.0,269.0,35.102156
FBK,2023-08-02 17:00:00+00:00,35.145,35.22,35.07,35.17,8177.0,198.0,35.149993
FBK,2023-08-02 18:00:00+00:00,35.16,35.29,35.13,35.25,10521.0,272.0,35.206836
FBK,2023-08-02 19:00:00+00:00,35.23,35.41,34.99,35.25,51718.0,1327.0,35.266606
FBK,2023-08-02 20:00:00+00:00,35.22,35.29,35.22,35.29,25381.0,10.0,35.289448
FBK,2023-08-03 13:00:00+00:00,35.04,35.28,34.98,34.98,3715.0,40.0,35.159568
FBK,2023-08-03 14:00:00+00:00,35.0242,35.045,34.76,35.02,7226.0,182.0,34.928873
FBK,2023-08-03 15:00:00+00:00,34.97,35.15,34.95,35.04,6383.0,203.0,35.057083
FBK,2023-08-03 16:00:00+00:00,35.04,35.515,35.01,35.515,7343.0,191.0,35.241842
FBK,2023-08-03 17:00:00+00:00,35.54,35.54,35.29,35.29,4510.0,141.0,35.419943
FBK,2023-08-03 18:00:00+00:00,35.335,35.45,35.31,35.31,7986.0,226.0,35.378155
FBK,2023-08-03 19:00:00+00:00,35.28,35.33,35.16,35.18,30097.0,743.0,35.241229
FBK,2023-08-03 20:00:00+00:00,35.23,35.37,35.23,35.37,21921.0,6.0,35.230901
FBK,2023-08-04 13:00:00+00:00,35.04,35.52,34.79,35.52,2977.0,27.0,35.125808
FBK,2023-08-04 14:00:00+00:00,35.57,35.69,35.21,35.59,4345.0,123.0,35.467812
FBK,2023-08-04 15:00:00+00:00,35.51,35.5152,35.37,35.51,2335.0,104.0,35.45747
FBK,2023-08-04 16:00:00+00:00,35.53,35.62,35.53,35.5901,3185.0,106.0,35.57275
FBK,2023-08-04 17:00:00+00:00,35.61,35.61,35.345,35.42,2814.0,85.0,35.488305
FBK,2023-08-04 18:00:00+00:00,35.42,35.4399,35.115,35.185,5594.0,174.0,35.278011
FBK,2023-08-04 19:00:00+00:00,35.16,35.305,35.12,35.15,13867.0,366.0,35.179616
FBK,2023-08-04 20:00:00+00:00,35.15,35.15,35.15,35.15,11009.0,4.0,35.15
FBK,2023-08-07 13:00:00+00:00,35.01,35.3076,35.01,35.13,4888.0,59.0,35.152436
FBK,2023-08-07 14:00:00+00:00,34.97,35.34,34.97,35.34,2845.0,70.0,35.223323
FBK,2023-08-07 15:00:00+00:00,35.325,35.455,35.228,35.38,7366.0,187.0,35.343067
FBK,2023-08-07 16:00:00+00:00,35.42,35.53,35.41,35.48,3902.0,102.0,35.458475
FBK,2023-08-07 17:00:00+00:00,35.51,35.56,35.47,35.49,1835.0,49.0,35.517125
FBK,2023-08-07 18:00:00+00:00,35.47,35.55,35.44,35.44,6296.0,153.0,35.477079
FBK,2023-08-07 19:00:00+00:00,35.44,35.52,35.37,35.45,13326.0,384.0,35.445206
FBK,2023-08-07 20:00:00+00:00,35.45,35.45,35.45,35.45,12390.0,5.0,35.45
FBK,2023-08-08 13:00:00+00:00,34.54,34.54,34.19,34.39,4674.0,59.0,34.376497
FBK,2023-08-08 14:00:00+00:00,34.32,34.34,34.012,34.27,5633.0,143.0,34.198519
FBK,2023-08-08 15:00:00+00:00,34.15,34.47,34.145,34.4,1822.0,42.0,34.255543
FBK,2023-08-08 16:00:00+00:00,34.41,34.55,34.405,34.46,4432.0,95.0,34.490578
FBK,2023-08-08 17:00:00+00:00,34.5,34.72,34.5,34.64,6327.0,150.0,34.601399
FBK,2023-08-08 18:00:00+00:00,34.736,34.75,34.65,34.7,13711.0,264.0,34.704961
FBK,2023-08-08 19:00:00+00:00,34.75,34.86,34.45,34.49,56639.0,1187.0,34.56654
FBK,2023-08-08 20:00:00+00:00,34.51,34.51,34.51,34.51,29912.0,4.0,34.51
FBK,2023-08-09 13:00:00+00:00,34.32,34.32,34.105,34.105,2314.0,38.0,34.218758
FBK,2023-08-09 14:00:00+00:00,34.34,34.34,33.96,34.115,8686.0,234.0,34.133345
FBK,2023-08-09 15:00:00+00:00,34.14,34.14,33.76,33.785,12166.0,283.0,33.920839
FBK,2023-08-09 16:00:00+00:00,33.77,33.91,33.745,33.875,7679.0,212.0,33.835442
FBK,2023-08-09 17:00:00+00:00,33.9,34.02,33.9,34.0,37912.0,271.0,33.956712
FBK,2023-08-09 18:00:00+00:00,34.02,34.22,34.02,34.08,28987.0,511.0,34.128206
FBK,2023-08-09 19:00:00+00:00,34.07,34.1,33.84,33.97,129015.0,1405.0,33.966186
FBK,2023-08-09 20:00:00+00:00,33.93,33.93,33.93,33.93,24757.0,11.0,33.93
FBK,2023-08-10 13:00:00+00:00,34.06,34.52,34.06,34.52,3201.0,62.0,34.310076
FBK,2023-08-10 14:00:00+00:00,34.4465,34.65,33.9,34.23,6387.0,149.0,34.277509
FBK,2023-08-10 15:00:00+00:00,34.31,34.31,34.0,34.04,5421.0,121.0,34.106286
FBK,2023-08-10 16:00:00+00:00,34.12,34.12,33.86,33.86,5043.0,103.0,34.028279
FBK,2023-08-10 17:00:00+00:00,33.895,34.079,33.895,33.98,4256.0,80.0,33.948713
FBK,2023-08-10 18:00:00+00:00,34.03,34.14,33.98,34.12,5714.0,131.0,34.065967
FBK,2023-08-10 19:00:00+00:00,34.14,34.1699,34.01,34.12,14020.0,511.0,34.076624
FBK,2023-08-10 20:00:00+00:00,34.11,34.11,34.11,34.11,25547.0,8.0,34.11
FBK,2023-08-11 13:00:00+00:00,33.67,34.05,33.6201,33.82,1983.0,30.0,33.819614
FBK,2023-08-11 14:00:00+00:00,33.87,34.07,33.87,33.95,12062.0,140.0,33.999849
FBK,2023-08-11 15:00:00+00:00,33.94,34.02,33.94,33.965,1837.0,65.0,33.976864
FBK,2023-08-11 16:00:00+00:00,34.0983,34.0983,33.97,33.97,1370.0,44.0,34.035056
FBK,2023-08-11 17:00:00+00:00,33.96,34.05,33.96,33.97,2534.0,82.0,33.988725
FBK,2023-08-11 18:00:00+00:00,33.95,34.07,33.95,34.06,2062.0,46.0,34.031765
FBK,2023-08-11 19:00:00+00:00,34.02,34.1,33.97,34.04,16103.0,520.0,34.041802
FBK,2023-08-11 20:00:00+00:00,34.03,34.03,34.03,34.03,22507.0,5.0,34.03
FBK,2023-08-14 13:00:00+00:00,33.72,33.72,33.3164,33.45,9777.0,132.0,33.465766
