symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FBT,2023-07-17 13:00:00+00:00,155.48,156.79,155.48,156.69,1674.0,20.0,155.997562
FBT,2023-07-17 14:00:00+00:00,156.925,157.08,156.5725,156.5725,10939.0,47.0,156.899059
FBT,2023-07-17 15:00:00+00:00,156.69,156.7733,156.69,156.7733,673.0,2.0,156.760923
FBT,2023-07-17 16:00:00+00:00,157.0106,157.0106,156.9375,156.9375,255.0,3.0,156.96968
FBT,2023-07-17 17:00:00+00:00,156.97,156.97,156.73,156.859,2365.0,16.0,156.839945
FBT,2023-07-17 18:00:00+00:00,156.7481,156.99,156.5565,156.6308,5096.0,51.0,156.749387
FBT,2023-07-17 19:00:00+00:00,156.805,156.9,156.41,156.41,4755.0,60.0,156.640384
FBT,2023-07-18 13:00:00+00:00,156.53,156.84,156.1101,156.61,593.0,9.0,156.549231
FBT,2023-07-18 14:00:00+00:00,157.045,157.33,157.045,157.1707,2570.0,18.0,157.166401
FBT,2023-07-18 15:00:00+00:00,157.09,157.31,157.01,157.015,4583.0,18.0,157.108831
FBT,2023-07-18 16:00:00+00:00,157.005,157.005,156.64,156.89,5224.0,21.0,156.861485
FBT,2023-07-18 17:00:00+00:00,156.9209,156.93,156.71,156.89,1553.0,18.0,156.813029
FBT,2023-07-18 18:00:00+00:00,156.7267,156.9943,156.72,156.8725,1813.0,20.0,156.836257
FBT,2023-07-18 19:00:00+00:00,156.73,156.92,156.49,156.77,3692.0,73.0,156.781915
FBT,2023-07-19 13:00:00+00:00,157.19,158.17,157.17,157.7705,2355.0,16.0,157.429386
FBT,2023-07-19 14:00:00+00:00,158.2016,158.24,157.8014,157.8014,1846.0,21.0,158.048546
FBT,2023-07-19 15:00:00+00:00,157.7077,157.91,157.6056,157.8764,2280.0,13.0,157.675298
FBT,2023-07-19 16:00:00+00:00,157.5801,157.735,157.25,157.302,1818.0,16.0,157.624912
FBT,2023-07-19 17:00:00+00:00,157.2,157.43,157.18,157.37,2299.0,50.0,157.242092
FBT,2023-07-19 18:00:00+00:00,157.39,157.535,157.153,157.535,1495.0,23.0,157.340538
FBT,2023-07-19 19:00:00+00:00,157.3827,157.6097,157.21,157.21,3129.0,45.0,157.421606
FBT,2023-07-20 13:00:00+00:00,157.07,157.84,157.07,157.84,878.0,10.0,157.596196
FBT,2023-07-20 14:00:00+00:00,156.9121,157.36,156.9121,157.2501,2023.0,16.0,157.082363
FBT,2023-07-20 15:00:00+00:00,157.3843,157.465,157.21,157.31,1820.0,28.0,157.306834
FBT,2023-07-20 16:00:00+00:00,157.51,157.6,157.34,157.5,1168.0,32.0,157.461447
FBT,2023-07-20 17:00:00+00:00,157.3873,157.3873,157.2105,157.2105,297.0,6.0,157.277141
FBT,2023-07-20 18:00:00+00:00,157.0782,157.22,156.9659,156.9659,330.0,3.0,157.085438
FBT,2023-07-20 19:00:00+00:00,157.28,157.33,156.97,157.05,2461.0,65.0,157.168415
FBT,2023-07-21 13:00:00+00:00,157.91,157.91,156.53,156.53,431.0,6.0,157.169889
FBT,2023-07-21 14:00:00+00:00,156.82,156.85,156.82,156.85,404.0,6.0,156.834752
FBT,2023-07-21 15:00:00+00:00,157.6342,158.1144,157.6342,157.9944,2649.0,14.0,157.996549
FBT,2023-07-21 16:00:00+00:00,158.0985,158.0985,158.03,158.03,307.0,6.0,158.065488
FBT,2023-07-21 17:00:00+00:00,158.135,158.4514,158.135,158.4514,533.0,10.0,158.198856
FBT,2023-07-21 18:00:00+00:00,158.231,158.36,158.202,158.3228,1127.0,28.0,158.257259
FBT,2023-07-21 19:00:00+00:00,158.1774,158.22,157.7938,157.89,2096.0,33.0,158.075536
FBT,2023-07-24 13:00:00+00:00,157.38,157.94,157.2299,157.2299,2200.0,15.0,157.468173
FBT,2023-07-24 14:00:00+00:00,156.8317,157.027,156.64,156.64,1100.0,16.0,156.825237
FBT,2023-07-24 15:00:00+00:00,156.29,156.5099,156.2401,156.389,6390.0,54.0,156.331772
FBT,2023-07-24 16:00:00+00:00,156.48,156.575,156.035,156.035,2393.0,17.0,156.458986
FBT,2023-07-24 17:00:00+00:00,156.09,156.09,155.6984,155.6984,1143.0,10.0,155.902788
FBT,2023-07-24 18:00:00+00:00,155.795,156.0928,155.795,155.86,1811.0,14.0,155.988218
FBT,2023-07-24 19:00:00+00:00,155.88,155.905,155.5203,155.62,2527.0,75.0,155.633215
FBT,2023-07-25 13:00:00+00:00,155.49,156.1,155.49,155.84,1955.0,25.0,155.763591
FBT,2023-07-25 14:00:00+00:00,156.0,156.0,155.631,155.631,717.0,4.0,155.850242
FBT,2023-07-25 15:00:00+00:00,155.695,155.7993,155.4291,155.7993,5305.0,13.0,155.539164
FBT,2023-07-25 16:00:00+00:00,155.934,155.934,155.5204,155.574,2894.0,13.0,155.636526
FBT,2023-07-25 17:00:00+00:00,155.5273,155.7782,155.4102,155.61,1252.0,12.0,155.60329
FBT,2023-07-25 18:00:00+00:00,155.6282,155.9708,155.6,155.87,1412.0,9.0,155.740228
FBT,2023-07-25 19:00:00+00:00,155.6597,155.667,154.79,155.095,3313.0,43.0,155.440327
FBT,2023-07-26 13:00:00+00:00,154.64,154.64,153.71,153.71,1264.0,13.0,154.213186
FBT,2023-07-26 14:00:00+00:00,153.85,154.2486,153.85,154.2486,1860.0,18.0,154.106187
FBT,2023-07-26 15:00:00+00:00,154.33,154.5335,154.26,154.38,3044.0,20.0,154.43115
FBT,2023-07-26 16:00:00+00:00,154.52,154.9306,154.52,154.55,2448.0,19.0,154.652929
FBT,2023-07-26 17:00:00+00:00,154.22,154.22,154.22,154.22,243.0,5.0,154.219834
FBT,2023-07-26 18:00:00+00:00,154.3698,154.7906,154.0,154.7906,3247.0,16.0,154.21211
FBT,2023-07-26 19:00:00+00:00,154.87,154.87,154.25,154.76,6294.0,96.0,154.624669
FBT,2023-07-27 13:00:00+00:00,155.54,155.54,154.9201,155.07,2355.0,17.0,155.269462
FBT,2023-07-27 14:00:00+00:00,154.748,154.748,154.68,154.68,336.0,8.0,154.709831
FBT,2023-07-27 15:00:00+00:00,154.51,154.7,154.51,154.7,247.0,3.0,154.58668
FBT,2023-07-27 16:00:00+00:00,154.8404,155.0399,154.5195,154.9268,2573.0,21.0,154.812629
FBT,2023-07-27 17:00:00+00:00,154.5,154.58,154.3733,154.57,958.0,13.0,154.471648
FBT,2023-07-27 18:00:00+00:00,154.1914,154.1914,154.0,154.0,1319.0,10.0,154.046306
FBT,2023-07-27 19:00:00+00:00,153.91,154.129,153.64,153.81,4250.0,57.0,153.941843
FBT,2023-07-28 13:00:00+00:00,154.13,154.13,153.555,153.74,2092.0,19.0,153.838227
FBT,2023-07-28 14:00:00+00:00,153.81,153.984,153.7,153.8799,2661.0,26.0,153.845365
FBT,2023-07-28 15:00:00+00:00,153.85,154.78,153.85,154.78,2366.0,18.0,154.228191
FBT,2023-07-28 16:00:00+00:00,154.7496,154.9783,154.7496,154.9245,2152.0,23.0,154.872894
FBT,2023-07-28 17:00:00+00:00,154.9,155.3599,154.8902,155.3599,740.0,5.0,155.109124
FBT,2023-07-28 18:00:00+00:00,155.16,155.7764,155.14,155.7764,1580.0,15.0,155.460294
FBT,2023-07-28 19:00:00+00:00,155.635,155.8396,155.56,155.69,3976.0,62.0,155.709424
FBT,2023-07-31 13:00:00+00:00,155.62,156.27,155.62,156.27,1224.0,12.0,155.791997
FBT,2023-07-31 14:00:00+00:00,155.4114,155.4114,155.36,155.36,200.0,2.0,155.3857
FBT,2023-07-31 15:00:00+00:00,155.21,155.38,155.0,155.38,853.0,12.0,155.157871
FBT,2023-07-31 16:00:00+00:00,155.1154,155.1228,154.9104,154.9104,1205.0,8.0,155.006984
FBT,2023-07-31 17:00:00+00:00,154.9374,155.235,154.86,155.0805,769.0,11.0,155.064086
FBT,2023-07-31 18:00:00+00:00,155.0471,155.35,155.04,155.3126,2105.0,24.0,155.188725
FBT,2023-07-31 19:00:00+00:00,155.24,155.81,155.12,155.81,3353.0,46.0,155.344782
FBT,2023-08-01 13:00:00+00:00,154.82,154.82,154.22,154.51,826.0,8.0,154.493267
FBT,2023-08-01 14:00:00+00:00,154.42,154.42,153.9,153.925,1288.0,24.0,154.017104
FBT,2023-08-01 15:00:00+00:00,153.9565,153.9565,153.66,153.7017,1761.0,10.0,153.835714
FBT,2023-08-01 16:00:00+00:00,153.78,153.8996,153.6205,153.7845,906.0,10.0,153.785753
FBT,2023-08-01 17:00:00+00:00,153.8642,153.8964,153.77,153.815,1113.0,8.0,153.811939
FBT,2023-08-01 18:00:00+00:00,153.925,153.925,153.44,153.5045,881.0,12.0,153.668453
FBT,2023-08-01 19:00:00+00:00,153.62,154.0,153.6,154.0,2520.0,58.0,153.758527
FBT,2023-08-02 13:00:00+00:00,153.41,153.41,153.16,153.16,868.0,11.0,153.360776
FBT,2023-08-02 14:00:00+00:00,152.7197,152.7831,152.51,152.7831,3159.0,12.0,152.687579
FBT,2023-08-02 15:00:00+00:00,153.3,153.3,153.3,153.3,126.0,3.0,153.295338
FBT,2023-08-02 16:00:00+00:00,153.58,153.64,153.29,153.3425,1991.0,16.0,153.440826
FBT,2023-08-02 17:00:00+00:00,153.322,153.322,153.2326,153.2326,384.0,6.0,153.28821
FBT,2023-08-02 18:00:00+00:00,153.045,153.11,152.815,152.921,7213.0,37.0,152.943548
FBT,2023-08-02 19:00:00+00:00,152.8183,153.0,152.63,152.73,4082.0,62.0,152.830336
FBT,2023-08-03 13:00:00+00:00,152.52,152.9886,152.52,152.98,3729.0,119.0,152.59501
FBT,2023-08-03 14:00:00+00:00,151.87,152.33,151.85,152.0413,650.0,14.0,151.970753
FBT,2023-08-03 15:00:00+00:00,152.435,152.5113,152.34,152.3955,837.0,6.0,152.430705
FBT,2023-08-03 16:00:00+00:00,152.53,152.61,152.32,152.425,767.0,7.0,152.491506
FBT,2023-08-03 17:00:00+00:00,152.69,152.69,152.33,152.33,1852.0,13.0,152.558555
FBT,2023-08-03 18:00:00+00:00,152.78,152.78,152.4929,152.4929,2397.0,13.0,152.549599
FBT,2023-08-03 19:00:00+00:00,152.57,152.57,151.92,151.92,2734.0,37.0,152.365704
FBT,2023-08-04 13:00:00+00:00,151.4,151.71,151.4,151.71,1119.0,13.0,151.477126
FBT,2023-08-04 14:00:00+00:00,151.4801,152.01,151.4801,152.01,1736.0,17.0,151.688214
FBT,2023-08-04 15:00:00+00:00,151.7,152.15,151.64,152.06,7906.0,29.0,151.80264
FBT,2023-08-04 16:00:00+00:00,152.33,152.4703,152.14,152.3135,3527.0,23.0,152.304313
FBT,2023-08-04 17:00:00+00:00,152.53,152.54,152.1801,152.235,1183.0,9.0,152.352861
FBT,2023-08-04 18:00:00+00:00,152.14,152.14,151.4997,151.62,1476.0,13.0,151.918593
FBT,2023-08-04 19:00:00+00:00,151.5,151.5,150.63,151.14,4997.0,92.0,150.986581
FBT,2023-08-04 20:00:00+00:00,151.26,151.26,151.26,151.26,101.0,1.0,151.26
FBT,2023-08-07 13:00:00+00:00,150.64,150.715,150.255,150.39,2953.0,19.0,150.476079
FBT,2023-08-07 14:00:00+00:00,150.3862,150.68,150.356,150.356,676.0,12.0,150.44466
FBT,2023-08-07 15:00:00+00:00,150.12,150.365,150.12,150.1726,727.0,13.0,150.260031
FBT,2023-08-07 16:00:00+00:00,150.38,150.4506,150.15,150.255,1665.0,14.0,150.291008
FBT,2023-08-07 17:00:00+00:00,150.4765,150.66,150.3934,150.66,5654.0,20.0,150.505277
FBT,2023-08-07 18:00:00+00:00,150.506,150.506,150.38,150.38,1173.0,12.0,150.476847
FBT,2023-08-07 19:00:00+00:00,150.51,150.5119,150.05,150.05,6068.0,101.0,150.329489
FBT,2023-08-08 13:00:00+00:00,149.64,151.2699,149.64,150.97,2655.0,34.0,150.480435
FBT,2023-08-08 14:00:00+00:00,151.03,151.03,150.43,150.52,9169.0,46.0,150.658012
FBT,2023-08-08 15:00:00+00:00,150.6,150.81,150.44,150.515,11602.0,27.0,150.642211
FBT,2023-08-08 16:00:00+00:00,150.41,150.69,150.36,150.38,1746.0,21.0,150.53345
FBT,2023-08-08 17:00:00+00:00,150.53,150.67,150.44,150.615,8184.0,37.0,150.540869
FBT,2023-08-08 18:00:00+00:00,150.625,150.93,150.565,150.93,6084.0,56.0,150.705741
FBT,2023-08-08 19:00:00+00:00,150.96,151.28,150.91,151.24,10007.0,119.0,151.144266
FBT,2023-08-09 13:00:00+00:00,151.79,152.4941,151.79,152.4941,959.0,8.0,152.211666
FBT,2023-08-09 14:00:00+00:00,151.98,152.525,151.98,152.525,2192.0,6.0,152.272457
FBT,2023-08-09 15:00:00+00:00,152.4399,152.4399,152.06,152.06,555.0,5.0,152.160103
