symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FCBC,2023-07-17 13:00:00+00:00,30.9,31.105,30.81,31.005,30643.0,225.0,30.995567
FCBC,2023-07-17 14:00:00+00:00,31.18,31.54,31.16,31.54,3974.0,111.0,31.329789
FCBC,2023-07-17 15:00:00+00:00,31.45,31.59,31.45,31.58,1806.0,50.0,31.511437
FCBC,2023-07-17 16:00:00+00:00,31.61,31.61,31.5,31.5,368.0,15.0,31.575476
FCBC,2023-07-17 17:00:00+00:00,31.51,31.535,31.45,31.535,348.0,8.0,31.501322
FCBC,2023-07-17 18:00:00+00:00,31.71,31.71,31.52,31.56,5809.0,97.0,31.600963
FCBC,2023-07-17 19:00:00+00:00,31.54,31.56,31.4,31.46,12173.0,331.0,31.489596
FCBC,2023-07-17 20:00:00+00:00,31.42,31.42,31.42,31.42,5685.0,2.0,31.42
FCBC,2023-07-18 13:00:00+00:00,31.43,32.0795,31.42,32.0795,3936.0,53.0,31.903798
FCBC,2023-07-18 14:00:00+00:00,32.28,32.31,32.0,32.04,4168.0,70.0,32.17627
FCBC,2023-07-18 15:00:00+00:00,32.05,32.22,32.05,32.188,999.0,29.0,32.171731
FCBC,2023-07-18 16:00:00+00:00,32.155,32.25,32.155,32.24,1433.0,39.0,32.226503
FCBC,2023-07-18 17:00:00+00:00,32.15,32.15,32.05,32.06,2133.0,21.0,32.072148
FCBC,2023-07-18 18:00:00+00:00,32.1,32.27,32.09,32.245,2754.0,87.0,32.164794
FCBC,2023-07-18 19:00:00+00:00,32.285,32.45,32.28,32.4,29651.0,459.0,32.382638
FCBC,2023-07-18 20:00:00+00:00,32.42,32.42,32.42,32.42,6935.0,4.0,32.42
FCBC,2023-07-19 13:00:00+00:00,32.49,32.64,32.3482,32.3482,16801.0,104.0,32.49571
FCBC,2023-07-19 14:00:00+00:00,32.48,32.8,32.46,32.475,19203.0,164.0,32.54106
FCBC,2023-07-19 15:00:00+00:00,32.4,32.4,32.18,32.33,6230.0,108.0,32.298691
FCBC,2023-07-19 16:00:00+00:00,32.42,32.42,32.22,32.22,3765.0,64.0,32.300782
