symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FDP,2023-07-17 13:00:00+00:00,25.75,25.92,25.69,25.92,7086.0,156.0,25.771792
FDP,2023-07-17 14:00:00+00:00,25.95,25.9719,25.87,25.9719,8133.0,299.0,25.932525
FDP,2023-07-17 15:00:00+00:00,25.96,26.01,25.94,25.96,9333.0,256.0,25.976408
FDP,2023-07-17 16:00:00+00:00,25.97,25.98,25.93,25.93,5222.0,165.0,25.958799
FDP,2023-07-17 17:00:00+00:00,25.86,25.91,25.85,25.87,6532.0,209.0,25.881436
FDP,2023-07-17 18:00:00+00:00,25.86,25.93,25.83,25.85,8778.0,265.0,25.872821
FDP,2023-07-17 19:00:00+00:00,25.84,25.86,25.74,25.75,52871.0,1158.0,25.8009
FDP,2023-07-17 20:00:00+00:00,25.75,25.75,25.75,25.75,23462.0,5.0,25.75
FDP,2023-07-18 13:00:00+00:00,25.82,26.469,25.82,26.16,5022.0,106.0,26.078715
FDP,2023-07-18 14:00:00+00:00,26.15,26.25,25.94,26.02,13343.0,335.0,26.080654
FDP,2023-07-18 15:00:00+00:00,26.05,26.13,25.92,25.97,9713.0,268.0,26.041016
FDP,2023-07-18 16:00:00+00:00,25.99,26.01,25.87,25.89,5821.0,205.0,25.915188
FDP,2023-07-18 17:00:00+00:00,25.9,25.9,25.86,25.885,5166.0,189.0,25.884226
FDP,2023-07-18 18:00:00+00:00,25.885,25.94,25.8809,25.895,6459.0,163.0,25.913052
FDP,2023-07-18 19:00:00+00:00,25.92,26.01,25.91,25.96,29275.0,703.0,25.97015
FDP,2023-07-18 20:00:00+00:00,25.96,25.96,25.96,25.96,27422.0,8.0,25.96
FDP,2023-07-19 12:00:00+00:00,26.33,26.33,26.33,26.33,150.0,3.0,26.3286
FDP,2023-07-19 13:00:00+00:00,26.12,26.32,26.12,26.2,10077.0,184.0,26.22878
FDP,2023-07-19 14:00:00+00:00,26.2,26.295,26.035,26.195,10999.0,305.0,26.199925
FDP,2023-07-19 15:00:00+00:00,26.25,26.26,26.18,26.25,12192.0,259.0,26.234891
FDP,2023-07-19 16:00:00+00:00,26.255,26.26,26.21,26.25,6357.0,192.0,26.240656
FDP,2023-07-19 17:00:00+00:00,26.24,26.25,26.17,26.2,5885.0,169.0,26.210923
FDP,2023-07-19 18:00:00+00:00,26.22,26.265,26.19,26.23,8664.0,159.0,26.236262
FDP,2023-07-19 19:00:00+00:00,26.23,26.405,26.21,26.34,55630.0,1378.0,26.328369
FDP,2023-07-19 20:00:00+00:00,26.35,26.35,26.35,26.35,36865.0,9.0,26.35
FDP,2023-07-20 13:00:00+00:00,26.46,26.46,26.19,26.29,4426.0,88.0,26.328063
FDP,2023-07-20 14:00:00+00:00,26.31,26.44,26.31,26.38,4673.0,196.0,26.351862
FDP,2023-07-20 15:00:00+00:00,26.38,26.46,26.38,26.46,4057.0,206.0,26.425533
FDP,2023-07-20 16:00:00+00:00,26.46,26.48,26.44,26.45,4137.0,137.0,26.453788
FDP,2023-07-20 17:00:00+00:00,26.44,26.515,26.44,26.515,2960.0,97.0,26.480729
FDP,2023-07-20 18:00:00+00:00,26.505,26.55,26.49,26.545,24028.0,180.0,26.517024
FDP,2023-07-20 19:00:00+00:00,26.56,26.63,26.52,26.62,22491.0,740.0,26.58758
FDP,2023-07-20 20:00:00+00:00,26.6,26.6,26.6,26.6,25513.0,3.0,26.6
FDP,2023-07-21 13:00:00+00:00,26.7,26.7,26.52,26.52,15636.0,47.0,26.694133
FDP,2023-07-21 14:00:00+00:00,26.51,26.52,26.425,26.44,9920.0,337.0,26.486027
FDP,2023-07-21 15:00:00+00:00,26.42,26.515,26.42,26.47,7716.0,267.0,26.47617
FDP,2023-07-21 16:00:00+00:00,26.45,26.465,26.36,26.38,4381.0,171.0,26.412868
FDP,2023-07-21 17:00:00+00:00,26.37,26.46,26.35,26.44,4739.0,196.0,26.406472
FDP,2023-07-21 18:00:00+00:00,26.43,26.47,26.43,26.46,4471.0,179.0,26.451319
FDP,2023-07-21 19:00:00+00:00,26.44,26.44,26.32,26.35,35908.0,981.0,26.386524
FDP,2023-07-21 20:00:00+00:00,26.33,26.33,26.33,26.33,35507.0,11.0,26.33
FDP,2023-07-24 13:00:00+00:00,26.36,26.58,26.2715,26.535,6447.0,140.0,26.446509
FDP,2023-07-24 14:00:00+00:00,26.51,26.51,26.36,26.385,6541.0,168.0,26.410508
FDP,2023-07-24 15:00:00+00:00,26.4,26.56,26.4,26.56,7445.0,175.0,26.507068
FDP,2023-07-24 16:00:00+00:00,26.57,26.58,26.48,26.535,8160.0,212.0,26.533071
FDP,2023-07-24 17:00:00+00:00,26.535,26.585,26.46,26.53,8405.0,214.0,26.528109
FDP,2023-07-24 18:00:00+00:00,26.51,26.51,26.4,26.42,5045.0,108.0,26.468524
FDP,2023-07-24 19:00:00+00:00,26.4,26.43,26.35,26.42,24312.0,575.0,26.394624
FDP,2023-07-24 20:00:00+00:00,26.42,26.42,26.42,26.42,29927.0,5.0,26.42
FDP,2023-07-25 13:00:00+00:00,26.49,26.5,26.29,26.29,2627.0,48.0,26.414692
FDP,2023-07-25 14:00:00+00:00,26.32,26.55,26.32,26.55,11984.0,280.0,26.434077
FDP,2023-07-25 15:00:00+00:00,26.56,26.63,26.52,26.57,12297.0,345.0,26.582337
FDP,2023-07-25 16:00:00+00:00,26.57,26.59,26.46,26.5099,5184.0,159.0,26.532133
FDP,2023-07-25 17:00:00+00:00,26.51,26.55,26.51,26.53,6370.0,146.0,26.530863
FDP,2023-07-25 18:00:00+00:00,26.54,26.61,26.48,26.53,13978.0,322.0,26.564619
FDP,2023-07-25 19:00:00+00:00,26.545,26.56,26.48,26.55,19795.0,523.0,26.521981
FDP,2023-07-25 20:00:00+00:00,26.55,26.55,26.55,26.55,23002.0,6.0,26.55
FDP,2023-07-26 13:00:00+00:00,26.61,26.81,26.485,26.755,3576.0,48.0,26.662759
FDP,2023-07-26 14:00:00+00:00,26.695,26.9,26.64,26.895,7234.0,151.0,26.791322
FDP,2023-07-26 15:00:00+00:00,26.925,26.9375,26.85,26.86,6481.0,185.0,26.880681
FDP,2023-07-26 16:00:00+00:00,26.88,26.88,26.73,26.745,8866.0,160.0,26.808921
FDP,2023-07-26 17:00:00+00:00,26.745,26.82,26.74,26.82,3667.0,101.0,26.776665
FDP,2023-07-26 18:00:00+00:00,26.78,26.89,26.72,26.84,11892.0,244.0,26.798498
FDP,2023-07-26 19:00:00+00:00,26.835,26.835,26.715,26.76,28842.0,644.0,26.762759
FDP,2023-07-26 20:00:00+00:00,26.75,26.75,26.75,26.75,29641.0,4.0,26.75
