symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FET,2023-07-17 13:00:00+00:00,24.96,25.13,24.96,25.13,1737.0,34.0,25.078687
FET,2023-07-17 14:00:00+00:00,25.13,25.13,24.912,24.912,2055.0,56.0,25.022802
FET,2023-07-17 15:00:00+00:00,25.11,25.11,24.83,24.83,1955.0,66.0,24.908501
FET,2023-07-17 16:00:00+00:00,24.82,25.0,24.82,25.0,2560.0,95.0,24.895155
FET,2023-07-17 17:00:00+00:00,25.05,25.06,24.98,25.06,1999.0,82.0,25.026893
FET,2023-07-17 18:00:00+00:00,25.06,25.1,24.87,24.87,3784.0,140.0,25.012361
FET,2023-07-17 19:00:00+00:00,24.89,24.89,24.64,24.73,10868.0,394.0,24.754292
FET,2023-07-17 20:00:00+00:00,24.73,24.73,24.73,24.73,3769.0,2.0,24.73
FET,2023-07-18 14:00:00+00:00,25.6276,26.14,25.61,26.07,3129.0,96.0,25.860352
FET,2023-07-18 15:00:00+00:00,26.07,26.23,26.07,26.16,1707.0,56.0,26.15019
FET,2023-07-18 16:00:00+00:00,26.09,26.1,25.9,25.92,3021.0,95.0,26.01312
FET,2023-07-18 17:00:00+00:00,25.965,25.965,25.79,25.95,1264.0,60.0,25.898568
FET,2023-07-18 18:00:00+00:00,25.9,25.9,25.74,25.74,2301.0,84.0,25.828268
FET,2023-07-18 19:00:00+00:00,25.8,25.89,25.695,25.8,10452.0,352.0,25.778706
FET,2023-07-18 20:00:00+00:00,25.81,25.81,25.81,25.81,3417.0,1.0,25.81
FET,2023-07-19 13:00:00+00:00,25.74,26.25,25.74,26.18,1437.0,32.0,25.935831
FET,2023-07-19 14:00:00+00:00,26.0,26.0,25.63,25.63,645.0,25.0,25.873411
FET,2023-07-19 15:00:00+00:00,25.48,25.84,25.4401,25.84,1559.0,54.0,25.710199
FET,2023-07-19 18:00:00+00:00,25.63,25.66,25.63,25.66,1037.0,36.0,25.645092
