c,h,l,n,o,t,v,vw
20.37,20.37,20.37,5,20.37,2022-12-01T14:20:00Z,435,20.37
20.37,20.37,20.37,5,20.37,2022-12-01T14:25:00Z,354,20.37
21.34,21.34,21.34,16,21.34,2022-12-01T14:30:00Z,550,21.665727
20.84,21.34,20.84,15,21.3,2022-12-01T14:35:00Z,1058,21.28327
20.35,21.14,20.35,53,21.14,2022-12-01T14:40:00Z,18708,21.03
18.12,19.72,18.12,210,19.72,2022-12-01T14:50:00Z,45729,19.140799
17.72,18.03,16.82,246,17.71,2022-12-01T14:55:00Z,67317,17.416582
18.44,18.44,17.7,140,17.7,2022-12-01T15:00:00Z,11574,18.112123
18.94,19.29,18.43,138,18.48,2022-12-01T15:05:00Z,13870,18.63034
18.43,19.25,18.43,157,19.08,2022-12-01T15:10:00Z,9733,18.935286
18.61,18.86,18.43,103,18.53,2022-12-01T15:15:00Z,7685,18.637598
19.21,19.26,18.61,157,18.61,2022-12-01T15:20:00Z,14403,19.04252
19.28,19.3,18.91,109,19.2,2022-12-01T15:25:00Z,8017,19.135759
19.11,19.3,18.94,151,19.16,2022-12-01T15:30:00Z,12001,19.217527
18.76,18.92,18.63,153,18.91,2022-12-01T15:35:00Z,11677,18.800876
18.43,18.72,18.19,187,18.72,2022-12-01T15:40:00Z,16045,18.402433
18.72,18.72,18.42,117,18.72,2022-12-01T15:45:00Z,9640,18.51737
19.2,19.2,18.6,142,18.6,2022-12-01T15:50:00Z,8076,18.825027
18.68,19.3,18.36,195,19.25,2022-12-01T15:55:00Z,26537,19.066378
18.55,18.91,18.55,147,18.7,2022-12-01T16:00:00Z,12028,18.619652
18.66,18.95,18.43,232,18.55,2022-12-01T16:05:00Z,18331,18.480842
18.66,18.93,18.66,36,18.73,2022-12-01T16:10:00Z,2062,18.766634
18.44,18.67,18.43,166,18.67,2022-12-01T16:15:00Z,11846,18.56536
18.46,18.79,18.43,197,18.43,2022-12-01T16:20:00Z,14554,18.520814
18.55,18.69,18.43,137,18.45,2022-12-01T16:25:00Z,11182,18.502639
18.91,18.91,18.5,237,18.55,2022-12-01T16:30:00Z,15607,18.631103
19.18,19.18,18.83,255,18.86,2022-12-01T16:35:00Z,19413,18.910526
18.5,19.02,18.5,116,18.92,2022-12-01T16:40:00Z,8229,18.701766
18.57,18.66,18.45,243,18.48,2022-12-01T16:45:00Z,22344,18.514309
18.55,18.63,18.53,48,18.53,2022-12-01T16:50:00Z,2590,18.576104
18.65,18.88,18.57,215,18.58,2022-12-01T16:55:00Z,18154,18.686772
18.67,18.77,18.51,139,18.65,2022-12-01T17:00:00Z,12246,18.620789
18.79,18.88,18.67,309,18.71,2022-12-01T17:05:00Z,29670,18.765248
18.62,18.9,18.48,177,18.84,2022-12-01T17:10:00Z,14284,18.693611
18.92,18.92,18.5,275,18.66,2022-12-01T17:15:00Z,39282,18.631778
19.17,19.2,19.09,38,19.09,2022-12-01T17:20:00Z,2997,19.157434
19.03,19.19,18.91,126,19.18,2022-12-01T17:25:00Z,9877,19.0772
19.01,19.01,18.82,173,18.92,2022-12-01T17:30:00Z,12195,18.900664
18.91,19.03,18.91,47,18.91,2022-12-01T17:35:00Z,2363,18.967046
18.96,19.03,18.86,200,19.03,2022-12-01T17:40:00Z,16467,18.914576
18.85,18.94,18.85,99,18.94,2022-12-01T17:45:00Z,9074,18.886583
18.86,19.01,18.76,208,18.84,2022-12-01T17:50:00Z,15939,18.874142
18.82,18.91,18.77,210,18.86,2022-12-01T17:55:00Z,16119,18.808531
18.8,18.86,18.58,170,18.8,2022-12-01T18:00:00Z,13270,18.73568
18.85,18.85,18.69,249,18.78,2022-12-01T18:05:00Z,21442,18.753511
18.79,18.84,18.79,86,18.84,2022-12-01T18:10:00Z,12184,18.816756
18.72,18.84,18.65,382,18.81,2022-12-01T18:15:00Z,47776,18.775842
18.69,18.78,18.64,228,18.72,2022-12-01T18:20:00Z,29095,18.744115
18.7,18.74,18.59,202,18.69,2022-12-01T18:25:00Z,17278,18.653421
18.94,18.95,18.7,277,18.7,2022-12-01T18:30:00Z,57755,18.750047
18.81,19.08,18.77,90,19.03,2022-12-01T18:35:00Z,6832,18.909406
18.78,18.86,18.69,108,18.86,2022-12-01T18:40:00Z,8408,18.75826
19.06,19.06,18.69,164,18.72,2022-12-01T18:45:00Z,11983,18.841354
19.04,19.04,18.87,37,18.92,2022-12-01T18:50:00Z,2789,18.939677
19.06,19.19,18.88,92,19.04,2022-12-01T18:55:00Z,7920,19.088788
18.83,19.05,18.78,117,19.05,2022-12-01T19:00:00Z,8384,18.902638
19.12,19.19,18.77,252,18.82,2022-12-01T19:05:00Z,29010,19.042232
19.06,19.19,19.04,84,19.04,2022-12-01T19:10:00Z,11246,19.129326
18.85,19.06,18.85,81,19.06,2022-12-01T19:15:00Z,5515,18.956847
19.04,19.19,18.85,52,18.91,2022-12-01T19:20:00Z,3646,18.952444
18.75,18.92,18.61,184,18.92,2022-12-01T19:25:00Z,80615,18.727692
18.81,18.81,18.72,178,18.73,2022-12-01T19:30:00Z,132124,18.731302
18.69,18.84,18.69,58,18.78,2022-12-01T19:35:00Z,3937,18.771339
18.68,18.76,18.57,211,18.69,2022-12-01T19:40:00Z,57727,18.643758
18.28,18.66,18.28,186,18.62,2022-12-01T19:45:00Z,14404,18.533699
18.34,18.49,18.24,193,18.24,2022-12-01T19:50:00Z,15826,18.372051
18.36,18.42,18.28,173,18.31,2022-12-01T19:55:00Z,17766,18.354826
18.37,18.42,18.35,114,18.36,2022-12-01T20:00:00Z,20180,18.382457
18.57,18.58,18.33,247,18.37,2022-12-01T20:05:00Z,53611,18.434642
18.51,18.59,18.51,39,18.59,2022-12-01T20:10:00Z,2678,18.542771
18.58,18.68,18.33,286,18.51,2022-12-01T20:15:00Z,29068,18.450382
18.96,19.11,18.58,169,18.66,2022-12-01T20:20:00Z,11779,18.824778
18.73,19.0,18.7,144,19.0,2022-12-01T20:25:00Z,19811,18.789812
18.87,18.99,18.73,151,18.73,2022-12-01T20:30:00Z,30886,18.877688
18.93,19.01,18.84,184,18.87,2022-12-01T20:35:00Z,28425,18.935078
19.03,19.08,18.84,221,18.93,2022-12-01T20:40:00Z,44130,18.984132
18.92,19.16,18.86,401,19.01,2022-12-01T20:45:00Z,57665,18.981469
19.36,19.98,18.8,462,18.91,2022-12-01T20:50:00Z,49207,19.086283
18.63,19.49,18.58,1033,19.36,2022-12-01T20:55:00Z,152536,18.857558
18.55,18.75,18.55,11,18.75,2022-12-01T21:00:00Z,1168332,18.55
18.43,18.55,18.43,21,18.55,2022-12-01T21:05:00Z,1375,18.474618
18.55,18.55,18.55,2,18.55,2022-12-01T21:10:00Z,51,18.34
18.54,18.54,18.53,13,18.53,2022-12-01T21:20:00Z,696,18.53
18.8,18.85,18.54,3,18.85,2022-12-02T14:05:00Z,500,18.784
18.54,18.85,18.54,15,18.8,2022-12-02T14:10:00Z,1535,18.783062
18.45,18.63,18.45,4,18.63,2022-12-02T14:25:00Z,309,18.55
18.46,18.52,17.94,156,18.43,2022-12-02T14:30:00Z,19615,18.370347
18.5,18.5,18.21,72,18.46,2022-12-02T14:35:00Z,1829,18.36047
18.53,18.54,18.38,76,18.48,2022-12-02T14:40:00Z,6746,18.453251
18.53,18.55,18.49,34,18.53,2022-12-02T14:45:00Z,1907,18.516413
18.82,18.82,18.52,74,18.52,2022-12-02T14:50:00Z,3979,18.641076
18.51,19.21,18.48,114,18.89,2022-12-02T14:55:00Z,7299,18.918483
18.43,18.74,18.43,95,18.65,2022-12-02T15:00:00Z,4975,18.552714
18.55,18.55,18.43,188,18.5,2022-12-02T15:05:00Z,57895,18.482733
18.52,18.55,18.48,109,18.5,2022-12-02T15:10:00Z,44286,18.520135
18.55,18.55,18.52,86,18.52,2022-12-02T15:15:00Z,18169,18.527257
18.64,18.75,18.54,114,18.55,2022-12-02T15:20:00Z,12820,18.640867
18.66,18.66,18.54,47,18.64,2022-12-02T15:25:00Z,2946,18.630872
18.57,18.64,18.51,71,18.64,2022-12-02T15:30:00Z,4506,18.568888
18.53,18.57,18.51,57,18.57,2022-12-02T15:35:00Z,2815,18.544323
18.53,18.64,18.51,101,18.52,2022-12-02T15:40:00Z,12017,18.540948
18.53,18.61,18.53,46,18.61,2022-12-02T15:45:00Z,2850,18.556575
18.55,18.55,18.53,72,18.53,2022-12-02T15:50:00Z,48907,18.549777
18.54,18.56,18.53,100,18.56,2022-12-02T15:55:00Z,12930,18.54239
18.53,18.54,18.52,78,18.54,2022-12-02T16:00:00Z,12512,18.522724
18.53,18.6,18.49,87,18.52,2022-12-02T16:05:00Z,29373,18.548643
18.53,18.53,18.52,15,18.53,2022-12-02T16:10:00Z,875,18.521211
18.53,18.53,18.52,54,18.52,2022-12-02T16:15:00Z,3643,18.532638
18.49,18.54,18.19,166,18.52,2022-12-02T16:20:00Z,45164,18.419291
18.49,18.5,18.38,57,18.43,2022-12-02T16:25:00Z,29675,18.43317
18.49,18.49,18.43,28,18.43,2022-12-02T16:30:00Z,1823,18.483544
18.54,18.54,18.44,39,18.49,2022-12-02T16:35:00Z,2107,18.490413
18.53,18.53,18.44,52,18.44,2022-12-02T16:40:00Z,467576,18.52946
18.47,18.51,18.44,70,18.47,2022-12-02T16:45:00Z,6574,18.479239
18.56,18.56,18.47,107,18.47,2022-12-02T16:50:00Z,24244,18.53499
18.74,18.91,18.53,162,18.55,2022-12-02T16:55:00Z,15904,18.72391
18.79,18.8,18.67,27,18.8,2022-12-02T17:00:00Z,2487,18.695103
18.65,18.82,18.65,49,18.79,2022-12-02T17:05:00Z,3040,18.679908
18.53,18.65,18.53,12,18.65,2022-12-02T17:10:00Z,436,18.571422
18.74,18.78,18.55,93,18.56,2022-12-02T17:15:00Z,3661,18.678582
18.74,18.77,18.67,59,18.74,2022-12-02T17:20:00Z,4527,18.737915
18.74,18.77,18.67,30,18.67,2022-12-02T17:25:00Z,4139,18.7095
