symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FHN,2023-07-17 12:00:00+00:00,12.45,12.58,12.45,12.48,6813.0,7.0,12.477618
FHN,2023-07-17 13:00:00+00:00,12.48,12.57,12.35,12.525,408747.0,2686.0,12.502137
FHN,2023-07-17 14:00:00+00:00,12.53,12.55,12.39,12.5,723594.0,5154.0,12.470116
FHN,2023-07-17 15:00:00+00:00,12.49,12.5599,12.46,12.5,820687.0,5626.0,12.505462
FHN,2023-07-17 16:00:00+00:00,12.5,12.51,12.46,12.475,569628.0,3747.0,12.488979
FHN,2023-07-17 17:00:00+00:00,12.475,12.57,12.475,12.56,306035.0,2826.0,12.532586
FHN,2023-07-17 18:00:00+00:00,12.555,12.59,12.545,12.58,430086.0,3492.0,12.573965
FHN,2023-07-17 19:00:00+00:00,12.575,12.62,12.54,12.56,1997744.0,9781.0,12.572731
FHN,2023-07-17 20:00:00+00:00,12.55,12.5501,12.55,12.55,396553.0,23.0,12.55
FHN,2023-07-17 21:00:00+00:00,12.55,12.55,12.55,12.55,250.0,1.0,12.55
FHN,2023-07-18 12:00:00+00:00,12.4501,12.65,12.4501,12.5,1202.0,8.0,12.55208
FHN,2023-07-18 13:00:00+00:00,12.5,12.935,12.5,12.92,688395.0,4270.0,12.782992
FHN,2023-07-18 14:00:00+00:00,12.925,12.925,12.79,12.8301,1063869.0,7368.0,12.842067
FHN,2023-07-18 15:00:00+00:00,12.835,13.01,12.815,12.8701,1141523.0,6995.0,12.909522
FHN,2023-07-18 16:00:00+00:00,12.875,12.9588,12.83,12.83,1692579.0,7794.0,12.876989
FHN,2023-07-18 17:00:00+00:00,12.835,12.87,12.79,12.7989,956437.0,6529.0,12.829095
FHN,2023-07-18 18:00:00+00:00,12.795,12.83,12.73,12.79,1614868.0,8689.0,12.78944
FHN,2023-07-18 19:00:00+00:00,12.785,12.84,12.731,12.8225,4771069.0,21863.0,12.795188
FHN,2023-07-18 20:00:00+00:00,12.82,12.86,12.7,12.7,840645.0,49.0,12.819759
FHN,2023-07-18 21:00:00+00:00,12.86,12.86,12.8,12.8,4943.0,5.0,12.814914
FHN,2023-07-18 22:00:00+00:00,12.8,12.8,12.8,12.8,1600.0,4.0,12.8
FHN,2023-07-19 08:00:00+00:00,12.98,12.98,12.97,12.98,340.0,4.0,12.975882
FHN,2023-07-19 09:00:00+00:00,12.97,12.97,12.97,12.97,100.0,1.0,12.97
