symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FIBK,2023-07-17 13:00:00+00:00,24.83,25.07,24.73,25.02,28155.0,364.0,24.894535
FIBK,2023-07-17 14:00:00+00:00,25.045,25.28,24.88,25.265,182177.0,1646.0,25.035945
FIBK,2023-07-17 15:00:00+00:00,25.25,25.425,25.2,25.35,39277.0,1128.0,25.301961
FIBK,2023-07-17 16:00:00+00:00,25.34,25.45,25.3,25.31,32522.0,965.0,25.352503
FIBK,2023-07-17 17:00:00+00:00,25.3,25.46,25.29,25.395,46786.0,1212.0,25.391952
FIBK,2023-07-17 18:00:00+00:00,25.4,25.57,25.39,25.41,58650.0,1333.0,25.480828
FIBK,2023-07-17 19:00:00+00:00,25.4,25.42,25.29,25.3,166211.0,3257.0,25.33973
FIBK,2023-07-17 20:00:00+00:00,25.32,25.32,25.32,25.32,109950.0,16.0,25.32
FIBK,2023-07-18 13:00:00+00:00,25.33,26.405,25.33,26.4,79271.0,960.0,25.980424
FIBK,2023-07-18 14:00:00+00:00,26.4,26.54,25.81,25.9,166080.0,2624.0,26.165333
FIBK,2023-07-18 15:00:00+00:00,25.895,26.31,25.895,26.195,81010.0,1667.0,26.126815
FIBK,2023-07-18 16:00:00+00:00,26.22,26.33,26.1975,26.258,62396.0,1419.0,26.262503
FIBK,2023-07-18 17:00:00+00:00,26.27,26.335,26.09,26.1,64965.0,1306.0,26.200261
FIBK,2023-07-18 18:00:00+00:00,26.1,26.205,26.09,26.155,107452.0,2101.0,26.145939
FIBK,2023-07-18 19:00:00+00:00,26.16,26.29,26.12,26.17,298784.0,4190.0,26.184075
FIBK,2023-07-18 20:00:00+00:00,26.16,26.17,26.16,26.17,159814.0,25.0,26.169994
FIBK,2023-07-19 13:00:00+00:00,26.35,26.62,26.135,26.55,25432.0,378.0,26.393939
FIBK,2023-07-19 14:00:00+00:00,26.575,26.83,26.51,26.58,57960.0,1246.0,26.649491
FIBK,2023-07-19 15:00:00+00:00,26.578,26.605,26.39,26.545,47856.0,1195.0,26.524496
FIBK,2023-07-19 16:00:00+00:00,26.57,26.69,26.4172,26.495,62447.0,1299.0,26.529354
FIBK,2023-07-19 17:00:00+00:00,26.5,26.56,26.42,26.46,73838.0,1941.0,26.480612
FIBK,2023-07-19 18:00:00+00:00,26.475,26.64,26.42,26.55,63215.0,1465.0,26.544196
FIBK,2023-07-19 19:00:00+00:00,26.55,26.66,26.5,26.635,197723.0,3791.0,26.588128
FIBK,2023-07-19 20:00:00+00:00,26.65,26.65,26.65,26.65,167798.0,27.0,26.65
FIBK,2023-07-20 13:00:00+00:00,26.64,26.68,26.22,26.345,53753.0,781.0,26.438967
FIBK,2023-07-20 14:00:00+00:00,26.39,26.515,25.97,26.23,99993.0,2013.0,26.231592
FIBK,2023-07-20 15:00:00+00:00,26.23,26.37,26.18,26.355,74052.0,1641.0,26.275159
FIBK,2023-07-20 16:00:00+00:00,26.37,26.6,26.351,26.415,81543.0,1906.0,26.450471
FIBK,2023-07-20 17:00:00+00:00,26.42,26.43,26.33,26.39,55619.0,1470.0,26.376286
FIBK,2023-07-20 18:00:00+00:00,26.38,26.48,26.345,26.39,66854.0,1560.0,26.396587
FIBK,2023-07-20 19:00:00+00:00,26.385,26.49,26.255,26.45,188852.0,3766.0,26.396352
FIBK,2023-07-20 20:00:00+00:00,26.46,26.46,26.46,26.46,183803.0,21.0,26.46
FIBK,2023-07-21 13:00:00+00:00,26.66,26.66,26.13,26.37,64342.0,495.0,26.50853
FIBK,2023-07-21 14:00:00+00:00,26.34,26.48,26.2,26.27,67280.0,1338.0,26.340211
FIBK,2023-07-21 15:00:00+00:00,26.26,26.485,26.24,26.35,92206.0,1747.0,26.341793
FIBK,2023-07-21 16:00:00+00:00,26.345,26.36,26.165,26.27,63029.0,1370.0,26.268291
FIBK,2023-07-21 17:00:00+00:00,26.27,26.4,26.27,26.4,60848.0,1380.0,26.357111
FIBK,2023-07-21 18:00:00+00:00,26.41,26.43,26.32,26.35,60858.0,1384.0,26.378712
FIBK,2023-07-21 19:00:00+00:00,26.36,26.375,26.19,26.29,246080.0,3734.0,26.275405
FIBK,2023-07-21 20:00:00+00:00,26.31,26.31,26.31,26.31,162433.0,19.0,26.31
FIBK,2023-07-24 12:00:00+00:00,26.39,26.39,26.39,26.39,191.0,3.0,26.380524
FIBK,2023-07-24 13:00:00+00:00,26.21,26.84,26.21,26.72,49391.0,557.0,26.511555
FIBK,2023-07-24 14:00:00+00:00,26.76,26.9,26.6,26.83,66232.0,1234.0,26.755646
FIBK,2023-07-24 15:00:00+00:00,26.8,26.9881,26.8,26.94,55728.0,1124.0,26.897328
