symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FRPH,2023-07-17 16:00:00+00:00,57.7,57.72,57.7,57.72,440.0,7.0,57.712955
FRPH,2023-07-17 18:00:00+00:00,58.18,58.36,58.0,58.3,431.0,11.0,58.208237
FRPH,2023-07-17 19:00:00+00:00,57.81,58.01,57.06,57.06,2018.0,78.0,57.632906
FRPH,2023-07-17 20:00:00+00:00,57.03,57.03,57.03,57.03,2052.0,4.0,57.03058
FRPH,2023-07-18 13:00:00+00:00,57.26,57.75,56.611,57.75,1763.0,62.0,57.216455
FRPH,2023-07-18 14:00:00+00:00,58.0,58.335,57.66,58.335,4180.0,184.0,57.931628
FRPH,2023-07-18 15:00:00+00:00,58.7,59.08,58.67,58.81,2026.0,45.0,58.816698
FRPH,2023-07-18 17:00:00+00:00,58.9,58.92,58.9,58.92,319.0,12.0,58.93094
FRPH,2023-07-18 19:00:00+00:00,58.9,59.1,58.9,58.9,1549.0,41.0,58.978018
FRPH,2023-07-18 20:00:00+00:00,58.68,58.68,58.68,58.68,1484.0,1.0,58.68
FRPH,2023-07-19 13:00:00+00:00,59.09,59.09,59.09,59.09,158.0,2.0,58.949177
FRPH,2023-07-19 16:00:00+00:00,58.54,58.765,58.5252,58.63,758.0,28.0,58.582819
FRPH,2023-07-19 17:00:00+00:00,58.505,58.61,58.4,58.61,1023.0,26.0,58.501437
FRPH,2023-07-19 19:00:00+00:00,58.6,58.68,58.16,58.16,1637.0,70.0,58.580855
FRPH,2023-07-19 20:00:00+00:00,58.54,58.54,58.54,58.54,1697.0,2.0,58.54
FRPH,2023-07-20 13:00:00+00:00,58.49,58.49,58.49,58.49,237.0,2.0,58.442532
FRPH,2023-07-20 16:00:00+00:00,58.75,58.75,58.3906,58.3906,439.0,15.0,58.550456
FRPH,2023-07-20 18:00:00+00:00,58.12,58.445,58.12,58.445,940.0,11.0,58.227441
FRPH,2023-07-20 19:00:00+00:00,58.16,58.225,57.73,58.05,1556.0,82.0,58.234884
FRPH,2023-07-20 20:00:00+00:00,58.0,58.0,58.0,58.0,1841.0,2.0,58.0
FRPH,2023-07-21 13:00:00+00:00,58.4,59.0,58.4,59.0,3098.0,138.0,58.518038
FRPH,2023-07-21 14:00:00+00:00,58.55,58.58,58.43,58.58,585.0,20.0,58.49318
FRPH,2023-07-21 16:00:00+00:00,58.88,58.88,58.8,58.8,746.0,89.0,58.870858
FRPH,2023-07-21 17:00:00+00:00,58.98,58.98,58.98,58.98,104.0,3.0,58.978702
FRPH,2023-07-21 18:00:00+00:00,58.55,58.55,58.55,58.55,100.0,1.0,58.55
FRPH,2023-07-21 20:00:00+00:00,58.3,58.3,58.3,58.3,2527.0,2.0,58.3
FRPH,2023-07-24 13:00:00+00:00,58.18,58.18,58.18,58.18,128.0,1.0,58.18
FRPH,2023-07-24 15:00:00+00:00,58.1055,58.1055,57.77,57.77,535.0,18.0,58.030073
FRPH,2023-07-24 16:00:00+00:00,58.12,58.12,58.12,58.12,100.0,1.0,58.12
FRPH,2023-07-24 17:00:00+00:00,57.85,58.07,57.8,57.8,883.0,24.0,57.90607
FRPH,2023-07-24 19:00:00+00:00,57.65,57.65,57.01,57.3,1437.0,75.0,57.25801
FRPH,2023-07-24 20:00:00+00:00,57.0,57.0,57.0,57.0,1002.0,4.0,57.002585
FRPH,2023-07-25 13:00:00+00:00,57.2,57.2,57.2,57.2,512.0,5.0,57.18499
FRPH,2023-07-25 14:00:00+00:00,57.2,57.2,57.2,57.2,134.0,6.0,57.206119
FRPH,2023-07-25 15:00:00+00:00,57.64,57.64,57.64,57.64,118.0,14.0,57.605254
FRPH,2023-07-25 16:00:00+00:00,56.93,57.4,56.93,57.4,203.0,5.0,57.16601
FRPH,2023-07-25 18:00:00+00:00,57.33,57.73,57.33,57.58,690.0,29.0,57.574261
FRPH,2023-07-25 19:00:00+00:00,57.59,57.59,57.46,57.46,298.0,5.0,57.562685
FRPH,2023-07-25 20:00:00+00:00,57.41,57.41,57.41,57.41,1265.0,3.0,57.41
FRPH,2023-07-26 13:00:00+00:00,57.15,57.62,57.15,57.62,586.0,11.0,57.553976
FRPH,2023-07-26 14:00:00+00:00,57.5,57.5,56.89,57.15,2502.0,153.0,57.229936
FRPH,2023-07-26 17:00:00+00:00,57.3,57.59,57.025,57.025,884.0,14.0,57.233937
FRPH,2023-07-26 18:00:00+00:00,57.42,57.43,57.42,57.43,258.0,16.0,57.421085
FRPH,2023-07-26 19:00:00+00:00,57.33,57.33,57.28,57.28,715.0,57.0,57.263503
FRPH,2023-07-26 20:00:00+00:00,57.18,57.18,57.18,57.18,1745.0,2.0,57.18
FRPH,2023-07-27 13:00:00+00:00,57.19,57.19,57.19,57.19,131.0,4.0,57.193511
FRPH,2023-07-27 14:00:00+00:00,56.42,56.47,56.42,56.47,310.0,6.0,56.509329
FRPH,2023-07-27 15:00:00+00:00,56.5,56.5,56.26,56.26,441.0,33.0,56.294195
FRPH,2023-07-27 16:00:00+00:00,56.04,56.04,56.0,56.0,637.0,20.0,56.00697
FRPH,2023-07-27 17:00:00+00:00,55.64,55.64,55.5,55.5,890.0,24.0,55.561461
FRPH,2023-07-27 18:00:00+00:00,56.02,56.71,56.02,56.71,1135.0,28.0,56.235198
FRPH,2023-07-27 19:00:00+00:00,56.29,56.4,56.06,56.4,3448.0,124.0,56.254988
FRPH,2023-07-27 20:00:00+00:00,56.4,56.4,56.4,56.4,2635.0,4.0,56.4
FRPH,2023-07-28 13:00:00+00:00,56.9,56.9,56.9,56.9,118.0,1.0,56.9
FRPH,2023-07-28 16:00:00+00:00,56.8,56.8,56.8,56.8,102.0,2.0,56.803137
FRPH,2023-07-28 17:00:00+00:00,56.54,56.55,56.54,56.55,339.0,21.0,56.543259
FRPH,2023-07-28 18:00:00+00:00,56.75,56.75,56.75,56.75,105.0,3.0,56.75869
FRPH,2023-07-28 19:00:00+00:00,56.81,56.81,56.76,56.76,884.0,45.0,56.742692
FRPH,2023-07-28 20:00:00+00:00,56.83,56.83,56.83,56.83,1704.0,2.0,56.83
FRPH,2023-07-31 13:00:00+00:00,56.8,56.8,56.8,56.8,214.0,4.0,56.802967
FRPH,2023-07-31 15:00:00+00:00,56.225,56.225,56.225,56.225,102.0,2.0,56.232941
FRPH,2023-07-31 16:00:00+00:00,56.4,56.4,56.4,56.4,271.0,8.0,56.400185
FRPH,2023-07-31 17:00:00+00:00,56.055,56.055,56.055,56.055,100.0,1.0,56.055
FRPH,2023-07-31 18:00:00+00:00,56.24,56.32,56.24,56.32,251.0,8.0,56.319243
FRPH,2023-07-31 19:00:00+00:00,56.77,57.6054,56.68,57.11,4798.0,193.0,56.954792
FRPH,2023-07-31 20:00:00+00:00,57.37,57.37,57.37,57.37,3440.0,5.0,57.37
FRPH,2023-08-01 13:00:00+00:00,56.84,56.84,56.84,56.84,105.0,2.0,56.84
FRPH,2023-08-01 16:00:00+00:00,57.02,57.02,57.02,57.02,163.0,12.0,56.946589
FRPH,2023-08-01 17:00:00+00:00,56.915,56.915,56.915,56.915,100.0,1.0,56.915
FRPH,2023-08-01 18:00:00+00:00,57.315,57.68,57.25,57.25,735.0,23.0,57.405551
FRPH,2023-08-01 19:00:00+00:00,57.04,57.06,56.17,57.06,666.0,42.0,56.78138
FRPH,2023-08-01 20:00:00+00:00,56.4,56.4,56.4,56.4,1467.0,4.0,56.399591
FRPH,2023-08-02 13:00:00+00:00,56.24,56.24,56.24,56.24,217.0,2.0,56.24
FRPH,2023-08-02 15:00:00+00:00,56.06,56.06,56.06,56.06,102.0,2.0,56.062745
FRPH,2023-08-02 16:00:00+00:00,56.33,56.33,56.33,56.33,431.0,17.0,56.331137
FRPH,2023-08-02 17:00:00+00:00,56.89,56.89,56.265,56.265,210.0,9.0,56.566524
FRPH,2023-08-02 18:00:00+00:00,56.5,56.5,56.42,56.42,223.0,10.0,56.462332
FRPH,2023-08-02 19:00:00+00:00,56.21,56.21,56.21,56.21,256.0,20.0,56.331934
FRPH,2023-08-02 20:00:00+00:00,56.24,56.24,56.24,56.24,1544.0,4.0,56.24
FRPH,2023-08-03 13:00:00+00:00,56.27,56.27,56.27,56.27,142.0,1.0,56.27
FRPH,2023-08-03 14:00:00+00:00,56.215,56.215,55.86,55.86,751.0,38.0,56.070925
FRPH,2023-08-03 15:00:00+00:00,56.0,56.25,56.0,56.25,709.0,63.0,56.131016
FRPH,2023-08-03 16:00:00+00:00,56.28,56.69,56.23,56.4,1209.0,43.0,56.506849
FRPH,2023-08-03 18:00:00+00:00,56.55,56.55,56.55,56.55,202.0,8.0,56.528366
FRPH,2023-08-03 19:00:00+00:00,56.55,56.825,56.23,56.24,1092.0,22.0,56.429574
FRPH,2023-08-03 20:00:00+00:00,56.32,56.32,56.32,56.32,1167.0,5.0,56.32
FRPH,2023-08-04 13:00:00+00:00,56.19,56.8,56.19,56.8,534.0,12.0,56.354625
FRPH,2023-08-04 14:00:00+00:00,56.4,56.4,56.4,56.4,395.0,35.0,56.430354
FRPH,2023-08-04 16:00:00+00:00,56.49,56.49,56.49,56.49,366.0,18.0,56.502896
FRPH,2023-08-04 17:00:00+00:00,56.385,56.795,56.385,56.795,205.0,3.0,56.588049
FRPH,2023-08-04 18:00:00+00:00,56.425,56.47,56.24,56.46,981.0,38.0,56.382783
FRPH,2023-08-04 20:00:00+00:00,56.53,56.53,56.53,56.53,1559.0,5.0,56.53
