symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FV,2023-07-17 13:00:00+00:00,47.67,47.8207,47.67,47.8207,2928.0,15.0,47.720983
FV,2023-07-17 14:00:00+00:00,47.96,48.0681,47.9301,47.9801,5184.0,31.0,47.99582
FV,2023-07-17 15:00:00+00:00,47.995,48.23,47.995,48.209,9742.0,55.0,48.122328
FV,2023-07-17 16:00:00+00:00,48.1803,48.215,48.15,48.19,40325.0,56.0,48.192845
FV,2023-07-17 17:00:00+00:00,48.2092,48.2159,48.16,48.16,25252.0,97.0,48.18197
FV,2023-07-17 18:00:00+00:00,48.17,48.23,48.14,48.2,41692.0,195.0,48.177783
FV,2023-07-17 19:00:00+00:00,48.195,48.32,48.17,48.17,44033.0,202.0,48.241799
FV,2023-07-18 13:00:00+00:00,48.26,48.3538,48.2,48.335,4276.0,18.0,48.289955
FV,2023-07-18 14:00:00+00:00,48.3461,48.43,48.3461,48.4024,18102.0,91.0,48.403124
FV,2023-07-18 15:00:00+00:00,48.4,48.44,48.2608,48.35,156465.0,75.0,48.429419
FV,2023-07-18 16:00:00+00:00,48.37,48.37,48.2259,48.25,12927.0,46.0,48.263113
FV,2023-07-18 17:00:00+00:00,48.31,48.3491,48.27,48.32,165070.0,42.0,48.319427
FV,2023-07-18 18:00:00+00:00,48.34,48.4668,48.34,48.428,30525.0,88.0,48.40657
FV,2023-07-18 19:00:00+00:00,48.4571,48.5845,48.4571,48.5001,26672.0,99.0,48.527236
FV,2023-07-19 13:00:00+00:00,48.59,48.7,48.59,48.6464,5886.0,40.0,48.651099
FV,2023-07-19 14:00:00+00:00,48.6362,48.7648,48.5929,48.6379,10409.0,65.0,48.675209
FV,2023-07-19 15:00:00+00:00,48.6297,48.77,48.6297,48.7,9350.0,65.0,48.695584
FV,2023-07-19 16:00:00+00:00,48.71,48.73,48.52,48.615,30214.0,99.0,48.648771
FV,2023-07-19 17:00:00+00:00,48.5401,48.58,48.5,48.568,28982.0,109.0,48.554325
FV,2023-07-19 18:00:00+00:00,48.576,48.6139,48.48,48.5568,25223.0,90.0,48.535766
FV,2023-07-19 19:00:00+00:00,48.5852,48.66,48.57,48.6375,13288.0,94.0,48.612253
FV,2023-07-20 13:00:00+00:00,48.55,48.55,48.035,48.25,13665.0,71.0,48.324422
FV,2023-07-20 14:00:00+00:00,48.22,48.229,47.99,48.05,13551.0,89.0,48.095804
FV,2023-07-20 15:00:00+00:00,48.0959,48.17,48.07,48.0782,6301.0,35.0,48.12291
FV,2023-07-20 16:00:00+00:00,48.1399,48.17,47.99,48.04,7685.0,44.0,48.069141
FV,2023-07-20 17:00:00+00:00,48.04,48.1177,48.0125,48.07,12283.0,55.0,48.052439
FV,2023-07-20 18:00:00+00:00,48.04,48.05,47.9068,47.98,29355.0,81.0,47.997496
FV,2023-07-20 19:00:00+00:00,47.96,47.968,47.83,47.94,37964.0,126.0,47.892618
FV,2023-07-20 20:00:00+00:00,47.82,47.82,47.82,47.82,187.0,1.0,47.82
FV,2023-07-21 13:00:00+00:00,48.14,48.2754,47.92,47.97,6433.0,18.0,48.108858
FV,2023-07-21 14:00:00+00:00,47.9342,48.085,47.8944,47.96,6413.0,39.0,47.988579
FV,2023-07-21 15:00:00+00:00,47.9866,48.112,47.97,48.0109,18304.0,52.0,48.027932
FV,2023-07-21 16:00:00+00:00,48.05,48.0891,47.96,48.0175,10752.0,38.0,48.046745
FV,2023-07-21 17:00:00+00:00,48.02,48.1228,48.01,48.1228,4290.0,14.0,48.06556
FV,2023-07-21 18:00:00+00:00,48.105,48.105,47.9684,47.985,17758.0,98.0,48.035467
FV,2023-07-21 19:00:00+00:00,47.9947,48.0,47.8601,47.9,22391.0,88.0,47.933111
FV,2023-07-24 13:00:00+00:00,47.93,48.1999,47.7844,47.7844,4408.0,37.0,47.96921
FV,2023-07-24 14:00:00+00:00,47.8327,47.908,47.81,47.8564,12108.0,57.0,47.860532
FV,2023-07-24 15:00:00+00:00,47.8773,47.9299,47.8301,47.9056,22614.0,46.0,47.88735
FV,2023-07-24 16:00:00+00:00,47.9469,47.9469,47.8647,47.91,8877.0,45.0,47.911356
FV,2023-07-24 17:00:00+00:00,47.8945,47.96,47.8945,47.9349,4441.0,22.0,47.926797
FV,2023-07-24 18:00:00+00:00,47.99,47.99,47.87,47.91,13827.0,75.0,47.944713
FV,2023-07-24 19:00:00+00:00,47.93,47.93,47.84,47.89,19464.0,112.0,47.887269
FV,2023-07-25 13:00:00+00:00,47.83,48.1,47.83,48.08,12244.0,80.0,47.987163
FV,2023-07-25 14:00:00+00:00,48.06,48.1655,48.045,48.08,19352.0,45.0,48.120984
FV,2023-07-25 15:00:00+00:00,48.0553,48.1569,48.0553,48.1,41318.0,61.0,48.102496
FV,2023-07-25 16:00:00+00:00,48.0991,48.1599,48.071,48.148,14766.0,59.0,48.116928
FV,2023-07-25 17:00:00+00:00,48.15,48.1862,48.1013,48.1504,14268.0,63.0,48.146127
FV,2023-07-25 18:00:00+00:00,48.12,48.25,48.11,48.1132,10498.0,69.0,48.171693
FV,2023-07-25 19:00:00+00:00,48.17,48.185,48.07,48.07,36979.0,101.0,48.150308
FV,2023-07-25 20:00:00+00:00,48.05,48.05,48.05,48.05,2014.0,1.0,48.05
FV,2023-07-26 13:00:00+00:00,48.04,48.105,47.8866,47.985,7465.0,40.0,48.028862
FV,2023-07-26 14:00:00+00:00,48.17,48.17,47.8454,47.8454,10508.0,39.0,48.003098
FV,2023-07-26 15:00:00+00:00,47.82,47.9784,47.82,47.9784,18050.0,43.0,47.86718
FV,2023-07-26 16:00:00+00:00,47.95,47.97,47.88,47.8891,21688.0,76.0,47.937695
FV,2023-07-26 17:00:00+00:00,47.9,47.9686,47.785,47.785,17408.0,65.0,47.926779
FV,2023-07-26 18:00:00+00:00,47.925,48.225,47.92,48.15,18952.0,48.0,48.031284
FV,2023-07-26 19:00:00+00:00,48.17,48.18,47.8626,48.08,18046.0,145.0,48.032286
FV,2023-07-27 13:00:00+00:00,48.59,48.69,48.5801,48.62,8315.0,86.0,48.623118
FV,2023-07-27 14:00:00+00:00,48.505,48.6999,48.4,48.53,29717.0,86.0,48.563133
FV,2023-07-27 15:00:00+00:00,48.4994,48.5585,48.4603,48.5186,29096.0,93.0,48.513195
FV,2023-07-27 16:00:00+00:00,48.512,48.69,48.512,48.625,21701.0,45.0,48.61094
FV,2023-07-27 17:00:00+00:00,48.6599,48.66,48.3186,48.3186,18665.0,47.0,48.450712
FV,2023-07-27 18:00:00+00:00,48.34,48.355,47.91,47.93,17384.0,89.0,48.071409
FV,2023-07-27 19:00:00+00:00,47.9289,48.04,47.81,47.96,20560.0,138.0,47.94768
FV,2023-07-28 13:00:00+00:00,48.38,48.55,48.36,48.54,10358.0,83.0,48.49396
FV,2023-07-28 14:00:00+00:00,48.54,48.6042,48.48,48.48,8708.0,39.0,48.532269
FV,2023-07-28 15:00:00+00:00,48.5523,48.6669,48.5523,48.66,41185.0,46.0,48.641489
FV,2023-07-28 16:00:00+00:00,48.6424,48.6699,48.59,48.64,46289.0,133.0,48.610331
FV,2023-07-28 17:00:00+00:00,48.5875,48.61,48.44,48.5499,11622.0,29.0,48.536378
FV,2023-07-28 18:00:00+00:00,48.525,48.64,48.525,48.64,324003.0,20.0,48.594428
FV,2023-07-28 19:00:00+00:00,48.65,48.66,48.58,48.58,39885.0,39.0,48.644049
FV,2023-07-31 13:00:00+00:00,48.69,48.9399,48.69,48.79,16031.0,34.0,48.790944
FV,2023-07-31 14:00:00+00:00,48.787,48.92,48.78,48.7973,12242.0,53.0,48.851077
FV,2023-07-31 15:00:00+00:00,48.86,48.86,48.728,48.729,12695.0,60.0,48.796099
FV,2023-07-31 16:00:00+00:00,48.71,48.8099,48.691,48.691,28706.0,115.0,48.753943
FV,2023-07-31 17:00:00+00:00,48.6936,48.79,48.67,48.74,10101.0,56.0,48.747636
FV,2023-07-31 18:00:00+00:00,48.76,48.7897,48.7,48.7897,40329.0,134.0,48.737171
FV,2023-07-31 19:00:00+00:00,48.787,48.8066,48.65,48.8,32473.0,187.0,48.720606
FV,2023-08-01 13:00:00+00:00,48.46,48.6423,48.46,48.515,10691.0,29.0,48.478721
FV,2023-08-01 14:00:00+00:00,48.66,48.685,48.525,48.582,15401.0,50.0,48.570462
FV,2023-08-01 15:00:00+00:00,48.58,48.6412,48.5349,48.61,14478.0,44.0,48.600464
FV,2023-08-01 16:00:00+00:00,48.63,48.67,48.61,48.67,29353.0,135.0,48.634051
FV,2023-08-01 17:00:00+00:00,48.69,48.7,48.63,48.66,13825.0,57.0,48.66388
FV,2023-08-01 18:00:00+00:00,48.67,48.736,48.66,48.68,29258.0,67.0,48.678907
FV,2023-08-01 19:00:00+00:00,48.6987,48.74,48.66,48.69,19009.0,89.0,48.706448
