symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GBX,2023-07-17 13:00:00+00:00,43.35,43.54,43.075,43.29,22811.0,365.0,43.291182
GBX,2023-07-17 14:00:00+00:00,43.34,43.39,43.02,43.24,40291.0,1034.0,43.185423
GBX,2023-07-17 15:00:00+00:00,43.24,43.84,43.24,43.75,27603.0,622.0,43.61092
GBX,2023-07-17 16:00:00+00:00,43.73,43.86,43.38,43.49,60566.0,659.0,43.609132
GBX,2023-07-17 17:00:00+00:00,43.58,43.9399,43.51,43.75,25075.0,593.0,43.727686
GBX,2023-07-17 18:00:00+00:00,43.77,43.97,43.75,43.77,17658.0,616.0,43.855479
GBX,2023-07-17 19:00:00+00:00,43.815,43.82,43.45,43.54,78757.0,2089.0,43.561991
GBX,2023-07-17 20:00:00+00:00,43.53,43.53,43.53,43.53,46682.0,12.0,43.53
GBX,2023-07-18 13:00:00+00:00,43.68,44.3,43.68,43.9405,14617.0,307.0,44.025367
GBX,2023-07-18 14:00:00+00:00,44.11,44.16,43.935,44.11,18334.0,574.0,44.058644
GBX,2023-07-18 15:00:00+00:00,44.16,44.18,43.72,43.7701,18566.0,517.0,43.974441
GBX,2023-07-18 16:00:00+00:00,43.82,44.01,43.7,43.99,11515.0,394.0,43.838427
GBX,2023-07-18 17:00:00+00:00,44.0,44.03,43.58,43.58,31246.0,531.0,43.809144
GBX,2023-07-18 18:00:00+00:00,43.62,43.81,43.62,43.7,12361.0,469.0,43.720494
GBX,2023-07-18 19:00:00+00:00,43.74,44.02,43.74,43.77,60705.0,1481.0,43.844788
GBX,2023-07-18 20:00:00+00:00,43.77,43.77,43.77,43.77,37554.0,10.0,43.77
GBX,2023-07-19 13:00:00+00:00,43.99,44.3,43.81,44.1,22008.0,344.0,44.015819
GBX,2023-07-19 14:00:00+00:00,44.13,44.795,44.04,44.42,79200.0,1677.0,44.425864
GBX,2023-07-19 15:00:00+00:00,44.355,44.76,44.3,44.52,31085.0,885.0,44.535413
GBX,2023-07-19 16:00:00+00:00,44.5,44.645,44.37,44.44,36339.0,887.0,44.535549
GBX,2023-07-19 17:00:00+00:00,44.43,44.57,44.26,44.57,23895.0,596.0,44.375594
GBX,2023-07-19 18:00:00+00:00,44.57,44.63,44.51,44.56,21800.0,697.0,44.577185
GBX,2023-07-19 19:00:00+00:00,44.57,44.97,44.52,44.94,117715.0,3045.0,44.828471
GBX,2023-07-19 20:00:00+00:00,44.96,44.96,44.96,44.96,53004.0,15.0,44.959999
GBX,2023-07-20 11:00:00+00:00,44.95,44.95,44.95,44.95,100.0,1.0,44.95
GBX,2023-07-20 13:00:00+00:00,45.0,45.01,44.44,44.76,20194.0,481.0,44.783318
GBX,2023-07-20 14:00:00+00:00,44.8,45.2,44.58,45.2,33001.0,852.0,44.821406
GBX,2023-07-20 15:00:00+00:00,45.24,45.27,45.135,45.23,30007.0,776.0,45.208853
GBX,2023-07-20 16:00:00+00:00,45.22,45.27,45.06,45.18,22162.0,731.0,45.204822
GBX,2023-07-20 17:00:00+00:00,45.14,45.14,44.8601,44.92,14385.0,465.0,45.028434
GBX,2023-07-20 18:00:00+00:00,44.9011,45.07,44.88,44.95,26286.0,776.0,44.983859
GBX,2023-07-20 19:00:00+00:00,44.935,45.08,44.66,44.84,54322.0,1522.0,44.803973
GBX,2023-07-20 20:00:00+00:00,44.84,44.84,44.84,44.84,34581.0,8.0,44.84
GBX,2023-07-21 13:00:00+00:00,44.96,44.97,44.59,44.79,21973.0,265.0,44.88029
GBX,2023-07-21 14:00:00+00:00,44.9,44.9,44.101,44.15,33250.0,727.0,44.455653
GBX,2023-07-21 15:00:00+00:00,44.16,44.415,44.1,44.2199,21780.0,615.0,44.240319
GBX,2023-07-21 16:00:00+00:00,44.2,44.34,44.14,44.245,12112.0,424.0,44.231067
GBX,2023-07-21 17:00:00+00:00,44.2425,44.4445,44.23,44.4419,21730.0,481.0,44.371729
GBX,2023-07-21 18:00:00+00:00,44.46,44.53,44.1888,44.52,47430.0,1071.0,44.379914
GBX,2023-07-21 19:00:00+00:00,44.52,44.57,44.2801,44.45,92391.0,2510.0,44.445158
GBX,2023-07-21 20:00:00+00:00,44.45,44.45,44.45,44.45,134582.0,11.0,44.45
GBX,2023-07-24 13:00:00+00:00,44.18,44.84,44.18,44.58,20002.0,414.0,44.52558
GBX,2023-07-24 14:00:00+00:00,44.6,44.6999,43.92,43.93,42980.0,982.0,44.313926
GBX,2023-07-24 15:00:00+00:00,43.9,44.03,43.65,43.99,18912.0,552.0,43.85924
GBX,2023-07-24 16:00:00+00:00,44.07,44.39,44.02,44.39,25917.0,693.0,44.129103
GBX,2023-07-24 17:00:00+00:00,44.33,44.68,44.295,44.6,16967.0,588.0,44.50523
GBX,2023-07-24 18:00:00+00:00,44.6,44.73,44.54,44.62,15237.0,572.0,44.631634
GBX,2023-07-24 19:00:00+00:00,44.62,44.93,44.46,44.92,89019.0,2300.0,44.74117
GBX,2023-07-24 20:00:00+00:00,44.91,44.91,44.91,44.91,54567.0,15.0,44.91
GBX,2023-07-25 13:00:00+00:00,44.66,44.72,44.07,44.43,11134.0,189.0,44.499912
GBX,2023-07-25 14:00:00+00:00,44.6,44.75,44.4101,44.53,16997.0,415.0,44.612805
GBX,2023-07-25 15:00:00+00:00,44.53,44.59,44.32,44.408,12330.0,390.0,44.475262
GBX,2023-07-25 16:00:00+00:00,44.33,44.37,44.24,44.35,9206.0,354.0,44.308961
GBX,2023-07-25 17:00:00+00:00,44.34,44.56,44.34,44.55,12466.0,476.0,44.436394
GBX,2023-07-25 18:00:00+00:00,44.54,44.66,44.46,44.49,14021.0,602.0,44.57686
GBX,2023-07-25 19:00:00+00:00,44.46,44.5,44.285,44.38,42927.0,1305.0,44.377703
GBX,2023-07-25 20:00:00+00:00,44.36,44.36,44.36,44.36,51592.0,20.0,44.36
GBX,2023-07-25 22:00:00+00:00,44.4,44.4,44.4,44.4,200.0,1.0,44.4
GBX,2023-07-26 13:00:00+00:00,44.41,45.1,44.41,44.79,22368.0,296.0,44.870868
GBX,2023-07-26 14:00:00+00:00,44.62,44.88,44.54,44.75,13050.0,482.0,44.682285
GBX,2023-07-26 15:00:00+00:00,44.695,44.85,44.605,44.77,14458.0,552.0,44.743106
GBX,2023-07-26 16:00:00+00:00,44.7,44.7,44.56,44.59,8095.0,325.0,44.628289
GBX,2023-07-26 17:00:00+00:00,44.63,44.75,44.55,44.74,11859.0,425.0,44.662224
GBX,2023-07-26 18:00:00+00:00,44.73,45.37,44.73,45.37,37467.0,1160.0,45.116287
GBX,2023-07-26 19:00:00+00:00,45.35,45.37,45.1,45.1,55070.0,1909.0,45.207705
GBX,2023-07-26 20:00:00+00:00,45.11,45.11,45.11,45.11,33238.0,10.0,45.11
GBX,2023-07-27 13:00:00+00:00,45.2,45.5,45.105,45.105,4150.0,64.0,45.251896
GBX,2023-07-27 14:00:00+00:00,45.2,45.43,45.1164,45.1164,18028.0,611.0,45.269172
GBX,2023-07-27 15:00:00+00:00,45.1,45.115,44.63,44.83,15238.0,510.0,44.816134
GBX,2023-07-27 16:00:00+00:00,44.84,45.16,44.8104,45.08,4867.0,232.0,44.994489
GBX,2023-07-27 17:00:00+00:00,45.17,45.17,44.83,44.98,9882.0,383.0,44.986004
GBX,2023-07-27 18:00:00+00:00,45.029,45.04,44.735,44.74,11609.0,390.0,44.920082
