symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GGB,2023-07-17 12:00:00+00:00,5.61,5.61,5.61,5.61,1102.0,6.0,5.609982
GGB,2023-07-17 13:00:00+00:00,5.56,5.57,5.46,5.54,806084.0,1241.0,5.518851
GGB,2023-07-17 14:00:00+00:00,5.535,5.57,5.52,5.565,720605.0,1446.0,5.545178
GGB,2023-07-17 15:00:00+00:00,5.57,5.6,5.5514,5.6,298811.0,855.0,5.581008
GGB,2023-07-17 16:00:00+00:00,5.6,5.65,5.59,5.635,401290.0,972.0,5.623939
GGB,2023-07-17 17:00:00+00:00,5.635,5.67,5.62,5.665,404320.0,845.0,5.641343
GGB,2023-07-17 18:00:00+00:00,5.67,5.67,5.65,5.655,313601.0,842.0,5.658787
GGB,2023-07-17 19:00:00+00:00,5.655,5.67,5.64,5.66,645796.0,1684.0,5.656367
GGB,2023-07-17 20:00:00+00:00,5.66,5.66,5.66,5.66,129408.0,13.0,5.66
GGB,2023-07-18 13:00:00+00:00,5.64,5.73,5.62,5.725,332116.0,821.0,5.682856
GGB,2023-07-18 14:00:00+00:00,5.73,5.75,5.7,5.72,758346.0,1696.0,5.719026
GGB,2023-07-18 15:00:00+00:00,5.725,5.735,5.7,5.71,425538.0,1113.0,5.717996
GGB,2023-07-18 16:00:00+00:00,5.715,5.715,5.65,5.65,397170.0,1135.0,5.674021
GGB,2023-07-18 17:00:00+00:00,5.65,5.68,5.645,5.67,335196.0,945.0,5.656385
GGB,2023-07-18 18:00:00+00:00,5.67,5.69,5.67,5.68,412295.0,973.0,5.67722
GGB,2023-07-18 19:00:00+00:00,5.68,5.7099,5.67,5.69,1128471.0,3060.0,5.693654
GGB,2023-07-18 20:00:00+00:00,5.69,5.74,5.69,5.69,103897.0,12.0,5.690962
GGB,2023-07-19 13:00:00+00:00,5.68,5.72,5.64,5.675,429897.0,921.0,5.688845
GGB,2023-07-19 14:00:00+00:00,5.675,5.68,5.59,5.6189,890625.0,1604.0,5.62097
GGB,2023-07-19 15:00:00+00:00,5.615,5.63,5.6,5.6,987578.0,1852.0,5.612902
GGB,2023-07-19 16:00:00+00:00,5.6094,5.63,5.6,5.625,527705.0,1242.0,5.614729
GGB,2023-07-19 17:00:00+00:00,5.625,5.64,5.62,5.635,150508.0,702.0,5.629772
GGB,2023-07-19 18:00:00+00:00,5.64,5.68,5.6301,5.675,626977.0,1650.0,5.654892
GGB,2023-07-19 19:00:00+00:00,5.675,5.69,5.67,5.68,459693.0,2350.0,5.677489
GGB,2023-07-19 20:00:00+00:00,5.68,5.68,5.67,5.67,214467.0,8.0,5.679907
GGB,2023-07-20 13:00:00+00:00,5.67,5.81,5.67,5.795,543991.0,1337.0,5.764538
GGB,2023-07-20 14:00:00+00:00,5.8,5.8099,5.71,5.74,1007916.0,2598.0,5.753133
GGB,2023-07-20 15:00:00+00:00,5.74,5.75,5.7,5.71,410450.0,975.0,5.725418
GGB,2023-07-20 16:00:00+00:00,5.71,5.73,5.71,5.7117,165230.0,761.0,5.722645
GGB,2023-07-20 17:00:00+00:00,5.71,5.73,5.71,5.72,174773.0,785.0,5.71755
GGB,2023-07-20 18:00:00+00:00,5.715,5.735,5.71,5.72,493691.0,1452.0,5.724289
GGB,2023-07-20 19:00:00+00:00,5.72,5.73,5.7,5.7,708030.0,2496.0,5.712332
GGB,2023-07-20 20:00:00+00:00,5.71,5.71,5.71,5.71,75334.0,10.0,5.71
GGB,2023-07-21 12:00:00+00:00,5.73,5.73,5.69,5.69,3550.0,6.0,5.709025
GGB,2023-07-21 13:00:00+00:00,5.69,5.7,5.6125,5.66,436168.0,973.0,5.638244
GGB,2023-07-21 14:00:00+00:00,5.66,5.67,5.61,5.62,872123.0,1820.0,5.63658
GGB,2023-07-21 15:00:00+00:00,5.62,5.66,5.62,5.66,498472.0,1605.0,5.642847
GGB,2023-07-21 16:00:00+00:00,5.66,5.67,5.64,5.665,463259.0,1184.0,5.65293
GGB,2023-07-21 17:00:00+00:00,5.665,5.6719,5.65,5.6719,330773.0,1308.0,5.661921
GGB,2023-07-21 18:00:00+00:00,5.68,5.69,5.66,5.67,493914.0,1256.0,5.674433
GGB,2023-07-21 19:00:00+00:00,5.675,5.68,5.66,5.67,1076842.0,2491.0,5.66925
GGB,2023-07-21 20:00:00+00:00,5.66,5.66,5.66,5.66,107403.0,4.0,5.66
GGB,2023-07-24 13:00:00+00:00,5.74,5.79,5.705,5.78,649829.0,1028.0,5.741695
GGB,2023-07-24 14:00:00+00:00,5.785,5.91,5.7539,5.88,1532674.0,2655.0,5.818685
GGB,2023-07-24 15:00:00+00:00,5.8801,5.92,5.87,5.92,825179.0,1951.0,5.903019
GGB,2023-07-24 16:00:00+00:00,5.92,5.92,5.88,5.89,631443.0,1729.0,5.899353
GGB,2023-07-24 17:00:00+00:00,5.89,5.91,5.88,5.895,1110019.0,1577.0,5.892251
GGB,2023-07-24 18:00:00+00:00,5.895,5.915,5.88,5.89,725546.0,1790.0,5.897646
GGB,2023-07-24 19:00:00+00:00,5.89,5.9,5.88,5.9,1573266.0,4901.0,5.891278
GGB,2023-07-24 20:00:00+00:00,5.9,5.9,5.9,5.9,122087.0,6.0,5.9
GGB,2023-07-24 23:00:00+00:00,5.9,5.9,5.9,5.9,100.0,1.0,5.9
GGB,2023-07-25 12:00:00+00:00,5.9,5.95,5.9,5.94,22207.0,13.0,5.937158
GGB,2023-07-25 13:00:00+00:00,5.94,6.0778,5.94,6.065,1878822.0,2656.0,6.052144
GGB,2023-07-25 14:00:00+00:00,6.065,6.14,6.06,6.1,2222008.0,3118.0,6.089987
GGB,2023-07-25 15:00:00+00:00,6.105,6.11,6.08,6.08,1087904.0,2438.0,6.09412
GGB,2023-07-25 16:00:00+00:00,6.08,6.1,6.07,6.075,2001018.0,2351.0,6.07982
GGB,2023-07-25 17:00:00+00:00,6.075,6.12,6.0701,6.11,571925.0,1419.0,6.101
GGB,2023-07-25 18:00:00+00:00,6.11,6.13,6.1001,6.115,860513.0,1988.0,6.113853
GGB,2023-07-25 19:00:00+00:00,6.115,6.13,6.06,6.06,2141498.0,4136.0,6.096124
GGB,2023-07-25 20:00:00+00:00,6.07,6.07,6.07,6.07,204565.0,7.0,6.07
GGB,2023-07-25 21:00:00+00:00,5.9103,5.9103,5.9103,5.9103,268.0,2.0,5.910194
GGB,2023-07-26 13:00:00+00:00,6.08,6.155,6.07,6.1294,778994.0,1796.0,6.120122
GGB,2023-07-26 14:00:00+00:00,6.13,6.13,6.08,6.09,1008937.0,2374.0,6.102024
GGB,2023-07-26 15:00:00+00:00,6.09,6.09,6.0501,6.07,726212.0,1609.0,6.06869
GGB,2023-07-26 16:00:00+00:00,6.07,6.09,6.05,6.075,625764.0,1552.0,6.07021
GGB,2023-07-26 17:00:00+00:00,6.08,6.08,6.055,6.06,488307.0,1566.0,6.065126
GGB,2023-07-26 18:00:00+00:00,6.07,6.15,6.065,6.12,869538.0,2085.0,6.105295
GGB,2023-07-26 19:00:00+00:00,6.11,6.14,6.095,6.115,1721574.0,4399.0,6.121013
GGB,2023-07-26 20:00:00+00:00,6.11,6.1118,6.11,6.1118,150945.0,4.0,6.110003
GGB,2023-07-26 21:00:00+00:00,6.17,6.17,6.1685,6.1685,820.0,2.0,6.16925
GGB,2023-07-27 12:00:00+00:00,6.14,6.14,6.14,6.14,100.0,1.0,6.14
GGB,2023-07-27 13:00:00+00:00,6.1,6.1,5.9788,6.015,760822.0,1557.0,6.001792
GGB,2023-07-27 14:00:00+00:00,6.015,6.02,5.98,6.005,610857.0,1448.0,6.003298
GGB,2023-07-27 15:00:00+00:00,6.01,6.04,6.0099,6.04,657859.0,2372.0,6.024619
GGB,2023-07-27 16:00:00+00:00,6.04,6.05,6.02,6.035,856622.0,2663.0,6.033326
GGB,2023-07-27 17:00:00+00:00,6.035,6.035,6.01,6.025,556276.0,1687.0,6.022263
GGB,2023-07-27 18:00:00+00:00,6.0201,6.025,5.9701,5.98,477062.0,1548.0,5.99476
GGB,2023-07-27 19:00:00+00:00,5.98,5.9951,5.96,5.97,1129418.0,2906.0,5.973155
GGB,2023-07-27 20:00:00+00:00,5.97,5.98,5.97,5.98,161281.0,7.0,5.970015
GGB,2023-07-28 12:00:00+00:00,6.1,6.1,6.1,6.1,908.0,2.0,6.099912
GGB,2023-07-28 13:00:00+00:00,6.02,6.03,5.87,5.96,516742.0,1137.0,5.919402
GGB,2023-07-28 14:00:00+00:00,5.96,6.015,5.94,5.95,795357.0,2047.0,5.971563
GGB,2023-07-28 15:00:00+00:00,5.955,5.97,5.95,5.96,363876.0,1431.0,5.957886
GGB,2023-07-28 16:00:00+00:00,5.955,5.96,5.94,5.955,294589.0,1130.0,5.94959
GGB,2023-07-28 17:00:00+00:00,5.955,5.96,5.92,5.95,502940.0,1370.0,5.938718
GGB,2023-07-28 18:00:00+00:00,5.95,5.96,5.95,5.955,292080.0,999.0,5.953184
GGB,2023-07-28 19:00:00+00:00,5.955,5.96,5.95,5.96,1393884.0,3470.0,5.955992
GGB,2023-07-28 20:00:00+00:00,5.96,5.96,5.96,5.96,164981.0,7.0,5.96
GGB,2023-07-28 22:00:00+00:00,5.96,5.96,5.96,5.96,10.0,1.0,5.98
GGB,2023-07-31 12:00:00+00:00,5.99,5.99,5.99,5.99,400.0,1.0,5.99
GGB,2023-07-31 13:00:00+00:00,6.02,6.0985,6.0098,6.075,342443.0,939.0,6.059808
GGB,2023-07-31 14:00:00+00:00,6.072,6.09,6.05,6.065,610735.0,1603.0,6.07081
GGB,2023-07-31 15:00:00+00:00,6.06,6.1,6.0521,6.095,482745.0,1164.0,6.081193
GGB,2023-07-31 16:00:00+00:00,6.09,6.13,6.09,6.12,453410.0,1083.0,6.108603
GGB,2023-07-31 17:00:00+00:00,6.125,6.13,6.09,6.12,944337.0,1706.0,6.117247
GGB,2023-07-31 18:00:00+00:00,6.125,6.15,6.1101,6.135,943097.0,1889.0,6.135231
GGB,2023-07-31 19:00:00+00:00,6.135,6.16,6.125,6.155,1349923.0,2926.0,6.146345
GGB,2023-07-31 20:00:00+00:00,6.15,6.16,6.15,6.16,312573.0,8.0,6.150015
GGB,2023-07-31 21:00:00+00:00,6.16,6.16,6.16,6.16,200.0,1.0,6.16
GGB,2023-08-01 12:00:00+00:00,6.13,6.13,6.1181,6.12,500.0,3.0,6.12086
GGB,2023-08-01 13:00:00+00:00,6.12,6.12,6.035,6.09,1468934.0,3086.0,6.070809
GGB,2023-08-01 14:00:00+00:00,6.09,6.115,6.065,6.0799,534498.0,1067.0,6.087177
GGB,2023-08-01 15:00:00+00:00,6.08,6.085,6.05,6.055,714164.0,1269.0,6.065775
GGB,2023-08-01 16:00:00+00:00,6.055,6.06,6.035,6.05,276420.0,674.0,6.048112
GGB,2023-08-01 17:00:00+00:00,6.05,6.06,6.04,6.055,350294.0,684.0,6.050717
GGB,2023-08-01 18:00:00+00:00,6.055,6.06,6.04,6.055,345175.0,997.0,6.049872
GGB,2023-08-01 19:00:00+00:00,6.055,6.06,6.04,6.05,614086.0,1821.0,6.050968
GGB,2023-08-01 20:00:00+00:00,6.04,6.04,6.04,6.04,163809.0,6.0,6.04
GGB,2023-08-02 12:00:00+00:00,5.85,5.85,5.85,5.85,302.0,3.0,5.850993
GGB,2023-08-02 13:00:00+00:00,6.0,6.01,5.9331,5.935,276587.0,675.0,5.969084
GGB,2023-08-02 14:00:00+00:00,5.935,5.94,5.87,5.875,852721.0,1749.0,5.913405
GGB,2023-08-02 15:00:00+00:00,5.88,5.93,5.8719,5.905,628598.0,1712.0,5.902431
GGB,2023-08-02 16:00:00+00:00,5.905,5.94,5.89,5.935,358750.0,1098.0,5.906586
GGB,2023-08-02 17:00:00+00:00,5.94,5.96,5.93,5.935,228560.0,731.0,5.946986
GGB,2023-08-02 18:00:00+00:00,5.9325,5.97,5.9325,5.9518,768484.0,1644.0,5.953935
GGB,2023-08-02 19:00:00+00:00,5.955,5.97,5.92,5.92,1216741.0,2491.0,5.945307
GGB,2023-08-02 20:00:00+00:00,5.93,5.93,5.93,5.93,102487.0,4.0,5.93
GGB,2023-08-02 21:00:00+00:00,5.94,5.94,5.94,5.94,5620.0,1.0,5.94
GGB,2023-08-03 13:00:00+00:00,5.89,5.945,5.83,5.83,669504.0,1338.0,5.88609
GGB,2023-08-03 14:00:00+00:00,5.825,5.84,5.765,5.7999,2045164.0,2282.0,5.798948
GGB,2023-08-03 15:00:00+00:00,5.7991,5.87,5.795,5.825,1865555.0,1712.0,5.837338
GGB,2023-08-03 16:00:00+00:00,5.825,5.84,5.81,5.83,1843214.0,1448.0,5.824161
GGB,2023-08-03 17:00:00+00:00,5.83,5.845,5.815,5.8201,1508624.0,1540.0,5.831004
GGB,2023-08-03 18:00:00+00:00,5.825,5.835,5.81,5.81,1686413.0,1491.0,5.823001
GGB,2023-08-03 19:00:00+00:00,5.815,5.815,5.73,5.74,2714736.0,3077.0,5.768368
GGB,2023-08-03 20:00:00+00:00,5.74,5.74,5.72,5.72,329745.0,8.0,5.739983
GGB,2023-08-03 21:00:00+00:00,5.73,5.73,5.73,5.73,350.0,1.0,5.73
GGB,2023-08-04 12:00:00+00:00,5.71,5.72,5.71,5.72,7994.0,12.0,5.711253
GGB,2023-08-04 13:00:00+00:00,5.79,5.885,5.77,5.825,1212548.0,1362.0,5.853657
GGB,2023-08-04 14:00:00+00:00,5.825,5.875,5.815,5.8518,3856041.0,4325.0,5.848188
GGB,2023-08-04 15:00:00+00:00,5.85,5.87,5.84,5.84,1899152.0,1759.0,5.855386
GGB,2023-08-04 16:00:00+00:00,5.84,5.9,5.83,5.89,834691.0,1575.0,5.865353
GGB,2023-08-04 17:00:00+00:00,5.89,5.895,5.84,5.8594,1206363.0,1708.0,5.865668
GGB,2023-08-04 18:00:00+00:00,5.855,5.855,5.765,5.775,3884469.0,3071.0,5.795981
GGB,2023-08-04 19:00:00+00:00,5.77,5.775,5.71,5.72,4261995.0,4421.0,5.744079
GGB,2023-08-04 20:00:00+00:00,5.73,5.73,5.73,5.73,124517.0,7.0,5.73
GGB,2023-08-07 12:00:00+00:00,5.78,5.78,5.77,5.77,4700.0,6.0,5.773617
GGB,2023-08-07 13:00:00+00:00,5.77,5.77,5.555,5.615,1520331.0,2625.0,5.608714
GGB,2023-08-07 14:00:00+00:00,5.61,5.615,5.57,5.575,2125986.0,3531.0,5.600706
GGB,2023-08-07 15:00:00+00:00,5.57,5.62,5.57,5.605,1537920.0,2873.0,5.602171
GGB,2023-08-07 16:00:00+00:00,5.6,5.62,5.59,5.605,1618215.0,2294.0,5.604657
GGB,2023-08-07 17:00:00+00:00,5.605,5.63,5.6,5.615,4199445.0,4540.0,5.617202
GGB,2023-08-07 18:00:00+00:00,5.615,5.63,5.595,5.61,2383350.0,2857.0,5.610027
GGB,2023-08-07 19:00:00+00:00,5.61,5.61,5.59,5.6075,2321406.0,8559.0,5.605061
GGB,2023-08-07 20:00:00+00:00,5.6,5.6,5.6,5.6,167773.0,6.0,5.6
GGB,2023-08-08 11:00:00+00:00,5.56,5.57,5.55,5.57,1676.0,7.0,5.56463
GGB,2023-08-08 12:00:00+00:00,5.59,5.59,5.53,5.53,17444.0,12.0,5.56848
GGB,2023-08-08 13:00:00+00:00,5.53,5.54,5.42,5.45,1712490.0,2674.0,5.454387
GGB,2023-08-08 14:00:00+00:00,5.4499,5.46,5.41,5.435,2174441.0,3707.0,5.439487
GGB,2023-08-08 15:00:00+00:00,5.435,5.49,5.435,5.475,1558996.0,2228.0,5.459903
GGB,2023-08-08 16:00:00+00:00,5.4736,5.49,5.46,5.465,1901128.0,2223.0,5.473233
GGB,2023-08-08 17:00:00+00:00,5.465,5.5,5.46,5.48,3416690.0,2506.0,5.472925
GGB,2023-08-08 18:00:00+00:00,5.485,5.49,5.4624,5.47,993646.0,2157.0,5.475682
GGB,2023-08-08 19:00:00+00:00,5.465,5.47,5.43,5.45,3117668.0,5918.0,5.446604
GGB,2023-08-08 20:00:00+00:00,5.45,5.45,5.44,5.44,215887.0,7.0,5.449569
GGB,2023-08-08 21:00:00+00:00,5.44,5.45,5.4,5.41,6506.0,20.0,5.416506
GGB,2023-08-08 22:00:00+00:00,5.45,5.5,5.45,5.5,3950.0,6.0,5.497843
GGB,2023-08-09 12:00:00+00:00,5.55,5.55,5.55,5.55,530.0,2.0,5.55
GGB,2023-08-09 13:00:00+00:00,5.45,5.45,5.31,5.3608,1405235.0,2540.0,5.343407
GGB,2023-08-09 14:00:00+00:00,5.36,5.375,5.28,5.2993,1805986.0,2930.0,5.325723
GGB,2023-08-09 15:00:00+00:00,5.295,5.31,5.255,5.255,1161025.0,2208.0,5.287503
GGB,2023-08-09 16:00:00+00:00,5.26,5.285,5.23,5.2499,1225736.0,2037.0,5.262115
GGB,2023-08-09 17:00:00+00:00,5.245,5.26,5.21,5.225,965123.0,1867.0,5.229423
GGB,2023-08-09 18:00:00+00:00,5.23,5.24,5.22,5.2275,1237420.0,2771.0,5.229936
GGB,2023-08-09 19:00:00+00:00,5.225,5.25,5.22,5.22,2274387.0,4625.0,5.234758
GGB,2023-08-09 20:00:00+00:00,5.22,5.29,5.22,5.22,287756.0,14.0,5.220045
GGB,2023-08-09 21:00:00+00:00,5.28,5.28,5.28,5.28,34954.0,1.0,5.28
GGB,2023-08-10 12:00:00+00:00,5.29,5.29,5.29,5.29,200.0,2.0,5.29
GGB,2023-08-10 13:00:00+00:00,5.29,5.34,5.275,5.335,859811.0,1636.0,5.303849
GGB,2023-08-10 14:00:00+00:00,5.335,5.35,5.26,5.275,1298463.0,3031.0,5.305925
GGB,2023-08-10 15:00:00+00:00,5.2725,5.28,5.26,5.275,522565.0,1998.0,5.274425
GGB,2023-08-10 16:00:00+00:00,5.275,5.2999,5.25,5.28,1904607.0,2106.0,5.275944
GGB,2023-08-10 17:00:00+00:00,5.285,5.3275,5.285,5.295,1515917.0,2514.0,5.308599
GGB,2023-08-10 18:00:00+00:00,5.295,5.3,5.28,5.2884,682483.0,2602.0,5.289808
GGB,2023-08-10 19:00:00+00:00,5.285,5.29,5.25,5.269,1787345.0,5537.0,5.263625
GGB,2023-08-10 20:00:00+00:00,5.26,5.26,5.26,5.26,252125.0,4.0,5.26
GGB,2023-08-11 12:00:00+00:00,5.3833,5.3833,5.38,5.38,250.0,2.0,5.38198
GGB,2023-08-11 13:00:00+00:00,5.27,5.28,5.225,5.235,470534.0,1595.0,5.248834
GGB,2023-08-11 14:00:00+00:00,5.235,5.27,5.23,5.255,971153.0,2494.0,5.250649
GGB,2023-08-11 15:00:00+00:00,5.255,5.26,5.21,5.23,518785.0,1515.0,5.230598
GGB,2023-08-11 16:00:00+00:00,5.23,5.255,5.215,5.22,1801162.0,2584.0,5.233428
GGB,2023-08-11 17:00:00+00:00,5.22,5.225,5.17,5.17,1266867.0,2753.0,5.199417
GGB,2023-08-11 18:00:00+00:00,5.175,5.19,5.16,5.175,1125228.0,2580.0,5.174018
GGB,2023-08-11 19:00:00+00:00,5.17,5.2,5.17,5.175,2071312.0,4523.0,5.183508
GGB,2023-08-11 20:00:00+00:00,5.1725,5.18,5.1725,5.18,217122.0,6.0,5.179994
GGB,2023-08-11 21:00:00+00:00,5.18,5.18,5.18,5.18,178.0,1.0,5.18
GGB,2023-08-14 11:00:00+00:00,5.28,5.28,5.28,5.28,100.0,1.0,5.28
GGB,2023-08-14 12:00:00+00:00,5.28,5.28,5.19,5.19,1501.0,6.0,5.215976
GGB,2023-08-14 13:00:00+00:00,5.18,5.22,5.1,5.11,852113.0,1935.0,5.137218
GGB,2023-08-14 14:00:00+00:00,5.11,5.14,5.105,5.13,933329.0,2168.0,5.126348
GGB,2023-08-14 15:00:00+00:00,5.125,5.15,5.115,5.14,740028.0,1541.0,5.132763
GGB,2023-08-14 16:00:00+00:00,5.145,5.18,5.14,5.17,1756590.0,2679.0,5.159745
GGB,2023-08-14 17:00:00+00:00,5.165,5.19,5.14,5.148,861114.0,2127.0,5.162895
GGB,2023-08-14 18:00:00+00:00,5.1401,5.17,5.13,5.1675,2099431.0,2413.0,5.148142
GGB,2023-08-14 19:00:00+00:00,5.16,5.18,5.15,5.18,3112485.0,3950.0,5.165974
GGB,2023-08-14 20:00:00+00:00,5.18,5.18,5.1792,5.1792,175100.0,7.0,5.18
GGB,2023-08-14 23:00:00+00:00,5.18,5.18,5.18,5.18,100.0,1.0,5.18
GGB,2023-08-15 13:00:00+00:00,5.18,5.19,5.115,5.175,755030.0,1299.0,5.145419
GGB,2023-08-15 14:00:00+00:00,5.17,5.18,5.125,5.125,1935085.0,2647.0,5.145914
GGB,2023-08-15 15:00:00+00:00,5.125,5.15,5.125,5.14,772701.0,1462.0,5.137887
GGB,2023-08-15 16:00:00+00:00,5.145,5.15,5.122,5.14,1315661.0,1944.0,5.136107
GGB,2023-08-15 17:00:00+00:00,5.139,5.16,5.13,5.14,851862.0,1497.0,5.143067
GGB,2023-08-15 18:00:00+00:00,5.14,5.15,5.13,5.135,592324.0,1684.0,5.139757
GGB,2023-08-15 19:00:00+00:00,5.1389,5.1475,5.11,5.125,2616976.0,4743.0,5.125987
GGB,2023-08-15 20:00:00+00:00,5.13,5.14,5.13,5.14,87305.0,4.0,5.130115
GGB,2023-08-15 21:00:00+00:00,5.15,5.15,5.15,5.15,1000.0,2.0,5.15
GGB,2023-08-16 13:00:00+00:00,5.15,5.185,5.12,5.16,481981.0,1026.0,5.152208
GGB,2023-08-16 14:00:00+00:00,5.16,5.235,5.155,5.215,1611078.0,3235.0,5.213155
GGB,2023-08-16 15:00:00+00:00,5.215,5.23,5.19,5.205,1837914.0,3751.0,5.212678
GGB,2023-08-16 16:00:00+00:00,5.205,5.21,5.13,5.15,2871556.0,4959.0,5.159475
GGB,2023-08-16 17:00:00+00:00,5.15,5.17,5.1225,5.165,1208196.0,2538.0,5.142638
GGB,2023-08-16 18:00:00+00:00,5.16,5.17,5.13,5.135,1226744.0,2309.0,5.149791
GGB,2023-08-16 19:00:00+00:00,5.135,5.15,5.12,5.125,2023600.0,4289.0,5.129143
GGB,2023-08-16 20:00:00+00:00,5.12,5.15,5.12,5.12,291055.0,8.0,5.120045
GGB,2023-08-16 21:00:00+00:00,5.15,5.15,5.15,5.15,2525.0,3.0,5.15
GGB,2023-08-16 23:00:00+00:00,5.11,5.11,5.11,5.11,409.0,3.0,5.11
GGB,2023-08-17 13:00:00+00:00,5.21,5.22,5.16,5.165,351955.0,976.0,5.200046
GGB,2023-08-17 14:00:00+00:00,5.1607,5.185,5.13,5.145,749459.0,1868.0,5.157874
GGB,2023-08-17 15:00:00+00:00,5.145,5.1699,5.13,5.145,615745.0,1622.0,5.149321
GGB,2023-08-17 16:00:00+00:00,5.15,5.16,5.14,5.145,413773.0,1357.0,5.151206
GGB,2023-08-17 17:00:00+00:00,5.1491,5.15,5.12,5.13,402922.0,864.0,5.137359
GGB,2023-08-17 18:00:00+00:00,5.13,5.135,5.09,5.09,1042446.0,1477.0,5.114723
GGB,2023-08-17 19:00:00+00:00,5.09,5.1,5.08,5.09,1036064.0,3405.0,5.096279
GGB,2023-08-17 20:00:00+00:00,5.1,5.1,5.1,5.1,124340.0,5.0,5.1
GGB,2023-08-17 21:00:00+00:00,5.08,5.08,5.08,5.08,124.0,1.0,5.08
GGB,2023-08-18 11:00:00+00:00,5.1,5.1,5.1,5.1,150.0,4.0,5.1
GGB,2023-08-18 12:00:00+00:00,5.07,5.07,5.07,5.07,500.0,1.0,5.07
GGB,2023-08-18 13:00:00+00:00,5.09,5.11,5.02,5.075,891494.0,1609.0,5.045682
GGB,2023-08-18 14:00:00+00:00,5.0752,5.1,5.065,5.08,918099.0,2354.0,5.080272
GGB,2023-08-18 15:00:00+00:00,5.08,5.1,5.07,5.08,612885.0,1464.0,5.087194
GGB,2023-08-18 16:00:00+00:00,5.08,5.11,5.08,5.105,291188.0,1040.0,5.092543
GGB,2023-08-18 17:00:00+00:00,5.101,5.11,5.095,5.105,576228.0,1372.0,5.102128
