symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GLOF,2023-07-17 16:00:00+00:00,36.12,36.15,36.1185,36.15,1000.0,4.0,36.14385
GLOF,2023-07-17 17:00:00+00:00,36.16,36.17,36.12,36.12,2950.0,17.0,36.162203
GLOF,2023-07-17 18:00:00+00:00,36.17,36.17,36.1487,36.1487,910.0,2.0,36.15935
GLOF,2023-07-18 14:00:00+00:00,36.29,36.29,36.29,36.29,1060.0,7.0,36.29
GLOF,2023-07-18 15:00:00+00:00,36.28,36.28,36.28,36.28,528.0,1.0,36.28
GLOF,2023-07-18 17:00:00+00:00,36.329,36.3335,36.329,36.3335,659.0,3.0,36.331617
GLOF,2023-07-18 18:00:00+00:00,36.34,36.34,36.34,36.34,100.0,1.0,36.34
GLOF,2023-07-18 19:00:00+00:00,36.4,36.4,36.365,36.365,1839.0,13.0,36.389689
GLOF,2023-07-19 13:00:00+00:00,36.39,36.47,36.39,36.46,4225.0,8.0,36.398554
GLOF,2023-07-19 15:00:00+00:00,36.4499,36.4499,36.4499,36.4499,266.0,1.0,36.4499
GLOF,2023-07-19 16:00:00+00:00,36.38,36.38,36.38,36.38,100.0,1.0,36.38
GLOF,2023-07-19 17:00:00+00:00,36.38,36.3807,36.36,36.3807,1962.0,3.0,36.365788
GLOF,2023-07-19 18:00:00+00:00,36.3662,36.39,36.35,36.39,2973.0,24.0,36.383031
GLOF,2023-07-19 19:00:00+00:00,36.43,36.43,36.39,36.405,4936.0,18.0,36.423769
GLOF,2023-07-20 17:00:00+00:00,36.2248,36.2248,36.2248,36.2248,327.0,1.0,36.2248
GLOF,2023-07-20 18:00:00+00:00,36.2061,36.2061,36.12,36.14,1915.0,3.0,36.1377
GLOF,2023-07-20 19:00:00+00:00,36.13,36.15,36.13,36.15,414.0,7.0,36.141256
GLOF,2023-07-20 20:00:00+00:00,36.14,36.14,36.14,36.14,1786.0,1.0,36.14
GLOF,2023-07-21 13:00:00+00:00,36.3,36.3,36.3,36.3,150.0,1.0,36.3
GLOF,2023-07-21 14:00:00+00:00,36.19,36.19,36.19,36.19,773.0,8.0,36.19
GLOF,2023-07-21 15:00:00+00:00,36.29,36.3,36.25,36.27,11981.0,81.0,36.292554
GLOF,2023-07-21 16:00:00+00:00,36.254,36.254,36.23,36.24,776.0,4.0,36.24917
GLOF,2023-07-21 17:00:00+00:00,36.25,36.2903,36.25,36.2903,1044.0,9.0,36.282933
GLOF,2023-07-21 18:00:00+00:00,36.2373,36.28,36.2239,36.2239,991.0,4.0,36.244314
GLOF,2023-07-21 19:00:00+00:00,36.225,36.225,36.225,36.225,655.0,7.0,36.225
GLOF,2023-07-24 14:00:00+00:00,36.19,36.21,36.19,36.21,490.0,6.0,36.194367
GLOF,2023-07-24 15:00:00+00:00,36.325,36.3322,36.325,36.3322,374.0,2.0,36.327118
GLOF,2023-07-24 18:00:00+00:00,36.35,36.35,36.35,36.35,697.0,1.0,36.35
GLOF,2023-07-25 13:00:00+00:00,36.27,36.27,36.27,36.27,148.0,1.0,36.27
GLOF,2023-07-25 14:00:00+00:00,36.3584,36.3584,36.3584,36.3584,275.0,1.0,36.3584
GLOF,2023-07-25 15:00:00+00:00,36.3551,36.3551,36.3551,36.3551,400.0,1.0,36.3551
GLOF,2023-07-25 16:00:00+00:00,36.42,36.42,36.42,36.42,200.0,2.0,36.42
GLOF,2023-07-25 17:00:00+00:00,36.43,36.43,36.4259,36.4259,232.0,2.0,36.427667
GLOF,2023-07-25 18:00:00+00:00,36.44,36.44,36.44,36.44,100.0,1.0,36.44
GLOF,2023-07-25 19:00:00+00:00,36.43,36.4483,36.43,36.4483,579.0,2.0,36.445139
GLOF,2023-07-26 13:00:00+00:00,36.26,36.26,36.26,36.26,566.0,1.0,36.26
GLOF,2023-07-26 16:00:00+00:00,36.3799,36.3799,36.3799,36.3799,102.0,1.0,36.3799
GLOF,2023-07-26 17:00:00+00:00,36.324,36.324,36.324,36.324,120.0,2.0,36.32405
GLOF,2023-07-26 18:00:00+00:00,36.35,36.52,36.35,36.46,1475.0,7.0,36.465536
GLOF,2023-07-26 19:00:00+00:00,36.36,36.42,36.36,36.42,705.0,7.0,36.402908
GLOF,2023-07-27 13:00:00+00:00,36.65,36.65,36.62,36.65,3697.0,28.0,36.637971
GLOF,2023-07-27 14:00:00+00:00,36.56,36.5801,36.55,36.5801,1699.0,14.0,36.570593
GLOF,2023-07-27 15:00:00+00:00,36.57,36.57,36.57,36.57,100.0,1.0,36.57
GLOF,2023-07-27 16:00:00+00:00,36.6099,36.62,36.6099,36.62,959.0,4.0,36.610922
GLOF,2023-07-27 18:00:00+00:00,36.28,36.28,36.28,36.28,200.0,2.0,36.28
GLOF,2023-07-27 19:00:00+00:00,36.27,36.27,36.19,36.19,366.0,2.0,36.248142
GLOF,2023-07-28 13:00:00+00:00,36.57,36.58,36.57,36.57,1500.0,18.0,36.570667
GLOF,2023-07-28 15:00:00+00:00,36.6,36.6,36.6,36.6,100.0,1.0,36.6
GLOF,2023-07-28 17:00:00+00:00,36.53,36.53,36.53,36.53,100.0,1.0,36.53
GLOF,2023-07-28 18:00:00+00:00,36.61,36.61,36.61,36.61,427.0,2.0,36.61
GLOF,2023-07-28 19:00:00+00:00,36.63,36.6599,36.58,36.58,1401.0,11.0,36.605298
GLOF,2023-07-31 19:00:00+00:00,36.6299,36.63,36.5601,36.63,3583.0,14.0,36.623785
GLOF,2023-08-01 13:00:00+00:00,36.5,36.5,36.48,36.5,2999.0,8.0,36.495225
GLOF,2023-08-01 14:00:00+00:00,36.42,36.42,36.42,36.42,770.0,7.0,36.42
GLOF,2023-08-01 16:00:00+00:00,36.38,36.38,36.38,36.38,100.0,1.0,36.38
GLOF,2023-08-01 17:00:00+00:00,36.41,36.41,36.395,36.395,438.0,2.0,36.400582
GLOF,2023-08-01 19:00:00+00:00,36.4734,36.4734,36.4734,36.4734,996.0,1.0,36.4734
GLOF,2023-08-02 14:00:00+00:00,35.88,35.88,35.88,35.88,200.0,1.0,35.88
GLOF,2023-08-02 15:00:00+00:00,35.85,35.85,35.81,35.84,1800.0,12.0,35.822778
GLOF,2023-08-02 16:00:00+00:00,35.8,35.8,35.8,35.8,100.0,1.0,35.8
GLOF,2023-08-02 18:00:00+00:00,35.85,35.8501,35.85,35.8501,450.0,3.0,35.850061
GLOF,2023-08-02 19:00:00+00:00,35.8026,35.8026,35.78,35.78,562.0,4.0,35.79814
GLOF,2023-08-03 13:00:00+00:00,35.62,35.62,35.62,35.62,748.0,1.0,35.62
GLOF,2023-08-03 14:00:00+00:00,35.73,35.73,35.7055,35.7055,774.0,6.0,35.720852
GLOF,2023-08-03 15:00:00+00:00,35.67,35.79,35.67,35.79,400.0,4.0,35.73
GLOF,2023-08-03 17:00:00+00:00,35.8305,35.865,35.8305,35.865,579.0,5.0,35.843849
GLOF,2023-08-03 18:00:00+00:00,35.81,35.81,35.81,35.81,296.0,1.0,35.81
GLOF,2023-08-04 13:00:00+00:00,35.91,35.91,35.91,35.91,956.0,1.0,35.91
GLOF,2023-08-04 14:00:00+00:00,35.81,35.97,35.81,35.97,200.0,2.0,35.89
GLOF,2023-08-04 15:00:00+00:00,35.99,36.01,35.99,36.01,201.0,3.0,36.00005
GLOF,2023-08-04 16:00:00+00:00,36.04,36.04,36.04,36.04,200.0,2.0,36.04
GLOF,2023-08-04 17:00:00+00:00,36.0401,36.0401,36.0401,36.0401,166.0,1.0,36.0401
GLOF,2023-08-04 18:00:00+00:00,35.85,35.85,35.85,35.85,250.0,1.0,35.85
GLOF,2023-08-04 19:00:00+00:00,35.6901,35.6901,35.66,35.66,800.0,4.0,35.667563
GLOF,2023-08-04 20:00:00+00:00,35.64,35.64,35.64,35.64,105.0,1.0,35.64
GLOF,2023-08-07 13:00:00+00:00,35.88,36.07,35.8,35.8,7788.0,23.0,35.876874
GLOF,2023-08-07 14:00:00+00:00,35.79,35.91,35.78,35.91,5100.0,35.0,35.869363
GLOF,2023-08-07 15:00:00+00:00,35.86,35.86,35.86,35.86,200.0,2.0,35.86
GLOF,2023-08-07 17:00:00+00:00,35.8734,35.892,35.8734,35.892,2435.0,6.0,35.882551
GLOF,2023-08-07 18:00:00+00:00,35.91,35.91,35.91,35.91,200.0,2.0,35.91
GLOF,2023-08-08 13:00:00+00:00,35.62,35.62,35.62,35.62,1325.0,2.0,35.62
GLOF,2023-08-08 14:00:00+00:00,35.5,35.51,35.5,35.51,200.0,2.0,35.505
GLOF,2023-08-08 16:00:00+00:00,35.545,35.55,35.545,35.55,200.0,2.0,35.5475
GLOF,2023-08-08 18:00:00+00:00,35.6899,35.75,35.6899,35.75,414.0,2.0,35.719369
GLOF,2023-08-08 19:00:00+00:00,35.74,35.74,35.73,35.74,450.0,5.0,35.736667
GLOF,2023-08-09 13:00:00+00:00,35.7909,35.7909,35.7909,35.7909,500.0,1.0,35.7909
GLOF,2023-08-09 15:00:00+00:00,35.61,35.61,35.61,35.61,100.0,1.0,35.61
GLOF,2023-08-09 16:00:00+00:00,35.57,35.62,35.57,35.62,389.0,4.0,35.585424
GLOF,2023-08-09 17:00:00+00:00,35.6325,35.73,35.6325,35.71,2273.0,8.0,35.711651
GLOF,2023-08-09 18:00:00+00:00,35.75,35.75,35.75,35.75,100.0,1.0,35.75
GLOF,2023-08-09 19:00:00+00:00,35.7599,35.7599,35.7599,35.7599,440.0,1.0,35.7599
GLOF,2023-08-10 14:00:00+00:00,35.92,35.92,35.92,35.92,100.0,1.0,35.92
GLOF,2023-08-10 15:00:00+00:00,35.88,35.88,35.78,35.78,402.0,5.0,35.847136
GLOF,2023-08-10 18:00:00+00:00,35.7414,35.7414,35.7414,35.7414,100.0,1.0,35.7414
GLOF,2023-08-10 19:00:00+00:00,35.65,35.65,35.65,35.65,200.0,2.0,35.65
GLOF,2023-08-11 13:00:00+00:00,35.44,35.5,35.39,35.489,2985.0,13.0,35.43464
GLOF,2023-08-11 15:00:00+00:00,35.51,35.51,35.495,35.495,208.0,2.0,35.502212
GLOF,2023-08-11 19:00:00+00:00,35.5,35.5,35.5,35.5,422.0,1.0,35.5
GLOF,2023-08-14 14:00:00+00:00,35.4474,35.5,35.438,35.5,1093.0,4.0,35.459893
GLOF,2023-08-14 19:00:00+00:00,35.55,35.55,35.55,35.55,100.0,1.0,35.55
GLOF,2023-08-15 13:00:00+00:00,35.4026,35.4026,35.4026,35.4026,521.0,1.0,35.4026
GLOF,2023-08-15 14:00:00+00:00,35.28,35.28,35.23,35.23,1323.0,2.0,35.264014
GLOF,2023-08-15 15:00:00+00:00,35.305,35.305,35.305,35.305,165.0,3.0,35.306397
GLOF,2023-08-15 16:00:00+00:00,35.28,35.28,35.25,35.25,794.0,4.0,35.26197
GLOF,2023-08-15 17:00:00+00:00,35.27,35.27,35.27,35.27,100.0,1.0,35.27
GLOF,2023-08-15 18:00:00+00:00,35.3,35.32,35.3,35.32,3244.0,10.0,35.315376
GLOF,2023-08-15 19:00:00+00:00,35.23,35.24,35.18,35.18,5126.0,23.0,35.225657
