symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GLPI,2023-07-17 12:00:00+00:00,48.55,48.55,48.55,48.55,100.0,1.0,48.55
GLPI,2023-07-17 13:00:00+00:00,48.39,48.65,48.33,48.58,34732.0,683.0,48.487409
GLPI,2023-07-17 14:00:00+00:00,48.58,48.65,48.43,48.59,52258.0,1320.0,48.53084
GLPI,2023-07-17 15:00:00+00:00,48.56,48.62,48.51,48.555,51619.0,1406.0,48.556638
GLPI,2023-07-17 16:00:00+00:00,48.56,48.67,48.51,48.54,51189.0,1222.0,48.589047
GLPI,2023-07-17 17:00:00+00:00,48.525,48.53,48.335,48.415,66546.0,1678.0,48.43372
GLPI,2023-07-17 18:00:00+00:00,48.415,48.415,48.225,48.32,60708.0,1765.0,48.299066
GLPI,2023-07-17 19:00:00+00:00,48.33,48.37,48.22,48.3,211924.0,4304.0,48.279989
GLPI,2023-07-17 20:00:00+00:00,48.31,48.31,48.31,48.31,105245.0,31.0,48.31
GLPI,2023-07-18 13:00:00+00:00,48.45,48.55,48.3,48.39,42151.0,842.0,48.441178
GLPI,2023-07-18 14:00:00+00:00,48.395,48.59,48.26,48.29,99257.0,1872.0,48.409071
GLPI,2023-07-18 15:00:00+00:00,48.28,48.32,48.04,48.105,65180.0,1427.0,48.185117
GLPI,2023-07-18 16:00:00+00:00,48.1,48.18,48.03,48.155,59533.0,1518.0,48.083145
GLPI,2023-07-18 17:00:00+00:00,48.155,48.175,48.05,48.09,49736.0,1110.0,48.106267
GLPI,2023-07-18 18:00:00+00:00,48.11,48.2043,48.1,48.18,59354.0,1782.0,48.150773
GLPI,2023-07-18 19:00:00+00:00,48.18,48.3,48.17,48.23,161822.0,3118.0,48.236929
GLPI,2023-07-18 20:00:00+00:00,48.23,48.5,48.23,48.5,165278.0,36.0,48.230204
GLPI,2023-07-18 21:00:00+00:00,48.15,48.15,48.15,48.15,105.0,2.0,48.15
GLPI,2023-07-18 23:00:00+00:00,47.99,47.99,47.99,47.99,132.0,2.0,47.990379
GLPI,2023-07-19 13:00:00+00:00,48.52,48.995,48.45,48.88,42407.0,832.0,48.791713
GLPI,2023-07-19 14:00:00+00:00,48.9,48.915,48.45,48.48,60813.0,1611.0,48.6965
GLPI,2023-07-19 15:00:00+00:00,48.5,48.66,48.42,48.64,45382.0,1252.0,48.537446
GLPI,2023-07-19 16:00:00+00:00,48.631,48.75,48.555,48.685,85908.0,1447.0,48.660766
GLPI,2023-07-19 17:00:00+00:00,48.685,48.7978,48.655,48.765,145983.0,1942.0,48.736228
GLPI,2023-07-19 18:00:00+00:00,48.765,48.78,48.65,48.715,130253.0,2109.0,48.712133
GLPI,2023-07-19 19:00:00+00:00,48.72,48.94,48.695,48.9,581089.0,7348.0,48.837817
GLPI,2023-07-19 20:00:00+00:00,48.9,48.9,48.9,48.9,252632.0,32.0,48.899999
GLPI,2023-07-20 13:00:00+00:00,48.85,48.87,48.47,48.84,50424.0,722.0,48.725264
GLPI,2023-07-20 14:00:00+00:00,48.855,48.9,48.72,48.76,73609.0,2140.0,48.80217
GLPI,2023-07-20 15:00:00+00:00,48.75,49.025,48.7,49.0232,81764.0,1930.0,48.809029
GLPI,2023-07-20 16:00:00+00:00,49.03,49.285,49.03,49.205,67550.0,1765.0,49.177253
GLPI,2023-07-20 17:00:00+00:00,49.2,49.31,49.16,49.31,66102.0,1773.0,49.232928
GLPI,2023-07-20 18:00:00+00:00,49.31,49.44,49.27,49.4,82036.0,2225.0,49.352475
GLPI,2023-07-20 19:00:00+00:00,49.405,49.435,49.225,49.4,227442.0,5126.0,49.347015
GLPI,2023-07-20 20:00:00+00:00,49.39,49.39,49.39,49.39,153390.0,17.0,49.39
GLPI,2023-07-21 13:00:00+00:00,49.56,49.65,49.29,49.5,36408.0,645.0,49.492904
GLPI,2023-07-21 14:00:00+00:00,49.485,49.76,49.355,49.74,76428.0,1662.0,49.568963
GLPI,2023-07-21 15:00:00+00:00,49.74,49.85,49.665,49.75,59018.0,1557.0,49.7344
GLPI,2023-07-21 16:00:00+00:00,49.75,49.76,49.655,49.675,67265.0,1250.0,49.708711
GLPI,2023-07-21 17:00:00+00:00,49.67,49.79,49.605,49.75,89338.0,1561.0,49.725544
GLPI,2023-07-21 18:00:00+00:00,49.745,49.89,49.71,49.86,63433.0,1449.0,49.776291
GLPI,2023-07-21 19:00:00+00:00,49.86,49.86,49.665,49.74,200366.0,4117.0,49.733856
GLPI,2023-07-21 20:00:00+00:00,49.73,49.73,49.73,49.73,177448.0,17.0,49.73
GLPI,2023-07-24 12:00:00+00:00,50.5935,50.5935,50.5935,50.5935,500.0,1.0,50.5935
GLPI,2023-07-24 13:00:00+00:00,49.79,50.06,49.745,49.745,24183.0,483.0,49.921533
GLPI,2023-07-24 14:00:00+00:00,49.76,49.79,49.36,49.45,62581.0,1696.0,49.544624
GLPI,2023-07-24 15:00:00+00:00,49.45,49.54,49.33,49.46,67665.0,1580.0,49.438504
GLPI,2023-07-24 16:00:00+00:00,49.475,49.51,49.37,49.41,61581.0,1623.0,49.410255
GLPI,2023-07-24 17:00:00+00:00,49.405,49.51,49.38,49.465,62281.0,1827.0,49.442589
GLPI,2023-07-24 18:00:00+00:00,49.47,49.53,49.42,49.501,59330.0,1792.0,49.479651
GLPI,2023-07-24 19:00:00+00:00,49.51,49.61,49.435,49.45,262207.0,4475.0,49.47561
GLPI,2023-07-24 20:00:00+00:00,49.46,49.46,49.46,49.46,143199.0,30.0,49.46
GLPI,2023-07-25 13:00:00+00:00,49.34,49.56,49.245,49.245,56397.0,1047.0,49.432346
GLPI,2023-07-25 14:00:00+00:00,49.26,49.47,49.1727,49.345,124389.0,2493.0,49.338195
GLPI,2023-07-25 15:00:00+00:00,49.35,49.365,49.23,49.28,69719.0,1674.0,49.28889
GLPI,2023-07-25 16:00:00+00:00,49.27,49.28,49.02,49.03,76985.0,1620.0,49.098836
GLPI,2023-07-25 17:00:00+00:00,49.04,49.06,48.85,48.975,207828.0,2511.0,48.968568
GLPI,2023-07-25 18:00:00+00:00,48.975,49.14,48.97,49.115,89933.0,2041.0,49.064327
GLPI,2023-07-25 19:00:00+00:00,49.12,49.16,48.935,49.08,310224.0,4802.0,49.067794
GLPI,2023-07-25 20:00:00+00:00,49.09,49.09,49.09,49.09,143785.0,26.0,49.09
GLPI,2023-07-26 13:00:00+00:00,49.11,49.34,48.98,48.98,40173.0,793.0,49.143596
GLPI,2023-07-26 14:00:00+00:00,49.01,49.18,48.98,49.16,71783.0,1461.0,49.045477
GLPI,2023-07-26 15:00:00+00:00,49.16,49.259,49.05,49.07,66287.0,1552.0,49.124651
GLPI,2023-07-26 16:00:00+00:00,49.08,49.23,49.01,49.12,62489.0,1221.0,49.132435
GLPI,2023-07-26 17:00:00+00:00,49.12,49.2,49.055,49.08,81859.0,1591.0,49.121292
GLPI,2023-07-26 18:00:00+00:00,49.08,49.335,49.06,49.33,116890.0,2291.0,49.19017
GLPI,2023-07-26 19:00:00+00:00,49.33,49.33,48.92,49.205,351342.0,5050.0,49.107465
GLPI,2023-07-26 20:00:00+00:00,49.21,49.21,49.21,49.21,115716.0,37.0,49.21
GLPI,2023-07-27 13:00:00+00:00,49.25,49.34,48.88,48.89,41034.0,805.0,49.133706
GLPI,2023-07-27 14:00:00+00:00,48.9,48.99,48.225,48.25,213751.0,3658.0,48.586628
GLPI,2023-07-27 15:00:00+00:00,48.27,48.455,47.99,48.455,286630.0,3824.0,48.184107
GLPI,2023-07-27 16:00:00+00:00,48.455,48.5,48.27,48.335,115681.0,2185.0,48.415319
GLPI,2023-07-27 17:00:00+00:00,48.34,48.42,48.11,48.17,90086.0,2108.0,48.239906
GLPI,2023-07-27 18:00:00+00:00,48.17,48.22,47.8,47.81,129507.0,2333.0,47.978269
GLPI,2023-07-27 19:00:00+00:00,47.81,48.06,47.8,47.97,271481.0,5054.0,47.947202
GLPI,2023-07-27 20:00:00+00:00,47.95,47.95,47.95,47.95,178403.0,34.0,47.949981
GLPI,2023-07-27 21:00:00+00:00,48.0,48.0,48.0,48.0,100.0,1.0,48.0
GLPI,2023-07-28 13:00:00+00:00,48.05,48.53,46.79,47.055,186131.0,2444.0,47.468645
GLPI,2023-07-28 14:00:00+00:00,47.08,47.55,46.99,47.21,247763.0,3935.0,47.231155
GLPI,2023-07-28 15:00:00+00:00,47.22,47.24,46.81,47.08,133763.0,3036.0,46.9602
GLPI,2023-07-28 16:00:00+00:00,47.07,47.13,46.67,47.13,166676.0,2445.0,46.84595
GLPI,2023-07-28 17:00:00+00:00,47.13,47.19,46.9,46.995,160348.0,2904.0,47.067336
GLPI,2023-07-28 18:00:00+00:00,46.99,47.4,46.99,47.25,145710.0,2382.0,47.180107
GLPI,2023-07-28 19:00:00+00:00,47.27,47.5,47.14,47.47,573244.0,7012.0,47.335943
