symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GRAB,2023-07-17 08:00:00+00:00,3.62,3.64,3.62,3.62,2177.0,23.0,3.624763
GRAB,2023-07-17 09:00:00+00:00,3.63,3.63,3.63,3.63,852.0,6.0,3.63
GRAB,2023-07-17 10:00:00+00:00,3.62,3.62,3.62,3.62,450.0,3.0,3.62
GRAB,2023-07-17 11:00:00+00:00,3.63,3.63,3.63,3.63,200.0,1.0,3.63
GRAB,2023-07-17 12:00:00+00:00,3.64,3.64,3.62,3.62,8127.0,26.0,3.626979
GRAB,2023-07-17 13:00:00+00:00,3.62,3.7,3.565,3.69,739176.0,1737.0,3.64953
GRAB,2023-07-17 14:00:00+00:00,3.685,3.77,3.675,3.77,10220771.0,4562.0,3.671926
GRAB,2023-07-17 15:00:00+00:00,3.76,3.77,3.66,3.7,2343321.0,4136.0,3.703077
GRAB,2023-07-17 16:00:00+00:00,3.695,3.72,3.66,3.675,1484139.0,2998.0,3.690029
GRAB,2023-07-17 17:00:00+00:00,3.675,3.7,3.66,3.67,2464569.0,4991.0,3.682654
GRAB,2023-07-17 18:00:00+00:00,3.66,3.68,3.65,3.67,990321.0,2413.0,3.665164
GRAB,2023-07-17 19:00:00+00:00,3.67,3.68,3.59,3.605,9229450.0,8973.0,3.611323
GRAB,2023-07-17 20:00:00+00:00,3.62,3.62,3.58,3.6094,880256.0,49.0,3.619678
GRAB,2023-07-17 21:00:00+00:00,3.61,3.61,3.61,3.61,1862.0,3.0,3.61
GRAB,2023-07-17 22:00:00+00:00,3.61,3.66,3.61,3.66,16191.0,22.0,3.65263
GRAB,2023-07-18 08:00:00+00:00,3.66,3.67,3.66,3.66,3888.0,26.0,3.661929
GRAB,2023-07-18 09:00:00+00:00,3.67,3.67,3.67,3.67,517.0,2.0,3.67
GRAB,2023-07-18 10:00:00+00:00,3.66,3.66,3.66,3.66,259.0,3.0,3.659228
GRAB,2023-07-18 11:00:00+00:00,3.62,3.63,3.62,3.63,2199.0,9.0,3.624548
GRAB,2023-07-18 12:00:00+00:00,3.63,3.64,3.58,3.63,12843.0,76.0,3.610003
GRAB,2023-07-18 13:00:00+00:00,3.6315,3.67,3.55,3.6,1787069.0,4215.0,3.590228
GRAB,2023-07-18 14:00:00+00:00,3.6,3.68,3.58,3.585,4811515.0,5114.0,3.613379
GRAB,2023-07-18 15:00:00+00:00,3.585,3.61,3.565,3.6088,2147552.0,3402.0,3.589306
GRAB,2023-07-18 16:00:00+00:00,3.61,3.61,3.53,3.535,18871028.0,5089.0,3.594151
GRAB,2023-07-18 17:00:00+00:00,3.5375,3.54,3.5,3.505,1713708.0,3506.0,3.521373
GRAB,2023-07-18 18:00:00+00:00,3.505,3.52,3.5,3.515,1770193.0,5900.0,3.510789
GRAB,2023-07-18 19:00:00+00:00,3.515,3.54,3.49,3.495,7918478.0,12602.0,3.511581
GRAB,2023-07-18 20:00:00+00:00,3.51,3.53,3.5,3.5285,1321446.0,69.0,3.510185
GRAB,2023-07-18 21:00:00+00:00,3.52,3.53,3.52,3.52,1882.0,27.0,3.527366
GRAB,2023-07-18 22:00:00+00:00,3.53,3.54,3.53,3.53,1200.0,3.0,3.530833
GRAB,2023-07-18 23:00:00+00:00,3.54,3.54,3.53,3.5307,6679.0,7.0,3.531056
GRAB,2023-07-19 08:00:00+00:00,3.53,3.56,3.53,3.56,5622.0,27.0,3.553719
GRAB,2023-07-19 09:00:00+00:00,3.56,3.56,3.55,3.55,4453.0,9.0,3.556611
GRAB,2023-07-19 10:00:00+00:00,3.54,3.55,3.53,3.55,3264.0,17.0,3.540918
GRAB,2023-07-19 11:00:00+00:00,3.54,3.56,3.54,3.54,9328.0,14.0,3.551164
GRAB,2023-07-19 12:00:00+00:00,3.56,3.59,3.53,3.59,38250.0,122.0,3.567994
GRAB,2023-07-19 13:00:00+00:00,3.59,3.62,3.52,3.605,2151322.0,4742.0,3.583728
GRAB,2023-07-19 14:00:00+00:00,3.608,3.61,3.51,3.53,2625335.0,7383.0,3.548622
GRAB,2023-07-19 15:00:00+00:00,3.535,3.55,3.52,3.52,1579996.0,3901.0,3.544082
GRAB,2023-07-19 16:00:00+00:00,3.525,3.525,3.46,3.475,2212977.0,3756.0,3.489257
GRAB,2023-07-19 17:00:00+00:00,3.475,3.51,3.44,3.505,4038506.0,8481.0,3.480472
GRAB,2023-07-19 18:00:00+00:00,3.505,3.51,3.48,3.485,2195774.0,5339.0,3.49409
GRAB,2023-07-19 19:00:00+00:00,3.485,3.53,3.48,3.5,5687324.0,13432.0,3.512205
GRAB,2023-07-19 20:00:00+00:00,3.51,3.52,3.49,3.5199,1971920.0,32.0,3.50981
GRAB,2023-07-19 22:00:00+00:00,3.4905,3.5,3.48,3.48,1821.0,6.0,3.487342
GRAB,2023-07-19 23:00:00+00:00,3.53,3.53,3.49,3.52,1990.0,8.0,3.524639
GRAB,2023-07-20 08:00:00+00:00,3.54,3.56,3.52,3.55,61673.0,93.0,3.529309
GRAB,2023-07-20 09:00:00+00:00,3.55,3.55,3.52,3.54,1031.0,6.0,3.535102
GRAB,2023-07-20 10:00:00+00:00,3.53,3.55,3.53,3.54,2950.0,14.0,3.542319
GRAB,2023-07-20 11:00:00+00:00,3.54,3.55,3.54,3.54,3650.0,18.0,3.542181
GRAB,2023-07-20 12:00:00+00:00,3.5399,3.56,3.5,3.56,46828.0,122.0,3.550123
GRAB,2023-07-20 13:00:00+00:00,3.56,3.57,3.52,3.555,2831641.0,5593.0,3.548721
GRAB,2023-07-20 14:00:00+00:00,3.56,3.61,3.53,3.58,4678175.0,10328.0,3.575449
GRAB,2023-07-20 15:00:00+00:00,3.58,3.61,3.55,3.555,3287532.0,7260.0,3.581457
GRAB,2023-07-20 16:00:00+00:00,3.56,3.58,3.55,3.575,1938818.0,5057.0,3.564043
GRAB,2023-07-20 17:00:00+00:00,3.57,3.64,3.57,3.625,2025731.0,4916.0,3.609294
GRAB,2023-07-20 18:00:00+00:00,3.62,3.65,3.61,3.615,2205249.0,5857.0,3.630932
GRAB,2023-07-20 19:00:00+00:00,3.62,3.64,3.595,3.635,6852869.0,13701.0,3.616979
GRAB,2023-07-20 20:00:00+00:00,3.64,3.64,3.59,3.59,1229882.0,82.0,3.639326
GRAB,2023-07-20 21:00:00+00:00,3.57,3.58,3.56,3.58,6500.0,18.0,3.577589
GRAB,2023-07-20 22:00:00+00:00,3.57,3.6,3.57,3.6,3200.0,6.0,3.588756
GRAB,2023-07-21 08:00:00+00:00,3.64,3.66,3.61,3.64,9956.0,31.0,3.635819
GRAB,2023-07-21 09:00:00+00:00,3.65,3.65,3.65,3.65,495.0,4.0,3.65
GRAB,2023-07-21 10:00:00+00:00,3.64,3.64,3.64,3.64,160.0,2.0,3.64
GRAB,2023-07-21 11:00:00+00:00,3.62,3.62,3.62,3.62,100.0,1.0,3.62
GRAB,2023-07-21 12:00:00+00:00,3.6185,3.62,3.59,3.61,11293.0,30.0,3.607195
GRAB,2023-07-21 13:00:00+00:00,3.61,3.7,3.56,3.575,2793285.0,6064.0,3.628822
GRAB,2023-07-21 14:00:00+00:00,3.5781,3.66,3.5781,3.625,3582240.0,7506.0,3.629474
GRAB,2023-07-21 15:00:00+00:00,3.62,3.66,3.62,3.645,2697798.0,6354.0,3.638738
GRAB,2023-07-21 16:00:00+00:00,3.65,3.65,3.61,3.625,2061023.0,5246.0,3.628513
GRAB,2023-07-21 17:00:00+00:00,3.62,3.6299,3.59,3.605,2020863.0,4244.0,3.605312
GRAB,2023-07-21 18:00:00+00:00,3.61,3.61,3.585,3.605,1411887.0,3973.0,3.596983
GRAB,2023-07-21 19:00:00+00:00,3.605,3.61,3.59,3.595,3337363.0,6337.0,3.600031
GRAB,2023-07-21 20:00:00+00:00,3.6,3.6,3.59,3.59,840548.0,32.0,3.59997
GRAB,2023-07-21 21:00:00+00:00,3.59,3.59,3.59,3.59,655.0,4.0,3.590015
GRAB,2023-07-21 22:00:00+00:00,3.5915,3.62,3.5915,3.62,2307.0,5.0,3.594868
GRAB,2023-07-21 23:00:00+00:00,3.61,3.61,3.61,3.61,1102.0,3.0,3.61
GRAB,2023-07-24 08:00:00+00:00,3.6,3.62,3.6,3.61,6843.0,64.0,3.600761
