symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GRNB,2023-07-17 13:00:00+00:00,23.28,23.28,23.28,23.28,194.0,3.0,23.280876
GRNB,2023-07-17 15:00:00+00:00,23.2983,23.2983,23.28,23.295,1689.0,4.0,23.292533
GRNB,2023-07-17 17:00:00+00:00,23.31,23.31,23.2801,23.3043,706.0,4.0,23.298089
GRNB,2023-07-17 18:00:00+00:00,23.3015,23.3015,23.3015,23.3015,534.0,1.0,23.3015
GRNB,2023-07-17 19:00:00+00:00,23.29,23.29,23.281,23.281,301.0,4.0,23.287043
GRNB,2023-07-18 13:00:00+00:00,23.37,23.381,23.32,23.381,3965.0,7.0,23.340262
GRNB,2023-07-18 14:00:00+00:00,23.4,23.4,23.3903,23.3903,570.0,3.0,23.392699
GRNB,2023-07-18 18:00:00+00:00,23.3711,23.3711,23.3711,23.3711,232.0,2.0,23.372048
GRNB,2023-07-18 19:00:00+00:00,23.3643,23.38,23.3493,23.3493,776.0,7.0,23.364922
GRNB,2023-07-19 13:00:00+00:00,23.41,23.43,23.37,23.43,849.0,7.0,23.412992
GRNB,2023-07-19 15:00:00+00:00,23.3929,23.3929,23.3929,23.3929,145.0,1.0,23.3929
GRNB,2023-07-19 17:00:00+00:00,23.4,23.4,23.4,23.4,383.0,2.0,23.4
GRNB,2023-07-19 19:00:00+00:00,23.428,23.428,23.428,23.428,585.0,2.0,23.428002
GRNB,2023-07-20 14:00:00+00:00,23.3,23.3,23.3,23.3,264.0,2.0,23.3
GRNB,2023-07-20 15:00:00+00:00,23.31,23.31,23.31,23.31,551.0,1.0,23.31
GRNB,2023-07-20 19:00:00+00:00,23.3044,23.3044,23.3044,23.3044,261.0,1.0,23.3044
GRNB,2023-07-21 13:00:00+00:00,23.37,23.37,23.37,23.37,211.0,3.0,23.37
GRNB,2023-07-21 15:00:00+00:00,23.36,23.36,23.36,23.36,676.0,4.0,23.36
GRNB,2023-07-21 16:00:00+00:00,23.31,23.31,23.31,23.31,395.0,5.0,23.310127
GRNB,2023-07-21 18:00:00+00:00,23.31,23.355,23.3001,23.335,2910.0,16.0,23.327056
GRNB,2023-07-24 13:00:00+00:00,23.34,23.34,23.34,23.34,468.0,3.0,23.340085
GRNB,2023-07-24 14:00:00+00:00,23.39,23.39,23.39,23.39,305.0,4.0,23.39
GRNB,2023-07-24 16:00:00+00:00,23.35,23.36,23.33,23.36,2085.0,9.0,23.352579
GRNB,2023-07-24 18:00:00+00:00,23.35,23.35,23.34,23.3487,1451.0,7.0,23.348197
GRNB,2023-07-24 19:00:00+00:00,23.32,23.32,23.29,23.29,370.0,3.0,23.303784
GRNB,2023-07-24 20:00:00+00:00,23.28,23.28,23.28,23.28,143.0,1.0,23.28
GRNB,2023-07-25 13:00:00+00:00,23.29,23.3,23.29,23.3,978.0,6.0,23.295381
GRNB,2023-07-25 14:00:00+00:00,23.28,23.28,23.28,23.28,238.0,5.0,23.28
GRNB,2023-07-25 15:00:00+00:00,23.26,23.26,23.26,23.26,6900.0,1.0,23.26
GRNB,2023-07-25 17:00:00+00:00,23.2898,23.2898,23.28,23.28,952.0,6.0,23.286199
GRNB,2023-07-25 18:00:00+00:00,23.29,23.3,23.26,23.26,2389.0,15.0,23.279633
GRNB,2023-07-25 20:00:00+00:00,23.3,23.3,23.3,23.3,168.0,1.0,23.3
GRNB,2023-07-26 13:00:00+00:00,23.34,23.34,23.31,23.31,735.0,2.0,23.332122
GRNB,2023-07-26 14:00:00+00:00,23.2775,23.2947,23.2775,23.2947,1076.0,4.0,23.285045
GRNB,2023-07-26 15:00:00+00:00,23.32,23.32,23.29,23.3094,1702.0,4.0,23.308366
GRNB,2023-07-27 13:00:00+00:00,23.35,23.35,23.3113,23.3113,4759.0,4.0,23.322195
GRNB,2023-07-27 14:00:00+00:00,23.28,23.2942,23.28,23.2942,235.0,3.0,23.28707
GRNB,2023-07-27 16:00:00+00:00,23.2811,23.2995,23.2811,23.2995,858.0,2.0,23.291823
GRNB,2023-07-27 17:00:00+00:00,23.265,23.265,23.26,23.26,277.0,3.0,23.263195
GRNB,2023-07-27 20:00:00+00:00,23.22,23.22,23.22,23.22,176.0,1.0,23.22
GRNB,2023-07-28 13:00:00+00:00,23.271,23.271,23.271,23.271,178.0,2.0,23.270764
GRNB,2023-07-28 15:00:00+00:00,23.294,23.294,23.294,23.294,208.0,1.0,23.294
GRNB,2023-07-28 19:00:00+00:00,23.29,23.3,23.28,23.28,662.0,4.0,23.293505
GRNB,2023-07-31 13:00:00+00:00,23.27,23.295,23.27,23.295,652.0,5.0,23.276178
GRNB,2023-07-31 14:00:00+00:00,23.31,23.31,23.31,23.31,274.0,1.0,23.31
GRNB,2023-07-31 16:00:00+00:00,23.32,23.32,23.311,23.311,360.0,5.0,23.315842
GRNB,2023-07-31 17:00:00+00:00,23.311,23.311,23.31,23.31,804.0,4.0,23.31109
GRNB,2023-07-31 18:00:00+00:00,23.3224,23.3224,23.3224,23.3224,1200.0,1.0,23.3224
GRNB,2023-07-31 19:00:00+00:00,23.32,23.3299,23.32,23.3299,12000.0,2.0,23.32165
GRNB,2023-08-01 13:00:00+00:00,23.16,23.16,23.16,23.16,304.0,4.0,23.1725
GRNB,2023-08-01 14:00:00+00:00,23.2,23.2,23.2,23.2,382.0,3.0,23.2
GRNB,2023-08-01 15:00:00+00:00,23.14,23.14,23.14,23.14,1088.0,1.0,23.14
GRNB,2023-08-01 17:00:00+00:00,23.16,23.16,23.16,23.16,2145.0,11.0,23.16
GRNB,2023-08-01 18:00:00+00:00,23.1506,23.1506,23.13,23.13,579.0,2.0,23.139037
GRNB,2023-08-02 13:00:00+00:00,23.11,23.11,23.11,23.11,248.0,3.0,23.105
GRNB,2023-08-02 14:00:00+00:00,23.09,23.105,23.09,23.105,300.0,3.0,23.095
GRNB,2023-08-02 16:00:00+00:00,23.06,23.065,23.06,23.065,3200.0,9.0,23.060313
GRNB,2023-08-02 17:00:00+00:00,23.0642,23.094,23.0642,23.07,1540.0,8.0,23.078719
GRNB,2023-08-02 18:00:00+00:00,23.099,23.1,23.05,23.06,2246.0,15.0,23.080306
GRNB,2023-08-02 19:00:00+00:00,23.11,23.11,23.061,23.083,3889.0,25.0,23.097212
GRNB,2023-08-03 14:00:00+00:00,22.99,23.01,22.9878,23.01,712.0,5.0,22.99677
GRNB,2023-08-03 15:00:00+00:00,22.97,23.0,22.97,22.9817,1071.0,7.0,22.982661
GRNB,2023-08-03 17:00:00+00:00,22.983,22.983,22.983,22.983,660.0,1.0,22.983
GRNB,2023-08-04 13:00:00+00:00,23.11,23.11,23.11,23.11,281.0,3.0,23.109893
GRNB,2023-08-04 14:00:00+00:00,23.11,23.11,23.11,23.11,382.0,2.0,23.11
GRNB,2023-08-04 15:00:00+00:00,23.11,23.11,23.1099,23.1099,1330.0,5.0,23.111817
GRNB,2023-08-04 16:00:00+00:00,23.16,23.169,23.16,23.169,433.0,5.0,23.166077
GRNB,2023-08-04 18:00:00+00:00,23.13,23.13,23.13,23.13,1892.0,2.0,23.13
GRNB,2023-08-07 13:00:00+00:00,23.12,23.14,23.12,23.14,1251.0,10.0,23.123365
GRNB,2023-08-07 14:00:00+00:00,23.1297,23.1297,23.1297,23.1297,100.0,1.0,23.1297
GRNB,2023-08-07 15:00:00+00:00,23.1185,23.1185,23.1185,23.1185,102.0,2.0,23.118515
GRNB,2023-08-07 16:00:00+00:00,23.12,23.12,23.12,23.12,115.0,2.0,23.12
GRNB,2023-08-07 17:00:00+00:00,23.13,23.13,23.0911,23.0911,6582.0,10.0,23.118185
GRNB,2023-08-07 19:00:00+00:00,23.125,23.15,23.09,23.09,6012.0,36.0,23.118992
GRNB,2023-08-08 13:00:00+00:00,23.15,23.15,23.15,23.15,212.0,2.0,23.15
GRNB,2023-08-08 14:00:00+00:00,23.19,23.19,23.185,23.185,380.0,4.0,23.188684
GRNB,2023-08-08 15:00:00+00:00,23.16,23.18,23.16,23.18,333.0,2.0,23.166006
GRNB,2023-08-08 16:00:00+00:00,23.1537,23.18,23.13,23.18,5470.0,15.0,23.136491
GRNB,2023-08-08 17:00:00+00:00,23.18,23.18,23.13,23.1482,578.0,4.0,23.143062
GRNB,2023-08-08 19:00:00+00:00,23.14,23.165,23.14,23.14,1960.0,5.0,23.151982
GRNB,2023-08-08 20:00:00+00:00,23.13,23.13,23.13,23.13,100.0,1.0,23.13
GRNB,2023-08-09 13:00:00+00:00,23.19,23.19,23.19,23.19,135.0,4.0,23.191111
GRNB,2023-08-09 14:00:00+00:00,23.17,23.18,23.151,23.151,1244.0,10.0,23.167335
GRNB,2023-08-09 18:00:00+00:00,23.17,23.19,23.17,23.19,1014.0,5.0,23.177041
GRNB,2023-08-10 13:00:00+00:00,23.18,23.22,23.17,23.195,1653.0,14.0,23.187782
GRNB,2023-08-10 15:00:00+00:00,23.161,23.19,23.161,23.19,3620.0,2.0,23.185994
GRNB,2023-08-10 17:00:00+00:00,23.1216,23.1216,23.1216,23.1216,18002.0,1.0,23.1216
GRNB,2023-08-10 18:00:00+00:00,23.0947,23.1085,23.0947,23.1085,7795.0,2.0,23.108144
GRNB,2023-08-10 19:00:00+00:00,23.1076,23.12,23.09,23.09,8125.0,67.0,23.110925
GRNB,2023-08-11 13:00:00+00:00,23.06,23.06,23.06,23.06,219.0,1.0,23.06
GRNB,2023-08-11 14:00:00+00:00,23.025,23.08,23.025,23.08,722.0,3.0,23.040204
GRNB,2023-08-11 16:00:00+00:00,23.0332,23.0332,23.0332,23.0332,107.0,1.0,23.0332
GRNB,2023-08-11 19:00:00+00:00,23.0368,23.0368,23.03,23.03,691.0,2.0,23.033198
GRNB,2023-08-11 20:00:00+00:00,24.08,24.08,23.1,23.1,2000.0,11.0,23.59
GRNB,2023-08-14 13:00:00+00:00,22.99,22.99,22.95,22.95,1839.0,9.0,22.986754
GRNB,2023-08-14 14:00:00+00:00,22.96,22.96,22.96,22.96,166.0,1.0,22.96
GRNB,2023-08-14 15:00:00+00:00,22.98,23.0071,22.98,22.98,2098.0,5.0,22.992032
GRNB,2023-08-14 16:00:00+00:00,23.01,23.015,23.01,23.015,244.0,3.0,23.012049
GRNB,2023-08-14 17:00:00+00:00,22.99,22.99,22.99,22.99,364.0,1.0,22.99
GRNB,2023-08-14 18:00:00+00:00,22.98,23.01,22.98,22.98,3716.0,13.0,22.989819
GRNB,2023-08-14 19:00:00+00:00,22.9866,23.0,22.97,23.0,4103.0,11.0,22.985911
