symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GT,2023-07-17 12:00:00+00:00,15.02,15.06,15.02,15.06,938.0,4.0,15.036738
GT,2023-07-17 13:00:00+00:00,15.05,15.12,14.97,15.06,308434.0,2308.0,15.049157
GT,2023-07-17 14:00:00+00:00,15.075,15.32,15.07,15.24,523588.0,4601.0,15.209294
GT,2023-07-17 15:00:00+00:00,15.245,15.34,15.24,15.31,288724.0,2942.0,15.293631
GT,2023-07-17 16:00:00+00:00,15.305,15.4,15.285,15.355,238876.0,2556.0,15.348758
GT,2023-07-17 17:00:00+00:00,15.35,15.43,15.31,15.34,245251.0,2624.0,15.364383
GT,2023-07-17 18:00:00+00:00,15.335,15.43,15.33,15.42,256332.0,2687.0,15.387219
GT,2023-07-17 19:00:00+00:00,15.415,15.42,15.29,15.29,1091598.0,9379.0,15.361148
GT,2023-07-17 20:00:00+00:00,15.29,15.29,15.15,15.15,334788.0,20.0,15.289958
GT,2023-07-17 23:00:00+00:00,15.24,15.25,15.24,15.25,400.0,3.0,15.2475
GT,2023-07-18 12:00:00+00:00,15.29,15.29,15.29,15.29,100.0,1.0,15.29
GT,2023-07-18 13:00:00+00:00,15.3,15.625,15.25,15.62,378449.0,2916.0,15.503411
GT,2023-07-18 14:00:00+00:00,15.625,15.86,15.6,15.82,719889.0,7593.0,15.757678
GT,2023-07-18 15:00:00+00:00,15.83,15.83,15.53,15.63,792840.0,6794.0,15.725212
GT,2023-07-18 16:00:00+00:00,15.63,15.675,15.53,15.6574,303033.0,3573.0,15.619329
GT,2023-07-18 17:00:00+00:00,15.66,15.785,15.655,15.69,274820.0,3090.0,15.721444
GT,2023-07-18 18:00:00+00:00,15.7,15.75,15.655,15.71,422688.0,4207.0,15.704642
GT,2023-07-18 19:00:00+00:00,15.71,15.785,15.67,15.77,1011586.0,8077.0,15.738423
GT,2023-07-18 20:00:00+00:00,15.76,15.76,15.76,15.76,317658.0,17.0,15.76
GT,2023-07-18 21:00:00+00:00,15.53,15.53,15.53,15.53,332.0,1.0,15.53
GT,2023-07-18 22:00:00+00:00,15.53,15.78,15.53,15.78,400.0,2.0,15.5925
GT,2023-07-18 23:00:00+00:00,15.61,15.61,15.61,15.61,263.0,1.0,15.61
GT,2023-07-19 12:00:00+00:00,15.6,15.6,15.6,15.6,300.0,1.0,15.6
GT,2023-07-19 13:00:00+00:00,15.7,15.89,15.54,15.72,199328.0,2062.0,15.700028
GT,2023-07-19 14:00:00+00:00,15.725,15.79,15.64,15.759,403734.0,4818.0,15.718193
GT,2023-07-19 15:00:00+00:00,15.76,15.7799,15.695,15.715,253196.0,3536.0,15.734182
GT,2023-07-19 16:00:00+00:00,15.72,15.8,15.67,15.75,375882.0,3837.0,15.743329
GT,2023-07-19 17:00:00+00:00,15.75,15.75,15.595,15.605,382370.0,3148.0,15.684783
GT,2023-07-19 18:00:00+00:00,15.605,15.66,15.535,15.64,353459.0,3450.0,15.596419
GT,2023-07-19 19:00:00+00:00,15.64,15.82,15.64,15.79,882053.0,6847.0,15.742173
GT,2023-07-19 20:00:00+00:00,15.78,15.78,15.71,15.71,398003.0,21.0,15.779956
GT,2023-07-19 23:00:00+00:00,15.69,15.69,15.68,15.69,2700.0,6.0,15.688996
GT,2023-07-20 11:00:00+00:00,15.68,15.77,15.68,15.77,478.0,7.0,15.751046
GT,2023-07-20 12:00:00+00:00,15.65,15.65,15.65,15.65,105.0,2.0,15.656667
GT,2023-07-20 13:00:00+00:00,15.76,15.845,15.61,15.81,169111.0,1625.0,15.774703
GT,2023-07-20 14:00:00+00:00,15.81,15.8266,15.69,15.815,287190.0,3785.0,15.763292
GT,2023-07-20 15:00:00+00:00,15.81,15.84,15.77,15.8398,155007.0,2423.0,15.800779
GT,2023-07-20 16:00:00+00:00,15.84,15.88,15.765,15.7699,157513.0,2312.0,15.81951
GT,2023-07-20 17:00:00+00:00,15.765,15.89,15.765,15.865,205626.0,2504.0,15.830563
GT,2023-07-20 18:00:00+00:00,15.86,15.9,15.84,15.88,262677.0,3181.0,15.869991
GT,2023-07-20 19:00:00+00:00,15.885,15.99,15.87,15.97,602346.0,6177.0,15.922168
GT,2023-07-20 20:00:00+00:00,15.96,15.96,15.96,15.96,349539.0,23.0,15.96
GT,2023-07-20 23:00:00+00:00,15.82,15.82,15.82,15.82,200.0,4.0,15.8092
GT,2023-07-21 10:00:00+00:00,16.0,16.04,16.0,16.04,642.0,4.0,16.027539
GT,2023-07-21 12:00:00+00:00,16.06,16.1,16.02,16.05,4440.0,40.0,16.066675
GT,2023-07-21 13:00:00+00:00,16.0305,16.13,15.69,15.76,470635.0,2604.0,15.938764
GT,2023-07-21 14:00:00+00:00,15.77,15.9798,15.73,15.96,282271.0,3777.0,15.898791
GT,2023-07-21 15:00:00+00:00,15.96,16.02,15.85,15.9288,244526.0,3555.0,15.938773
GT,2023-07-21 16:00:00+00:00,15.925,15.95,15.775,15.78,183888.0,2637.0,15.877872
