symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HIW,2023-07-17 13:00:00+00:00,25.44,25.48,25.17,25.43,64481.0,484.0,25.3445
HIW,2023-07-17 14:00:00+00:00,25.41,25.45,25.23,25.29,134696.0,1986.0,25.315471
HIW,2023-07-17 15:00:00+00:00,25.28,25.33,25.18,25.19,139078.0,1838.0,25.255496
HIW,2023-07-17 16:00:00+00:00,25.19,25.27,25.185,25.2,90256.0,1246.0,25.219194
HIW,2023-07-17 17:00:00+00:00,25.2,25.26,25.17,25.245,97688.0,1104.0,25.21504
HIW,2023-07-17 18:00:00+00:00,25.25,25.29,25.19,25.21,164435.0,1968.0,25.228507
HIW,2023-07-17 19:00:00+00:00,25.205,25.315,25.16,25.31,318122.0,3358.0,25.258333
HIW,2023-07-17 20:00:00+00:00,25.31,25.31,25.31,25.31,69779.0,19.0,25.31
HIW,2023-07-18 13:00:00+00:00,25.4,25.73,25.39,25.64,36764.0,488.0,25.568367
HIW,2023-07-18 14:00:00+00:00,25.65,25.92,25.545,25.545,158497.0,1907.0,25.751677
HIW,2023-07-18 15:00:00+00:00,25.54,25.63,25.195,25.315,109837.0,1469.0,25.405275
HIW,2023-07-18 16:00:00+00:00,25.33,25.385,25.18,25.3,104603.0,1252.0,25.311951
HIW,2023-07-18 17:00:00+00:00,25.305,25.36,25.24,25.36,89905.0,1301.0,25.305852
HIW,2023-07-18 18:00:00+00:00,25.36,25.56,25.34,25.5,123398.0,1639.0,25.442396
HIW,2023-07-18 19:00:00+00:00,25.5,25.62,25.48,25.52,249325.0,3411.0,25.532015
HIW,2023-07-18 20:00:00+00:00,25.5,25.5,25.5,25.5,122542.0,29.0,25.5
HIW,2023-07-18 22:00:00+00:00,25.6,25.6,25.6,25.6,231.0,4.0,25.586926
HIW,2023-07-18 23:00:00+00:00,25.9,25.9,25.9,25.9,250.0,1.0,25.9
HIW,2023-07-19 13:00:00+00:00,25.77,25.96,25.69,25.827,62780.0,737.0,25.847562
HIW,2023-07-19 14:00:00+00:00,25.85,25.945,25.82,25.86,79301.0,1040.0,25.888117
HIW,2023-07-19 15:00:00+00:00,25.85,26.02,25.72,26.02,84526.0,1170.0,25.849387
HIW,2023-07-19 16:00:00+00:00,26.02,26.18,25.99,26.14,66601.0,915.0,26.063441
HIW,2023-07-19 17:00:00+00:00,26.14,26.19,26.06,26.17,72960.0,1155.0,26.135364
HIW,2023-07-19 18:00:00+00:00,26.16,26.21,26.1,26.165,64256.0,1504.0,26.152443
HIW,2023-07-19 19:00:00+00:00,26.16,26.27,26.0625,26.26,287674.0,4139.0,26.216784
HIW,2023-07-19 20:00:00+00:00,26.26,26.26,26.26,26.26,126405.0,14.0,26.26
HIW,2023-07-20 12:00:00+00:00,26.27,26.27,26.26,26.26,250.0,5.0,26.27356
HIW,2023-07-20 13:00:00+00:00,26.21,26.21,25.66,25.74,74537.0,1017.0,25.897569
HIW,2023-07-20 14:00:00+00:00,25.71,25.79,25.52,25.57,128664.0,1963.0,25.670483
HIW,2023-07-20 15:00:00+00:00,25.575,25.74,25.435,25.74,133718.0,1818.0,25.539837
HIW,2023-07-20 16:00:00+00:00,25.745,25.78,25.62,25.63,77545.0,1190.0,25.682011
HIW,2023-07-20 17:00:00+00:00,25.64,25.64,25.43,25.47,121014.0,1397.0,25.489142
HIW,2023-07-20 18:00:00+00:00,25.465,25.61,25.435,25.58,83410.0,1903.0,25.511947
HIW,2023-07-20 19:00:00+00:00,25.58,25.58,25.37,25.5,271049.0,3487.0,25.470544
HIW,2023-07-20 20:00:00+00:00,25.4928,25.51,25.4928,25.51,101774.0,23.0,25.509959
HIW,2023-07-21 13:00:00+00:00,25.64,25.8,25.315,25.35,50926.0,549.0,25.453186
HIW,2023-07-21 14:00:00+00:00,25.3236,25.58,25.28,25.48,51556.0,1189.0,25.450448
HIW,2023-07-21 15:00:00+00:00,25.47,25.66,25.46,25.64,59653.0,1098.0,25.570545
HIW,2023-07-21 16:00:00+00:00,25.645,25.78,25.62,25.68,58023.0,902.0,25.692963
HIW,2023-07-21 17:00:00+00:00,25.69,25.71,25.59,25.65,67365.0,1149.0,25.648629
HIW,2023-07-21 18:00:00+00:00,25.64,25.645,25.58,25.625,59869.0,1109.0,25.611942
HIW,2023-07-21 19:00:00+00:00,25.63,25.63,25.475,25.5,202383.0,3008.0,25.518086
HIW,2023-07-21 20:00:00+00:00,25.49,25.49,25.49,25.49,83038.0,23.0,25.49
HIW,2023-07-24 13:00:00+00:00,25.5,25.86,25.4,25.57,46619.0,725.0,25.664614
HIW,2023-07-24 14:00:00+00:00,25.575,25.7,25.48,25.57,96125.0,1275.0,25.569674
HIW,2023-07-24 15:00:00+00:00,25.57,25.63,25.43,25.57,399667.0,2259.0,25.491447
HIW,2023-07-24 16:00:00+00:00,25.58,25.66,25.505,25.62,178892.0,1712.0,25.571421
HIW,2023-07-24 17:00:00+00:00,25.62,25.62,25.43,25.43,63698.0,975.0,25.540993
HIW,2023-07-24 18:00:00+00:00,25.42,25.46,25.35,25.445,124885.0,1304.0,25.409293
HIW,2023-07-24 19:00:00+00:00,25.44,25.55,25.34,25.51,287210.0,3294.0,25.45646
HIW,2023-07-24 20:00:00+00:00,25.51,25.51,25.51,25.51,98514.0,19.0,25.51
HIW,2023-07-24 23:00:00+00:00,25.51,25.51,25.51,25.51,102.0,1.0,25.51
HIW,2023-07-25 13:00:00+00:00,25.69,25.69,25.33,25.39,22811.0,330.0,25.482806
HIW,2023-07-25 14:00:00+00:00,25.435,25.64,25.38,25.52,69655.0,1028.0,25.481535
HIW,2023-07-25 15:00:00+00:00,25.51,25.56,25.44,25.485,64502.0,1378.0,25.500434
HIW,2023-07-25 16:00:00+00:00,25.5,25.5,25.37,25.395,50234.0,950.0,25.423132
HIW,2023-07-25 17:00:00+00:00,25.395,25.43,25.33,25.41,57662.0,1197.0,25.373432
HIW,2023-07-25 18:00:00+00:00,25.41,25.57,25.34,25.42,96394.0,1752.0,25.463121
HIW,2023-07-25 19:00:00+00:00,25.43,25.44,25.31,25.4,258189.0,3884.0,25.381614
HIW,2023-07-25 20:00:00+00:00,25.37,26.6301,25.37,26.63,117953.0,27.0,25.374988
