symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HLF,2023-07-17 12:00:00+00:00,13.0215,13.0215,13.0215,13.0215,120.0,1.0,13.0215
HLF,2023-07-17 13:00:00+00:00,13.24,13.27,13.0199,13.25,54408.0,755.0,13.15271
HLF,2023-07-17 14:00:00+00:00,13.26,13.46,13.245,13.41,94569.0,1797.0,13.357563
HLF,2023-07-17 15:00:00+00:00,13.4,13.4,13.28,13.3,66983.0,1558.0,13.342914
HLF,2023-07-17 16:00:00+00:00,13.31,13.37,13.275,13.315,45271.0,1062.0,13.310821
HLF,2023-07-17 17:00:00+00:00,13.315,13.36,13.25,13.27,46672.0,1129.0,13.315428
HLF,2023-07-17 18:00:00+00:00,13.27,13.28,13.125,13.125,73999.0,1337.0,13.191518
HLF,2023-07-17 19:00:00+00:00,13.12,13.17,13.03,13.07,299753.0,3825.0,13.088397
HLF,2023-07-17 20:00:00+00:00,13.07,13.07,13.07,13.07,128139.0,13.0,13.07
HLF,2023-07-17 23:00:00+00:00,13.1,13.1,13.08,13.08,3000.0,10.0,13.09
HLF,2023-07-18 13:00:00+00:00,13.06,13.5,13.06,13.45,99117.0,1110.0,13.349165
HLF,2023-07-18 14:00:00+00:00,13.45,13.45,13.13,13.315,132326.0,2186.0,13.273356
HLF,2023-07-18 15:00:00+00:00,13.31,13.33,13.23,13.2499,92156.0,1322.0,13.287488
HLF,2023-07-18 16:00:00+00:00,13.24,13.5,13.23,13.42,165543.0,2631.0,13.408484
HLF,2023-07-18 17:00:00+00:00,13.41,13.52,13.4,13.44,58716.0,1401.0,13.464947
HLF,2023-07-18 18:00:00+00:00,13.43,13.47,13.36,13.38,64795.0,1378.0,13.423927
HLF,2023-07-18 19:00:00+00:00,13.375,13.535,13.365,13.5,244196.0,4012.0,13.465777
HLF,2023-07-18 20:00:00+00:00,13.49,13.53,13.49,13.5,79577.0,10.0,13.490214
HLF,2023-07-18 23:00:00+00:00,13.47,13.47,13.45,13.45,1239.0,3.0,13.459685
HLF,2023-07-19 11:00:00+00:00,13.55,13.55,13.55,13.55,1000.0,1.0,13.55
HLF,2023-07-19 12:00:00+00:00,13.55,13.55,13.55,13.55,100.0,1.0,13.55
HLF,2023-07-19 13:00:00+00:00,13.7,13.8599,13.68,13.74,115607.0,1567.0,13.752897
HLF,2023-07-19 14:00:00+00:00,13.735,13.7615,13.61,13.61,105462.0,2530.0,13.711817
HLF,2023-07-19 15:00:00+00:00,13.64,13.7799,13.63,13.7791,66330.0,1621.0,13.700717
HLF,2023-07-19 16:00:00+00:00,13.78,13.91,13.77,13.855,95809.0,1845.0,13.843389
HLF,2023-07-19 17:00:00+00:00,13.855,14.07,13.785,13.985,224304.0,3079.0,13.918431
HLF,2023-07-19 18:00:00+00:00,13.985,14.0999,13.96,14.07,148612.0,2300.0,14.013027
HLF,2023-07-19 19:00:00+00:00,14.075,14.1,13.99,13.99,328822.0,4328.0,14.039955
HLF,2023-07-19 20:00:00+00:00,13.99,13.99,13.99,13.99,200011.0,15.0,13.99
HLF,2023-07-19 21:00:00+00:00,13.99,13.99,13.99,13.99,1000.0,1.0,13.99
HLF,2023-07-19 22:00:00+00:00,13.99,14.15,13.99,14.01,9262.0,17.0,14.061571
HLF,2023-07-20 10:00:00+00:00,14.08,14.08,14.08,14.08,197.0,2.0,14.070152
HLF,2023-07-20 11:00:00+00:00,14.07,14.07,14.07,14.07,801.0,2.0,14.07
HLF,2023-07-20 12:00:00+00:00,14.07,14.07,14.07,14.07,100.0,1.0,14.07
HLF,2023-07-20 13:00:00+00:00,14.07,14.07,13.46,13.54,114275.0,1262.0,13.654112
HLF,2023-07-20 14:00:00+00:00,13.53,13.69,13.5109,13.69,119821.0,1682.0,13.618466
HLF,2023-07-20 15:00:00+00:00,13.7,13.8199,13.6,13.8194,105958.0,1664.0,13.72149
HLF,2023-07-20 16:00:00+00:00,13.82,14.235,13.82,14.2,211101.0,3083.0,14.037399
HLF,2023-07-20 17:00:00+00:00,14.19,14.275,14.085,14.255,156245.0,2716.0,14.18564
HLF,2023-07-20 18:00:00+00:00,14.25,14.325,14.21,14.285,120172.0,2069.0,14.275896
HLF,2023-07-20 19:00:00+00:00,14.285,14.46,14.22,14.37,411615.0,4901.0,14.345589
HLF,2023-07-20 20:00:00+00:00,14.37,14.37,14.37,14.37,119208.0,14.0,14.37
HLF,2023-07-20 22:00:00+00:00,14.36,14.36,13.7,13.7,2738.0,3.0,13.727758
HLF,2023-07-21 13:00:00+00:00,14.46,14.63,14.31,14.45,137379.0,1511.0,14.465395
HLF,2023-07-21 14:00:00+00:00,14.48,14.81,14.42,14.71,192101.0,3378.0,14.68268
HLF,2023-07-21 15:00:00+00:00,14.72,14.86,14.715,14.845,120013.0,2279.0,14.770389
HLF,2023-07-21 16:00:00+00:00,14.84,14.885,14.705,14.755,186053.0,3170.0,14.773867
HLF,2023-07-21 17:00:00+00:00,14.755,14.82,14.7,14.805,123139.0,2403.0,14.776963
HLF,2023-07-21 18:00:00+00:00,14.81,14.9,14.77,14.865,128475.0,2529.0,14.839977
HLF,2023-07-21 19:00:00+00:00,14.865,14.87,14.78,14.81,321826.0,4519.0,14.829578
HLF,2023-07-21 20:00:00+00:00,14.81,14.81,14.81,14.81,153584.0,11.0,14.81
HLF,2023-07-24 13:00:00+00:00,14.8,15.285,14.78,15.26,276878.0,2463.0,15.126602
HLF,2023-07-24 14:00:00+00:00,15.27,15.615,15.27,15.52,280616.0,4291.0,15.426113
HLF,2023-07-24 15:00:00+00:00,15.54,15.7,15.465,15.7,255511.0,3748.0,15.572715
HLF,2023-07-24 16:00:00+00:00,15.71,15.745,15.62,15.725,115558.0,2591.0,15.677874
HLF,2023-07-24 17:00:00+00:00,15.725,15.745,15.54,15.56,224462.0,2619.0,15.670389
HLF,2023-07-24 18:00:00+00:00,15.55,15.73,15.5099,15.705,268434.0,4051.0,15.623215
