symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HLLY,2023-07-17 11:00:00+00:00,5.56,5.82,5.55,5.56,1300.0,8.0,5.657692
HLLY,2023-07-17 12:00:00+00:00,5.82,5.82,5.5015,5.5015,1153.0,10.0,5.607339
HLLY,2023-07-17 13:00:00+00:00,5.54,5.6,5.39,5.4,191948.0,1086.0,5.500651
HLLY,2023-07-17 14:00:00+00:00,5.3962,5.45,5.36,5.4,189342.0,1257.0,5.404244
HLLY,2023-07-17 15:00:00+00:00,5.385,5.445,5.38,5.405,82718.0,786.0,5.411938
HLLY,2023-07-17 16:00:00+00:00,5.405,5.435,5.39,5.42,53677.0,553.0,5.405335
HLLY,2023-07-17 17:00:00+00:00,5.415,5.55,5.41,5.535,118279.0,974.0,5.496513
HLLY,2023-07-17 18:00:00+00:00,5.535,5.57,5.53,5.555,54444.0,683.0,5.547687
HLLY,2023-07-17 19:00:00+00:00,5.56,5.57,5.495,5.55,273522.0,2228.0,5.525667
HLLY,2023-07-17 20:00:00+00:00,5.55,5.6467,5.55,5.64,61146.0,16.0,5.551512
HLLY,2023-07-17 21:00:00+00:00,5.6448,5.6448,5.6448,5.6448,200.0,1.0,5.6448
HLLY,2023-07-17 22:00:00+00:00,5.65,5.65,5.65,5.65,100.0,1.0,5.65
HLLY,2023-07-18 11:00:00+00:00,5.59,5.59,5.5,5.5,500.0,4.0,5.538
HLLY,2023-07-18 12:00:00+00:00,5.5,5.5,5.5,5.5,482.0,4.0,5.50249
HLLY,2023-07-18 13:00:00+00:00,5.54,5.75,5.54,5.705,84305.0,591.0,5.655019
HLLY,2023-07-18 14:00:00+00:00,5.705,5.79,5.68,5.755,132271.0,1174.0,5.733469
HLLY,2023-07-18 15:00:00+00:00,5.7542,5.88,5.75,5.86,117130.0,845.0,5.808177
HLLY,2023-07-18 16:00:00+00:00,5.86,5.875,5.82,5.85,86831.0,641.0,5.853601
HLLY,2023-07-18 17:00:00+00:00,5.86,5.98,5.85,5.955,306543.0,1378.0,5.909921
HLLY,2023-07-18 18:00:00+00:00,5.955,6.13,5.955,6.0892,283398.0,2045.0,6.057461
HLLY,2023-07-18 19:00:00+00:00,6.09,6.1,6.01,6.08,306026.0,2627.0,6.063422
HLLY,2023-07-18 20:00:00+00:00,6.08,6.1,5.7511,5.7511,55588.0,11.0,6.078539
HLLY,2023-07-18 21:00:00+00:00,5.8,5.8,5.8,5.8,750.0,1.0,5.8
HLLY,2023-07-19 11:00:00+00:00,6.14,6.14,6.09,6.09,904.0,11.0,6.107467
HLLY,2023-07-19 12:00:00+00:00,6.1181,6.12,6.0605,6.12,3616.0,7.0,6.10315
HLLY,2023-07-19 13:00:00+00:00,6.07,6.1292,5.73,5.8189,220087.0,953.0,5.87828
HLLY,2023-07-19 14:00:00+00:00,5.8307,5.91,5.65,5.745,122844.0,1088.0,5.755932
HLLY,2023-07-19 15:00:00+00:00,5.745,5.775,5.575,5.6,121189.0,778.0,5.650785
HLLY,2023-07-19 16:00:00+00:00,5.5999,5.65,5.48,5.545,120873.0,871.0,5.553705
HLLY,2023-07-19 17:00:00+00:00,5.545,5.545,5.375,5.425,143117.0,946.0,5.4285
HLLY,2023-07-19 18:00:00+00:00,5.425,5.47,5.41,5.455,80114.0,653.0,5.438681
HLLY,2023-07-19 19:00:00+00:00,5.455,5.52,5.415,5.52,174490.0,1830.0,5.482647
HLLY,2023-07-19 20:00:00+00:00,5.52,5.77,5.44,5.47,62843.0,5.0,5.520541
HLLY,2023-07-19 23:00:00+00:00,5.69,5.69,5.69,5.69,160.0,1.0,5.69
HLLY,2023-07-20 12:00:00+00:00,5.54,5.67,5.54,5.55,18987.0,21.0,5.650098
HLLY,2023-07-20 13:00:00+00:00,5.55,5.65,5.54,5.62,51176.0,389.0,5.599611
HLLY,2023-07-20 14:00:00+00:00,5.625,5.765,5.6,5.765,82738.0,842.0,5.658448
HLLY,2023-07-20 15:00:00+00:00,5.765,5.91,5.765,5.85,113474.0,961.0,5.8454
HLLY,2023-07-20 16:00:00+00:00,5.845,5.96,5.832,5.845,83918.0,650.0,5.897761
HLLY,2023-07-20 17:00:00+00:00,5.845,5.85,5.78,5.8314,60526.0,478.0,5.823701
HLLY,2023-07-20 18:00:00+00:00,5.84,5.86,5.82,5.8599,59070.0,552.0,5.838443
HLLY,2023-07-20 19:00:00+00:00,5.855,5.86,5.84,5.855,119497.0,1425.0,5.85347
HLLY,2023-07-20 20:00:00+00:00,5.86,5.9935,5.86,5.9935,26635.0,4.0,5.861027
HLLY,2023-07-21 12:00:00+00:00,6.0,6.0,6.0,6.0,180.0,1.0,6.0
HLLY,2023-07-21 13:00:00+00:00,5.91,5.9499,5.46,5.48,107792.0,621.0,5.758901
HLLY,2023-07-21 14:00:00+00:00,5.4501,5.48,5.32,5.38,263228.0,1410.0,5.407465
HLLY,2023-07-21 15:00:00+00:00,5.37,5.57,5.34,5.54,101529.0,740.0,5.454509
HLLY,2023-07-21 16:00:00+00:00,5.54,5.55,5.475,5.48,46263.0,321.0,5.500709
HLLY,2023-07-21 17:00:00+00:00,5.48,5.6,5.465,5.59,146246.0,804.0,5.530087
HLLY,2023-07-21 18:00:00+00:00,5.59,5.595,5.525,5.585,86855.0,588.0,5.564204
HLLY,2023-07-21 19:00:00+00:00,5.59,5.59,5.5,5.505,99500.0,920.0,5.525051
HLLY,2023-07-21 20:00:00+00:00,5.51,5.51,5.51,5.51,45275.0,4.0,5.51
HLLY,2023-07-24 12:00:00+00:00,5.45,5.45,5.45,5.45,184.0,1.0,5.45
HLLY,2023-07-24 13:00:00+00:00,5.44,5.638,5.44,5.59,58290.0,349.0,5.518162
HLLY,2023-07-24 14:00:00+00:00,5.61,5.74,5.595,5.7069,128727.0,866.0,5.671903
HLLY,2023-07-24 15:00:00+00:00,5.705,5.87,5.67,5.87,160382.0,656.0,5.760294
HLLY,2023-07-24 16:00:00+00:00,5.875,5.8808,5.785,5.8395,52429.0,381.0,5.832015
HLLY,2023-07-24 17:00:00+00:00,5.83,6.22,5.78,6.19,637922.0,2783.0,6.034397
HLLY,2023-07-24 18:00:00+00:00,6.1988,6.255,6.12,6.15,429354.0,2060.0,6.202449
HLLY,2023-07-24 19:00:00+00:00,6.15,6.34,6.15,6.25,474818.0,2923.0,6.271664
