symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HMC,2023-07-17 12:00:00+00:00,30.36,30.36,30.36,30.36,500.0,1.0,30.36
HMC,2023-07-17 13:00:00+00:00,30.23,30.23,29.965,30.08,55256.0,570.0,30.060178
HMC,2023-07-17 14:00:00+00:00,30.08,30.1,30.0415,30.055,79854.0,1038.0,30.075711
HMC,2023-07-17 15:00:00+00:00,30.05,30.12,30.02,30.105,85488.0,1090.0,30.078975
HMC,2023-07-17 16:00:00+00:00,30.105,30.14,30.08,30.135,59932.0,835.0,30.114501
HMC,2023-07-17 17:00:00+00:00,30.13,30.16,30.115,30.135,80640.0,937.0,30.134656
HMC,2023-07-17 18:00:00+00:00,30.135,30.2,30.13,30.175,81220.0,955.0,30.166976
HMC,2023-07-17 19:00:00+00:00,30.175,30.25,30.13,30.165,395282.0,3423.0,30.183128
HMC,2023-07-17 20:00:00+00:00,30.16,30.2,30.16,30.2,402175.0,14.0,30.160071
HMC,2023-07-18 13:00:00+00:00,30.54,30.64,30.41,30.58,76620.0,902.0,30.509291
HMC,2023-07-18 14:00:00+00:00,30.59,30.63,30.555,30.625,91184.0,1101.0,30.591957
HMC,2023-07-18 15:00:00+00:00,30.625,30.655,30.6,30.62,88303.0,1024.0,30.629576
HMC,2023-07-18 16:00:00+00:00,30.6199,30.64,30.6,30.615,72477.0,986.0,30.619165
HMC,2023-07-18 17:00:00+00:00,30.61,30.67,30.6,30.655,54450.0,612.0,30.636726
HMC,2023-07-18 18:00:00+00:00,30.6578,30.7,30.6571,30.6803,76730.0,987.0,30.685094
HMC,2023-07-18 19:00:00+00:00,30.685,30.75,30.675,30.75,283009.0,3063.0,30.717879
HMC,2023-07-18 20:00:00+00:00,30.75,30.75,30.75,30.75,39360.0,8.0,30.75
HMC,2023-07-18 22:00:00+00:00,30.75,30.75,30.75,30.75,3.0,1.0,30.7767
HMC,2023-07-19 11:00:00+00:00,31.0,31.0,30.95,31.0,1422.0,21.0,30.982764
HMC,2023-07-19 13:00:00+00:00,31.1,31.15,31.015,31.08,123887.0,1111.0,31.084646
HMC,2023-07-19 14:00:00+00:00,31.075,31.095,30.975,31.01,104570.0,1543.0,31.03834
HMC,2023-07-19 15:00:00+00:00,31.01,31.03,30.96,30.97,109295.0,1451.0,31.004083
HMC,2023-07-19 16:00:00+00:00,30.965,31.005,30.96,30.995,84000.0,1174.0,30.98478
HMC,2023-07-19 17:00:00+00:00,30.995,31.0,30.975,30.981,82878.0,1092.0,30.985022
HMC,2023-07-19 18:00:00+00:00,30.985,31.01,30.97,30.995,92484.0,1131.0,30.985494
HMC,2023-07-19 19:00:00+00:00,30.995,31.015,30.965,30.97,279783.0,2938.0,30.98167
HMC,2023-07-19 20:00:00+00:00,30.98,30.98,30.98,30.98,84988.0,7.0,30.979999
HMC,2023-07-19 22:00:00+00:00,30.98,30.98,30.98,30.98,4.0,3.0,31.05
HMC,2023-07-20 13:00:00+00:00,30.82,30.94,30.8,30.935,74016.0,731.0,30.85477
HMC,2023-07-20 14:00:00+00:00,30.94,30.97,30.83,30.855,110939.0,1324.0,30.86523
