symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HMST,2023-07-17 11:00:00+00:00,7.15,7.15,7.15,7.15,125.0,2.0,7.158
HMST,2023-07-17 13:00:00+00:00,7.0,7.23,7.0,7.21,20489.0,205.0,7.092719
HMST,2023-07-17 14:00:00+00:00,7.2285,7.27,7.095,7.27,34905.0,494.0,7.163158
HMST,2023-07-17 15:00:00+00:00,7.2999,7.2999,7.15,7.2499,60650.0,828.0,7.213621
HMST,2023-07-17 16:00:00+00:00,7.22,7.2683,7.19,7.24,28848.0,427.0,7.226535
HMST,2023-07-17 17:00:00+00:00,7.24,7.4053,7.24,7.36,43526.0,462.0,7.353695
HMST,2023-07-17 18:00:00+00:00,7.36,7.42,7.36,7.36,36385.0,470.0,7.38866
HMST,2023-07-17 19:00:00+00:00,7.35,7.37,7.22,7.22,89743.0,1220.0,7.277031
HMST,2023-07-17 20:00:00+00:00,7.24,7.24,7.24,7.24,22319.0,8.0,7.24
HMST,2023-07-18 13:00:00+00:00,7.25,8.11,7.25,8.1,146608.0,1143.0,7.850252
HMST,2023-07-18 14:00:00+00:00,8.115,8.25,7.73,7.775,113295.0,1191.0,8.017645
HMST,2023-07-18 15:00:00+00:00,7.77,8.025,7.74,7.96,92882.0,818.0,7.865551
HMST,2023-07-18 16:00:00+00:00,7.95,8.08,7.92,8.08,36650.0,468.0,7.983039
HMST,2023-07-18 17:00:00+00:00,8.1,8.17,8.0,8.16,57354.0,613.0,8.097291
HMST,2023-07-18 18:00:00+00:00,8.1599,8.25,8.12,8.19,61422.0,779.0,8.166423
HMST,2023-07-18 19:00:00+00:00,8.19,8.2,8.12,8.18,84380.0,1225.0,8.159562
HMST,2023-07-18 20:00:00+00:00,8.16,8.37,8.16,8.25,25315.0,6.0,8.161185
HMST,2023-07-18 21:00:00+00:00,8.1,8.22,8.1,8.22,2002.0,13.0,8.195395
HMST,2023-07-18 22:00:00+00:00,8.22,8.33,8.22,8.32,1600.0,7.0,8.259125
HMST,2023-07-18 23:00:00+00:00,8.28,8.34,8.28,8.34,1980.0,9.0,8.328081
HMST,2023-07-19 09:00:00+00:00,8.42,8.42,8.42,8.42,400.0,2.0,8.42
HMST,2023-07-19 11:00:00+00:00,8.32,8.32,8.24,8.32,300.0,3.0,8.293333
HMST,2023-07-19 12:00:00+00:00,8.38,8.38,8.38,8.38,383.0,4.0,8.363943
HMST,2023-07-19 13:00:00+00:00,8.49,8.49,8.02,8.27,94624.0,611.0,8.252859
HMST,2023-07-19 14:00:00+00:00,8.25,8.5901,8.23,8.545,174493.0,1693.0,8.415155
HMST,2023-07-19 15:00:00+00:00,8.535,8.6428,8.39,8.6428,102650.0,1001.0,8.503266
HMST,2023-07-19 16:00:00+00:00,8.63,8.87,8.61,8.87,62594.0,848.0,8.704897
HMST,2023-07-19 17:00:00+00:00,8.87,8.89,8.61,8.68,105570.0,1026.0,8.69078
HMST,2023-07-19 18:00:00+00:00,8.72,8.7884,8.66,8.7884,29986.0,521.0,8.714104
HMST,2023-07-19 19:00:00+00:00,8.7632,8.8,8.6781,8.788,134629.0,2146.0,8.757104
HMST,2023-07-19 20:00:00+00:00,8.76,8.78,8.76,8.78,21925.0,7.0,8.760274
HMST,2023-07-19 22:00:00+00:00,8.88,8.88,8.88,8.88,301.0,1.0,8.88
HMST,2023-07-19 23:00:00+00:00,8.78,8.92,8.78,8.92,4287.0,3.0,8.910637
HMST,2023-07-20 12:00:00+00:00,8.97,8.97,8.97,8.97,220.0,2.0,8.962273
HMST,2023-07-20 13:00:00+00:00,8.78,8.83,8.37,8.395,66349.0,513.0,8.642756
HMST,2023-07-20 14:00:00+00:00,8.3664,8.4887,8.23,8.29,79293.0,1101.0,8.351945
HMST,2023-07-20 15:00:00+00:00,8.3,8.45,8.3,8.4,91333.0,971.0,8.392215
HMST,2023-07-20 16:00:00+00:00,8.415,8.56,8.4,8.455,55887.0,867.0,8.468452
HMST,2023-07-20 17:00:00+00:00,8.45,8.49,8.38,8.48,43655.0,783.0,8.439911
HMST,2023-07-20 18:00:00+00:00,8.465,8.58,8.45,8.57,38313.0,673.0,8.534477
HMST,2023-07-20 19:00:00+00:00,8.575,8.66,8.525,8.66,107556.0,1628.0,8.591581
HMST,2023-07-20 20:00:00+00:00,8.65,8.65,8.65,8.65,21278.0,4.0,8.65
HMST,2023-07-21 12:00:00+00:00,8.99,8.99,8.99,8.99,751.0,2.0,8.99
HMST,2023-07-21 13:00:00+00:00,8.69,8.7899,8.41,8.5094,67648.0,725.0,8.583951
HMST,2023-07-21 14:00:00+00:00,8.45,8.54,8.3,8.41,79047.0,1020.0,8.419492
HMST,2023-07-21 15:00:00+00:00,8.42,8.54,8.39,8.49,28850.0,494.0,8.452498
HMST,2023-07-21 16:00:00+00:00,8.51,8.555,8.44,8.49,29162.0,497.0,8.494335
HMST,2023-07-21 17:00:00+00:00,8.485,8.63,8.485,8.63,54658.0,593.0,8.578395
HMST,2023-07-21 18:00:00+00:00,8.62,8.62,8.49,8.4901,36094.0,475.0,8.566898
HMST,2023-07-21 19:00:00+00:00,8.49,8.52,8.26,8.35,155930.0,1906.0,8.356959
HMST,2023-07-21 20:00:00+00:00,8.35,8.35,8.35,8.35,27537.0,6.0,8.35
HMST,2023-07-24 13:00:00+00:00,8.37,8.72,8.37,8.56,44927.0,463.0,8.572691
HMST,2023-07-24 14:00:00+00:00,8.57,8.765,8.53,8.7349,49116.0,685.0,8.633726
HMST,2023-07-24 15:00:00+00:00,8.71,8.8,8.67,8.7,36120.0,561.0,8.729175
HMST,2023-07-24 16:00:00+00:00,8.72,8.9,8.715,8.9,35082.0,577.0,8.808588
HMST,2023-07-24 17:00:00+00:00,8.8999,8.96,8.86,8.87,26311.0,433.0,8.906934
HMST,2023-07-24 18:00:00+00:00,8.8648,8.96,8.82,8.875,67029.0,622.0,8.882306
HMST,2023-07-24 19:00:00+00:00,8.875,8.98,8.85,8.95,87540.0,1441.0,8.926431
HMST,2023-07-24 20:00:00+00:00,8.92,8.92,8.92,8.92,26311.0,5.0,8.92
HMST,2023-07-24 22:00:00+00:00,8.92,8.92,8.92,8.92,140.0,1.0,8.92
HMST,2023-07-24 23:00:00+00:00,8.99,8.99,8.99,8.99,200.0,1.0,8.99
HMST,2023-07-25 12:00:00+00:00,8.9899,8.99,8.9899,8.99,715.0,2.0,8.989931
HMST,2023-07-25 13:00:00+00:00,8.98,9.24,8.88,8.88,93644.0,968.0,9.025077
HMST,2023-07-25 14:00:00+00:00,8.8139,9.08,8.78,8.99,67616.0,884.0,8.937486
HMST,2023-07-25 15:00:00+00:00,8.96,9.01,8.9,8.9401,52031.0,795.0,8.957029
HMST,2023-07-25 16:00:00+00:00,8.97,9.1355,8.9,9.13,41173.0,490.0,9.019798
HMST,2023-07-25 17:00:00+00:00,9.145,9.27,9.1,9.16,91426.0,725.0,9.196751
HMST,2023-07-25 18:00:00+00:00,9.11,9.23,8.7734,8.85,117889.0,1351.0,9.022406
HMST,2023-07-25 19:00:00+00:00,8.83,8.83,8.7,8.73,163515.0,2435.0,8.765334
HMST,2023-07-25 20:00:00+00:00,8.73,8.73,8.73,8.73,19805.0,11.0,8.73
HMST,2023-07-25 21:00:00+00:00,9.16,9.16,8.89,8.89,1350.0,3.0,9.06
HMST,2023-07-25 22:00:00+00:00,8.989,8.9999,8.989,8.9999,300.0,3.0,8.992967
HMST,2023-07-26 12:00:00+00:00,8.7007,8.7007,8.7007,8.7007,610.0,1.0,8.7007
HMST,2023-07-26 13:00:00+00:00,8.92,9.5127,8.8876,9.435,58860.0,551.0,9.300134
HMST,2023-07-26 14:00:00+00:00,9.39,9.58,9.25,9.346,111624.0,1123.0,9.398959
HMST,2023-07-26 15:00:00+00:00,9.36,9.53,9.28,9.515,47187.0,508.0,9.40208
HMST,2023-07-26 16:00:00+00:00,9.53,9.71,9.52,9.68,44247.0,606.0,9.579274
HMST,2023-07-26 17:00:00+00:00,9.69,9.69,9.51,9.535,19526.0,239.0,9.612177
HMST,2023-07-26 18:00:00+00:00,9.51,9.72,9.5,9.72,34323.0,453.0,9.583575
HMST,2023-07-26 19:00:00+00:00,9.7,9.799,9.64,9.7444,106957.0,1488.0,9.719037
HMST,2023-07-26 20:00:00+00:00,9.74,9.74,9.74,9.74,27739.0,6.0,9.74
HMST,2023-07-26 23:00:00+00:00,9.9,9.9,9.9,9.9,100.0,1.0,9.9
HMST,2023-07-27 12:00:00+00:00,10.1,10.7,10.1,10.7,3000.0,2.0,10.3
HMST,2023-07-27 13:00:00+00:00,9.96,10.47,9.8,10.17,242299.0,2695.0,10.16136
HMST,2023-07-27 14:00:00+00:00,10.18,10.56,10.11,10.369,155919.0,1713.0,10.358644
HMST,2023-07-27 15:00:00+00:00,10.3663,10.48,10.27,10.28,74949.0,1207.0,10.358946
HMST,2023-07-27 16:00:00+00:00,10.26,10.39,10.1591,10.33,60693.0,945.0,10.241063
HMST,2023-07-27 17:00:00+00:00,10.32,10.33,9.98,10.01,157760.0,1546.0,10.088354
HMST,2023-07-27 18:00:00+00:00,10.02,10.06,9.88,9.95,109035.0,1339.0,9.976981
HMST,2023-07-27 19:00:00+00:00,9.93,10.07,9.89,10.07,208909.0,2957.0,9.988998
HMST,2023-07-27 20:00:00+00:00,10.07,10.07,10.07,10.07,35100.0,4.0,10.07
HMST,2023-07-27 21:00:00+00:00,10.61,10.61,10.61,10.61,100.0,1.0,10.61
HMST,2023-07-28 12:00:00+00:00,10.45,10.45,10.0753,10.11,699.0,13.0,10.196015
HMST,2023-07-28 13:00:00+00:00,10.13,10.38,9.905,10.37,124164.0,1088.0,10.205892
HMST,2023-07-28 14:00:00+00:00,10.345,10.77,10.24,10.41,168768.0,1774.0,10.533351
HMST,2023-07-28 15:00:00+00:00,10.3973,10.57,10.05,10.17,135410.0,1327.0,10.28898
HMST,2023-07-28 16:00:00+00:00,10.16,10.25,9.93,10.1,90260.0,1064.0,10.099493
HMST,2023-07-28 17:00:00+00:00,10.105,10.15,10.03,10.1,41910.0,771.0,10.086854
HMST,2023-07-28 18:00:00+00:00,10.11,10.15,10.03,10.09,48997.0,721.0,10.091356
HMST,2023-07-28 19:00:00+00:00,10.09,10.17,10.02,10.02,183214.0,2358.0,10.087492
HMST,2023-07-28 20:00:00+00:00,10.04,10.25,7.88,9.6,103632.0,288.0,9.629957
HMST,2023-07-28 21:00:00+00:00,9.75,9.75,9.18,9.43,9614.0,46.0,9.43491
HMST,2023-07-28 22:00:00+00:00,9.33,9.43,9.0,9.43,2645.0,17.0,9.222381
HMST,2023-07-28 23:00:00+00:00,9.25,9.46,9.2,9.2,2842.0,20.0,9.259817
HMST,2023-07-31 10:00:00+00:00,9.75,9.75,9.75,9.75,100.0,1.0,9.75
HMST,2023-07-31 11:00:00+00:00,9.68,10.25,9.68,10.1,9676.0,26.0,10.117957
HMST,2023-07-31 12:00:00+00:00,10.19,10.2,9.21,10.01,14596.0,37.0,10.033016
HMST,2023-07-31 13:00:00+00:00,10.01,10.98,9.2745,10.83,238165.0,1877.0,9.990449
HMST,2023-07-31 14:00:00+00:00,10.905,11.0,10.08,10.355,180606.0,1764.0,10.467278
HMST,2023-07-31 15:00:00+00:00,10.37,10.43,10.25,10.38,76618.0,1205.0,10.320883
HMST,2023-07-31 16:00:00+00:00,10.35,10.59,10.33,10.45,49938.0,681.0,10.448648
HMST,2023-07-31 17:00:00+00:00,10.45,10.6885,9.6,9.64,512354.0,3147.0,10.024044
HMST,2023-07-31 18:00:00+00:00,9.62,9.79,9.33,9.37,212221.0,1971.0,9.506651
HMST,2023-07-31 19:00:00+00:00,9.37,9.42,9.075,9.2,452370.0,5305.0,9.208049
HMST,2023-07-31 20:00:00+00:00,9.2,9.2,9.2,9.2,774890.0,9.0,9.2
HMST,2023-08-01 12:00:00+00:00,9.29,9.29,9.19,9.19,1200.0,3.0,9.207067
HMST,2023-08-01 13:00:00+00:00,9.13,9.25,8.6,9.16,333800.0,2189.0,8.78485
HMST,2023-08-01 14:00:00+00:00,9.133,9.21,8.78,8.82,119058.0,1764.0,8.961611
HMST,2023-08-01 15:00:00+00:00,8.82,8.98,8.7675,8.92,54963.0,827.0,8.849308
HMST,2023-08-01 16:00:00+00:00,8.88,8.89,8.7,8.83,46831.0,841.0,8.768325
HMST,2023-08-01 17:00:00+00:00,8.875,8.99,8.805,8.8901,43208.0,760.0,8.892332
HMST,2023-08-01 18:00:00+00:00,8.87,9.1,8.83,9.065,70941.0,796.0,9.004792
HMST,2023-08-01 19:00:00+00:00,9.07,9.16,8.911,9.15,164693.0,2362.0,9.073835
HMST,2023-08-01 20:00:00+00:00,9.15,10.0,8.91,9.85,130034.0,400.0,9.382251
HMST,2023-08-01 21:00:00+00:00,9.95,10.3,9.9,9.99,46332.0,170.0,10.04138
HMST,2023-08-01 22:00:00+00:00,9.8,9.8,9.7,9.7,1956.0,9.0,9.781309
HMST,2023-08-01 23:00:00+00:00,9.89,9.89,9.7,9.7,300.0,2.0,9.763333
HMST,2023-08-02 08:00:00+00:00,9.2,9.2,9.2,9.2,2456.0,5.0,9.199776
HMST,2023-08-02 09:00:00+00:00,9.18,9.18,9.17,9.17,1300.0,4.0,9.176154
HMST,2023-08-02 10:00:00+00:00,9.18,9.2,9.17,9.2,1705.0,13.0,9.191331
HMST,2023-08-02 11:00:00+00:00,9.21,9.21,9.21,9.21,300.0,2.0,9.208333
HMST,2023-08-02 12:00:00+00:00,9.25,9.53,9.25,9.4,1815.0,6.0,9.357631
HMST,2023-08-02 13:00:00+00:00,9.36,9.55,8.93,9.04,172515.0,1225.0,9.176603
HMST,2023-08-02 14:00:00+00:00,9.04,9.04,8.441,8.585,257999.0,2039.0,8.68873
HMST,2023-08-02 15:00:00+00:00,8.56,8.9,8.51,8.86,78265.0,922.0,8.706012
HMST,2023-08-02 16:00:00+00:00,8.8601,9.13,8.86,9.125,44280.0,675.0,9.012952
HMST,2023-08-02 17:00:00+00:00,9.125,9.2775,9.075,9.2,78417.0,1057.0,9.146892
HMST,2023-08-02 18:00:00+00:00,9.19,9.33,9.19,9.275,64380.0,1050.0,9.254911
HMST,2023-08-02 19:00:00+00:00,9.3,9.545,9.3,9.41,219919.0,2778.0,9.421759
HMST,2023-08-02 20:00:00+00:00,9.43,9.43,9.43,9.43,27956.0,4.0,9.43
HMST,2023-08-02 21:00:00+00:00,9.43,9.43,9.43,9.43,220.0,2.0,9.43
HMST,2023-08-02 22:00:00+00:00,9.36,9.36,9.36,9.36,1000.0,2.0,9.36
HMST,2023-08-03 13:00:00+00:00,9.38,9.73,9.3,9.54,96841.0,1016.0,9.486098
HMST,2023-08-03 14:00:00+00:00,9.56,9.69,9.38,9.615,74929.0,1180.0,9.575237
HMST,2023-08-03 15:00:00+00:00,9.615,9.91,9.55,9.89,85056.0,1303.0,9.698618
HMST,2023-08-03 16:00:00+00:00,9.88,10.0,9.85,9.87,64373.0,905.0,9.922434
HMST,2023-08-03 17:00:00+00:00,9.88,10.32,9.83,10.21,140942.0,1405.0,10.11867
HMST,2023-08-03 18:00:00+00:00,10.26,10.65,10.25,10.59,193645.0,2361.0,10.488089
HMST,2023-08-03 19:00:00+00:00,10.575,10.65,10.45,10.55,230234.0,3072.0,10.561338
HMST,2023-08-03 20:00:00+00:00,10.55,10.55,10.55,10.55,54762.0,7.0,10.549909
HMST,2023-08-04 13:00:00+00:00,10.55,10.83,10.5,10.67,54706.0,644.0,10.643425
