symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HTBK,2023-07-17 13:00:00+00:00,8.65,8.78,8.57,8.78,14954.0,154.0,8.727803
HTBK,2023-07-17 14:00:00+00:00,8.8,8.8388,8.7,8.83,31547.0,480.0,8.77946
HTBK,2023-07-17 15:00:00+00:00,8.8395,8.84,8.78,8.81,10598.0,180.0,8.81241
HTBK,2023-07-17 16:00:00+00:00,8.81,8.84,8.8,8.81,4625.0,78.0,8.817899
HTBK,2023-07-17 17:00:00+00:00,8.81,8.85,8.81,8.82,6540.0,125.0,8.826909
HTBK,2023-07-17 18:00:00+00:00,8.82,8.855,8.8,8.81,10617.0,177.0,8.836771
HTBK,2023-07-17 19:00:00+00:00,8.81,8.81,8.755,8.765,39584.0,709.0,8.774619
HTBK,2023-07-17 20:00:00+00:00,8.76,8.76,8.76,8.76,41355.0,3.0,8.76
HTBK,2023-07-18 13:00:00+00:00,8.9,9.0864,8.6,9.06,21463.0,279.0,8.92518
HTBK,2023-07-18 14:00:00+00:00,9.04,9.1286,8.97,8.97,29888.0,491.0,9.030648
HTBK,2023-07-18 15:00:00+00:00,8.985,9.11,8.98,9.03,60288.0,815.0,9.034703
HTBK,2023-07-18 16:00:00+00:00,9.05,9.11,9.05,9.09,28932.0,401.0,9.07821
HTBK,2023-07-18 17:00:00+00:00,9.1,9.1,9.06,9.06,7036.0,112.0,9.076333
HTBK,2023-07-18 18:00:00+00:00,9.05,9.125,9.05,9.11,10445.0,182.0,9.0916
HTBK,2023-07-18 19:00:00+00:00,9.1,9.145,9.1,9.12,51181.0,780.0,9.124788
HTBK,2023-07-18 20:00:00+00:00,9.13,9.13,9.13,9.13,52121.0,5.0,9.13
HTBK,2023-07-19 13:00:00+00:00,9.15,9.26,9.1291,9.26,14504.0,312.0,9.175339
HTBK,2023-07-19 14:00:00+00:00,9.27,9.39,9.2641,9.33,20178.0,414.0,9.33157
HTBK,2023-07-19 15:00:00+00:00,9.31,9.32,9.25,9.3,26027.0,349.0,9.281833
HTBK,2023-07-19 16:00:00+00:00,9.31,9.32,9.25,9.305,23597.0,353.0,9.295515
HTBK,2023-07-19 17:00:00+00:00,9.305,9.33,9.26,9.32,15901.0,273.0,9.307988
